8464_282934_000000_000000	THE REFORMATION OF CALLIOPE	THE REFORMATION OF CALLIOPE	false	7.26	22.245	23.990225
8464_282934_000001_000000	Calliope Catesby was in his humours again.	Calliope Catesby was in his humours again.	true	22.245	24.76	21.17518
8464_282934_000001_000001	Ennui was upon him.	Ennui was upon him.	true	24.95	26.8	23
8464_282934_000001_000002	This goodly promontory, the earth--particularly that portion of it known as Quicksand--was to him no more than a pestilent congregation of vapours.	This goodly promontory, the earth-particularly that portion of it known as Quicksand-was to him no more than a pestilent congregation of vapours.	true	27.02	36.1	23.248446
8464_282934_000001_000003	Overtaken by the megrims, the philosopher may seek relief in soliloquy; my lady find solace in tears; the flaccid Easterner scold at the millinery bills of his women folk.	Overtaken by the megrims, the philosopher may seek relief in soliloquy; my lady find solace in tears; the flaccid Easterner scold at the millinery bills of his women folk.	true	36.83	49.33	22.822977
8464_282934_000001_000004	Such recourse was insufficient to the denizens of Quicksand.	Such recourse was insufficient to the denizens of Quicksand.	true	49.58	53.5	24
8464_282934_000001_000005	Calliope, especially, was wont to express his ennui according to his lights.	Calliope, especially, was wont to express his ennui according to his lights.	true	53.9	59.74	22.274431
8464_282934_000002_000000	Over night Calliope had hung out signals of approaching low spirits. He had kicked his own dog on the porch of the Occidental Hotel, and refused to apologise.	Over night Calliope had hung out signals of approaching low spirits. He had kicked his own dog on the porch of the Occidental Hotel, and refused to apologise.	true	60.8	70.57	26.178123
8464_282934_000002_000001	He had become capricious and fault-finding in conversation.	He had become capricious and fault finding in conversation.	true	71	74.59	23
8464_282934_000002_000002	While strolling about he reached often for twigs of mesquite and chewed the leaves fiercely.	While strolling about he reached often for twigs of mesquite and chewed the leaves fiercely.	true	75.14	81.16	20.782825
8464_282934_000002_000003	That was always an ominous act.	That was always an ominous act.	true	81.62	84.04	23.671612
8464_282934_000002_000004	Another symptom alarming to those who were familiar with the different stages of his doldrums was his increasing politeness and a tendency to use formal phrases.	Another symptom alarming to those who were familiar with the different stages of his doldrums was his increasing politeness and a tendency to use formal phrases.	true	84.44	93.93	20
8464_282934_000002_000005	A husky softness succeeded the usual penetrating drawl in his tones.	A husky softness succeeded the usual penetrating drawl in his tones.	false	93.93	99.91	22.016005
8464_282934_000002_000006	A dangerous courtesy marked his manners.	A dangerous courtesy marked his manners.	true	100.28	102.64	20
8464_282934_000002_000007	Later, his smile became crooked, the left side of his mouth slanting upward, and Quicksand got ready to stand from under.	Later, his smile became crooked, the left side of his mouth slanting upward, and Quicksand got ready to stand from under.	true	103.19	112.9	22.401434
8464_282934_000003_000000	At this stage Calliope generally began to drink.	At this stage Calliope generally began to drink.	true	113.78	116.68	21.689264
8464_282934_000003_000001	Finally, about midnight, he was seen going homeward, saluting those whom he met with exaggerated but inoffensive courtesy.	Finally, about midnight, he was seen going homeward, saluting those whom he met with exaggerated but inoffensive courtesy.	true	117.05	125.98	20.424015
8464_282934_000003_000002	Not yet was Calliope's melancholy at the danger point.	Not yet was Calliope's melancholy at the danger point.	false	126.59	130.12	20
8464_282934_000003_000003	He would seat himself at the window of the room he occupied over Silvester's tonsorial parlours and there chant lugubrious and tuneless ballads until morning, accompanying the noises by appropriate maltreatment of a jangling guitar.	He would seat himself at the window of the room he occupied over Silvester's tonsorial parlours and there chant lugubrious and tuneless ballads until morning, accompanying the noises by appropriate maltreatment of a jangling guitar.	true	130.43	146.23	18
8464_282934_000003_000004	More magnanimous than Nero, he would thus give musical warning of the forthcoming municipal upheaval that Quicksand was scheduled to endure.	More magnanimous than Nero, he would thus give musical warning of the forthcoming municipal upheaval that Quicksand was scheduled to endure.	true	146.99	156.37	21.712534
8464_282934_000004_000000	A quiet, amiable man was Calliope Catesby at other times--quiet to indolence, and amiable to worthlessness.	A quiet, amiable man was Calliope Catesby at other times-quiet to indolence, and amiable to worthlessness.	true	157.13	164.92	22.26676
8464_282934_000004_000001	At best he was a loafer and a nuisance; at worst he was the Terror of Quicksand.	At best he was a loafer and a nuisance; at worst he was the Terror of Quicksand.	true	165.74	171.04	25.54435
8464_282934_000004_000002	His ostensible occupation was something subordinate in the real estate line; he drove the beguiled Easterner in buckboards out to look over lots and ranch property.	His ostensible occupation was something subordinate in the real estate line; he drove the beguiled Easterner in buckboards out to look over lots and ranch property.	true	171.23	180.7	21.357513
8464_282934_000004_000003	Originally he came from one of the Gulf States, his lank six feet, slurring rhythm of speech, and sectional idioms giving evidence of his birthplace.	Originally he came from one of the Gulf States, his lank six feet, slurring rhythm of speech, and sectional idioms giving evidence of his birthplace.	true	181.22	190.15	22.861832
8464_282934_000005_000000	And yet, after taking on Western adjustments, this languid pine-box whittler, cracker barrel hugger, shady corner lounger of the cotton fields and sumac hills of the South became famed as a bad man among men who had made a life-long study of the art of truculence.	And yet, after taking on Western adjustments, this languid pine box whittler, cracker barrel hugger, shady corner lounger of the cotton fields and sumac hills of the South became famed as a bad man among men who had made a life-long study of the art of truculence.	false	190.91	207.4	21.260826
8464_282934_000006_000000	At nine the next morning Calliope was fit.	At nine the next morning Calliope was fit.	true	208.16	210.82	18
8464_282934_000006_000001	Inspired by his own barbarous melodies and the contents of his jug, he was ready primed to gather fresh laurels from the diffident brow of Quicksand.	Inspired by his own barbarous melodies and the contents of his jug, he was ready primed to gather fresh laurels from the diffident brow of Quicksand.	true	211.25	220.39	20
8464_282934_000006_000002	Encircled and criss-crossed with cartridge belts, abundantly garnished with revolvers, and copiously drunk, he poured forth into Quicksand's main street.	Encircled and criss crossed with cartridge belts, abundantly garnished with revolvers, and copiously drunk, he poured forth into Quicksand's main street.	true	220.7	230.29	23.552969
8464_282934_000006_000003	Too chivalrous to surprise and capture a town by silent sortie, he paused at the nearest corner and emitted his slogan--that fearful, brassy yell, so reminiscent of the steam piano, that had gained for him the classic appellation that had superseded his own baptismal name.	Too chivalrous to surprise and capture a town by silent sortie, he paused at the nearest corner and emitted his slogan-that fearful, brassy yell, so reminiscent of the steam piano, that had gained for him the classic appellation that had superseded his own baptismal name.	true	230.6	248.41	19.798264
8464_282934_000006_000004	Following close upon his vociferation came three shots from his forty-five by way of limbering up the guns and testing his aim.	Following close upon his vociferation came three shots from his forty five by way of limbering up the guns and testing his aim.	true	248.51	256.69	18
8464_282934_000006_000005	A yellow dog, the personal property of Colonel Swazey, the proprietor of the Occidental, fell feet upward in the dust with one farewell yelp.	A yellow dog, the personal property of Colonel Swazey, the proprietor of the Occidental, fell feet upward in the dust with one farewell yelp.	true	257.45	266.11	21.585659
8464_282934_000006_000006	A Mexican who was crossing the street from the Blue Front grocery carrying in his hand a bottle of kerosene, was stimulated to a sudden and admirable burst of speed, still grasping the neck of the shattered bottle.	A Mexican who was crossing the street from the Blue Front grocery carrying in his hand a bottle of kerosene, was stimulated to a sudden and admirable burst of speed, still grasping the neck of the shattered bottle.	false	266.12	279.01	21.685251
8464_282934_000006_000007	The new gilt weather-cock on Judge Riley's lemon and ultramarine two-story residence shivered, flapped, and hung by a splinter, the sport of the wanton breezes.	The new gilt weather cock on Judge Riley's lemon and ultramarine two story residence shivered, flapped, and hung by a splinter, the sport of the wanton breezes.	false	279.62	290.11	22.064146
8464_282934_000007_000000	The artillery was in trim.	The artillery was in trim.	true	290.9	292.77	24.026579
8464_282934_000007_000001	Calliope's hand was steady.	Calliope's hand was steady.	false	292.77	294.81	31.03645
8464_282934_000007_000002	The high, calm ecstasy of habitual battle was upon him, though slightly embittered by the sadness of Alexander in that his conquests were limited to the small world of Quicksand.	The high, calm ecstasy of habitual battle was upon him, though slightly embittered by the sadness of Alexander in that his conquests were limited to the small world of Quicksand.	false	294.81	307.51	22.231152
8464_282934_000008_000000	Down the street went Calliope, shooting right and left.	Down the street went Calliope, shooting right and left.	true	308.09	311.71	24.36872
8464_282934_000008_000001	Glass fell like hail; dogs vamosed; chickens flew, squawking; feminine voices shrieked concernedly to youngsters at large.	Glass fell like hail; dogs vamosed; chickens flew, squawking; feminine voices shrieked concernedly to youngsters at large.	false	311.75	320.95	21.17759
8464_282934_000008_000002	The din was perforated at intervals by the /staccato/ of the Terror's guns, and was drowned periodically by the brazen screech that Quicksand knew so well.	The din was perforated at intervals by the /staccato/ of the Terror's guns, and was drowned periodically by the brazen screech that Quicksand knew so well.	true	321.11	331.03	21
8464_282934_000008_000003	The occasions of Calliope's low spirits were legal holidays in Quicksand. All along the main street in advance of his coming clerks were putting up shutters and closing doors.	The occasions of Calliope's low spirits were legal holidays in Quicksand. All along the main street in advance of his coming clerks were putting up shutters and closing doors.	false	331.37	343.24	22.16814
8464_282934_000008_000004	Business would languish for a space. The right of way was Calliope's, and as he advanced, observing the dearth of opposition and the few opportunities for distraction, his ennui perceptibly increased.	Business would languish for a space. The right of way was Calliope's, and as he advanced, observing the dearth of opposition and the few opportunities for distraction, his ennui perceptibly increased.	false	343.28	357.64	22.913877
8464_282934_000009_000000	But some four squares farther down lively preparations were being made to minister to Mr. Catesby's love for interchange of compliments and repartee.	But some four squares farther down lively preparations were being made to minister to mr Catesby's love for interchange of compliments and repartee.	true	358.4	368.05	22
8464_282934_000009_000001	On the previous night numerous messengers had hastened to advise Buck Patterson, the city marshal, of Calliope's impending eruption.	On the previous night numerous messengers had hastened to advise Buck Patterson, the city marshal, of Calliope's impending eruption.	false	368.48	376.69	20
