5583_41919_000004_000000	Herr Lazarus and the Draken	Herr Lazarus and the Draken
5583_41919_000005_000000	Once upon a time there was a cobbler called Lazarus, who was very fond of honey.	Once upon a time there was a cobbler called Lazarus, who was very fond of honey.
5583_41919_000005_000001	One day, as he ate some while he sat at work, the flies collected in such numbers that with one blow he killed forty.	One day, as he ate some while he sat at work, the flies collected in such numbers that with one blow he killed forty.
5583_41919_000005_000002	Then he went and ordered a sword to be made for him, on which he had written these words: 'With one blow I have slain forty.' When the sword was ready he took it and went out into the world, and when he was two days' journey from home he came to a spring, by which he laid himself down and slept.	Then he went and ordered a sword to be made for him, on which he had written these words: 'With one blow I have slain forty.' When the sword was ready he took it and went out into the world, and when he was two days' journey from home he came to a spring, by which he laid himself down and slept.
5583_41919_000006_000000	Now in that country there dwelt Draken, one of whom came to the spring to draw water; there he found Lazarus sleeping, and read what was written on his sword.	Now in that country there dwelt Draken, one of whom came to the spring to draw water; there he found Lazarus sleeping, and read what was written on his sword.
5583_41919_000006_000001	Then he went back to his people and told them what he had seen, and they all advised him to make fellowship with this powerful stranger.	Then he went back to his people and told them what he had seen, and they all advised him to make fellowship with this powerful stranger.
5583_41919_000007_000000	Lazarus answered that he was willing, and after a priest had blessed the fellowship, they returned together to the other Draken, and Lazarus dwelt among them.	Lazarus answered that he was willing, and after a priest had blessed the fellowship, they returned together to the other Draken, and Lazarus dwelt among them.
5583_41919_000007_000001	After some days they told him that it was their custom to take it in turns to bring wood and water, and as he was now of their company, he must take his turn.	After some days they told him that it was their custom to take it in turns to bring wood and water, and as he was now of their company, he must take his turn.
5583_41919_000007_000002	They went first for water and wood, but at last it came to be Lazarus's turn to go for water.	They went first for water and wood, but at last it came to be Lazarus's turn to go for water.
5583_41919_000007_000004	This Lazarus could only, with great difficulty, drag empty to the spring, and because he could not carry it back full, he did not fill it at all, but, instead, he dug up the ground all round the spring.	This Lazarus could only, with great difficulty, drag empty to the spring, and because he could not carry it back full, he did not fill it at all, but, instead, he dug up the ground all round the spring.
5583_41919_000008_000000	As Lazarus remained so long away, the Draken sent one of their number to see what had become of him, and when this one came to the spring, Lazarus said to him: 'We will no more plague ourselves by carrying water every day.	As Lazarus remained so long away, the Draken sent one of their number to see what had become of him, and when this one came to the spring, Lazarus said to him: 'We will no more plague ourselves by carrying water every day.
5583_41919_000008_000001	I will bring the entire spring home at once, and so we shall be freed from this burden.'	I will bring the entire spring home at once, and so we shall be freed from this burden.'
5583_41919_000010_000000	Next it comes to be Lazarus's turn to bring the wood.	Next it comes to be Lazarus's turn to bring the wood.
5583_41919_000010_000001	Now the Draken, when they fetched the wood, always took an entire tree on their shoulder, and so carried it home.	Now the Draken, when they fetched the wood, always took an entire tree on their shoulder, and so carried it home.
5583_41919_000010_000002	Because Lazarus could not imitate them in this, he went to the forest, tied all the trees together with a thick rope, and remained in the forest till evening.	Because Lazarus could not imitate them in this, he went to the forest, tied all the trees together with a thick rope, and remained in the forest till evening.
5583_41919_000012_000000	When they had lived together some time, the Draken became weary of Lazarus, and agreed among themselves to kill him; each Draken, in the night while Lazarus slept, should strike him a blow with a hatchet.	When they had lived together some time, the Draken became weary of Lazarus, and agreed among themselves to kill him; each Draken, in the night while Lazarus slept, should strike him a blow with a hatchet.
5583_41919_000012_000001	But Lazarus heard of this scheme, and when the evening came, he took a log of wood, covered it with his cloak, laid it in the place where he usually slept, and then hid himself.	But Lazarus heard of this scheme, and when the evening came, he took a log of wood, covered it with his cloak, laid it in the place where he usually slept, and then hid himself.
5583_41919_000012_000002	In the night the Draken came, and each one hit the log a blow with his hatchet, till it flew in pieces.	In the night the Draken came, and each one hit the log a blow with his hatchet, till it flew in pieces.
5583_41919_000013_000000	Then they believed their object was gained, and they lay down again.	Then they believed their object was gained, and they lay down again.
5583_41919_000014_000000	Thereupon Lazarus took the log, threw it away, and laid himself down in its stead.	Thereupon Lazarus took the log, threw it away, and laid himself down in its stead.
5583_41919_000014_000003	He agreed willingly to this, but asked further that one of the Draken should go with him to carry the bag of gold.	He agreed willingly to this, but asked further that one of the Draken should go with him to carry the bag of gold.
5583_41919_000014_000004	They consented, and one was sent with him.	They consented, and one was sent with him.
5583_41919_000015_000000	When they had come to within a short; distance of Lazarus's house, he said to the Draken: 'Stop here, in the meantime, for I must go on in front and tie up my children, lest they eat you.'	When they had come to within a short; distance of Lazarus's house, he said to the Draken: 'Stop here, in the meantime, for I must go on in front and tie up my children, lest they eat you.'
5583_41919_000016_000000	So he went and tied his children with strong ropes, and said to them: 'As soon as the Draken comes in sight, call out as loud as you can, "Drakenflesh!	So he went and tied his children with strong ropes, and said to them: 'As soon as the Draken comes in sight, call out as loud as you can, "Drakenflesh!
5583_41919_000016_000001	Drakenflesh!"'	Drakenflesh!"'
5583_41919_000017_000000	So, when the Draken appeared, the children cried out: 'Drakenflesh! Drakenflesh!' and this so terrified the Draken that he let the bag fall and fled.	So, when the Draken appeared, the children cried out: 'Drakenflesh! Drakenflesh!' and this so terrified the Draken that he let the bag fall and fled.
5583_41919_000018_000001	But the fox laughed, and said: 'What! you were afraid of the children of Herr Lazarus?	But the fox laughed, and said: 'What! you were afraid of the children of Herr Lazarus?
5583_41919_000019_000000	The Draken then tied himself on to the fox's tail, and went back thus with it to Lazarus's house, in order to see what it would arrange.	The Draken then tied himself on to the fox's tail, and went back thus with it to Lazarus's house, in order to see what it would arrange.
