6965_291718_000005_000000	My Dear Helen:	My Dear Helen:
6965_291718_000006_000000	I will begin where I left off in my last letter.	I will begin where I left off in my last letter.
6965_291718_000007_000000	As you may imagine, I did not get any sleep that night, not even so much as a cat's nap, as people say, though how cat's naps differ from men's and women's naps, I don't know.	As you may imagine, I did not get any sleep that night, not even so much as a cat's nap, as people say, though how cat's naps differ from men's and women's naps, I don't know.
6965_291718_000007_000001	I shivered all night, and it hurt me terribly whenever I moved.	I shivered all night, and it hurt me terribly whenever I moved.
6965_291718_000007_000003	Don't you remember when you had that big double tooth pulled out, and he gave you five dollars, how he swore then?	Don't you remember when you had that big double tooth pulled out, and he gave you five dollars, how he swore then?
6965_291718_000007_000004	Well, he took me up in his arms, and carried me into the dining-room; it was quite cool; there was a nice wood fire on the hearth, and Mary was setting the table for breakfast.	Well, he took me up in his arms, and carried me into the dining room; it was quite cool; there was a nice wood fire on the hearth, and Mary was setting the table for breakfast.
6965_291718_000007_000005	He said to her in a very gruff voice, "Here you, Mary, you go up into the garret and bring down the cradle."	He said to her in a very gruff voice, "Here you, Mary, you go up into the garret and bring down the cradle."
6965_291718_000008_000000	Sick as I was, I could not help laughing at the sight of her face.	Sick as I was, I could not help laughing at the sight of her face.
6965_291718_000008_000001	It was enough to make any cat laugh.	It was enough to make any cat laugh.
6965_291718_000010_000000	"You do as I tell you," said he, in that most awful tone of his, which always makes you so afraid.	"You do as I tell you," said he, in that most awful tone of his, which always makes you so afraid.
6965_291718_000010_000001	I felt afraid myself, though all the time he was stroking my head, and saying, "Poor pussy, there, poor pussy, lie still." In a few minutes Mary came down with the cradle, and set it down by the fire with such a bang that I wondered it did not break.	I felt afraid myself, though all the time he was stroking my head, and saying, "Poor pussy, there, poor pussy, lie still." In a few minutes Mary came down with the cradle, and set it down by the fire with such a bang that I wondered it did not break.
6965_291718_000010_000002	You know she always bangs things when she is cross, but I never could see what good it does.	You know she always bangs things when she is cross, but I never could see what good it does.
6965_291718_000010_000003	Then your grandfather made up a nice bed in the cradle, out of Charlie's winter blanket and an old pillow, and laid me down in it, all rolled up as I was in your petticoat.	Then your grandfather made up a nice bed in the cradle, out of Charlie's winter blanket and an old pillow, and laid me down in it, all rolled up as I was in your petticoat.
6965_291718_000010_000004	When your mother came into the room she laughed almost as hard as she did when she saw me in the soft-soap barrel, and said, "Why, father, you are rather old to play cat's cradle!"	When your mother came into the room she laughed almost as hard as she did when she saw me in the soft soap barrel, and said, "Why, father, you are rather old to play cat's cradle!"
6965_291718_000010_000005	The old gentleman laughed at this, till the tears ran down his red cheeks.	The old gentleman laughed at this, till the tears ran down his red cheeks.
6965_291718_000010_000007	After breakfast I tried to walk, but my right paw was entirely useless.	After breakfast I tried to walk, but my right paw was entirely useless.
6965_291718_000010_000008	At first they thought it was broken, but finally decided that it was only sprained, and must be bandaged.	At first they thought it was broken, but finally decided that it was only sprained, and must be bandaged.
6965_291718_000010_000009	The bandages were wet with something which smelled so badly it made me feel very sick, for the first day or two.	The bandages were wet with something which smelled so badly it made me feel very sick, for the first day or two.
6965_291718_000010_000011	For three days I had to lie all the time in the cradle: if your grandfather caught me out of it, he would swear at me, and put me back again.	For three days I had to lie all the time in the cradle: if your grandfather caught me out of it, he would swear at me, and put me back again.
6965_291718_000010_000012	Every morning he put the soft white stuff on my eyes, and changed the bandages on my leg.	Every morning he put the soft white stuff on my eyes, and changed the bandages on my leg.
6965_291718_000010_000013	And, oh, my dear Helen, such good things as I had to eat!	And, oh, my dear Helen, such good things as I had to eat!
6965_291718_000010_000014	I had almost the same things for my dinner that the rest of them did: it must be a splendid thing to be a man or a woman!	I had almost the same things for my dinner that the rest of them did: it must be a splendid thing to be a man or a woman!
