1079_128633_000000_000000	[Page 429] FIFTEEN WAYS TO COOK TURBOT	[Page four hundred twenty nine] FIFTEEN WAYS TO COOK TURBOT	false	6.51	32.59	25.8082
1079_128633_000001_000000	BOILED TURBOT	BOILED TURBOT	true	33.38	34.75	30.421446
1079_128633_000002_000000	Wash the fish carefully and soak it for an hour in salted water, drain, and rinse in fresh water.	Wash the fish carefully and soak it for an hour in salted water, drain, and rinse in fresh water.	false	35.18	41.59	21.7633
1079_128633_000002_000001	With a sharp knife score the black skin in a straight line from head to tail.	With a sharp knife score the black skin in a straight line from head to tail.	true	41.81	46.99	26
1079_128633_000002_000002	Boil the fish in salted and acidulated water to cover, drain, garnish with parsley and lemon, and serve with any preferred sauce.	Boil the fish in salted and acidulated water to cover, drain, garnish with parsley and lemon, and serve with any preferred sauce.	false	47.21	57.04	24.354818
1079_128633_000003_000000	BROILED TURBOT	BROILED TURBOT	true	57.92	59.5	25.54831
1079_128633_000004_000000	Clean a small turbot and marinate for an hour in seasoned oil and vinegar or lemon-juice.	Clean a small turbot and marinate for an hour in seasoned oil and vinegar or lemon juice.	true	60.14	66.4	23
1079_128633_000004_000001	Drain, broil, and serve with any preferred sauce.	Drain, broil, and serve with any preferred sauce.	false	66.56	70.77	24.28018
1079_128633_000005_000000	BROILED TURBOT A LA PROVENCE	BROILED TURBOT A l a PROVENCE	false	70.77	73.93	27.839037
1079_128633_000006_000000	Soak the fish for four hours in a marinade of oil and lemon-juice, seasoned with sliced carrot, onion, bay-leaf, thyme, parsley, and garlic.	Soak the fish for four hours in a marinade of oil and lemon juice, seasoned with sliced carrot, onion, bay leaf, thyme, parsley, and garlic.	true	74.39	84.79	25.1006
1079_128633_000006_000001	Drain, broil the fish on one side, and put in a buttered baking-dish with the marinade.	Drain, broil the fish on one side, and put in a buttered baking dish with the marinade.	false	85.19	91.18	22.915928
1079_128633_000006_000002	Add two cupfuls of white wine, and [Page 430] bake, basting frequently.	Add two cupfuls of white wine, and [Page four hundred thirty] bake, basting frequently.	false	91.58	96.04	28.532698
1079_128633_000006_000003	Take up the fish, and add the remainder of the bottle of wine to the liquid.	Take up the fish, and add the remainder of the bottle of wine to the liquid.	true	96.26	100.51	25.59366
1079_128633_000006_000004	Boil for five minutes, rub through a sieve, thicken with butter and flour cooked together, season with anchovy paste, minced parsley, and capers.	Boil for five minutes, rub through a sieve, thicken with butter and flour cooked together, season with anchovy paste, minced parsley, and capers.	false	100.94	111.22	24.745617
1079_128633_000006_000005	Pour over the fish and serve.	Pour over the fish and serve.	true	111.38	113.53	23.9745
1079_128633_000007_000000	BAKED TURBOT	BAKED TURBOT	true	114.86	116.35	26.269304
1079_128633_000008_000000	Rub a small cleaned turbot with melted butter, sprinkle with minced parsley, powdered mace, and salt and pepper to season.	Rub a small cleaned turbot with melted butter, sprinkle with minced parsley, powdered mace, and salt and pepper to season.	true	116.6	124.33	25
1079_128633_000008_000001	Let stand for an hour and put into a buttered baking-dish.	Let stand for an hour and put into a buttered baking dish.	true	124.61	128.26	27
1079_128633_000008_000002	Brush with beaten egg, sprinkle with crumbs, dot with butter, bake, and serve with any preferred sauce.	Brush with beaten egg, sprinkle with crumbs, dot with butter, bake, and serve with any preferred sauce.	false	128.42	135.04	26.131971
1079_128633_000009_000000	TURBOT A LA BECHAMEL	TURBOT A l a BECHAMEL	false	135.68	138.36	22.025076
1079_128633_000010_000000	Reheat cold flaked turbot in a Bechamel Sauce, adding a few cooked oysters.	Reheat cold flaked turbot in a Bechamel Sauce, adding a few cooked oysters.	true	138.36	143.47	24.772778
