3483_115968_000002_000000	Incredible Treason	Incredible Treason
3483_115968_000004_000000	A careful survey of the territory showed that it was only the northern sections and slopes that had been "beamed" by the first Han ship.	A careful survey of the territory showed that it was only the northern sections and slopes that had been "beamed" by the first Han ship.
3483_115968_000005_000001	The forest screen above it, however, had been annihilated, and it was determined to abandon it, after removing all usable machinery and evidences of the processes that might be of interest to the Han scientists, should they return to the valley in the future.	The forest screen above it, however, had been annihilated, and it was determined to abandon it, after removing all usable machinery and evidences of the processes that might be of interest to the Han scientists, should they return to the valley in the future.
3483_115968_000006_000000	The ammunition plant, and the rocket-ship plant, which had just been about to start operation at the time of the raid, were intact, as were the other important plants.	The ammunition plant, and the rocket ship plant, which had just been about to start operation at the time of the raid, were intact, as were the other important plants.
3483_115968_000007_000000	Hart brought the Camboss up from the Susquanna Works, and laid out new camp locations, scattering them farther to the south, and avoiding ground which had been seared by the Han beams and the immediate locations of the Han wrecks.	Hart brought the Camboss up from the Susquanna Works, and laid out new camp locations, scattering them farther to the south, and avoiding ground which had been seared by the Han beams and the immediate locations of the Han wrecks.
3483_115968_000009_000001	On our return, we had a camp of our own, of course.	On our return, we had a camp of our own, of course.
3483_115968_000009_000003	And as might be expected, we had a great deal of banter over which one of us was Camp Boss.	And as might be expected, we had a great deal of banter over which one of us was Camp Boss.
3483_115968_000010_000001	The Wyomings had a high morale, and had prospered under the rule of Big Boss Hart for many years.	The Wyomings had a high morale, and had prospered under the rule of Big Boss Hart for many years.
3483_115968_000010_000002	But many of the gangs, I found, were badly organized, lacked strong hands in authority, and were rife with intrigue.	But many of the gangs, I found, were badly organized, lacked strong hands in authority, and were rife with intrigue.
3483_115968_000010_000003	On the whole, I thought I would be wise to stay with a group which had already proved its friendliness, and in which I seemed to have prospects of advancement.	On the whole, I thought I would be wise to stay with a group which had already proved its friendliness, and in which I seemed to have prospects of advancement.
3483_115968_000010_000004	Under these modern social and economic conditions, the kind of individual freedom to which I had been accustomed in the 20th Century was impossible.	Under these modern social and economic conditions, the kind of individual freedom to which I had been accustomed in the twentieth Century was impossible.
3483_115968_000010_000005	I would have been as much of a nonentity in every phase of human relationship by attempting to avoid alliances, as any man of the 20th Century would have been politically, who aligned himself with no political party.	I would have been as much of a nonentity in every phase of human relationship by attempting to avoid alliances, as any man of the twentieth Century would have been politically, who aligned himself with no political party.
3483_115968_000011_000000	This entire modern life, it appeared to me, judging from my ancient viewpoint, was organized along what I called "political" lines.	This entire modern life, it appeared to me, judging from my ancient viewpoint, was organized along what I called "political" lines.
3483_115968_000011_000002	He was just as much of an autocrat, and just as much dependent upon the general popularity of his actions for the ability to maintain his autocracy.	He was just as much of an autocrat, and just as much dependent upon the general popularity of his actions for the ability to maintain his autocracy.
3483_115968_000012_000000	The sub-boss who could not command the loyalty of his followers was as quickly deposed, either by them or by his superiors, as the ancient ward leader of the 20th Century who lost control of his votes.	The sub boss who could not command the loyalty of his followers was as quickly deposed, either by them or by his superiors, as the ancient ward leader of the twentieth Century who lost control of his votes.
3483_115968_000013_000001	I tremble to think what would have happened, had the attempt been made to handle the A. E. F. this way during the First World War, instead of by that rigid military discipline and complete assumption of the individual as a mere standardized cog in the machine.	I tremble to think what would have happened, had the attempt been made to handle the a e f this way during the First World War, instead of by that rigid military discipline and complete assumption of the individual as a mere standardized cog in the machine.
3483_115968_000014_000000	But owing to the centuries of desperate suffering the people had endured at the hands of the Hans, there developed a spirit of self-sacrifice and consideration for the common good that made the scheme applicable and efficient in all forms of human co-operation.	But owing to the centuries of desperate suffering the people had endured at the hands of the Hans, there developed a spirit of self sacrifice and consideration for the common good that made the scheme applicable and efficient in all forms of human co-operation.
3483_115968_000015_000000	I have a little heresy about all this, however.	I have a little heresy about all this, however.
3483_115968_000015_000001	My associates regard the thought with as much horror as many worthy people of the 20th Century felt in regard to any heretical suggestion that the original outline of government as laid down in the First Constitution did not apply as well to 20th Century conditions as to those of the early 19th.	My associates regard the thought with as much horror as many worthy people of the twentieth Century felt in regard to any heretical suggestion that the original outline of government as laid down in the First Constitution did not apply as well to twentieth Century conditions as to those of the early nineteenth.
3483_115968_000016_000001	I have seen signs of the reawakening of greed, of selfishness.	I have seen signs of the reawakening of greed, of selfishness.
3483_115968_000016_000002	The eternal cycle seems to be at work.	The eternal cycle seems to be at work.
3483_115968_000017_000000	All this, however, is wandering afar from my story, which concerns our early battles against the Hans, and not our more modern problems of self-control.	All this, however, is wandering afar from my story, which concerns our early battles against the Hans, and not our more modern problems of self control.
3483_115968_000018_000000	Our victory over the seven Han ships had set the country ablaze.	Our victory over the seven Han ships had set the country ablaze.
3483_115968_000018_000002	There was feverish activity in the ammunition plants, and the hunting of stray Han ships became an enthusiastic sport.	There was feverish activity in the ammunition plants, and the hunting of stray Han ships became an enthusiastic sport.
