3483_115968_000000_000000	The message ended with a repetition of the warning to other airmen to avoid the valley.	The message ended with a repetition of the warning to other airmen to avoid the valley.	false	0	11.805	22.030174
3483_115968_000001_000000	CHAPTER VII	CHAPTER seven	true	11.805	12.94	18.040573
3483_115968_000002_000000	Incredible Treason	Incredible Treason	true	13.1	14.5	24.169237
3483_115968_000003_000000	After receiving this report, and reassurances of support from the Big Bosses of the neighboring Gangs, Hart determined to reestablish the Wyoming Valley community.	After receiving this report, and reassurances of support from the Big Bosses of the neighboring Gangs, Hart determined to reestablish the Wyoming Valley community.	false	15.35	24.97	21.942394
3483_115968_000004_000000	A careful survey of the territory showed that it was only the northern sections and slopes that had been "beamed" by the first Han ship.	A careful survey of the territory showed that it was only the northern sections and slopes that had been "beamed" by the first Han ship.	true	25.58	33.01	20.975359
3483_115968_000005_000000	The synthetic-fabrics plant had been partially wiped out, though the lower levels underground had not been reached by the dis ray.	The synthetic fabrics plant had been partially wiped out, though the lower levels underground had not been reached by the dis ray.	false	33.59	40.95	21.151245
3483_115968_000005_000001	The forest screen above it, however, had been annihilated, and it was determined to abandon it, after removing all usable machinery and evidences of the processes that might be of interest to the Han scientists, should they return to the valley in the future.	The forest screen above it, however, had been annihilated, and it was determined to abandon it, after removing all usable machinery and evidences of the processes that might be of interest to the Han scientists, should they return to the valley in the future.	true	40.95	55.36	20.235079
3483_115968_000006_000000	The ammunition plant, and the rocket-ship plant, which had just been about to start operation at the time of the raid, were intact, as were the other important plants.	The ammunition plant, and the rocket ship plant, which had just been about to start operation at the time of the raid, were intact, as were the other important plants.	true	56.09	65.65	21.192768
3483_115968_000007_000000	Hart brought the Camboss up from the Susquanna Works, and laid out new camp locations, scattering them farther to the south, and avoiding ground which had been seared by the Han beams and the immediate locations of the Han wrecks.	Hart brought the Camboss up from the Susquanna Works, and laid out new camp locations, scattering them farther to the south, and avoiding ground which had been seared by the Han beams and the immediate locations of the Han wrecks.	true	66.83	80.65	22.21698
3483_115968_000008_000000	During this period, a sharp check was kept upon Han messages, for the phone plant had been one of the first to be put in operation, and when it became evident that the Hans did not intend any immediate reprisals, the entire membership of the community was summoned back, and normal life was resumed.	During this period, a sharp check was kept upon Han messages, for the phone plant had been one of the first to be put in operation, and when it became evident that the Hans did not intend any immediate reprisals, the entire membership of the community was summoned back, and normal life was resumed.	false	81.71	99.4	22.417965
3483_115968_000009_000000	Wilma and I had been married the day after the destruction of the ships, and spent this intervening period in a delightful honeymoon, camping high in the mountains.	Wilma and I had been married the day after the destruction of the ships, and spent this intervening period in a delightful honeymoon, camping high in the mountains.	false	100.31	109.33	21.677849
3483_115968_000009_000001	On our return, we had a camp of our own, of course.	On our return, we had a camp of our own, of course.	true	109.7	112.75	26.305754
3483_115968_000009_000002	We were assigned to location 1017.	We were assigned to location ten seventeen.	false	112.88	116.37	20.073122
3483_115968_000009_000003	And as might be expected, we had a great deal of banter over which one of us was Camp Boss.	And as might be expected, we had a great deal of banter over which one of us was Camp Boss.	true	116.37	121.78	21.35407
3483_115968_000009_000004	The title stood after my name on the Big Boss' records, and those of the Big Camboss, of course, but Wilma airily held that this meant nothing at all--and generally succeeded in making me admit it whenever she chose.	The title stood after my name on the Big Boss' records, and those of the Big Camboss, of course, but Wilma airily held that this meant nothing at all-and generally succeeded in making me admit it whenever she chose.	false	122.27	135.34	20.497534
3483_115968_000010_000000	I found myself a full-fledged member of the Gang now, for I had elected to search no farther for a permanent alliance, much as I would have liked to familiarize myself with this 25th Century life in other sections of the country.	I found myself a full fledged member of the Gang now, for I had elected to search no farther for a permanent alliance, much as I would have liked to familiarize myself with this twenty fifth Century life in other sections of the country.	false	136.52	149.29	22.59219
3483_115968_000010_000001	The Wyomings had a high morale, and had prospered under the rule of Big Boss Hart for many years.	The Wyomings had a high morale, and had prospered under the rule of Big Boss Hart for many years.	true	149.84	155.38	21.152206
3483_115968_000010_000002	But many of the gangs, I found, were badly organized, lacked strong hands in authority, and were rife with intrigue.	But many of the gangs, I found, were badly organized, lacked strong hands in authority, and were rife with intrigue.	true	155.81	162.88	21.51342
3483_115968_000010_000003	On the whole, I thought I would be wise to stay with a group which had already proved its friendliness, and in which I seemed to have prospects of advancement.	On the whole, I thought I would be wise to stay with a group which had already proved its friendliness, and in which I seemed to have prospects of advancement.	true	162.98	171.7	22.680923
3483_115968_000010_000004	Under these modern social and economic conditions, the kind of individual freedom to which I had been accustomed in the 20th Century was impossible.	Under these modern social and economic conditions, the kind of individual freedom to which I had been accustomed in the twentieth Century was impossible.	true	172.22	180.34	21.021416
3483_115968_000010_000005	I would have been as much of a nonentity in every phase of human relationship by attempting to avoid alliances, as any man of the 20th Century would have been politically, who aligned himself with no political party.	I would have been as much of a nonentity in every phase of human relationship by attempting to avoid alliances, as any man of the twentieth Century would have been politically, who aligned himself with no political party.	true	180.95	193.63	22.003044
3483_115968_000011_000000	This entire modern life, it appeared to me, judging from my ancient viewpoint, was organized along what I called "political" lines.	This entire modern life, it appeared to me, judging from my ancient viewpoint, was organized along what I called "political" lines.	true	194.6	202.63	22.38915
3483_115968_000011_000001	And in this connection, it amused me to notice how universal had become the use of the word "boss." The leader, the person in charge or authority over anything, was a "boss." There was as little formality in his relations with his followers as there was in the case of the 20th Century political boss, and the same high respect paid him by his followers as well as the same high consideration by him of their interests.	And in this connection, it amused me to notice how universal had become the use of the word "boss." The leader, the person in charge or authority over anything, was a "boss." There was as little formality in his relations with his followers as there was in the case of the twentieth Century political boss, and the same high respect paid him by his followers as well as the same high consideration by him of their interests.	false	202.94	227.83	21.366854
3483_115968_000011_000002	He was just as much of an autocrat, and just as much dependent upon the general popularity of his actions for the ability to maintain his autocracy.	He was just as much of an autocrat, and just as much dependent upon the general popularity of his actions for the ability to maintain his autocracy.	true	228.62	237.43	22.576593
3483_115968_000012_000000	The sub-boss who could not command the loyalty of his followers was as quickly deposed, either by them or by his superiors, as the ancient ward leader of the 20th Century who lost control of his votes.	The sub boss who could not command the loyalty of his followers was as quickly deposed, either by them or by his superiors, as the ancient ward leader of the twentieth Century who lost control of his votes.	true	238.13	249.91	22.030928
3483_115968_000013_000000	As society was organized in the 20th Century, I do not believe the system could have worked in anything but politics.	As society was organized in the twentieth Century, I do not believe the system could have worked in anything but politics.	false	251.33	257.8	20.93269
3483_115968_000013_000001	I tremble to think what would have happened, had the attempt been made to handle the A. E. F. this way during the First World War, instead of by that rigid military discipline and complete assumption of the individual as a mere standardized cog in the machine.	I tremble to think what would have happened, had the attempt been made to handle the a e f this way during the First World War, instead of by that rigid military discipline and complete assumption of the individual as a mere standardized cog in the machine.	true	258.29	273.22	21.55496
