8080_274558_000000_000000	They play.	They play.	false	0	0.84	30.53318
8080_274558_000000_000001	The Duc counts.	The Duc counts.	false	0.84	2.1	17
8080_274558_000000_000002	The hand is out.	The hand is out.	false	2.1	3.3	26
8080_274558_000000_000003	His Majesty counts heavily, smiles, and is taking wine.	His Majesty counts heavily, smiles, and is taking wine.	false	3.3	6.6	24.87407
8080_274558_000000_000004	The Duc slips a card.	The Duc slips a card.	false	6.6	8.07	10.721298
8080_274558_000001_000000	"C'est a vous a faire," said his Majesty, cutting.	"C'est a vous a faire," said his Majesty, cutting.	false	8.07	10.02	25.873287
8080_274558_000001_000001	His Grace bowed, dealt, and arose from the table en presentant le Roi.	His Grace bowed, dealt, and arose from the table en presentant le Roi.	false	10.02	13.08	20.81913
8080_274558_000002_000000	His Majesty looked chagrined.	His Majesty looked chagrined.	false	13.08	14.22	21.25378
8080_274558_000003_000000	Had Alexander not been Alexander, he would have been Diogenes; and the Duc assured his antagonist in taking leave, "que s'il n'eut ete De L'Omelette il n'aurait point d'objection d'etre le Diable."	Had Alexander not been Alexander, he would have been Diogenes; and the Duc assured his antagonist in taking leave, "que s'il n'eut e t e De L'Omelette il n'aurait point d'objection d'etre le Diable."	false	14.22	23.97	26.700283
8080_274558_000004_000000	THE OBLONG BOX.	THE OBLONG BOX.	false	23.97	29.64	18.454098
8080_274558_000005_000000	SOME years ago, I engaged passage from Charleston, S. C, to the city of New York, in the fine packet-ship "Independence," Captain Hardy.	SOME years ago, I engaged passage from Charleston, s C, to the city of New York, in the fine packet ship "Independence," Captain Hardy.	false	29.64	40.63	25.93436
8080_274558_000005_000001	We were to sail on the fifteenth of the month (June), weather permitting; and on the fourteenth, I went on board to arrange some matters in my state-room.	We were to sail on the fifteenth of the month (June), weather permitting; and on the fourteenth, I went on board to arrange some matters in my state room.	true	41.27	52.09	24.616652
8080_274558_000006_000000	I found that we were to have a great many passengers, including a more than usual number of ladies.	I found that we were to have a great many passengers, including a more than usual number of ladies.	true	52.97	59.74	20.21849
8080_274558_000006_000001	On the list were several of my acquaintances, and among other names, I was rejoiced to see that of Mr. Cornelius Wyatt, a young artist, for whom I entertained feelings of warm friendship.	On the list were several of my acquaintances, and among other names, I was rejoiced to see that of mr Cornelius Wyatt, a young artist, for whom I entertained feelings of warm friendship.	true	60.17	74.23	22.359913
8080_274558_000006_000002	He had been with me a fellow-student at C-- University, where we were very much together.	He had been with me a fellow student at C- University, where we were very much together.	true	74.66	80.86	21.663141
8080_274558_000006_000003	He had the ordinary temperament of genius, and was a compound of misanthropy, sensibility, and enthusiasm. To these qualities he united the warmest and truest heart which ever beat in a human bosom.	He had the ordinary temperament of genius, and was a compound of misanthropy, sensibility, and enthusiasm. To these qualities he united the warmest and truest heart which ever beat in a human bosom.	true	81.23	96.4	24.422228
8080_274558_000007_000000	I observed that his name was carded upon three state-rooms; and, upon again referring to the list of passengers, I found that he had engaged passage for himself, wife, and two sisters--his own.	I observed that his name was carded upon three state rooms; and, upon again referring to the list of passengers, I found that he had engaged passage for himself, wife, and two sisters-his own.	true	97.25	111.7	23.41242
8080_274558_000007_000001	The state-rooms were sufficiently roomy, and each had two berths, one above the other.	The state rooms were sufficiently roomy, and each had two berths, one above the other.	true	112.28	118.18	23.530647
8080_274558_000007_000002	These berths, to be sure, were so exceedingly narrow as to be insufficient for more than one person; still, I could not comprehend why there were three state-rooms for these four persons.	These berths, to be sure, were so exceedingly narrow as to be insufficient for more than one person; still, I could not comprehend why there were three state rooms for these four persons.	true	118.43	132.19	25.52324
8080_274558_000007_000003	I was, just at that epoch, in one of those moody frames of mind which make a man abnormally inquisitive about trifles: and I confess, with shame, that I busied myself in a variety of ill-bred and preposterous conjectures about this matter of the supernumerary state-room.	I was, just at that epoch, in one of those moody frames of mind which make a man abnormally inquisitive about trifles: and I confess, with shame, that I busied myself in a variety of ill bred and preposterous conjectures about this matter of the supernumerary state room.	true	132.65	154	22.204308
8080_274558_000007_000004	It was no business of mine, to be sure, but with none the less pertinacity did I occupy myself in attempts to resolve the enigma.	It was no business of mine, to be sure, but with none the less pertinacity did I occupy myself in attempts to resolve the enigma.	true	154.55	163.33	23.40315
8080_274558_000007_000005	At last I reached a conclusion which wrought in me great wonder why I had not arrived at it before.	At last I reached a conclusion which wrought in me great wonder why I had not arrived at it before.	false	163.73	170.29	23.549866
8080_274558_000007_000006	"It is a servant of course," I said; "what a fool I am, not sooner to have thought of so obvious a solution!" And then I again repaired to the list--but here I saw distinctly that no servant was to come with the party, although, in fact, it had been the original design to bring one--for the words "and servant" had been first written and then overscored.	"It is a servant of course," I said; "what a fool I am, not sooner to have thought of so obvious a solution!" And then I again repaired to the list-but here I saw distinctly that no servant was to come with the party, although, in fact, it had been the original design to bring one-for the words "and servant" had been first written and then overscored.	false	171.05	196.81	21.70701
8080_274558_000007_000007	"Oh, extra baggage, to be sure," I now said to myself--"something he wishes not to be put in the hold--something to be kept under his own eye--ah, I have it--a painting or so--and this is what he has been bargaining about with Nicolino, the Italian Jew." This idea satisfied me, and I dismissed my curiosity for the nonce.	"Oh, extra baggage, to be sure," I now said to myself-"something he wishes not to be put in the hold-something to be kept under his own eye-ah, I have it-a painting or so-and this is what he has been bargaining about with Nicolino, the Italian Jew." This idea satisfied me, and I dismissed my curiosity for the nonce.	true	197.24	220.45	24.575958
8080_274558_000008_000000	Wyatt's two sisters I knew very well, and most amiable and clever girls they were.	Wyatt's two sisters I knew very well, and most amiable and clever girls they were.	true	221.24	227.14	22.385534
8080_274558_000008_000001	His wife he had newly married, and I had never yet seen her. He had often talked about her in my presence, however, and in his usual style of enthusiasm.	His wife he had newly married, and I had never yet seen her. He had often talked about her in my presence, however, and in his usual style of enthusiasm.	false	227.57	238.87	21.521225
8080_274558_000008_000002	He described her as of surpassing beauty, wit, and accomplishment.	He described her as of surpassing beauty, wit, and accomplishment.	false	239.15	244.54	24.444126
8080_274558_000008_000003	I was, therefore, quite anxious to make her acquaintance.	I was, therefore, quite anxious to make her acquaintance.	true	245.09	249.1	23.447273
8080_274558_000009_000000	On the day in which I visited the ship (the fourteenth), Wyatt and party were also to visit it--so the captain informed me--and I waited on board an hour longer than I had designed, in hope of being presented to the bride, but then an apology came.	On the day in which I visited the ship (the fourteenth), Wyatt and party were also to visit it-so the captain informed me-and I waited on board an hour longer than I had designed, in hope of being presented to the bride, but then an apology came.	true	249.53	266.89	23.174007
8080_274558_000009_000001	"Mrs. W. was a little indisposed, and would decline coming on board until to-morrow, at the hour of sailing."	"mrs w was a little indisposed, and would decline coming on board until to morrow, at the hour of sailing."	true	267.68	275.98	22.735477
8080_274558_000010_000000	The morrow having arrived, I was going from my hotel to the wharf, when Captain Hardy met me and said that, "owing to circumstances" (a stupid but convenient phrase), "he rather thought the 'Independence' would not sail for a day or two, and that when all was ready, he would send up and let me know." This I thought strange, for there was a stiff southerly breeze; but as "the circumstances" were not forthcoming, although I pumped for them with much perseverance, I had nothing to do but to return home and digest my impatience at leisure.	The morrow having arrived, I was going from my hotel to the wharf, when Captain Hardy met me and said that, "owing to circumstances" (a stupid but convenient phrase), "he rather thought the 'Independence' would not sail for a day or two, and that when all was ready, he would send up and let me know." This I thought strange, for there was a stiff southerly breeze; but as "the circumstances" were not forthcoming, although I pumped for them with much perseverance, I had nothing to do but to return home and digest my impatience at leisure.	false	276.8	315.58	22.899694
8080_274558_000011_000000	I did not receive the expected message from the captain for nearly a week.	I did not receive the expected message from the captain for nearly a week.	true	316.91	321.49	26.366684
8080_274558_000011_000001	It came at length, however, and I immediately went on board.	It came at length, however, and I immediately went on board.	true	321.68	325.75	24.003166
8080_274558_000011_000002	The ship was crowded with passengers, and every thing was in the bustle attendant upon making sail.	The ship was crowded with passengers, and every thing was in the bustle attendant upon making sail.	true	326.03	332.53	23.88882
8080_274558_000011_000003	Wyatt's party arrived in about ten minutes after myself.	Wyatt's party arrived in about ten minutes after myself.	true	332.75	336.61	25.660631
