3792_176660_000000_000000	"Man cannot live by bread alone--in these mountains," said the Red Fox grimly.	"Man cannot live by bread alone-in these mountains," said the Red Fox grimly.	false	0	2.85	12.227853
3792_176660_000001_000000	When Hale lay down he could hear the old man quavering out a hymn or two on the porch outside: and when, worn out with the day, he went to sleep, the Red Fox was reading his Bible by the light of a tallow dip.	When Hale lay down he could hear the old man quavering out a hymn or two on the porch outside: and when, worn out with the day, he went to sleep, the Red Fox was reading his Bible by the light of a tallow dip.	false	2.85	9.15	18.503904
3792_176660_000001_000001	It is fatefully strange when people, whose lives tragically intersect, look back to their first meetings with one another, and Hale never forgot that night in the cabin of the Red Fox.	It is fatefully strange when people, whose lives tragically intersect, look back to their first meetings with one another, and Hale never forgot that night in the cabin of the Red Fox.	false	9.15	13.08	18.93808
3792_176660_000001_000002	For had Bad Rufe Tolliver, while he whispered at the gate, known the part the quiet young man silently seated in the porch would play in his life, he would have shot him where he sat: and could the Red Fox have known the part his sleeping guest was to play in his, the old man would have knifed him where he lay.	For had Bad Rufe Tolliver, while he whispered at the gate, known the part the quiet young man silently seated in the porch would play in his life, he would have shot him where he sat: and could the Red Fox have known the part his sleeping guest was to play in his, the old man would have knifed him where he lay.	false	13.08	33.06	17.57077
3792_176660_000002_000000	X	X	false	33.06	33.945	-20
3792_176660_000003_000000	Hale opened his eyes next morning on the little old woman in black, moving ghost-like through the dim interior to the kitchen.	Hale opened his eyes next morning on the little old woman in black, moving ghost like through the dim interior to the kitchen.	true	33.945	40.84	20
3792_176660_000003_000001	A wood-thrush was singing when he stepped out on the porch and its cool notes had the liquid freshness of the morning.	A wood thrush was singing when he stepped out on the porch and its cool notes had the liquid freshness of the morning.	true	41.51	47.98	18.626682
3792_176660_000003_000002	Breakfast over, he concluded to leave the yellow mule with the Red Fox to be taken back to the county town, and to walk down the mountain, but before he got away the landlord's son turned up with his own horse, still lame, but well enough to limp along without doing himself harm.	Breakfast over, he concluded to leave the yellow mule with the Red Fox to be taken back to the county town, and to walk down the mountain, but before he got away the landlord's son turned up with his own horse, still lame, but well enough to limp along without doing himself harm.	true	48.71	65.86	19.066975
3792_176660_000003_000003	So, leading the black horse, Hale started down.	So, leading the black horse, Hale started down.	true	66.41	70.15	19
3792_176660_000004_000000	The sun was rising over still seas of white mist and wave after wave of blue Virginia hills.	The sun was rising over still seas of white mist and wave after wave of blue Virginia hills.	true	71.12	77.11	17
3792_176660_000004_000001	In the shadows below, it smote the mists into tatters; leaf and bush glittered as though after a heavy rain, and down Hale went under a trembling dew-drenched world and along a tumbling series of water-falls that flashed through tall ferns, blossoming laurel and shining leaves of rhododendron.	In the shadows below, it smote the mists into tatters; leaf and bush glittered as though after a heavy rain, and down Hale went under a trembling dew drenched world and along a tumbling series of water falls that flashed through tall ferns, blossoming laurel and shining leaves of rhododendron.	false	77.66	99.1	17.945477
