8506_287659_000002_000000	ARRIVAL FROM MARYLAND, 1859.	ARRIVAL FROM MARYLAND, eighteen fifty nine.
8506_287659_000003_000000	JIM KELL, CHARLES HEATH, WILLIAM CARLISLE, CHARLES RINGGOLD, THOMAS MAXWELL, AND SAMUEL SMITH.	JIM KELL, CHARLES HEATH, WILLIAM CARLISLE, CHARLES RINGGOLD, THOMAS MAXWELL, AND SAMUEL SMITH.
8506_287659_000005_000000	Sam had been tied up and beat many times severely.	Sam had been tied up and beat many times severely.
8506_287659_000005_000001	William had been stripped naked, and frequently and cruelly cowhided.	William had been stripped naked, and frequently and cruelly cowhided.
8506_287659_000005_000003	Jim had been whipped with clubs and switches times without number.	Jim had been whipped with clubs and switches times without number.
8506_287659_000005_000004	Charles had had five men on him at one time, with cowhides, his master in the lead.	Charles had had five men on him at one time, with cowhides, his master in the lead.
8506_287659_000006_000001	The night we left, he had a woman tied up--God knows what he done.	The night we left, he had a woman tied up-God knows what he done.
8506_287659_000006_000002	He was always blustering, you could never do enough for him no how.	He was always blustering, you could never do enough for him no how.
8506_287659_000006_000003	First thing in the morning and last thing at night, you would hear him cussing--he would cuss in bed.	First thing in the morning and last thing at night, you would hear him cussing-he would cuss in bed.
8506_287659_000006_000004	He was a large farmer, all the time drunk.	He was a large farmer, all the time drunk.
8506_287659_000006_000005	He had a good deal of money but not much character.	He had a good deal of money but not much character.
8506_287659_000006_000006	He was a savage, bluff, red face-looking concern." Thus, in the most earnest, as well as in an intelligent manner, Charles described the man (Aquila Cain), who had hitherto held him under the yoke.	He was a savage, bluff, red face looking concern." Thus, in the most earnest, as well as in an intelligent manner, Charles described the man (Aquila Cain), who had hitherto held him under the yoke.
8506_287659_000007_000000	James left his mother, Nancy Kell, two brothers, Robert and Henry, and two sisters, Mary and Annie; all living in the neighborhood whence he fled.	james left his mother, Nancy Kell, two brothers, Robert and Henry, and two sisters, Mary and Annie; all living in the neighborhood whence he fled.
8506_287659_000007_000001	Besides these, he had eight brothers and sisters living in Baltimore and elsewhere, under the yoke.	Besides these, he had eight brothers and sisters living in Baltimore and elsewhere, under the yoke.
8506_287659_000007_000002	He was twenty-four years of age, of a jet color, but of a manly turn.	He was twenty four years of age, of a jet color, but of a manly turn.
8506_287659_000007_000004	Charles Heath was twenty-five years of age, medium size, full black, a very keen-looking individual.	Charles Heath was twenty five years of age, medium size, full black, a very keen looking individual.
8506_287659_000008_000000	William was also of unmixed blood, shrewd and wide-awake for his years,--had been ground down under the heel of Aquila Cain.	William was also of unmixed blood, shrewd and wide awake for his years,--had been ground down under the heel of Aquila Cain.
8506_287659_000008_000001	He left his mother and two sisters.	He left his mother and two sisters.
8506_287659_000009_000000	Charles Ringgold was eighteen years of age; no white blood showed itself in the least in this individual.	Charles Ringgold was eighteen years of age; no white blood showed itself in the least in this individual.
8506_287659_000009_000001	He fled from Dr. Jacob Preston, a member of the Episcopal Church, and a practical farmer with twenty head of slaves.	He fled from dr Jacob Preston, a member of the Episcopal Church, and a practical farmer with twenty head of slaves.
8506_287659_000009_000002	"He was not so bad, but his wife was said to be a 'stinger.'" Charles left his mother and father behind, also four sisters.	"He was not so bad, but his wife was said to be a 'stinger.'" Charles left his mother and father behind, also four sisters.
8506_287659_000010_000000	Thomas was of pure blood, with a very cheerful, healthy-looking countenance,--twenty-one years of age, and was to "come free" at twenty-five, but he had too much good sense to rely upon the promises of slave-holders in matters of this kind.	Thomas was of pure blood, with a very cheerful, healthy looking countenance,--twenty one years of age, and was to "come free" at twenty five, but he had too much good sense to rely upon the promises of slave holders in matters of this kind.
8506_287659_000010_000001	He too belonged to Cain who, he said, was constantly talking about selling, etc.	He too belonged to Cain who, he said, was constantly talking about selling, etc
8506_287659_000010_000002	He left his father and mother.	He left his father and mother.
8506_287659_000011_000000	After being furnished with food, clothing, and free tickets, they were forwarded on in triumph and full of hope.	After being furnished with food, clothing, and free tickets, they were forwarded on in triumph and full of hope.
8506_287659_000012_000000	SUNDRY ARRIVALS, 1859.	SUNDRY ARRIVALS, eighteen fifty nine.
8506_287659_000013_000000	JOHN EDWARD LEE, JOHN HILLIS, CHARLES ROSS, JAMES RYAN, WILLIAM JOHNSTON, EDWARD WOOD, CORNELIUS FULLER AND HIS WIFE HARRIET, JOHN PINKET, ANSAL CANNON, AND JAMES BROWN.	john EDWARD LEE, john HILLIS, CHARLES ROSS, james RYAN, WILLIAM JOHNSTON, EDWARD WOOD, CORNELIUS FULLER AND HIS WIFE HARRIET, john PINKET, ANSAL CANNON, AND james BROWN.
8506_287659_000014_000000	John came from Maryland, and brought with him a good degree of pluck.	john came from Maryland, and brought with him a good degree of pluck.
8506_287659_000014_000001	He satisfied the Committee that he fully believed in freedom, and had proved his faith by his works, as he came in contact with pursuers, whom he put to flight by the use of an ugly-looking knife, which he plunged into one of them, producing quite a panic; the result was that he was left to pursue his Underground Rail Road journey without further molestation.	He satisfied the Committee that he fully believed in freedom, and had proved his faith by his works, as he came in contact with pursuers, whom he put to flight by the use of an ugly looking knife, which he plunged into one of them, producing quite a panic; the result was that he was left to pursue his Underground Rail Road journey without further molestation.
8506_287659_000014_000002	There was nothing in John's appearance which would lead one to suppose that he was a blood-thirsty or bad man, although a man of uncommon muscular powers; six feet high, and quite black, with resolution stamped on his countenance.	There was nothing in John's appearance which would lead one to suppose that he was a blood thirsty or bad man, although a man of uncommon muscular powers; six feet high, and quite black, with resolution stamped on his countenance.
8506_287659_000015_000000	John Hillis was a tiller of the ground under a widow lady (Mrs. Louisa Le Count), of the New Market District, Maryland.	john Hillis was a tiller of the ground under a widow lady (mrs Louisa Le Count), of the New Market District, Maryland.
8506_287659_000015_000001	He signified to the mistress, that he loved to follow the water, and that he would be just as safe on water as on land, and that he was discontented.	He signified to the mistress, that he loved to follow the water, and that he would be just as safe on water as on land, and that he was discontented.
8506_287659_000015_000002	The widow heard John's plausible story, and saw nothing amiss in it, so she consented that he should work on a schooner.	The widow heard John's plausible story, and saw nothing amiss in it, so she consented that he should work on a schooner.
8506_287659_000015_000003	The name of the craft was "Majestic." The hopeful John endeavored to do his utmost to please, and was doubly happy when he learned that the "Majestic" was to make a trip to Philadelphia.	The name of the craft was "Majestic." The hopeful john endeavored to do his utmost to please, and was doubly happy when he learned that the "Majestic" was to make a trip to Philadelphia.
