8506_287659_000000_000000	I remain forever your brother in Christ,	I remain forever your brother in Christ,	false	9	11.01	25.943552
8506_287659_000001_000000	STEPNEY BROWN.	STEPNEY BROWN.	false	11.01	22.605	24.432655
8506_287659_000002_000000	ARRIVAL FROM MARYLAND, 1859.	ARRIVAL FROM MARYLAND, eighteen fifty nine.	true	22.605	25.14	21.214373
8506_287659_000003_000000	JIM KELL, CHARLES HEATH, WILLIAM CARLISLE, CHARLES RINGGOLD, THOMAS MAXWELL, AND SAMUEL SMITH.	JIM KELL, CHARLES HEATH, WILLIAM CARLISLE, CHARLES RINGGOLD, THOMAS MAXWELL, AND SAMUEL SMITH.	true	25.14	32.2	22.150381
8506_287659_000004_000000	On the evening of the Fourth of July, while all was hilarity and rejoicing the above named very interesting fugitives arrived from the troubled district, the Eastern shore, of Maryland, where so many conventions had been held the previous year to prevent escapes; where the Rev. Samuel Green had been convicted and sent to the penitentiary for ten years for having a copy of Uncle Tom's Cabin in his humble home; where so many parties, on escaping, had the good sense and courage to secure their flight by bringing their masters' horses and carriages a good way on their perilous journey.	On the evening of the Fourth of July, while all was hilarity and rejoicing the above named very interesting fugitives arrived from the troubled district, the Eastern shore, of Maryland, where so many conventions had been held the previous year to prevent escapes; where the reverend Samuel Green had been convicted and sent to the penitentiary for ten years for having a copy of Uncle Tom's Cabin in his humble home; where so many parties, on escaping, had the good sense and courage to secure their flight by bringing their masters' horses and carriages a good way on their perilous journey.	true	32.69	63.43	19
8506_287659_000005_000000	Sam had been tied up and beat many times severely.	Sam had been tied up and beat many times severely.	true	63.83	66.97	21.919357
8506_287659_000005_000001	William had been stripped naked, and frequently and cruelly cowhided.	William had been stripped naked, and frequently and cruelly cowhided.	true	67.07	70.84	22
8506_287659_000005_000002	Thomas had been clubbed over his head more times than a few.	Thomas had been clubbed over his head more times than a few.	false	71.06	74.31	20
8506_287659_000005_000003	Jim had been whipped with clubs and switches times without number.	Jim had been whipped with clubs and switches times without number.	true	74.31	77.89	23.363434
8506_287659_000005_000004	Charles had had five men on him at one time, with cowhides, his master in the lead.	Charles had had five men on him at one time, with cowhides, his master in the lead.	true	78.17	83.11	21.444214
8506_287659_000006_000000	Charles Heath had had his head cut shockingly, with a club, in the hands of his master; this well cared-for individual in referring to his kind master, said: "I can give his character right along, he was a perfect devil.	Charles Heath had had his head cut shockingly, with a club, in the hands of his master; this well cared for individual in referring to his kind master, said: "I can give his character right along, he was a perfect devil.	true	83.42	95.8	18
8506_287659_000006_000001	The night we left, he had a woman tied up--God knows what he done.	The night we left, he had a woman tied up-God knows what he done.	true	95.93	99.31	22
8506_287659_000006_000002	He was always blustering, you could never do enough for him no how.	He was always blustering, you could never do enough for him no how.	true	99.47	103.125	21.287582
8506_287659_000006_000003	First thing in the morning and last thing at night, you would hear him cussing--he would cuss in bed.	First thing in the morning and last thing at night, you would hear him cussing-he would cuss in bed.	true	103.125	107.68	21
8506_287659_000006_000004	He was a large farmer, all the time drunk.	He was a large farmer, all the time drunk.	true	107.75	110.44	21
8506_287659_000006_000005	He had a good deal of money but not much character.	He had a good deal of money but not much character.	true	110.45	113.2	21.342707
8506_287659_000006_000006	He was a savage, bluff, red face-looking concern." Thus, in the most earnest, as well as in an intelligent manner, Charles described the man (Aquila Cain), who had hitherto held him under the yoke.	He was a savage, bluff, red face looking concern." Thus, in the most earnest, as well as in an intelligent manner, Charles described the man (Aquila Cain), who had hitherto held him under the yoke.	true	113.24	125.29	23.597313
8506_287659_000007_000000	James left his mother, Nancy Kell, two brothers, Robert and Henry, and two sisters, Mary and Annie; all living in the neighborhood whence he fled.	james left his mother, Nancy Kell, two brothers, Robert and Henry, and two sisters, Mary and Annie; all living in the neighborhood whence he fled.	true	125.78	134.41	22.80733
8506_287659_000007_000001	Besides these, he had eight brothers and sisters living in Baltimore and elsewhere, under the yoke.	Besides these, he had eight brothers and sisters living in Baltimore and elsewhere, under the yoke.	true	134.63	139.78	21.369473
8506_287659_000007_000002	He was twenty-four years of age, of a jet color, but of a manly turn.	He was twenty four years of age, of a jet color, but of a manly turn.	true	140.03	144.55	24.092375
8506_287659_000007_000003	He fled from Thomas Murphy, a farmer, and regular slave-holder.	He fled from Thomas Murphy, a farmer, and regular slave holder.	true	144.83	148.42	19.094454
8506_287659_000007_000004	Charles Heath was twenty-five years of age, medium size, full black, a very keen-looking individual.	Charles Heath was twenty five years of age, medium size, full black, a very keen looking individual.	true	148.55	154.96	22.862352
8506_287659_000008_000000	William was also of unmixed blood, shrewd and wide-awake for his years,--had been ground down under the heel of Aquila Cain.	William was also of unmixed blood, shrewd and wide awake for his years,--had been ground down under the heel of Aquila Cain.	true	155.3	162.37	21
8506_287659_000008_000001	He left his mother and two sisters.	He left his mother and two sisters.	true	162.53	164.56	23.00651
8506_287659_000009_000000	Charles Ringgold was eighteen years of age; no white blood showed itself in the least in this individual.	Charles Ringgold was eighteen years of age; no white blood showed itself in the least in this individual.	true	164.93	170.35	22
8506_287659_000009_000001	He fled from Dr. Jacob Preston, a member of the Episcopal Church, and a practical farmer with twenty head of slaves.	He fled from dr Jacob Preston, a member of the Episcopal Church, and a practical farmer with twenty head of slaves.	true	170.72	177.1	22
8506_287659_000009_000002	"He was not so bad, but his wife was said to be a 'stinger.'" Charles left his mother and father behind, also four sisters.	"He was not so bad, but his wife was said to be a 'stinger.'" Charles left his mother and father behind, also four sisters.	true	177.38	184.57	23.263374
8506_287659_000010_000000	Thomas was of pure blood, with a very cheerful, healthy-looking countenance,--twenty-one years of age, and was to "come free" at twenty-five, but he had too much good sense to rely upon the promises of slave-holders in matters of this kind.	Thomas was of pure blood, with a very cheerful, healthy looking countenance,--twenty one years of age, and was to "come free" at twenty five, but he had too much good sense to rely upon the promises of slave holders in matters of this kind.	true	184.88	197.38	21
8506_287659_000010_000001	He too belonged to Cain who, he said, was constantly talking about selling, etc.	He too belonged to Cain who, he said, was constantly talking about selling, etc	true	197.6	202.48	22
8506_287659_000010_000002	He left his father and mother.	He left his father and mother.	true	202.64	204.37	21.645275
8506_287659_000011_000000	After being furnished with food, clothing, and free tickets, they were forwarded on in triumph and full of hope.	After being furnished with food, clothing, and free tickets, they were forwarded on in triumph and full of hope.	true	204.5	211.42	21.463802
8506_287659_000012_000000	SUNDRY ARRIVALS, 1859.	SUNDRY ARRIVALS, eighteen fifty nine.	true	211.55	214.24	22.886562
8506_287659_000013_000000	JOHN EDWARD LEE, JOHN HILLIS, CHARLES ROSS, JAMES RYAN, WILLIAM JOHNSTON, EDWARD WOOD, CORNELIUS FULLER AND HIS WIFE HARRIET, JOHN PINKET, ANSAL CANNON, AND JAMES BROWN.	john EDWARD LEE, john HILLIS, CHARLES ROSS, james RYAN, WILLIAM JOHNSTON, EDWARD WOOD, CORNELIUS FULLER AND HIS WIFE HARRIET, john PINKET, ANSAL CANNON, AND james BROWN.	true	214.28	226.93	23.982796
8506_287659_000014_000000	John came from Maryland, and brought with him a good degree of pluck.	john came from Maryland, and brought with him a good degree of pluck.	true	227.6	230.74	20.530865
