492_131899_000005_000000	Fix did not look at the state of things in the same light.	Fix did not look at the state of things in the same light.
492_131899_000005_000001	The storm greatly pleased him.	The storm greatly pleased him.
492_131899_000006_000002	Had the hour of adversity come? Passepartout was as much excited as if the twenty thousand pounds were to come from his own pocket.	Had the hour of adversity come? Passepartout was as much excited as if the twenty thousand pounds were to come from his own pocket.
492_131899_000006_000003	The storm exasperated him, the gale made him furious, and he longed to lash the obstinate sea into obedience. Poor fellow!	The storm exasperated him, the gale made him furious, and he longed to lash the obstinate sea into obedience. Poor fellow!
492_131899_000007_000003	Passepartout shook it, but with no perceptible effect; for neither shaking nor maledictions could prevail upon it to change its mind.	Passepartout shook it, but with no perceptible effect; for neither shaking nor maledictions could prevail upon it to change its mind.
492_131899_000015_000000	"The Carnatic."	"The Carnatic."
492_131899_000017_000000	"Yes, sir; but they had to repair one of her boilers, and so her departure was postponed till to-morrow."	"Yes, sir; but they had to repair one of her boilers, and so her departure was postponed till to morrow."
492_131899_000027_000000	Aouda at first said nothing.	Aouda at first said nothing.
492_131899_000027_000002	Then, in her sweet, soft voice, she said: "What ought I to do, Mr. Fogg?"	Then, in her sweet, soft voice, she said: "What ought I to do, mr Fogg?"
492_131899_000029_000000	"But I cannot intrude--"	"But I cannot intrude-"
492_131899_000031_000000	"Monsieur."	"Monsieur."
492_131899_000032_000000	"Go to the Carnatic, and engage three cabins."	"Go to the Carnatic, and engage three cabins."
