492_131899_000000_000000	"The valves are not sufficiently charged!" he exclaimed.	"The valves are not sufficiently charged!" he exclaimed.	false	0	3.39	17.727777
492_131899_000000_000001	"We are not going.	"We are not going.	false	3.39	5.61	9
492_131899_000000_000002	Oh, these English!	Oh, these English!	false	5.61	6.57	12
492_131899_000000_000003	If this was an American craft, we should blow up, perhaps, but we should at all events go faster!"	If this was an American craft, we should blow up, perhaps, but we should at all events go faster!"	false	6.57	19.26	17.487669
492_131899_000001_000000	Chapter XVIII	Chapter eighteen	true	19.26	20.8	19
492_131899_000002_000000	IN WHICH PHILEAS FOGG, PASSEPARTOUT, AND FIX GO EACH ABOUT HIS BUSINESS	IN WHICH PHILEAS FOGG, PASSEPARTOUT, AND FIX GO EACH ABOUT HIS BUSINESS	true	21.02	26.35	18
492_131899_000003_000000	The weather was bad during the latter days of the voyage.	The weather was bad during the latter days of the voyage.	true	29.27	32.62	15
492_131899_000003_000001	The wind, obstinately remaining in the north-west, blew a gale, and retarded the steamer.	The wind, obstinately remaining in the north-west, blew a gale, and retarded the steamer.	false	32.96	39.735	18
492_131899_000003_000002	The Rangoon rolled heavily and the passengers became impatient of the long, monstrous waves which the wind raised before their path.	The Rangoon rolled heavily and the passengers became impatient of the long, monstrous waves which the wind raised before their path.	true	39.735	51.25	18
492_131899_000003_000003	A sort of tempest arose on the 3rd of November, the squall knocking the vessel about with fury, and the waves running high.	A sort of tempest arose on the third of November, the squall knocking the vessel about with fury, and the waves running high.	true	51.44	62.95	16
492_131899_000003_000004	The Rangoon reefed all her sails, and even the rigging proved too much, whistling and shaking amid the squall.	The Rangoon reefed all her sails, and even the rigging proved too much, whistling and shaking amid the squall.	false	63.05	74.35	18
492_131899_000003_000005	The steamer was forced to proceed slowly, and the captain estimated that she would reach Hong Kong twenty hours behind time, and more if the storm lasted.	The steamer was forced to proceed slowly, and the captain estimated that she would reach Hong Kong twenty hours behind time, and more if the storm lasted.	false	74.63	88.3	16
492_131899_000004_000000	Phileas Fogg gazed at the tempestuous sea, which seemed to be struggling especially to delay him, with his habitual tranquillity.	Phileas Fogg gazed at the tempestuous sea, which seemed to be struggling especially to delay him, with his habitual tranquillity.	false	89.75	96.39	19
492_131899_000004_000001	He never changed countenance for an instant, though a delay of twenty hours, by making him too late for the Yokohama boat, would almost inevitably cause the loss of the wager.	He never changed countenance for an instant, though a delay of twenty hours, by making him too late for the Yokohama boat, would almost inevitably cause the loss of the wager.	false	96.39	108.82	16
492_131899_000004_000002	But this man of nerve manifested neither impatience nor annoyance; it seemed as if the storm were a part of his programme, and had been foreseen.	But this man of nerve manifested neither impatience nor annoyance; it seemed as if the storm were a part of his programme, and had been foreseen.	false	108.92	122.1	20
492_131899_000004_000003	Aouda was amazed to find him as calm as he had been from the first time she saw him.	Aouda was amazed to find him as calm as he had been from the first time she saw him.	true	122.1	130.09	18
492_131899_000005_000000	Fix did not look at the state of things in the same light.	Fix did not look at the state of things in the same light.	true	130.94	135.97	21.436214
492_131899_000005_000001	The storm greatly pleased him.	The storm greatly pleased him.	true	136.01	138.19	20.557632
