7809_108638_000000_000000	A TALE OF THE RAGGED MOUNTAINS	A TALE OF THE RAGGED MOUNTAINS	true	32.07	35.56	23.900639
7809_108638_000001_000000	DURING the fall of the year 1827, while residing near Charlottesville, Virginia, I casually made the acquaintance of Mr. Augustus Bedloe.	DURING the fall of the year eighteen twenty seven, while residing near Charlottesville, Virginia, I casually made the acquaintance of mr Augustus Bedloe.	false	37.01	47.16	20.326654
7809_108638_000001_000001	This young gentleman was remarkable in every respect, and excited in me a profound interest and curiosity.	This young gentleman was remarkable in every respect, and excited in me a profound interest and curiosity.	true	47.16	53.59	21.801348
7809_108638_000001_000002	I found it impossible to comprehend him either in his moral or his physical relations.	I found it impossible to comprehend him either in his moral or his physical relations.	true	54.23	59.35	18
7809_108638_000001_000003	Of his family I could obtain no satisfactory account.	Of his family I could obtain no satisfactory account.	true	59.78	63.13	22.523985
7809_108638_000001_000004	Whence he came, I never ascertained. Even about his age--although I call him a young gentleman--there was something which perplexed me in no little degree.	Whence he came, I never ascertained. Even about his age-although I call him a young gentleman-there was something which perplexed me in no little degree.	true	63.5	74.23	22.291199
7809_108638_000001_000005	He certainly seemed young--and he made a point of speaking about his youth--yet there were moments when I should have had little trouble in imagining him a hundred years of age.	He certainly seemed young-and he made a point of speaking about his youth-yet there were moments when I should have had little trouble in imagining him a hundred years of age.	true	74.84	85.57	20.037745
7809_108638_000001_000006	But in no regard was he more peculiar than in his personal appearance.	But in no regard was he more peculiar than in his personal appearance.	true	86.42	91.27	23.639675
7809_108638_000001_000007	He was singularly tall and thin.	He was singularly tall and thin.	true	92.06	94.69	23.427008
7809_108638_000001_000008	He stooped much.	He stooped much.	true	95.12	96.52	26.586773
7809_108638_000001_000009	His limbs were exceedingly long and emaciated.	His limbs were exceedingly long and emaciated.	false	96.74	100.53	19.523432
7809_108638_000001_000010	His forehead was broad and low.	His forehead was broad and low.	true	100.53	103.12	22.754091
7809_108638_000001_000011	His complexion was absolutely bloodless.	His complexion was absolutely bloodless.	true	103.37	106.24	24
