6643_67857_000001_000000	CHAPTER XIV	CHAPTER fourteen
6643_67857_000002_000000	MR.	mr
6643_67857_000002_000001	ROBERT WAITE	ROBERT WAITE
6643_67857_000004_000000	"What's the matter, Estralla?" Sylvia called; for usually Estralla was all smiles, and had a good deal to say.	"What's the matter, Estralla?" Sylvia called; for usually Estralla was all smiles, and had a good deal to say.
6643_67857_000005_000000	Estralla shook her head.	Estralla shook her head.
6643_67857_000005_000001	"Nuffin', Missy.	"Nuffin', Missy.
6643_67857_000005_000003	My mammy says how nobody can."	My mammy says how nobody can."
6643_67857_000006_000000	"Wait, Estralla!	"Wait, Estralla!
6643_67857_000008_000001	What can I do?" and Sylvia was out of bed in a second, standing close beside the little colored girl.	What can I do?" and Sylvia was out of bed in a second, standing close beside the little colored girl.
6643_67857_000009_000001	I 'spec' dar ain't nuffin' you kin do.	I 'spec' dar ain't nuffin' you kin do.
6643_67857_000009_000002	But you has been mighty good to me," Estralla replied.	But you has been mighty good to me," Estralla replied.
6643_67857_000010_000000	"Estralla, if you were earning wages for Mr. Robert Waite would he let you stay here?" Sylvia asked eagerly.	"Estralla, if you were earning wages for mr Robert Waite would he let you stay here?" Sylvia asked eagerly.
6643_67857_000012_000000	"You can't do that.	"You can't do that.
6643_67857_000012_000001	But don't be frightened, Estralla.	But don't be frightened, Estralla.
6643_67857_000012_000004	Yes, I will; and pay wages for you to Mr. Waite.	Yes, I will; and pay wages for you to mr Waite.
6643_67857_000012_000005	I'll go tell him so this very day," declared Sylvia, her face brightening, as she remembered the twenty dollars in gold which her Grandmother Fulton had given her when she had left Boston.	I'll go tell him so this very day," declared Sylvia, her face brightening, as she remembered the twenty dollars in gold which her Grandmother Fulton had given her when she had left Boston.
6643_67857_000012_000006	"You can do whatever you please with it," was what Grandmother Fulton had said.	"You can do whatever you please with it," was what Grandmother Fulton had said.
6643_67857_000013_000000	Sylvia had thought that she would ask her mother to buy her a watch with the money, but she did not remember that now.	Sylvia had thought that she would ask her mother to buy her a watch with the money, but she did not remember that now.
6643_67857_000013_000002	Twenty dollars was a good deal of money, she reflected.	Twenty dollars was a good deal of money, she reflected.
6643_67857_000013_000003	If the northern soldiers would only come quickly and set the slaves free!	If the northern soldiers would only come quickly and set the slaves free!
6643_67857_000013_000004	But even if they did not come for a long time the money would surely pay Mr. Waite wages for Estralla, so that he would not insist on selling her.	But even if they did not come for a long time the money would surely pay mr Waite wages for Estralla, so that he would not insist on selling her.
6643_67857_000014_000000	Estralla's face had brightened instantly at Sylvia's promise.	Estralla's face had brightened instantly at Sylvia's promise.
6643_67857_000014_000001	And when Sylvia explained that she had money of her very own, and even opened her writing desk and showed Estralla the shining gold pieces, the little darky's fears vanished.	And when Sylvia explained that she had money of her very own, and even opened her writing desk and showed Estralla the shining gold pieces, the little darky's fears vanished.
6643_67857_000016_000000	"Yes," Sylvia responded.	"Yes," Sylvia responded.
6643_67857_000016_000003	And I please to pay it to Mr. Waite."	And I please to pay it to mr Waite."
6643_67857_000020_000001	"If you want to go to the forts you must be on hand early."	"If you want to go to the forts you must be on hand early."
6643_67857_000021_000000	"I'll ask them right away after breakfast, before they start for school," Sylvia promised eagerly.	"I'll ask them right away after breakfast, before they start for school," Sylvia promised eagerly.
6643_67857_000022_000000	It had seemed to Mrs. Fulton that her little daughter was tired, and not as well as usual, and she was glad that the sailing expedition would take her out for a long afternoon on the water.	It had seemed to mrs Fulton that her little daughter was tired, and not as well as usual, and she was glad that the sailing expedition would take her out for a long afternoon on the water.
6643_67857_000023_000000	Sylvia ate her breakfast hurriedly, and ran upstairs for her cape and hat, to find Estralla waiting just inside the door of her room.	Sylvia ate her breakfast hurriedly, and ran upstairs for her cape and hat, to find Estralla waiting just inside the door of her room.
6643_67857_000028_000000	"I think I will take the money," Sylvia said, not answering Estralla's question; "then Mr. Waite will be sure that I can pay him."	"I think I will take the money," Sylvia said, not answering Estralla's question; "then mr Waite will be sure that I can pay him."
6643_67857_000029_000000	Mrs. Fulton saw Sylvia, closely followed by Estralla, running across the garden toward the house where Grace Waite lived.	mrs Fulton saw Sylvia, closely followed by Estralla, running across the garden toward the house where Grace Waite lived.
6643_67857_000030_000000	"Poor little darky!	"Poor little darky!
6643_67857_000030_000001	What will she do when Sylvia goes north?" she thought.	What will she do when Sylvia goes north?" she thought.
6643_67857_000030_000003	That meant of course that the Fultons would have to return to Boston, if that were possible, but all communication with northern states might be prevented.	That meant of course that the Fultons would have to return to Boston, if that were possible, but all communication with northern states might be prevented.
6643_67857_000032_000000	"The Christmas holidays will soon be here, so a half day out of school will not matter," Mrs. Waite said smilingly, and gave Grace a note for Miss Patten.	"The Christmas holidays will soon be here, so a half day out of school will not matter," mrs Waite said smilingly, and gave Grace a note for Miss Patten.
6643_67857_000033_000000	"I'll walk to Flora's with you," said Grace.	"I'll walk to Flora's with you," said Grace.
6643_67857_000033_000001	"Now, Sylvia, own up that you think Charleston is nicer than Boston.	"Now, Sylvia, own up that you think Charleston is nicer than Boston.
6643_67857_000033_000002	Why, it is all ice and snow and cold weather up there, and here it is warm and pleasant.	Why, it is all ice and snow and cold weather up there, and here it is warm and pleasant.
6643_67857_000034_000000	"No, but I could go sleighing," responded Sylvia.	"No, but I could go sleighing," responded Sylvia.
6643_67857_000035_000000	As they came in sight of Flora's home they both exclaimed in surprise:	As they came in sight of Flora's home they both exclaimed in surprise:
6643_67857_000036_000000	"Why, they are all going away!	"Why, they are all going away!
6643_67857_000037_000001	Philip, evidently giving some directions to the negroes who were loading trunks and boxes into a cart, rode down the driveway just as Grace and Sylvia reached the entrance.	Philip, evidently giving some directions to the negroes who were loading trunks and boxes into a cart, rode down the driveway just as Grace and Sylvia reached the entrance.
6643_67857_000038_000000	He greeted them smilingly, and stopped his horse to speak with them.	He greeted them smilingly, and stopped his horse to speak with them.
6643_67857_000039_000001	"Father thought it was best for the family to be out of the city.	"Father thought it was best for the family to be out of the city.
6643_67857_000040_000000	Sylvia was sorry that Flora was going away, but that Philip should want the palmetto flag to take the place of the Stars and Stripes over Fort Sumter seemed a much greater misfortune.	Sylvia was sorry that Flora was going away, but that Philip should want the palmetto flag to take the place of the Stars and Stripes over Fort Sumter seemed a much greater misfortune.
6643_67857_000040_000001	"When he knows it stands for slavery," she thought, wondering if he had entirely forgotten about Dinkie.	"When he knows it stands for slavery," she thought, wondering if he had entirely forgotten about Dinkie.
6643_67857_000041_000000	"I'll have to run, or I'll be late for school," declared Grace.	"I'll have to run, or I'll be late for school," declared Grace.
6643_67857_000043_000000	Sylvia went up the flight of stone steps which led to Mr. Waite's door a little fearfully.	Sylvia went up the flight of stone steps which led to mr Waite's door a little fearfully.
6643_67857_000044_000000	"A little white missy to see you, Massa Robert," he said, and in a moment Sylvia found herself standing before a smiling gentleman, whose red face and white whiskers made her think of the pictures of Santa Claus.	"A little white missy to see you, Massa Robert," he said, and in a moment Sylvia found herself standing before a smiling gentleman, whose red face and white whiskers made her think of the pictures of Santa Claus.
6643_67857_000045_000000	"Won't you be seated, young lady?" he said, very politely, waving his hand toward a low cushioned chair, and bowing "as if I were really grown up," thought Sylvia.	"Won't you be seated, young lady?" he said, very politely, waving his hand toward a low cushioned chair, and bowing "as if I were really grown up," thought Sylvia.
