7553_101289_000000_000000	(From the Portuguese.)	(From the Portuguese.)	false	7.86	23.7	22.860525
7553_101289_000001_000000	VIRGILIUS THE SORCERER	VIRGILIUS THE SORCERER	true	23.7	27.82	19.663143
7553_101289_000002_000000	Long, long ago there was born to a Roman knight and his wife Maja a little boy called Virgilius.	Long, long ago there was born to a Roman knight and his wife Maja a little boy called Virgilius.	true	27.92	35.44	20.779106
7553_101289_000002_000001	While he was still quite little, his father died, and the kinsmen, instead of being a help and protection to the child and his mother, robbed them of their lands and money, and the widow, fearing that they might take the boy's life also, sent him away to Spain, that he might study in the great University of Toledo.	While he was still quite little, his father died, and the kinsmen, instead of being a help and protection to the child and his mother, robbed them of their lands and money, and the widow, fearing that they might take the boy's life also, sent him away to Spain, that he might study in the great University of Toledo.	true	36.08	57.61	21.370867
7553_101289_000003_000000	Virgilius was fond of books, and pored over them all day long.	Virgilius was fond of books, and pored over them all day long.	true	58.46	63.37	18.777737
7553_101289_000003_000001	But one afternoon, when the boys were given a holiday, he took a long walk, and found himself in a place where he had never been before.	But one afternoon, when the boys were given a holiday, he took a long walk, and found himself in a place where he had never been before.	true	63.56	73.3	20.861612
7553_101289_000003_000002	In front of him was a cave, and, as no boy ever sees a cave without entering it, he went in.	In front of him was a cave, and, as no boy ever sees a cave without entering it, he went in.	true	73.55	80.29	21.0337
7553_101289_000003_000003	The cave was so deep that it seemed to Virgilius as if it must run far into the heart of the mountain, and he thought he would like to see if it came out anywhere on the other side.	The cave was so deep that it seemed to Virgilius as if it must run far into the heart of the mountain, and he thought he would like to see if it came out anywhere on the other side.	true	80.84	91.87	18
7553_101289_000003_000004	For some time he walked on in pitch darkness, but he went steadily on, and by-and-by a glimmer of light shot across the floor, and he heard a voice calling, 'Virgilius! Virgilius!'	For some time he walked on in pitch darkness, but he went steadily on, and by and by a glimmer of light shot across the floor, and he heard a voice calling, 'Virgilius! Virgilius!'	false	92.72	107.17	20.104406
7553_101289_000004_000000	'Who calls?' he asked, stopping and looking round.	'Who calls?' he asked, stopping and looking round.	false	108.08	113.67	21.381725
7553_101289_000005_000000	'Virgilius!' answered the voice, 'do you mark upon the ground where you are standing a slide or bolt?'	'Virgilius!' answered the voice, 'do you mark upon the ground where you are standing a slide or bolt?'	false	113.67	121.39	22.116781
7553_101289_000006_000000	'I do,' replied Virgilius.	'I do,' replied Virgilius.	true	121.91	124.21	20.808832
7553_101289_000007_000000	'Then,' said the voice, 'draw back that bolt, and set me free.'	'Then,' said the voice, 'draw back that bolt, and set me free.'	false	124.67	129.22	20.325436
7553_101289_000008_000000	'But who are you?' asked Virgilius, who never did anything in a hurry.	'But who are you?' asked Virgilius, who never did anything in a hurry.	true	130.1	134.71	20.43626
7553_101289_000009_000000	'I am an evil spirit,' said the voice, 'shut up here till Doomsday, unless a man sets me free.	'I am an evil spirit,' said the voice, 'shut up here till Doomsday, unless a man sets me free.	true	135.23	143.23	24.150248
7553_101289_000009_000001	If you will let me out I will give you some magic books, which will make you wiser than any other man.'	If you will let me out I will give you some magic books, which will make you wiser than any other man.'	true	143.42	149.68	18
7553_101289_000010_000000	Now Virgilius loved wisdom, and was tempted by these promises, but again his prudence came to his aid, and he demanded that the books should be handed over to him first, and that he should be told how to use them. The evil spirit, unable to help itself, did as Virgilius bade him, and then the bolt was drawn back.	Now Virgilius loved wisdom, and was tempted by these promises, but again his prudence came to his aid, and he demanded that the books should be handed over to him first, and that he should be told how to use them. The evil spirit, unable to help itself, did as Virgilius bade him, and then the bolt was drawn back.	true	150.8	172.51	19.948473
7553_101289_000010_000001	Underneath was a small hole, and out of this the evil spirit gradually wriggled himself; but it took some time, for when at last he stood upon the ground he proved to be about three times as large as Virgilius himself, and coal black besides.	Underneath was a small hole, and out of this the evil spirit gradually wriggled himself; but it took some time, for when at last he stood upon the ground he proved to be about three times as large as Virgilius himself, and coal black besides.	true	172.79	190.81	21.138542
7553_101289_000011_000000	'Why, you can't have been as big as that when you were in the hole!' cried Virgilius.	'Why, you can't have been as big as that when you were in the hole!' cried Virgilius.	true	191.9	197.32	21.192936
7553_101289_000012_000000	'But I was!' replied the spirit.	'But I was!' replied the spirit.	true	197.51	200.83	23.011133
7553_101289_000013_000000	'I don't believe it!' answered Virgilius.	'I don't believe it!' answered Virgilius.	true	201.14	204.1	21.976858
7553_101289_000014_000000	'Well, I'll just get in and show you,' said the spirit, and after turning and twisting, and curling himself up, then he lay neatly packed into the hole.	'Well, I'll just get in and show you,' said the spirit, and after turning and twisting, and curling himself up, then he lay neatly packed into the hole.	true	204.68	216.03	20.903053
7553_101289_000014_000001	Then Virgilius drew the bolt, and, picking the books up under his arm, he left the cave.	Then Virgilius drew the bolt, and, picking the books up under his arm, he left the cave.	false	216.03	223.62	22.321262
7553_101289_000015_000000	For the next few weeks Virgilius hardly ate or slept, so busy was he in learning the magic the books contained.	For the next few weeks Virgilius hardly ate or slept, so busy was he in learning the magic the books contained.	false	223.62	232.09	21.398294
7553_101289_000015_000001	But at the end of that time a messenger from his mother arrived in Toledo, begging him to come at once to Rome, as she had been ill, and could look after their affairs no longer.	But at the end of that time a messenger from his mother arrived in Toledo, begging him to come at once to Rome, as she had been ill, and could look after their affairs no longer.	true	232.25	243.01	21.760204
7553_101289_000016_000000	Though sorry to leave Toledo, where he was much thought of as showing promise of great learning, Virgilius would willingly have set out at once, but there were many things he had first to see to.	Though sorry to leave Toledo, where he was much thought of as showing promise of great learning, Virgilius would willingly have set out at once, but there were many things he had first to see to.	true	243.44	254.2	20.568409
7553_101289_000016_000001	So he entrusted to the messenger four pack-horses laden with precious things, and a white palfrey on which she was to ride out every day.	So he entrusted to the messenger four pack horses laden with precious things, and a white palfrey on which she was to ride out every day.	true	254.48	262.99	20
7553_101289_000016_000002	Then he set about his own preparations, and, followed by a large train of scholars, he at length started for Rome, from which he had been absent twelve years.	Then he set about his own preparations, and, followed by a large train of scholars, he at length started for Rome, from which he had been absent twelve years.	true	263.66	275.71	20.648977
7553_101289_000017_000000	His mother welcomed him back with tears in her eyes, and his poor kinsmen pressed round him, but the rich ones kept away, for they feared that they would no longer be able to rob their kinsman as they had done for many years past.	His mother welcomed him back with tears in her eyes, and his poor kinsmen pressed round him, but the rich ones kept away, for they feared that they would no longer be able to rob their kinsman as they had done for many years past.	true	276.14	290.83	20.416641
7553_101289_000017_000001	Of course, Virgilius paid no attention to this behaviour, though he noticed they looked with envy on the rich presents he bestowed on the poorer relations and on anyone who had been kind to his mother.	Of course, Virgilius paid no attention to this behaviour, though he noticed they looked with envy on the rich presents he bestowed on the poorer relations and on anyone who had been kind to his mother.	true	290.96	303.37	21
7553_101289_000018_000000	Soon after this had happened the season of tax-gathering came round, and everyone who owned land was bound to present himself before the emperor. Like the rest, Virgilius went to court, and demanded justice from the emperor against the men who had robbed him.	Soon after this had happened the season of tax gathering came round, and everyone who owned land was bound to present himself before the emperor. Like the rest, Virgilius went to court, and demanded justice from the emperor against the men who had robbed him.	true	303.77	319.12	20.763142
7553_101289_000018_000001	But as these were kinsmen to the emperor he gained nothing, as the emperor told him he would think over the matter for the next four years, and then give judgment.	But as these were kinsmen to the emperor he gained nothing, as the emperor told him he would think over the matter for the next four years, and then give judgment.	true	319.67	329.41	20.882523
7553_101289_000018_000002	This reply naturally did not satisfy Virgilius, and, turning on his heel, he went back to his own home, and, gathering in his harvest, he stored it up in his various houses.	This reply naturally did not satisfy Virgilius, and, turning on his heel, he went back to his own home, and, gathering in his harvest, he stored it up in his various houses.	true	330.11	341.65	21.251534
7553_101289_000019_000000	When the enemies of Virgilius heard of this, they assembled together and laid siege to his castle.	When the enemies of Virgilius heard of this, they assembled together and laid siege to his castle.	true	342.98	349.05	19
7553_101289_000019_000001	But Virgilius was a match for them.	But Virgilius was a match for them.	false	349.05	351.46	20.466005
7553_101289_000019_000002	Coming forth from the castle so as to meet them face to face, he cast a spell over them of such power that they could not move, and then bade them defiance.	Coming forth from the castle so as to meet them face to face, he cast a spell over them of such power that they could not move, and then bade them defiance.	true	351.53	362.56	23.799688
7553_101289_000019_000003	After which he lifted the spell, and the invading army slunk back to Rome, and reported what Virgilius had said to the emperor.	After which he lifted the spell, and the invading army slunk back to Rome, and reported what Virgilius had said to the emperor.	true	362.93	371.71	21.246511
7553_101289_000020_000000	Now the emperor was accustomed to have his lightest word obeyed, almost before it was uttered, and he hardly knew how to believe his ears.	Now the emperor was accustomed to have his lightest word obeyed, almost before it was uttered, and he hardly knew how to believe his ears.	true	372.08	380.65	20
7553_101289_000020_000001	But he got together another army, and marched straight off to the castle. But directly they took up their position Virgilius girded them about with a great river, so that they could neither move hand nor foot, then, hailing the emperor, he offered him peace, and asked for his friendship. The emperor, however, was too angry to listen to anything, so Virgilius, whose patience was exhausted, feasted his own followers in the presence of the starving host, who could not stir hand or foot.	But he got together another army, and marched straight off to the castle. But directly they took up their position Virgilius girded them about with a great river, so that they could neither move hand nor foot, then, hailing the emperor, he offered him peace, and asked for his friendship. The emperor, however, was too angry to listen to anything, so Virgilius, whose patience was exhausted, feasted his own followers in the presence of the starving host, who could not stir hand or foot.	true	381.02	413.02	21.869678
7553_101289_000021_000000	Things seemed getting desperate, when a magician arrived in the camp and offered to sell his services to the emperor.	Things seemed getting desperate, when a magician arrived in the camp and offered to sell his services to the emperor.	true	413.18	420.67	20.985138
7553_101289_000021_000001	His proposals were gladly accepted, and in a moment the whole of the garrison sank down as if they were dead, and Virgilius himself had much ado to keep awake.	His proposals were gladly accepted, and in a moment the whole of the garrison sank down as if they were dead, and Virgilius himself had much ado to keep awake.	true	420.95	432.82	20.685287
7553_101289_000021_000002	He did not know how to fight the magician, but with a great effort struggled to open his Black Book, which told him what spells to use.	He did not know how to fight the magician, but with a great effort struggled to open his Black Book, which told him what spells to use.	true	433.13	442.21	22.979326
7553_101289_000021_000003	In an instant all his foes seemed turned to stone, and where each man was there he stayed.	In an instant all his foes seemed turned to stone, and where each man was there he stayed.	true	442.76	450.52	21.62795
7553_101289_000021_000004	Some were half way up the ladders, some had one foot over the wall, but wherever they might chance to be there every man remained, even the emperor and his sorcerer.	Some were half way up the ladders, some had one foot over the wall, but wherever they might chance to be there every man remained, even the emperor and his sorcerer.	true	450.68	462.76	20.691069
7553_101289_000021_000005	All day they stayed there like flies upon the wall, but during the night Virgilius stole softly to the emperor, and offered him his freedom, as long as he would do him justice.	All day they stayed there like flies upon the wall, but during the night Virgilius stole softly to the emperor, and offered him his freedom, as long as he would do him justice.	true	463.34	476.47	21.021605
7553_101289_000021_000006	The emperor, who by this time was thoroughly frightened, said he would agree to anything Virgilius desired.	The emperor, who by this time was thoroughly frightened, said he would agree to anything Virgilius desired.	true	477.11	484.36	20.269114
7553_101289_000021_000007	So Virgilius took off his spells, and, after feasting the army and bestowing on every man a gift, bade them return to Rome.	So Virgilius took off his spells, and, after feasting the army and bestowing on every man a gift, bade them return to Rome.	true	484.7	493.39	20.396877
7553_101289_000021_000008	And more than that, he built a square tower for the emperor, and in each corner all that was said in that quarter of the city might be heard, while if you stood in the centre every whisper throughout Rome would reach your ears.	And more than that, he built a square tower for the emperor, and in each corner all that was said in that quarter of the city might be heard, while if you stood in the centre every whisper throughout Rome would reach your ears.	false	493.61	510.22	22.46216
7553_101289_000022_000000	Having settled his affairs with the emperor and his enemies, Virgilius had time to think of other things, and his first act was to fall in love!	Having settled his affairs with the emperor and his enemies, Virgilius had time to think of other things, and his first act was to fall in love!	true	510.83	520.84	19.730907
7553_101289_000022_000001	The lady's name was Febilla, and her family was noble, and her face fairer than any in Rome, but she only mocked Virgilius, and was always playing tricks upon him.	The lady's name was Febilla, and her family was noble, and her face fairer than any in Rome, but she only mocked Virgilius, and was always playing tricks upon him.	false	521.3	533.56	20.45486
7553_101289_000022_000002	To this end, she bade him one day come to visit her in the tower where she lived, promising to let down a basket to draw him up as far as the roof.	To this end, she bade him one day come to visit her in the tower where she lived, promising to let down a basket to draw him up as far as the roof.	true	533.87	543.13	19
7553_101289_000022_000003	Virgilius was enchanted at this quite unexpected favour, and stepped with glee into the basket.	Virgilius was enchanted at this quite unexpected favour, and stepped with glee into the basket.	true	543.38	549.85	22.34127
7553_101289_000022_000004	It was drawn up very slowly, and by-and-by came altogether to a standstill, while from above rang the voice of Febilla crying, 'Rogue of a sorcerer, there shalt thou hang!' And there he hung over the market-place, which was soon thronged with people, who made fun of him till he was mad with rage.	It was drawn up very slowly, and by and by came altogether to a standstill, while from above rang the voice of Febilla crying, 'Rogue of a sorcerer, there shalt thou hang!' And there he hung over the market place, which was soon thronged with people, who made fun of him till he was mad with rage.	false	550.22	573.4	19.931263
7553_101289_000022_000005	At last the emperor, hearing of his plight, commanded Febilla to release him, and Virgilius went home vowing vengeance.	At last the emperor, hearing of his plight, commanded Febilla to release him, and Virgilius went home vowing vengeance.	false	573.98	584.98	19.671185
7553_101289_000023_000000	The next morning every fire in Rome went out, and as there were no matches in those days this was a very serious matter.	The next morning every fire in Rome went out, and as there were no matches in those days this was a very serious matter.	false	585.11	593.11	19.946072
7553_101289_000023_000001	The emperor, guessing that this was the work of Virgilius, besought him to break the spell.	The emperor, guessing that this was the work of Virgilius, besought him to break the spell.	true	593.93	600.09	22.058382
7553_101289_000023_000002	Then Virgilius ordered a scaffold to be erected in the market-place, and Febilla to be brought clothed in a single white garment.	Then Virgilius ordered a scaffold to be erected in the market place, and Febilla to be brought clothed in a single white garment.	false	600.09	609.37	22.16019
7553_101289_000023_000003	And further, he bade every one to snatch fire from the maiden, and to suffer no neighbour to kindle it.	And further, he bade every one to snatch fire from the maiden, and to suffer no neighbour to kindle it.	true	609.62	616.36	22.05534
