7553_101289_000002_000000	Long, long ago there was born to a Roman knight and his wife Maja a little boy called Virgilius.	Long, long ago there was born to a Roman knight and his wife Maja a little boy called Virgilius.
7553_101289_000002_000001	While he was still quite little, his father died, and the kinsmen, instead of being a help and protection to the child and his mother, robbed them of their lands and money, and the widow, fearing that they might take the boy's life also, sent him away to Spain, that he might study in the great University of Toledo.	While he was still quite little, his father died, and the kinsmen, instead of being a help and protection to the child and his mother, robbed them of their lands and money, and the widow, fearing that they might take the boy's life also, sent him away to Spain, that he might study in the great University of Toledo.
7553_101289_000003_000001	But one afternoon, when the boys were given a holiday, he took a long walk, and found himself in a place where he had never been before.	But one afternoon, when the boys were given a holiday, he took a long walk, and found himself in a place where he had never been before.
7553_101289_000003_000002	In front of him was a cave, and, as no boy ever sees a cave without entering it, he went in.	In front of him was a cave, and, as no boy ever sees a cave without entering it, he went in.
7553_101289_000006_000000	'I do,' replied Virgilius.	'I do,' replied Virgilius.
7553_101289_000008_000000	'But who are you?' asked Virgilius, who never did anything in a hurry.	'But who are you?' asked Virgilius, who never did anything in a hurry.
7553_101289_000009_000000	'I am an evil spirit,' said the voice, 'shut up here till Doomsday, unless a man sets me free.	'I am an evil spirit,' said the voice, 'shut up here till Doomsday, unless a man sets me free.
7553_101289_000010_000001	Underneath was a small hole, and out of this the evil spirit gradually wriggled himself; but it took some time, for when at last he stood upon the ground he proved to be about three times as large as Virgilius himself, and coal black besides.	Underneath was a small hole, and out of this the evil spirit gradually wriggled himself; but it took some time, for when at last he stood upon the ground he proved to be about three times as large as Virgilius himself, and coal black besides.
7553_101289_000011_000000	'Why, you can't have been as big as that when you were in the hole!' cried Virgilius.	'Why, you can't have been as big as that when you were in the hole!' cried Virgilius.
7553_101289_000012_000000	'But I was!' replied the spirit.	'But I was!' replied the spirit.
7553_101289_000013_000000	'I don't believe it!' answered Virgilius.	'I don't believe it!' answered Virgilius.
7553_101289_000014_000000	'Well, I'll just get in and show you,' said the spirit, and after turning and twisting, and curling himself up, then he lay neatly packed into the hole.	'Well, I'll just get in and show you,' said the spirit, and after turning and twisting, and curling himself up, then he lay neatly packed into the hole.
7553_101289_000015_000001	But at the end of that time a messenger from his mother arrived in Toledo, begging him to come at once to Rome, as she had been ill, and could look after their affairs no longer.	But at the end of that time a messenger from his mother arrived in Toledo, begging him to come at once to Rome, as she had been ill, and could look after their affairs no longer.
7553_101289_000016_000000	Though sorry to leave Toledo, where he was much thought of as showing promise of great learning, Virgilius would willingly have set out at once, but there were many things he had first to see to.	Though sorry to leave Toledo, where he was much thought of as showing promise of great learning, Virgilius would willingly have set out at once, but there were many things he had first to see to.
