7335_290365_000000_000000	16.	sixteen.
7335_290365_000000_000001	Whether, the same immaterial Substance remaining, there can be two Persons.	Whether, the same immaterial Substance remaining, there can be two Persons.
7335_290365_000001_000001	All those who hold pre-existence are evidently of this mind; since they allow the soul to have no remaining consciousness of what it did in that pre-existent state, either wholly separate from body, or informing any other body; and if they should not, it is plain experience would be against them.	All those who hold pre existence are evidently of this mind; since they allow the soul to have no remaining consciousness of what it did in that pre existent state, either wholly separate from body, or informing any other body; and if they should not, it is plain experience would be against them.
7335_290365_000001_000002	So that personal identity, reaching no further than consciousness reaches, a pre-existent spirit not having continued so many ages in a state of silence, must needs make different persons.	So that personal identity, reaching no further than consciousness reaches, a pre existent spirit not having continued so many ages in a state of silence, must needs make different persons.
7335_290365_000001_000005	Can he be concerned in either of their actions?	Can he be concerned in either of their actions?
7335_290365_000001_000006	attribute them to himself, or think them his own more than the actions of any other men that ever existed?	attribute them to himself, or think them his own more than the actions of any other men that ever existed?
7335_290365_000001_000008	For this would no more make him the same person with Nestor, than if some of the particles of smaller that were once a part of Nestor were now a part of this man the same immaterial substance, without the same consciousness, no more making the same person, by being united to any body, than the same particle of matter, without consciousness, united to any body, makes the same person.	For this would no more make him the same person with Nestor, than if some of the particles of smaller that were once a part of Nestor were now a part of this man the same immaterial substance, without the same consciousness, no more making the same person, by being united to any body, than the same particle of matter, without consciousness, united to any body, makes the same person.
7335_290365_000001_000009	But let him once find himself conscious of any of the actions of Nestor, he then finds himself the same person with Nestor.	But let him once find himself conscious of any of the actions of Nestor, he then finds himself the same person with Nestor.
7335_290365_000002_000001	The body, as well as the soul, goes to the making of a Man.	The body, as well as the soul, goes to the making of a Man.
7335_290365_000003_000000	And thus may we be able, without any difficulty, to conceive the same person at the resurrection, though in a body not exactly in make or parts the same which he had here,--the same consciousness going along with the soul that inhabits it.	And thus may we be able, without any difficulty, to conceive the same person at the resurrection, though in a body not exactly in make or parts the same which he had here,--the same consciousness going along with the soul that inhabits it.
7335_290365_000003_000001	But yet the soul alone, in the change of bodies, would scarce to any one but to him that makes the soul the man, be enough to make the same man.	But yet the soul alone, in the change of bodies, would scarce to any one but to him that makes the soul the man, be enough to make the same man.
