8605_292138_000009_000000	CHAPTER I.	CHAPTER one
8605_292138_000010_000000	EDITH'S HOME ON THE THAMES	EDITH'S HOME ON THE THAMES
8605_292138_000012_000000	Miss Green smiled indulgently as she closed her book.	Miss Green smiled indulgently as she closed her book.
8605_292138_000013_000000	You may imagine it did not take Edith long to put away her books; then giving her good-natured governess a hug she skipped off for her hat and coat.	You may imagine it did not take Edith long to put away her books; then giving her good-natured governess a hug she skipped off for her hat and coat.
8605_292138_000014_000000	"There are Eleanor and Clarence waiting for us now," cried Edith, as she and Miss Green, who was carrying the tea-basket, crossed the gardens. Running over the lawn, which stretched down to the river, she greeted her two little playmates from the vicarage.	"There are Eleanor and Clarence waiting for us now," cried Edith, as she and Miss Green, who was carrying the tea basket, crossed the gardens. Running over the lawn, which stretched down to the river, she greeted her two little playmates from the vicarage.
8605_292138_000014_000001	All three were bubbling over with glee at the prospect of an outing this bright June afternoon upon the river Thames.	All three were bubbling over with glee at the prospect of an outing this bright June afternoon upon the river Thames.
8605_292138_000015_000000	The children were soon seated on cushions in the neat little shallow punt.	The children were soon seated on cushions in the neat little shallow punt.
8605_292138_000015_000001	Towser, the big collie dog, was already in the boat, for he knew he was a welcome companion on these trips.	Towser, the big collie dog, was already in the boat, for he knew he was a welcome companion on these trips.
8605_292138_000016_000001	This looks like an easy thing to do, but it takes a great deal of skill to handle a punt.	This looks like an easy thing to do, but it takes a great deal of skill to handle a punt.
8605_292138_000017_000000	"Does not the river look gay?" said Eleanor.	"Does not the river look gay?" said Eleanor.
8605_292138_000018_000001	Daintily fitted up rowboats with soft-cushioned seats, the ladies in their bright summer dresses, with parasols of gay colours; the men in white flannel suits and straw hats.	Daintily fitted up rowboats with soft cushioned seats, the ladies in their bright summer dresses, with parasols of gay colours; the men in white flannel suits and straw hats.
8605_292138_000018_000002	There were many punts like their own.	There were many punts like their own.
8605_292138_000018_000003	Also tiny sailboats, some of them with bright red or blue sails; while every now and then a crew of young men from one of the colleges sculled past them, practising for the forthcoming boat-race.	Also tiny sailboats, some of them with bright red or blue sails; while every now and then a crew of young men from one of the colleges sculled past them, practising for the forthcoming boat race.
