79_121541_000006_000000	Inferno: Canto XVI	Inferno: Canto sixteen
79_121541_000007_000000	Now was I where was heard the reverberation Of water falling into the next round, Like to that humming which the beehives make,	Now was I where was heard the reverberation Of water falling into the next round, Like to that humming which the beehives make,
79_121541_000008_000000	When shadows three together started forth, Running, from out a company that passed Beneath the rain of the sharp martyrdom.	When shadows three together started forth, Running, from out a company that passed Beneath the rain of the sharp martyrdom.
79_121541_000009_000000	Towards us came they, and each one cried out: "Stop, thou; for by thy garb to us thou seemest To be some one of our depraved city."	Towards us came they, and each one cried out: "Stop, thou; for by thy garb to us thou seemest To be some one of our depraved city."
79_121541_000011_000000	Unto their cries my Teacher paused attentive; He turned his face towards me, and "Now wait," He said; "to these we should be courteous.	Unto their cries my Teacher paused attentive; He turned his face towards me, and "Now wait," He said; "to these we should be courteous.
79_121541_000013_000000	As soon as we stood still, they recommenced The old refrain, and when they overtook us, Formed of themselves a wheel, all three of them.	As soon as we stood still, they recommenced The old refrain, and when they overtook us, Formed of themselves a wheel, all three of them.
79_121541_000014_000000	As champions stripped and oiled are wont to do, Watching for their advantage and their hold, Before they come to blows and thrusts between them,	As champions stripped and oiled are wont to do, Watching for their advantage and their hold, Before they come to blows and thrusts between them,
79_121541_000015_000000	Thus, wheeling round, did every one his visage Direct to me, so that in opposite wise His neck and feet continual journey made.	Thus, wheeling round, did every one his visage Direct to me, so that in opposite wise His neck and feet continual journey made.
79_121541_000016_000000	And, "If the misery of this soft place Bring in disdain ourselves and our entreaties," Began one, "and our aspect black and blistered,	And, "If the misery of this soft place Bring in disdain ourselves and our entreaties," Began one, "and our aspect black and blistered,
79_121541_000017_000000	Let the renown of us thy mind incline To tell us who thou art, who thus securely Thy living feet dost move along through Hell.	Let the renown of us thy mind incline To tell us who thou art, who thus securely Thy living feet dost move along through Hell.
79_121541_000020_000000	The other, who close by me treads the sand, Tegghiaio Aldobrandi is, whose fame Above there in the world should welcome be.	The other, who close by me treads the sand, Tegghiaio Aldobrandi is, whose fame Above there in the world should welcome be.
79_121541_000021_000000	And I, who with them on the cross am placed, Jacopo Rusticucci was; and truly My savage wife, more than aught else, doth harm me."	And I, who with them on the cross am placed, Jacopo Rusticucci was; and truly My savage wife, more than aught else, doth harm me."
79_121541_000022_000000	Could I have been protected from the fire, Below I should have thrown myself among them, And think the Teacher would have suffered it;	Could I have been protected from the fire, Below I should have thrown myself among them, And think the Teacher would have suffered it;
79_121541_000023_000000	But as I should have burned and baked myself, My terror overmastered my good will, Which made me greedy of embracing them.	But as I should have burned and baked myself, My terror overmastered my good will, Which made me greedy of embracing them.
79_121541_000025_000000	As soon as this my Lord said unto me Words, on account of which I thought within me That people such as you are were approaching.	As soon as this my Lord said unto me Words, on account of which I thought within me That people such as you are were approaching.
79_121541_000026_000000	I of your city am; and evermore Your labours and your honourable names I with affection have retraced and heard.	I of your city am; and evermore Your labours and your honourable names I with affection have retraced and heard.
79_121541_000027_000000	I leave the gall, and go for the sweet fruits Promised to me by the veracious Leader; But to the centre first I needs must plunge."	I leave the gall, and go for the sweet fruits Promised to me by the veracious Leader; But to the centre first I needs must plunge."
79_121541_000029_000000	Valour and courtesy, say if they dwell Within our city, as they used to do, Or if they wholly have gone out of it;	Valour and courtesy, say if they dwell Within our city, as they used to do, Or if they wholly have gone out of it;
79_121541_000030_000000	For Guglielmo Borsier, who is in torment With us of late, and goes there with his comrades, Doth greatly mortify us with his words."	For Guglielmo Borsier, who is in torment With us of late, and goes there with his comrades, Doth greatly mortify us with his words."
79_121541_000032_000000	In this wise I exclaimed with face uplifted; And the three, taking that for my reply, Looked at each other, as one looks at truth.	In this wise I exclaimed with face uplifted; And the three, taking that for my reply, Looked at each other, as one looks at truth.
79_121541_000033_000000	"If other times so little it doth cost thee," Replied they all, "to satisfy another, Happy art thou, thus speaking at thy will!	"If other times so little it doth cost thee," Replied they all, "to satisfy another, Happy art thou, thus speaking at thy will!
79_121541_000035_000000	See that thou speak of us unto the people." Then they broke up the wheel, and in their flight It seemed as if their agile legs were wings.	See that thou speak of us unto the people." Then they broke up the wheel, and in their flight It seemed as if their agile legs were wings.
79_121541_000036_000000	Not an Amen could possibly be said So rapidly as they had disappeared; Wherefore the Master deemed best to depart.	Not an Amen could possibly be said So rapidly as they had disappeared; Wherefore the Master deemed best to depart.
79_121541_000037_000000	I followed him, and little had we gone, Before the sound of water was so near us, That speaking we should hardly have been heard.	I followed him, and little had we gone, Before the sound of water was so near us, That speaking we should hardly have been heard.
79_121541_000039_000000	Which is above called Acquacheta, ere It down descendeth into its low bed, And at Forli is vacant of that name,	Which is above called Acquacheta, ere It down descendeth into its low bed, And at Forli is vacant of that name,
79_121541_000040_000000	Reverberates there above San Benedetto From Alps, by falling at a single leap, Where for a thousand there were room enough;	Reverberates there above San Benedetto From Alps, by falling at a single leap, Where for a thousand there were room enough;
79_121541_000041_000000	Thus downward from a bank precipitate, We found resounding that dark-tinted water, So that it soon the ear would have offended.	Thus downward from a bank precipitate, We found resounding that dark tinted water, So that it soon the ear would have offended.
79_121541_000045_000000	"It must needs be some novelty respond," I said within myself, "to the new signal The Master with his eye is following so."	"It must needs be some novelty respond," I said within myself, "to the new signal The Master with his eye is following so."
79_121541_000046_000000	Ah me! how very cautious men should be With those who not alone behold the act, But with their wisdom look into the thoughts!	Ah me! how very cautious men should be With those who not alone behold the act, But with their wisdom look into the thoughts!
79_121541_000047_000000	He said to me: "Soon there will upward come What I await; and what thy thought is dreaming Must soon reveal itself unto thy sight."	He said to me: "Soon there will upward come What I await; and what thy thought is dreaming Must soon reveal itself unto thy sight."
79_121541_000050_000000	Athwart that dense and darksome atmosphere I saw a figure swimming upward come, Marvellous unto every steadfast heart,	Athwart that dense and darksome atmosphere I saw a figure swimming upward come, Marvellous unto every steadfast heart,
79_121541_000051_000000	Even as he returns who goeth down Sometimes to clear an anchor, which has grappled Reef, or aught else that in the sea is hidden,	Even as he returns who goeth down Sometimes to clear an anchor, which has grappled Reef, or aught else that in the sea is hidden,
79_121541_000053_000000	Inferno: Canto XVII	Inferno: Canto seventeen
79_121541_000054_000000	"Behold the monster with the pointed tail, Who cleaves the hills, and breaketh walls and weapons, Behold him who infecteth all the world."	"Behold the monster with the pointed tail, Who cleaves the hills, and breaketh walls and weapons, Behold him who infecteth all the world."
79_121541_000056_000000	And that uncleanly image of deceit Came up and thrust ashore its head and bust, But on the border did not drag its tail.	And that uncleanly image of deceit Came up and thrust ashore its head and bust, But on the border did not drag its tail.
79_121541_000057_000000	The face was as the face of a just man, Its semblance outwardly was so benign, And of a serpent all the trunk beside.	The face was as the face of a just man, Its semblance outwardly was so benign, And of a serpent all the trunk beside.
79_121541_000058_000000	Two paws it had, hairy unto the armpits; The back, and breast, and both the sides it had Depicted o'er with nooses and with shields.	Two paws it had, hairy unto the armpits; The back, and breast, and both the sides it had Depicted o'er with nooses and with shields.
79_121541_000059_000000	With colours more, groundwork or broidery Never in cloth did Tartars make nor Turks, Nor were such tissues by Arachne laid.	With colours more, groundwork or broidery Never in cloth did Tartars make nor Turks, Nor were such tissues by Arachne laid.
79_121541_000062_000000	His tail was wholly quivering in the void, Contorting upwards the envenomed fork, That in the guise of scorpion armed its point.	His tail was wholly quivering in the void, Contorting upwards the envenomed fork, That in the guise of scorpion armed its point.
79_121541_000063_000000	The Guide said: "Now perforce must turn aside Our way a little, even to that beast Malevolent, that yonder coucheth him."	The Guide said: "Now perforce must turn aside Our way a little, even to that beast Malevolent, that yonder coucheth him."
79_121541_000064_000000	We therefore on the right side descended, And made ten steps upon the outer verge, Completely to avoid the sand and flame;	We therefore on the right side descended, And made ten steps upon the outer verge, Completely to avoid the sand and flame;
79_121541_000065_000000	And after we are come to him, I see A little farther off upon the sand A people sitting near the hollow place.	And after we are come to him, I see A little farther off upon the sand A people sitting near the hollow place.
79_121541_000066_000000	Then said to me the Master: "So that full Experience of this round thou bear away, Now go and see what their condition is.	Then said to me the Master: "So that full Experience of this round thou bear away, Now go and see what their condition is.
79_121541_000067_000000	There let thy conversation be concise; Till thou returnest I will speak with him, That he concede to us his stalwart shoulders."	There let thy conversation be concise; Till thou returnest I will speak with him, That he concede to us his stalwart shoulders."
79_121541_000068_000000	Thus farther still upon the outermost Head of that seventh circle all alone I went, where sat the melancholy folk.	Thus farther still upon the outermost Head of that seventh circle all alone I went, where sat the melancholy folk.
79_121541_000069_000000	Out of their eyes was gushing forth their woe; This way, that way, they helped them with their hands Now from the flames and now from the hot soil.	Out of their eyes was gushing forth their woe; This way, that way, they helped them with their hands Now from the flames and now from the hot soil.
79_121541_000070_000000	Not otherwise in summer do the dogs, Now with the foot, now with the muzzle, when By fleas, or flies, or gadflies, they are bitten.	Not otherwise in summer do the dogs, Now with the foot, now with the muzzle, when By fleas, or flies, or gadflies, they are bitten.
79_121541_000071_000000	When I had turned mine eyes upon the faces Of some, on whom the dolorous fire is falling, Not one of them I knew; but I perceived	When I had turned mine eyes upon the faces Of some, on whom the dolorous fire is falling, Not one of them I knew; but I perceived
79_121541_000072_000000	That from the neck of each there hung a pouch, Which certain colour had, and certain blazon; And thereupon it seems their eyes are feeding.	That from the neck of each there hung a pouch, Which certain colour had, and certain blazon; And thereupon it seems their eyes are feeding.
79_121541_000073_000000	And as I gazing round me come among them, Upon a yellow pouch I azure saw That had the face and posture of a lion.	And as I gazing round me come among them, Upon a yellow pouch I azure saw That had the face and posture of a lion.
