6189_21305_000001_000000	"So I understand you wish me to go down at once?" said Louis Craven. "This is Friday--say Monday?"	"So I understand you wish me to go down at once?" said Louis Craven. "This is Friday-say Monday?"
6189_21305_000002_000000	Wharton nodded.	Wharton nodded.
6189_21305_000002_000002	Their hostess and Edith Craven had escaped through the door in the back kitchen communicating with the Hurds' tenement, so that the two men might be left alone a while.	Their hostess and Edith Craven had escaped through the door in the back kitchen communicating with the Hurds' tenement, so that the two men might be left alone a while.
6189_21305_000002_000004	Wharton, whose tendency in matters of business was always to go rather further than he had meant to go, for the sake generally of making an impression on the man with whom he was dealing, had spoken of a two years' engagement, and had offered two hundred a year.	Wharton, whose tendency in matters of business was always to go rather further than he had meant to go, for the sake generally of making an impression on the man with whom he was dealing, had spoken of a two years' engagement, and had offered two hundred a year.
6189_21305_000002_000005	So far as that went, Craven was abundantly satisfied.	So far as that went, Craven was abundantly satisfied.
6189_21305_000004_000000	He fixed his penetrating greenish eyes on his companion.	He fixed his penetrating greenish eyes on his companion.
6189_21305_000004_000001	Louis Craven was now a tall man with narrow shoulders, a fine oval head and face, delicate features, and a nervous look of short sight, producing in appearance and manner a general impression of thin grace and of a courtesy which was apt to pass unaccountably into sarcasm.	Louis Craven was now a tall man with narrow shoulders, a fine oval head and face, delicate features, and a nervous look of short sight, producing in appearance and manner a general impression of thin grace and of a courtesy which was apt to pass unaccountably into sarcasm.
6189_21305_000004_000002	Wharton had never felt himself personally at ease with him, either now, or in the old days of Venturist debates.	Wharton had never felt himself personally at ease with him, either now, or in the old days of Venturist debates.
6189_21305_000005_000000	"Certainly, we shall fight it through," Wharton replied, with emphasis--"I have gone through the secretary's statement, which I now hand over to you, and I never saw a clearer case.	"Certainly, we shall fight it through," Wharton replied, with emphasis-"I have gone through the secretary's statement, which I now hand over to you, and I never saw a clearer case.
6189_21305_000005_000001	The poor wretches have been skinned too long; it is high time the public backed them up.	The poor wretches have been skinned too long; it is high time the public backed them up.
6189_21305_000005_000002	There are two of the masters in the House.	There are two of the masters in the House.
6189_21305_000005_000003	Denny, I should say, belonged quite to the worst type of employer going."	Denny, I should say, belonged quite to the worst type of employer going."
6189_21305_000006_000000	He spoke with light venom, buttoning his coat as he spoke with the air of the busy public man who must not linger over an appointment.	He spoke with light venom, buttoning his coat as he spoke with the air of the busy public man who must not linger over an appointment.
6189_21305_000007_000000	"Oh! Denny!" said Craven, musing; "yes, Denny is a hard man, but a just one according to his lights.	"Oh! Denny!" said Craven, musing; "yes, Denny is a hard man, but a just one according to his lights.
6189_21305_000007_000001	There are plenty worse than he."	There are plenty worse than he."
6189_21305_000008_000000	Wharton was disagreeably reminded of the Venturist habit of never accepting anything that was said quite as it stood--of not, even in small things, "swearing to the words" of anybody.	Wharton was disagreeably reminded of the Venturist habit of never accepting anything that was said quite as it stood-of not, even in small things, "swearing to the words" of anybody.
6189_21305_000008_000001	He was conscious of the quick passing feeling that his judgment, with regard to Denny, ought to have been enough for Craven.	He was conscious of the quick passing feeling that his judgment, with regard to Denny, ought to have been enough for Craven.
6189_21305_000009_000000	"One thing more," said Craven suddenly, as Wharton looked for his stick--"you see there is talk of arbitration."	"One thing more," said Craven suddenly, as Wharton looked for his stick-"you see there is talk of arbitration."
6189_21305_000010_000000	"Oh yes, I know!" said Wharton impatiently; "a mere blind.	"Oh yes, I know!" said Wharton impatiently; "a mere blind.
6189_21305_000010_000001	The men have been done by it twice before.	The men have been done by it twice before.
6189_21305_000010_000002	They get some big-wig from the neighbourhood--not in the trade, indeed, but next door to it--and, of course, the award goes against the men."	They get some big wig from the neighbourhood-not in the trade, indeed, but next door to it-and, of course, the award goes against the men."
6189_21305_000011_000000	"Then the paper will not back arbitration?"	"Then the paper will not back arbitration?"
6189_21305_000012_000000	Craven took out a note-book.	Craven took out a note book.
6189_21305_000013_000000	"No!--The quarrel itself is as plain as a pikestaff.	"No!--The quarrel itself is as plain as a pikestaff.
6189_21305_000013_000001	The men are asking for a mere pittance, and must get it if they are to live.	The men are asking for a mere pittance, and must get it if they are to live.
6189_21305_000013_000002	It's like all these home industries, abominably ground down.	It's like all these home industries, abominably ground down.
6189_21305_000013_000003	We must go for them!	We must go for them!
6189_21305_000013_000004	I mean to go for them hot and strong.	I mean to go for them hot and strong.
6189_21305_000013_000005	Poor devils!	Poor devils!
6189_21305_000013_000006	did you read the evidence in that Bluebook last year?	did you read the evidence in that Bluebook last year?
6189_21305_000013_000007	Arbitration?	Arbitration?
6189_21305_000013_000008	no, indeed! let them live first!"	no, indeed! let them live first!"
6189_21305_000014_000000	Craven looked up absently.	Craven looked up absently.
6189_21305_000015_000000	"And I think," he said, "you gave me Mr. Thorpe's address?" Mr. Thorpe was the secretary.	"And I think," he said, "you gave me mr Thorpe's address?" mr Thorpe was the secretary.
6189_21305_000016_000000	Again Wharton gulped down his annoyance.	Again Wharton gulped down his annoyance.
6189_21305_000016_000001	If he chose to be expansive, it was not for Craven to take no notice.	If he chose to be expansive, it was not for Craven to take no notice.
6189_21305_000017_000000	Craven, however, except in print, where he could be as vehement as anybody else, never spoke but in the driest way of those workman's grievances, which in reality burnt at the man's heart.	Craven, however, except in print, where he could be as vehement as anybody else, never spoke but in the driest way of those workman's grievances, which in reality burnt at the man's heart.
