6189_21305_000000_000000	CHAPTER VI.	CHAPTER six.	false	1.86	20.98	22.298904
6189_21305_000001_000000	"So I understand you wish me to go down at once?" said Louis Craven. "This is Friday--say Monday?"	"So I understand you wish me to go down at once?" said Louis Craven. "This is Friday-say Monday?"	true	21.2	28.84	24.143326
6189_21305_000002_000000	Wharton nodded.	Wharton nodded.	true	29.12	30.375	25.786686
6189_21305_000002_000001	He and Craven were sitting in Marcella's little sitting-room.	He and Craven were sitting in Marcella's little sitting room.	true	30.375	34.12	18.903025
6189_21305_000002_000002	Their hostess and Edith Craven had escaped through the door in the back kitchen communicating with the Hurds' tenement, so that the two men might be left alone a while.	Their hostess and Edith Craven had escaped through the door in the back kitchen communicating with the Hurds' tenement, so that the two men might be left alone a while.	true	34.19	44.11	24.353432
6189_21305_000002_000003	The interview between them had gone smoothly, and Louis Craven had accepted immediate employment on the _Labour Clarion_, as the paper's correspondent in the Midlands, with special reference to the important strike just pending.	The interview between them had gone smoothly, and Louis Craven had accepted immediate employment on the underscore Labour Clarion underscore, as the paper's correspondent in the Midlands, with special reference to the important strike just pending.	false	44.24	57.58	23.837969
6189_21305_000002_000004	Wharton, whose tendency in matters of business was always to go rather further than he had meant to go, for the sake generally of making an impression on the man with whom he was dealing, had spoken of a two years' engagement, and had offered two hundred a year.	Wharton, whose tendency in matters of business was always to go rather further than he had meant to go, for the sake generally of making an impression on the man with whom he was dealing, had spoken of a two years' engagement, and had offered two hundred a year.	true	58.04	74.02	23.246023
6189_21305_000002_000005	So far as that went, Craven was abundantly satisfied.	So far as that went, Craven was abundantly satisfied.	true	74.12	78.22	22.59504
6189_21305_000003_000000	"And I understand from you," he said, "that the paper _goes in_ for the strike, that you will fight it through?"	"And I understand from you," he said, "that the paper underscore goes in underscore for the strike, that you will fight it through?"	false	78.68	85.63	28.821896
6189_21305_000004_000000	He fixed his penetrating greenish eyes on his companion.	He fixed his penetrating greenish eyes on his companion.	true	86.09	89.86	22
6189_21305_000004_000001	Louis Craven was now a tall man with narrow shoulders, a fine oval head and face, delicate features, and a nervous look of short sight, producing in appearance and manner a general impression of thin grace and of a courtesy which was apt to pass unaccountably into sarcasm.	Louis Craven was now a tall man with narrow shoulders, a fine oval head and face, delicate features, and a nervous look of short sight, producing in appearance and manner a general impression of thin grace and of a courtesy which was apt to pass unaccountably into sarcasm.	true	89.96	108.37	22.423176
6189_21305_000004_000002	Wharton had never felt himself personally at ease with him, either now, or in the old days of Venturist debates.	Wharton had never felt himself personally at ease with him, either now, or in the old days of Venturist debates.	true	108.71	115.99	24.181992
6189_21305_000005_000000	"Certainly, we shall fight it through," Wharton replied, with emphasis--"I have gone through the secretary's statement, which I now hand over to you, and I never saw a clearer case.	"Certainly, we shall fight it through," Wharton replied, with emphasis-"I have gone through the secretary's statement, which I now hand over to you, and I never saw a clearer case.	true	116.15	126.6	22.99427
6189_21305_000005_000001	The poor wretches have been skinned too long; it is high time the public backed them up.	The poor wretches have been skinned too long; it is high time the public backed them up.	true	126.6	132	24.362217
6189_21305_000005_000002	There are two of the masters in the House.	There are two of the masters in the House.	true	132	134.31	26.3333
6189_21305_000005_000003	Denny, I should say, belonged quite to the worst type of employer going."	Denny, I should say, belonged quite to the worst type of employer going."	true	134.31	138.91	24.156385
6189_21305_000006_000000	He spoke with light venom, buttoning his coat as he spoke with the air of the busy public man who must not linger over an appointment.	He spoke with light venom, buttoning his coat as he spoke with the air of the busy public man who must not linger over an appointment.	true	139.37	147.795	24.417896
6189_21305_000007_000000	"Oh! Denny!" said Craven, musing; "yes, Denny is a hard man, but a just one according to his lights.	"Oh! Denny!" said Craven, musing; "yes, Denny is a hard man, but a just one according to his lights.	true	147.795	155.505	24.455278
6189_21305_000007_000001	There are plenty worse than he."	There are plenty worse than he."	true	155.505	157.18	30
6189_21305_000008_000000	Wharton was disagreeably reminded of the Venturist habit of never accepting anything that was said quite as it stood--of not, even in small things, "swearing to the words" of anybody.	Wharton was disagreeably reminded of the Venturist habit of never accepting anything that was said quite as it stood-of not, even in small things, "swearing to the words" of anybody.	true	157.43	169.33	23
6189_21305_000008_000001	He was conscious of the quick passing feeling that his judgment, with regard to Denny, ought to have been enough for Craven.	He was conscious of the quick passing feeling that his judgment, with regard to Denny, ought to have been enough for Craven.	true	169.46	176.83	24.874968
6189_21305_000009_000000	"One thing more," said Craven suddenly, as Wharton looked for his stick--"you see there is talk of arbitration."	"One thing more," said Craven suddenly, as Wharton looked for his stick-"you see there is talk of arbitration."	true	177.02	184.45	21.48149
6189_21305_000010_000000	"Oh yes, I know!" said Wharton impatiently; "a mere blind.	"Oh yes, I know!" said Wharton impatiently; "a mere blind.	true	184.61	189.06	22.163435
6189_21305_000010_000001	The men have been done by it twice before.	The men have been done by it twice before.	true	189.06	191.62	24.98048
6189_21305_000010_000002	They get some big-wig from the neighbourhood--not in the trade, indeed, but next door to it--and, of course, the award goes against the men."	They get some big wig from the neighbourhood-not in the trade, indeed, but next door to it-and, of course, the award goes against the men."	true	191.66	200.2	25.68343
6189_21305_000011_000000	"Then the paper will not back arbitration?"	"Then the paper will not back arbitration?"	true	200.63	203.62	21
6189_21305_000012_000000	Craven took out a note-book.	Craven took out a note book.	true	203.66	205.41	25.077133
6189_21305_000013_000000	"No!--The quarrel itself is as plain as a pikestaff.	"No!--The quarrel itself is as plain as a pikestaff.	true	205.41	209.445	27.488796
6189_21305_000013_000001	The men are asking for a mere pittance, and must get it if they are to live.	The men are asking for a mere pittance, and must get it if they are to live.	true	209.445	214.245	25.080948
6189_21305_000013_000002	It's like all these home industries, abominably ground down.	It's like all these home industries, abominably ground down.	true	214.245	218.56	21.886757
6189_21305_000013_000003	We must go for them!	We must go for them!	true	218.6	220.035	23.347189
6189_21305_000013_000004	I mean to go for them hot and strong.	I mean to go for them hot and strong.	true	220.035	222.315	23.984068
6189_21305_000013_000005	Poor devils!	Poor devils!	true	222.315	223.275	24.086853
6189_21305_000013_000006	did you read the evidence in that Bluebook last year?	did you read the evidence in that Bluebook last year?	true	223.275	225.87	22
6189_21305_000013_000007	Arbitration?	Arbitration?	true	225.87	227.01	23.486576
6189_21305_000013_000008	no, indeed! let them live first!"	no, indeed! let them live first!"	true	227.01	230.14	20.73425
6189_21305_000014_000000	Craven looked up absently.	Craven looked up absently.	true	230.45	232.39	22.625893
6189_21305_000015_000000	"And I think," he said, "you gave me Mr. Thorpe's address?" Mr. Thorpe was the secretary.	"And I think," he said, "you gave me mr Thorpe's address?" mr Thorpe was the secretary.	true	232.52	239.59	24.837673
6189_21305_000016_000000	Again Wharton gulped down his annoyance.	Again Wharton gulped down his annoyance.	true	239.84	242.73	23.837269
6189_21305_000016_000001	If he chose to be expansive, it was not for Craven to take no notice.	If he chose to be expansive, it was not for Craven to take no notice.	true	242.73	247.57	25.031672
6189_21305_000017_000000	Craven, however, except in print, where he could be as vehement as anybody else, never spoke but in the driest way of those workman's grievances, which in reality burnt at the man's heart.	Craven, however, except in print, where he could be as vehement as anybody else, never spoke but in the driest way of those workman's grievances, which in reality burnt at the man's heart.	true	247.79	259.575	22.930435
6189_21305_000017_000001	A deep disdain for what had always seemed to him the cheapest form of self-advertisement, held him back.	A deep disdain for what had always seemed to him the cheapest form of self advertisement, held him back.	false	259.575	266.355	25
6189_21305_000017_000002	It was this dryness, combined with an amazing disinterestedness, which had so far stood in his way.	It was this dryness, combined with an amazing disinterestedness, which had so far stood in his way.	true	266.355	272.89	19
6189_21305_000018_000000	Wharton repeated the address, following it up by some rather curt directions as to the length and date of articles, to which Craven gave the minutest attention.	Wharton repeated the address, following it up by some rather curt directions as to the length and date of articles, to which Craven gave the minutest attention.	true	273.11	282.61	25.11108
6189_21305_000019_000000	"May we come in?" said Marcella's voice.	"May we come in?" said Marcella's voice.	true	283.01	285.94	20.803185
6189_21305_000020_000000	"By all means," said Wharton, with a complete change of tone.	"By all means," said Wharton, with a complete change of tone.	true	286.13	290.085	19.73584
6189_21305_000020_000001	"Business is up and I am off!"	"Business is up and I am off!"	true	290.085	292.32	24.136265
6189_21305_000021_000000	He took up his hat as he spoke.	He took up his hat as he spoke.	true	292.32	294.495	28.523706
6189_21305_000022_000000	"Not at all!	"Not at all!	true	294.495	295.69	19.757862
6189_21305_000022_000001	Tea is just coming, without which no guest departs," said Marcella, taking as she spoke a little tray from the red-haired Daisy who followed her, and motioning to the child to bring the tea-table.	Tea is just coming, without which no guest departs," said Marcella, taking as she spoke a little tray from the red haired Daisy who followed her, and motioning to the child to bring the tea table.	true	295.7	307.72	23
6189_21305_000023_000000	Wharton looked at her irresolute.	Wharton looked at her irresolute.	true	307.79	310.38	24.89808
6189_21305_000023_000001	He had spent half an hour with her _tete-a-tete_ before Louis Craven arrived, and he was really due at the House.	He had spent half an hour with her underscore tete a tete underscore before Louis Craven arrived, and he was really due at the House.	false	310.38	317.115	24.580673
6189_21305_000023_000002	But now that she was on the scene again, he did not find it so easy to go away.	But now that she was on the scene again, he did not find it so easy to go away.	true	317.115	322.15	21
6189_21305_000023_000003	How astonishingly beautiful she was, even in this disguise!	How astonishingly beautiful she was, even in this disguise!	true	322.4	326.98	21.445362
6189_21305_000023_000004	She wore her nurse's dress; for her second daily round began at half-past four, and her cloak, bonnet, and bag were lying ready on a chair beside her.	She wore her nurse's dress; for her second daily round began at half past four, and her cloak, bonnet, and bag were lying ready on a chair beside her.	true	326.99	335.89	22.06164
6189_21305_000023_000005	The dress was plain brown holland, with collar and armlets of white linen; but, to Wharton's eye, the dark Italian head, and the long slenderness of form had never shown more finely.	The dress was plain brown holland, with collar and armlets of white linen; but, to Wharton's eye, the dark Italian head, and the long slenderness of form had never shown more finely.	true	335.93	347.92	22.26462
