1825_135580_000000_000000	CHAPTER XVIII.	CHAPTER eighteen.	true	23.1	24.73	23.941107
1825_135580_000001_000000	"Edward," said Edith, "scold Pablo; he has been ill-treating my poor cat; he is a cruel boy."	"Edward," said Edith, "scold Pablo; he has been ill treating my poor cat; he is a cruel boy."	true	25.73	32.92	21.368862
1825_135580_000002_000000	Pablo laughed.	Pablo laughed.	true	33.11	34.29	18.668503
1825_135580_000003_000000	"See, Edward, he's laughing; put him in the pitfall again, and let him stay there till he says he's sorry."	"See, Edward, he's laughing; put him in the pitfall again, and let him stay there till he says he's sorry."	true	34.29	41.11	18.844646
1825_135580_000004_000000	"I very sorry now, Missy Edith--but cat bite me," said Pablo.	"I very sorry now, Missy Edith-but cat bite me," said Pablo.	false	41.63	46.3	18.274645
1825_135580_000005_000000	"Well, if pussy did, it didn't hurt you much; and what did I tell you this morning out of the Bible?--that you must forgive them who behave ill to you."	"Well, if pussy did, it didn't hurt you much; and what did I tell you this morning out of the Bible?--that you must forgive them who behave ill to you."	true	47.15	57.07	21
1825_135580_000006_000000	"Yes, Missy Edith, you tell me all that, and so I do; I forgive pussy 'cause she bite me, but I kick her for it."	"Yes, Missy Edith, you tell me all that, and so I do; I forgive pussy 'cause she bite me, but I kick her for it."	true	57.71	66.07	21.16878
1825_135580_000007_000000	"That's not forgiveness, is it, Edward?	"That's not forgiveness, is it, Edward?	true	66.47	68.77	22.845705
1825_135580_000007_000001	You should have forgiven it at once, and not kicked it at all."	You should have forgiven it at once, and not kicked it at all."	true	69.02	72.69	20.553019
1825_135580_000008_000000	"Miss Edith, when pussy bite me, pussy hurt me, make me angry, and I give her a kick; then I think what you tell me, and I do as you tell me.	"Miss Edith, when pussy bite me, pussy hurt me, make me angry, and I give her a kick; then I think what you tell me, and I do as you tell me.	false	72.69	83.835	21.693172
1825_135580_000008_000001	I forgive pussy with all my heart."	I forgive pussy with all my heart."	true	83.835	86.56	20.678904
1825_135580_000009_000000	"I think you must forgive Pablo, Edith," said Edward, "if it is only to set him a good example."	"I think you must forgive Pablo, Edith," said Edward, "if it is only to set him a good example."	false	86.93	93.76	21.812757
1825_135580_000010_000000	"Well, I will this time; but if he kicks pussy again he must be put in the pitfall--mind that, Pablo."	"Well, I will this time; but if he kicks pussy again he must be put in the pitfall-mind that, Pablo."	true	94.43	102.43	22.555443
1825_135580_000011_000000	"Yes, Missy Edith, I go into pitfall, and then you cry, and ask Master Edward to take me out.	"Yes, Missy Edith, I go into pitfall, and then you cry, and ask Master Edward to take me out.	true	102.86	110.62	25.278774
1825_135580_000011_000001	When you have me put in pitfall, then you not good Christian, 'cause you not forgive; when you cry and take me out, then you good Christian once more."	When you have me put in pitfall, then you not good Christian, 'cause you not forgive; when you cry and take me out, then you good Christian once more."	true	110.96	120.97	21.393099
1825_135580_000012_000000	By this conversation it will appear to the reader that they had been trying to impress Pablo with the principles of the Christian religion--and such was the case; Edith having been one of the most active in the endeavor, although very young for a missionary.	By this conversation it will appear to the reader that they had been trying to impress Pablo with the principles of the Christian religion-and such was the case; Edith having been one of the most active in the endeavor, although very young for a missionary.	false	122.09	137.23	18
1825_135580_000012_000001	However, Alice and Humphrey had been more successful, and Pablo was now beginning to comprehend what they had attempted to instill, and was really progressing dayly.	However, Alice and Humphrey had been more successful, and Pablo was now beginning to comprehend what they had attempted to instill, and was really progressing dayly.	true	137.48	148.6	18
1825_135580_000013_000000	Edward remained at the cottage, expecting to bear some message from the intendant.	Edward remained at the cottage, expecting to bear some message from the intendant.	false	148.97	153.51	18
1825_135580_000013_000001	He was right in his conjecture, for, on the third day, Oswald Partridge came over to say that the intendant would be happy to see him, if he could make it convenient to go over; which Edward assented to do on the following day.	He was right in his conjecture, for, on the third day, Oswald Partridge came over to say that the intendant would be happy to see him, if he could make it convenient to go over; which Edward assented to do on the following day.	false	153.51	168.46	18
