1825_135580_000000_000000	CHAPTER XVIII.	CHAPTER eighteen.
1825_135580_000001_000000	"Edward," said Edith, "scold Pablo; he has been ill-treating my poor cat; he is a cruel boy."	"Edward," said Edith, "scold Pablo; he has been ill treating my poor cat; he is a cruel boy."
1825_135580_000005_000000	"Well, if pussy did, it didn't hurt you much; and what did I tell you this morning out of the Bible?--that you must forgive them who behave ill to you."	"Well, if pussy did, it didn't hurt you much; and what did I tell you this morning out of the Bible?--that you must forgive them who behave ill to you."
1825_135580_000006_000000	"Yes, Missy Edith, you tell me all that, and so I do; I forgive pussy 'cause she bite me, but I kick her for it."	"Yes, Missy Edith, you tell me all that, and so I do; I forgive pussy 'cause she bite me, but I kick her for it."
1825_135580_000007_000000	"That's not forgiveness, is it, Edward?	"That's not forgiveness, is it, Edward?
1825_135580_000007_000001	You should have forgiven it at once, and not kicked it at all."	You should have forgiven it at once, and not kicked it at all."
1825_135580_000008_000001	I forgive pussy with all my heart."	I forgive pussy with all my heart."
1825_135580_000010_000000	"Well, I will this time; but if he kicks pussy again he must be put in the pitfall--mind that, Pablo."	"Well, I will this time; but if he kicks pussy again he must be put in the pitfall-mind that, Pablo."
1825_135580_000011_000000	"Yes, Missy Edith, I go into pitfall, and then you cry, and ask Master Edward to take me out.	"Yes, Missy Edith, I go into pitfall, and then you cry, and ask Master Edward to take me out.
1825_135580_000011_000001	When you have me put in pitfall, then you not good Christian, 'cause you not forgive; when you cry and take me out, then you good Christian once more."	When you have me put in pitfall, then you not good Christian, 'cause you not forgive; when you cry and take me out, then you good Christian once more."
1825_135580_000015_000000	"Very true," replied Edward; "he offers me the post of secretary.	"Very true," replied Edward; "he offers me the post of secretary.
1825_135580_000015_000001	What do you think?"	What do you think?"
1825_135580_000016_000001	If you do not like it, you can only go back to the cottage again.	If you do not like it, you can only go back to the cottage again.
1825_135580_000017_000000	"That I really believe," replied Edward; "and I have pretty well made up my mind to accept the office.	"That I really believe," replied Edward; "and I have pretty well made up my mind to accept the office.
1825_135580_000022_000001	What is your reply?"	What is your reply?"
