6499_87508_000000_000000	IX	IX	false	13.35	13.875	2
6499_87508_000001_000000	FOURTH CHARACTERISTIC	FOURTH CHARACTERISTIC	true	13.875	15.54	27.600935
6499_87508_000002_000000	_To accommodate oneself to persons of different humour_	underscore To accommodate oneself to persons of different humour underscore	false	15.54	20.97	24.647211
6499_87508_000003_000000	THEY who are animated by charity support patiently and in silence, in sentiments of humility and sweetness, as if they had neither eyes nor ears, the difficult, odd, and most inconstant humours of others, although they may find it very difficult at times to do so.	THEY who are animated by charity support patiently and in silence, in sentiments of humility and sweetness, as if they had neither eyes nor ears, the difficult, odd, and most inconstant humours of others, although they may find it very difficult at times to do so.	true	20.97	42.61	22.805473
6499_87508_000004_000000	No matter how regular and perfect we may be, we have always need of compassion and indulgence for others.	No matter how regular and perfect we may be, we have always need of compassion and indulgence for others.	true	43.16	51.25	19.725454
6499_87508_000004_000001	To be borne with, we must bear with others; to be loved, we must love; to be helped, we must help; to be joyful ourselves, we must make others so.	To be borne with, we must bear with others; to be loved, we must love; to be helped, we must help; to be joyful ourselves, we must make others so.	true	51.74	64.63	21.968765
6499_87508_000004_000002	Surrounded as we are by so many different minds, characters, and interests, how can we live in peace for a single day if we are not condescending, accommodating, yielding, self-denying, ready to renounce even a good project, and to take no notice of those faults and shortcomings which are beyond our power or duty to correct?	Surrounded as we are by so many different minds, characters, and interests, how can we live in peace for a single day if we are not condescending, accommodating, yielding, self denying, ready to renounce even a good project, and to take no notice of those faults and shortcomings which are beyond our power or duty to correct?	true	65.3	91.78	22.949755
6499_87508_000005_000000	Charity patiently listens to a bore, answers a useless question, renders service even when the need is only imaginary, without ever betraying the least signs of annoyance.	Charity patiently listens to a bore, answers a useless question, renders service even when the need is only imaginary, without ever betraying the least signs of annoyance.	true	92.27	106.36	19.642736
6499_87508_000005_000001	It never asks for exceptions or privileges for fear of exciting jealousy.	It never asks for exceptions or privileges for fear of exciting jealousy.	true	106.76	112.45	24.60579
6499_87508_000005_000002	It does not multiply nor prolong conversations which in any way annoy others.	It does not multiply nor prolong conversations which in any way annoy others.	true	112.88	119.02	18
6499_87508_000005_000003	It fights antipathy and natural aversions so that they may never appear, and seeks even the company of those who might be the object of them.	It fights antipathy and natural aversions so that they may never appear, and seeks even the company of those who might be the object of them.	true	119.45	130.18	24.45639
6499_87508_000005_000004	It does not assume the office of reprehending or warning through a motive of bitter zeal.	It does not assume the office of reprehending or warning through a motive of bitter zeal.	true	131.12	137.32	21.300055
6499_87508_000005_000005	It seeks to find in oneself the faults it notices in others, and perhaps greater ones, and tries to correct them.	It seeks to find in oneself the faults it notices in others, and perhaps greater ones, and tries to correct them.	true	137.63	147.1	24.081327
6499_87508_000005_000006	"If thou canst not make thyself such a one as thou wouldst, how canst thou expect to have another according to thy liking?	"If thou canst not make thyself such a one as thou wouldst, how canst thou expect to have another according to thy liking?	false	147.71	156.73	25.048313
6499_87508_000005_000007	We would willingly have others perfect, and yet we mend not our own defects.	We would willingly have others perfect, and yet we mend not our own defects.	true	157.34	162.91	21.051512
6499_87508_000005_000008	We would have others strictly corrected, but are not fond of being corrected ourselves.	We would have others strictly corrected, but are not fond of being corrected ourselves.	true	163.43	169.69	24.137417
6499_87508_000005_000009	The large liberty of others displeases us, and yet we do not wish to be denied anything we ask for.	The large liberty of others displeases us, and yet we do not wish to be denied anything we ask for.	true	170.09	177.73	21.23663
6499_87508_000005_000010	We are willing that others be bound up by laws, and we suffer not ourselves to be restrained by any means.	We are willing that others be bound up by laws, and we suffer not ourselves to be restrained by any means.	true	178.22	186.55	18.306911
6499_87508_000005_000011	Thus it is evident how seldom we weigh our neighbour in the same balance with ourselves" ("Imitation," i. 16).	Thus it is evident how seldom we weigh our neighbour in the same balance with ourselves" ("Imitation," i. sixteen).	false	187.1	196.14	19.22993
6499_87508_000006_000000	X	X	false	196.14	196.86	33.92993
6499_87508_000007_000000	FIFTH CHARACTERISTIC	FIFTH CHARACTERISTIC	true	196.86	198.54	29.646221
