6499_87508_000001_000000	FOURTH CHARACTERISTIC	FOURTH CHARACTERISTIC
6499_87508_000003_000000	THEY who are animated by charity support patiently and in silence, in sentiments of humility and sweetness, as if they had neither eyes nor ears, the difficult, odd, and most inconstant humours of others, although they may find it very difficult at times to do so.	THEY who are animated by charity support patiently and in silence, in sentiments of humility and sweetness, as if they had neither eyes nor ears, the difficult, odd, and most inconstant humours of others, although they may find it very difficult at times to do so.
6499_87508_000004_000001	To be borne with, we must bear with others; to be loved, we must love; to be helped, we must help; to be joyful ourselves, we must make others so.	To be borne with, we must bear with others; to be loved, we must love; to be helped, we must help; to be joyful ourselves, we must make others so.
6499_87508_000004_000002	Surrounded as we are by so many different minds, characters, and interests, how can we live in peace for a single day if we are not condescending, accommodating, yielding, self-denying, ready to renounce even a good project, and to take no notice of those faults and shortcomings which are beyond our power or duty to correct?	Surrounded as we are by so many different minds, characters, and interests, how can we live in peace for a single day if we are not condescending, accommodating, yielding, self denying, ready to renounce even a good project, and to take no notice of those faults and shortcomings which are beyond our power or duty to correct?
6499_87508_000005_000001	It never asks for exceptions or privileges for fear of exciting jealousy.	It never asks for exceptions or privileges for fear of exciting jealousy.
6499_87508_000005_000003	It fights antipathy and natural aversions so that they may never appear, and seeks even the company of those who might be the object of them.	It fights antipathy and natural aversions so that they may never appear, and seeks even the company of those who might be the object of them.
6499_87508_000005_000004	It does not assume the office of reprehending or warning through a motive of bitter zeal.	It does not assume the office of reprehending or warning through a motive of bitter zeal.
6499_87508_000005_000005	It seeks to find in oneself the faults it notices in others, and perhaps greater ones, and tries to correct them.	It seeks to find in oneself the faults it notices in others, and perhaps greater ones, and tries to correct them.
6499_87508_000005_000007	We would willingly have others perfect, and yet we mend not our own defects.	We would willingly have others perfect, and yet we mend not our own defects.
6499_87508_000005_000008	We would have others strictly corrected, but are not fond of being corrected ourselves.	We would have others strictly corrected, but are not fond of being corrected ourselves.
6499_87508_000005_000009	The large liberty of others displeases us, and yet we do not wish to be denied anything we ask for.	The large liberty of others displeases us, and yet we do not wish to be denied anything we ask for.
