2056_143893_000000_000000	"Well, Mr. Goodwood, I should hope so!" Henrietta returned imperturbably.	"Well, mr Goodwood, I should hope so!" Henrietta returned imperturbably.	false	6.69	22.65	26.034529
2056_143893_000001_000000	CHAPTER XLV	CHAPTER forty five	true	22.65	24.79	25.388006
2056_143893_000002_000000	I have already had reason to say that Isabel knew her husband to be displeased by the continuance of Ralph's visit to Rome.	I have already had reason to say that Isabel knew her husband to be displeased by the continuance of Ralph's visit to Rome.	true	25.73	33.1	18
2056_143893_000002_000001	That knowledge was very present to her as she went to her cousin's hotel the day after she had invited Lord Warburton to give a tangible proof of his sincerity; and at this moment, as at others, she had a sufficient perception of the sources of Osmond's opposition.	That knowledge was very present to her as she went to her cousin's hotel the day after she had invited Lord Warburton to give a tangible proof of his sincerity; and at this moment, as at others, she had a sufficient perception of the sources of Osmond's opposition.	true	33.35	49.42	23
2056_143893_000002_000002	He wished her to have no freedom of mind, and he knew perfectly well that Ralph was an apostle of freedom.	He wished her to have no freedom of mind, and he knew perfectly well that Ralph was an apostle of freedom.	true	49.94	56.14	24.813234
2056_143893_000002_000003	It was just because he was this, Isabel said to herself, that it was a refreshment to go and see him.	It was just because he was this, Isabel said to herself, that it was a refreshment to go and see him.	true	56.39	62.86	23.220415
2056_143893_000002_000004	It will be perceived that she partook of this refreshment in spite of her husband's aversion to it, that is partook of it, as she flattered herself, discreetly.	It will be perceived that she partook of this refreshment in spite of her husband's aversion to it, that is partook of it, as she flattered herself, discreetly.	true	63.23	72.64	26.348547
2056_143893_000002_000005	She had not as yet undertaken to act in direct opposition to his wishes; he was her appointed and inscribed master; she gazed at moments with a sort of incredulous blankness at this fact.	She had not as yet undertaken to act in direct opposition to his wishes; he was her appointed and inscribed master; she gazed at moments with a sort of incredulous blankness at this fact.	true	73.01	84.79	26
2056_143893_000002_000006	It weighed upon her imagination, however; constantly present to her mind were all the traditionary decencies and sanctities of marriage.	It weighed upon her imagination, however; constantly present to her mind were all the traditionary decencies and sanctities of marriage.	true	85.01	93.31	19
2056_143893_000002_000007	The idea of violating them filled her with shame as well as with dread, for on giving herself away she had lost sight of this contingency in the perfect belief that her husband's intentions were as generous as her own.	The idea of violating them filled her with shame as well as with dread, for on giving herself away she had lost sight of this contingency in the perfect belief that her husband's intentions were as generous as her own.	true	93.47	106.6	18
2056_143893_000002_000008	She seemed to see, none the less, the rapid approach of the day when she should have to take back something she had solemnly bestown.	She seemed to see, none the less, the rapid approach of the day when she should have to take back something she had solemnly bestown.	false	107.12	114.93	25
2056_143893_000002_000009	Such a ceremony would be odious and monstrous; she tried to shut her eyes to it meanwhile.	Such a ceremony would be odious and monstrous; she tried to shut her eyes to it meanwhile.	true	114.93	120.31	22.022085
2056_143893_000002_000010	Osmond would do nothing to help it by beginning first; he would put that burden upon her to the end.	Osmond would do nothing to help it by beginning first; he would put that burden upon her to the end.	true	120.44	126.37	25.50032
