4973_24514_000003_000000	CHAPTER XI	CHAPTER eleven
4973_24514_000004_000000	HOW THE GOSPELS CAME TO BE WRITTEN	HOW THE GOSPELS CAME TO BE WRITTEN
4973_24514_000006_000000	But how did the story of the Saviour's life on earth come to be written?	But how did the story of the Saviour's life on earth come to be written?
4973_24514_000007_000000	We have seen that many years passed before any one thought of writing it down at all.	We have seen that many years passed before any one thought of writing it down at all.
4973_24514_000008_000000	But as the years passed, the number of those who had seen Christ grew less, and the need of a written Gospel became ever greater.	But as the years passed, the number of those who had seen Christ grew less, and the need of a written Gospel became ever greater.
4973_24514_000008_000001	Precious words would be forgotten, precious facts passed over, unless they were collected together and put down in black and white.	Precious words would be forgotten, precious facts passed over, unless they were collected together and put down in black and white.
4973_24514_000008_000002	Some of those, therefore, who had seen and heard Christ began to write down all they remembered of His life.	Some of those, therefore, who had seen and heard Christ began to write down all they remembered of His life.
4973_24514_000009_000001	They loved it and searched its pages eagerly, as they realized that all its words spoke of Christ!	They loved it and searched its pages eagerly, as they realized that all its words spoke of Christ!
4973_24514_000010_000000	But about the time that St. Paul was imprisoned at Rome we think that the Gospel according to St. Mark was written.	But about the time that saint Paul was imprisoned at Rome we think that the Gospel according to saint Mark was written.
4973_24514_000011_000004	11.)	eleven.)
4973_24514_000013_000000	Now a Christian writer, named Papias, who lived about sixty years after this time, tells us that Mark wrote his Gospel story from what Peter had told him about Christ; so we think this Gospel writing is really the Apostle Peter's account of our Lord's life on earth.	Now a Christian writer, named Papias, who lived about sixty years after this time, tells us that Mark wrote his Gospel story from what peter had told him about Christ; so we think this Gospel writing is really the Apostle Peter's account of our Lord's life on earth.
4973_24514_000014_000000	Very likely, as Mark journeyed with the Apostle from place to place, and heard him tell and retell the wonderful story of His Master's life on earth, the thought came into the young man's mind, 'Why not write down what Peter says, so that his words shall not be forgotten?'	Very likely, as Mark journeyed with the Apostle from place to place, and heard him tell and retell the wonderful story of His Master's life on earth, the thought came into the young man's mind, 'Why not write down what peter says, so that his words shall not be forgotten?'
4973_24514_000015_000000	And so fresh and vivid are the words of Mark's Gospel, so full of little natural touches, that most people agree that old Papias must have been right.	And so fresh and vivid are the words of Mark's Gospel, so full of little natural touches, that most people agree that old Papias must have been right.
4973_24514_000015_000001	The very things St. Peter would have noticed are mentioned by Mark.	The very things saint Peter would have noticed are mentioned by Mark.
4973_24514_000016_000000	Matthew, the writer of the Gospel which comes the first in our New Testament, was a Levite; that is, he belonged to the tribe of Levi, and this tribe was specially chosen in the time of Moses to learn the Law and serve God in His Temple.	matthew, the writer of the Gospel which comes the first in our New Testament, was a Levite; that is, he belonged to the tribe of Levi, and this tribe was specially chosen in the time of Moses to learn the Law and serve God in His Temple.
4973_24514_000016_000001	Matthew, therefore, was very learned in the books of the Law, and in the writings of the old prophets.	matthew, therefore, was very learned in the books of the Law, and in the writings of the old prophets.
4973_24514_000016_000002	As you all know, the Lord Jesus chose Matthew to be one of His special companions; and as Matthew followed his Master day by day, he saw more and more clearly how all the old prophecies which he knew so well pointed to the coming of Christ.	As you all know, the Lord Jesus chose matthew to be one of His special companions; and as matthew followed his Master day by day, he saw more and more clearly how all the old prophecies which he knew so well pointed to the coming of Christ.
4973_24514_000018_000001	This is why we find in the Gospel according to Matthew more quotations from the Old Testament than in the writings of any of the other evangelists.	This is why we find in the Gospel according to matthew more quotations from the Old Testament than in the writings of any of the other evangelists.
4973_24514_000019_000000	'See, My Book has always spoken of the coming of My Son.' This is the wonderful message which God gave to the world through Matthew's knowledge of the Old Testament Scriptures.	'See, My Book has always spoken of the coming of My Son.' This is the wonderful message which God gave to the world through Matthew's knowledge of the Old Testament Scriptures.
4973_24514_000020_000000	Years passed, and those who had seen Christ in His earthly life had nearly all died, while Gentile Christians everywhere were asking eagerly for the written story of His life.	Years passed, and those who had seen Christ in His earthly life had nearly all died, while Gentile Christians everywhere were asking eagerly for the written story of His life.
4973_24514_000021_000000	Twenty years after Matthew's Gospel was written, God called a Greek scholar, named Luke, to write what was to be a most important part of our Bible.	Twenty years after Matthew's Gospel was written, God called a Greek scholar, named luke, to write what was to be a most important part of our Bible.
4973_24514_000022_000001	This is because the whole work is written from the Gentile point of view--it is the world's history of Christ.	This is because the whole work is written from the Gentile point of view-it is the world's history of Christ.
4973_24514_000024_000001	14), and besides being highly educated and gifted, he took infinite pains with his work.	fourteen), and besides being highly educated and gifted, he took infinite pains with his work.
4973_24514_000024_000002	He collected all the information he could both from books and eye-witnesses--either from the Saviour's Mother herself, or from some of her relations--and to him we owe many of the most beautiful and touching facts of our Lord's life on earth.	He collected all the information he could both from books and eye witnesses-either from the Saviour's Mother herself, or from some of her relations-and to him we owe many of the most beautiful and touching facts of our Lord's life on earth.
4973_24514_000025_000000	Written last of all, we have the good news--that is, Gospel, told by St. John.	Written last of all, we have the good news-that is, Gospel, told by saint John.
4973_24514_000026_000000	When the Saviour ascended into Heaven, John was still a young man, but he lived to be older than all the other Apostles.	When the Saviour ascended into Heaven, john was still a young man, but he lived to be older than all the other Apostles.
4973_24514_000026_000001	By the time that St. John wrote his Gospel, Jerusalem had been destroyed and her inhabitants slain or scattered.	By the time that saint John wrote his Gospel, Jerusalem had been destroyed and her inhabitants slain or scattered.
4973_24514_000026_000002	He was able, therefore, to mention details, and give the actual names of people and places, which, if told earlier, might have endangered the lives of those of whom he wrote.	He was able, therefore, to mention details, and give the actual names of people and places, which, if told earlier, might have endangered the lives of those of whom he wrote.
4973_24514_000027_000000	Many instances of this will be found by those who read carefully.	Many instances of this will be found by those who read carefully.
4973_24514_000028_000000	So filled with love was the Apostle John that before he died his spirit became altogether one with Christ's spirit, and the sayings of Jesus, which he had only half understood whilst his Master had walked this earth, grew quite clear to him, so that he remembered them distinctly.	So filled with love was the Apostle john that before he died his spirit became altogether one with Christ's spirit, and the sayings of Jesus, which he had only half understood whilst his Master had walked this earth, grew quite clear to him, so that he remembered them distinctly.
4973_24514_000029_000000	Therefore, that others might understand also, God's Spirit called John, when he was an old man, to write out those precious words of Jesus Christ's which were always echoing in his heart, and which the other writers had not known, or had forgotten.	Therefore, that others might understand also, God's Spirit called john, when he was an old man, to write out those precious words of Jesus Christ's which were always echoing in his heart, and which the other writers had not known, or had forgotten.
