8011_280922_000000_000000	It was the second day in Easter week.	It was the second day in Easter week.
8011_280922_000000_000001	The air was warm, the sky was blue, the sun was high, warm, bright, but my soul was very gloomy.	The air was warm, the sky was blue, the sun was high, warm, bright, but my soul was very gloomy.
8011_280922_000000_000002	I sauntered behind the prison barracks.	I sauntered behind the prison barracks.
8011_280922_000000_000004	This was the second day of the "holidays" in the prison; the convicts were not taken out to work, there were numbers of men drunk, loud abuse and quarrelling was springing up continually in every corner.	This was the second day of the "holidays" in the prison; the convicts were not taken out to work, there were numbers of men drunk, loud abuse and quarrelling was springing up continually in every corner.
8011_280922_000000_000006	Several of the convicts who had been sentenced by their comrades, for special violence, to be beaten till they were half dead, were lying on the platform-bed, covered with sheepskins till they should recover and come to themselves again; knives had already been drawn several times.	Several of the convicts who had been sentenced by their comrades, for special violence, to be beaten till they were half dead, were lying on the platform bed, covered with sheepskins till they should recover and come to themselves again; knives had already been drawn several times.
8011_280922_000000_000007	For these two days of holiday all this had been torturing me till it made me ill.	For these two days of holiday all this had been torturing me till it made me ill.
8011_280922_000000_000008	And indeed I could never endure without repulsion the noise and disorder of drunken people, and especially in this place.	And indeed I could never endure without repulsion the noise and disorder of drunken people, and especially in this place.
8011_280922_000000_000010	At last a sudden fury flamed up in my heart.	At last a sudden fury flamed up in my heart.
8011_280922_000000_000011	A political prisoner called M. met me; he looked at me gloomily, his eyes flashed and his lips quivered.	A political prisoner called m met me; he looked at me gloomily, his eyes flashed and his lips quivered.
8011_280922_000000_000014	Now on returning I noticed on the bed in the furthest corner of the room Gazin lying unconscious, almost without sign of life.	Now on returning I noticed on the bed in the furthest corner of the room Gazin lying unconscious, almost without sign of life.
8011_280922_000000_000018	But why describe my impressions; I sometimes dream even now of those times at night, and I have no dreams more agonising.	But why describe my impressions; I sometimes dream even now of those times at night, and I have no dreams more agonising.
8011_280922_000000_000020	I may add by the way that since then, very many persons have supposed, and even now maintain, that I was sent to penal servitude for the murder of my wife.	I may add by the way that since then, very many persons have supposed, and even now maintain, that I was sent to penal servitude for the murder of my wife.
8011_280922_000001_000000	Gradually I sank into forgetfulness and by degrees was lost in memories. During the whole course of my four years in prison I was continually recalling all my past, and seemed to live over again the whole of my life in recollection.	Gradually I sank into forgetfulness and by degrees was lost in memories. During the whole course of my four years in prison I was continually recalling all my past, and seemed to live over again the whole of my life in recollection.
8011_280922_000001_000001	These memories rose up of themselves, it was not often that of my own will I summoned them.	These memories rose up of themselves, it was not often that of my own will I summoned them.
