548_126961_000000_000000	CHAPTER XVII	CHAPTER seventeen	true	28.8	30.24	23.073788
548_126961_000001_000000	_Sixteenth Year of the War--The Melian Conference--Fate of Melos_	underscore Sixteenth Year of the War-The Melian Conference-Fate of Melos underscore	false	30.24	39.99	17.958612
548_126961_000002_000000	The next summer Alcibiades sailed with twenty ships to Argos and seized the suspected persons still left of the Lacedaemonian faction to the number of three hundred, whom the Athenians forthwith lodged in the neighbouring islands of their empire.	The next summer Alcibiades sailed with twenty ships to Argos and seized the suspected persons still left of the Lacedaemonian faction to the number of three hundred, whom the Athenians forthwith lodged in the neighbouring islands of their empire.	false	39.99	56.98	19
548_126961_000002_000001	The Athenians also made an expedition against the isle of Melos with thirty ships of their own, six Chian, and two Lesbian vessels, sixteen hundred heavy infantry, three hundred archers, and twenty mounted archers from Athens, and about fifteen hundred heavy infantry from the allies and the islanders. The Melians are a colony of Lacedaemon that would not submit to the Athenians like the other islanders, and at first remained neutral and took no part in the struggle, but afterwards upon the Athenians using violence and plundering their territory, assumed an attitude of open hostility.	The Athenians also made an expedition against the isle of Melos with thirty ships of their own, six Chian, and two Lesbian vessels, sixteen hundred heavy infantry, three hundred archers, and twenty mounted archers from Athens, and about fifteen hundred heavy infantry from the allies and the islanders. The Melians are a colony of Lacedaemon that would not submit to the Athenians like the other islanders, and at first remained neutral and took no part in the struggle, but afterwards upon the Athenians using violence and plundering their territory, assumed an attitude of open hostility.	false	57.17	99.25	20
548_126961_000002_000002	Cleomedes, son of Lycomedes, and Tisias, son of Tisimachus, the generals, encamping in their territory with the above armament, before doing any harm to their land, sent envoys to negotiate.	Cleomedes, son of Lycomedes, and Tisias, son of Tisimachus, the generals, encamping in their territory with the above armament, before doing any harm to their land, sent envoys to negotiate.	true	99.5	114.76	21
548_126961_000002_000003	These the Melians did not bring before the people, but bade them state the object of their mission to the magistrates and the few; upon which the Athenian envoys spoke as follows:	These the Melians did not bring before the people, but bade them state the object of their mission to the magistrates and the few; upon which the Athenian envoys spoke as follows:	true	115.01	127.75	21.39855
548_126961_000003_000000	Athenians.	Athenians.	true	128.33	129.76	15.792449
548_126961_000003_000001	Since the negotiations are not to go on before the people, in order that we may not be able to speak straight on without interruption, and deceive the ears of the multitude by seductive arguments which would pass without refutation (for we know that this is the meaning of our being brought before the few), what if you who sit there were to pursue a method more cautious still?	Since the negotiations are not to go on before the people, in order that we may not be able to speak straight on without interruption, and deceive the ears of the multitude by seductive arguments which would pass without refutation (for we know that this is the meaning of our being brought before the few), what if you who sit there were to pursue a method more cautious still?	true	130.04	156.16	19
548_126961_000003_000002	Make no set speech yourselves, but take us up at whatever you do not like, and settle that before going any farther.	Make no set speech yourselves, but take us up at whatever you do not like, and settle that before going any farther.	true	156.65	165.49	23.362545
548_126961_000003_000003	And first tell us if this proposition of ours suits you.	And first tell us if this proposition of ours suits you.	true	165.74	170.56	23.057287
548_126961_000004_000000	The Melian commissioners answered:	The Melian commissioners answered:	true	171.23	174.34	20.283445
548_126961_000005_000000	Melians.	Melians.	true	174.77	175.72	16.536398
548_126961_000005_000001	To the fairness of quietly instructing each other as you propose there is nothing to object; but your military preparations are too far advanced to agree with what you say, as we see you are come to be judges in your own cause, and that all we can reasonably expect from this negotiation is war, if we prove to have right on our side and refuse to submit, and in the contrary case, slavery.	To the fairness of quietly instructing each other as you propose there is nothing to object; but your military preparations are too far advanced to agree with what you say, as we see you are come to be judges in your own cause, and that all we can reasonably expect from this negotiation is war, if we prove to have right on our side and refuse to submit, and in the contrary case, slavery.	true	176.24	206.2	19
548_126961_000006_000000	Athenians.	Athenians.	true	206.81	208.33	14.985878
548_126961_000006_000001	If you have met to reason about presentiments of the future, or for anything else than to consult for the safety of your state upon the facts that you see before you, we will give over; otherwise we will go on.	If you have met to reason about presentiments of the future, or for anything else than to consult for the safety of your state upon the facts that you see before you, we will give over; otherwise we will go on.	true	208.67	223.72	20
548_126961_000007_000000	Melians.	Melians.	true	224.42	225.7	18.882336
548_126961_000007_000001	It is natural and excusable for men in our position to turn more ways than one both in thought and utterance.	It is natural and excusable for men in our position to turn more ways than one both in thought and utterance.	true	226.04	234.52	17
548_126961_000007_000002	However, the question in this conference is, as you say, the safety of our country; and the discussion, if you please, can proceed in the way which you propose.	However, the question in this conference is, as you say, the safety of our country; and the discussion, if you please, can proceed in the way which you propose.	true	234.71	247.15	22
548_126961_000008_000000	Athenians.	Athenians.	true	247.55	249.01	12.285589
548_126961_000008_000001	For ourselves, we shall not trouble you with specious pretences--either of how we have a right to our empire because we overthrew the Mede, or are now attacking you because of wrong that you have done us--and make a long speech which would not be believed; and in return we hope that you, instead of thinking to influence us by saying that you did not join the Lacedaemonians, although their colonists, or that you have done us no wrong, will aim at what is feasible, holding in view the real sentiments of us both; since you know as well as we do that right, as the world goes, is only in question between equals in power, while the strong do what they can and the weak suffer what they must.	For ourselves, we shall not trouble you with specious pretences-either of how we have a right to our empire because we overthrew the Mede, or are now attacking you because of wrong that you have done us-and make a long speech which would not be believed; and in return we hope that you, instead of thinking to influence us by saying that you did not join the Lacedaemonians, although their colonists, or that you have done us no wrong, will aim at what is feasible, holding in view the real sentiments of us both; since you know as well as we do that right, as the world goes, is only in question between equals in power, while the strong do what they can and the weak suffer what they must.	false	249.62	300.91	18
548_126961_000009_000000	Melians.	Melians.	true	301.64	302.92	14.128722
