548_126961_000000_000000	CHAPTER XVII	CHAPTER seventeen
548_126961_000002_000002	Cleomedes, son of Lycomedes, and Tisias, son of Tisimachus, the generals, encamping in their territory with the above armament, before doing any harm to their land, sent envoys to negotiate.	Cleomedes, son of Lycomedes, and Tisias, son of Tisimachus, the generals, encamping in their territory with the above armament, before doing any harm to their land, sent envoys to negotiate.
548_126961_000002_000003	These the Melians did not bring before the people, but bade them state the object of their mission to the magistrates and the few; upon which the Athenian envoys spoke as follows:	These the Melians did not bring before the people, but bade them state the object of their mission to the magistrates and the few; upon which the Athenian envoys spoke as follows:
548_126961_000003_000002	Make no set speech yourselves, but take us up at whatever you do not like, and settle that before going any farther.	Make no set speech yourselves, but take us up at whatever you do not like, and settle that before going any farther.
548_126961_000003_000003	And first tell us if this proposition of ours suits you.	And first tell us if this proposition of ours suits you.
548_126961_000004_000000	The Melian commissioners answered:	The Melian commissioners answered:
548_126961_000006_000001	If you have met to reason about presentiments of the future, or for anything else than to consult for the safety of your state upon the facts that you see before you, we will give over; otherwise we will go on.	If you have met to reason about presentiments of the future, or for anything else than to consult for the safety of your state upon the facts that you see before you, we will give over; otherwise we will go on.
548_126961_000007_000002	However, the question in this conference is, as you say, the safety of our country; and the discussion, if you please, can proceed in the way which you propose.	However, the question in this conference is, as you say, the safety of our country; and the discussion, if you please, can proceed in the way which you propose.
548_126961_000009_000001	As we think, at any rate, it is expedient--we speak as we are obliged, since you enjoin us to let right alone and talk only of interest--that you should not destroy what is our common protection, the privilege of being allowed in danger to invoke what is fair and right, and even to profit by arguments not strictly valid if they can be got to pass current.	As we think, at any rate, it is expedient-we speak as we are obliged, since you enjoin us to let right alone and talk only of interest-that you should not destroy what is our common protection, the privilege of being allowed in danger to invoke what is fair and right, and even to profit by arguments not strictly valid if they can be got to pass current.
548_126961_000010_000002	This, however, is a risk that we are content to take.	This, however, is a risk that we are content to take.
548_126961_000011_000001	And how, pray, could it turn out as good for us to serve as for you to rule?	And how, pray, could it turn out as good for us to serve as for you to rule?
548_126961_000014_000001	No; for your hostility cannot so much hurt us as your friendship will be an argument to our subjects of our weakness, and your enmity of our power.	No; for your hostility cannot so much hurt us as your friendship will be an argument to our subjects of our weakness, and your enmity of our power.
548_126961_000017_000001	But do you consider that there is no security in the policy which we indicate?	But do you consider that there is no security in the policy which we indicate?
548_126961_000017_000002	For here again if you debar us from talking about justice and invite us to obey your interest, we also must explain ours, and try to persuade you, if the two happen to coincide.	For here again if you debar us from talking about justice and invite us to obey your interest, we also must explain ours, and try to persuade you, if the two happen to coincide.
548_126961_000023_000003	Our confidence, therefore, after all is not so utterly irrational.	Our confidence, therefore, after all is not so utterly irrational.
548_126961_000028_000000	Athenians.	Athenians.
548_126961_000029_000001	But they would have others to send.	But they would have others to send.
548_126961_000030_000004	This, if you are well advised, you will guard against; and you will not think it dishonourable to submit to the greatest city in Hellas, when it makes you the moderate offer of becoming its tributary ally, without ceasing to enjoy the country that belongs to you; nor when you have the choice given you between war and security, will you be so blinded as to choose the worse.	This, if you are well advised, you will guard against; and you will not think it dishonourable to submit to the greatest city in Hellas, when it makes you the moderate offer of becoming its tributary ally, without ceasing to enjoy the country that belongs to you; nor when you have the choice given you between war and security, will you be so blinded as to choose the worse.
548_126961_000030_000006	Think over the matter, therefore, after our withdrawal, and reflect once and again that it is for your country that you are consulting, that you have not more than one, and that upon this one deliberation depends its prosperity or ruin.	Think over the matter, therefore, after our withdrawal, and reflect once and again that it is for your country that you are consulting, that you have not more than one, and that upon this one deliberation depends its prosperity or ruin.
548_126961_000031_000000	The Athenians now withdrew from the conference; and the Melians, left to themselves, came to a decision corresponding with what they had maintained in the discussion, and answered: "Our resolution, Athenians, is the same as it was at first.	The Athenians now withdrew from the conference; and the Melians, left to themselves, came to a decision corresponding with what they had maintained in the discussion, and answered: "Our resolution, Athenians, is the same as it was at first.
548_126961_000033_000001	Subsequently the Athenians returned with most of their army, leaving behind them a certain number of their own citizens and of the allies to keep guard by land and sea. The force thus left stayed on and besieged the place.	Subsequently the Athenians returned with most of their army, leaving behind them a certain number of their own citizens and of the allies to keep guard by land and sea. The force thus left stayed on and besieged the place.
548_126961_000034_000001	The Corinthians also commenced hostilities with the Athenians for private quarrels of their own; but the rest of the Peloponnesians stayed quiet.	The Corinthians also commenced hostilities with the Athenians for private quarrels of their own; but the rest of the Peloponnesians stayed quiet.
548_126961_000034_000002	Meanwhile the Melians attacked by night and took the part of the Athenian lines over against the market, and killed some of the men, and brought in corn and all else that they could find useful to them, and so returned and kept quiet, while the Athenians took measures to keep better guard in future.	Meanwhile the Melians attacked by night and took the part of the Athenian lines over against the market, and killed some of the men, and brought in corn and all else that they could find useful to them, and so returned and kept quiet, while the Athenians took measures to keep better guard in future.
