451_126826_000000_000000	CHAPTER XI.	CHAPTER eleven.
451_126826_000000_000001	THE STORY GIRL DOES PENANCE	THE STORY GIRL DOES PENANCE
451_126826_000003_000001	I had read the story before, and it had been my opinion that it was "rot." No king, I felt certain, would ever marry a beggar maid when he had princesses galore from whom to choose.	I had read the story before, and it had been my opinion that it was "rot." No king, I felt certain, would ever marry a beggar maid when he had princesses galore from whom to choose.
451_126826_000003_000002	But now I understood it all.	But now I understood it all.
451_126826_000004_000001	And she had.	And she had.
451_126826_000005_000000	"Sara is real sick," she said, with regret, and something that was not regret mingled in her voice.	"Sara is real sick," she said, with regret, and something that was not regret mingled in her voice.
451_126826_000005_000001	"She has a cold and sore throat, and she is feverish.	"She has a cold and sore throat, and she is feverish.
451_126826_000005_000002	Mrs. Ray says if she isn't better by the morning she's going to send for the doctor.	mrs Ray says if she isn't better by the morning she's going to send for the doctor.
451_126826_000007_000000	"Oh, do you suppose she caught them at the magic lantern show?" she said miserably.	"Oh, do you suppose she caught them at the magic lantern show?" she said miserably.
451_126826_000008_000000	"Where else could she have caught them?" said Felicity mercilessly.	"Where else could she have caught them?" said Felicity mercilessly.
451_126826_000009_000001	The Story Girl was not to be comforted.	The Story Girl was not to be comforted.
451_126826_000011_000000	I don't think she did.	I don't think she did.
451_126826_000011_000002	But, for all that, there was a certain exhilaration about her.	But, for all that, there was a certain exhilaration about her.
451_126826_000012_000000	"I'm going to do penance all day for coaxing Sara to disobey her mother," she announced with chastened triumph.	"I'm going to do penance all day for coaxing Sara to disobey her mother," she announced with chastened triumph.
451_126826_000013_000000	"Penance?" we murmured in bewilderment.	"Penance?" we murmured in bewilderment.
451_126826_000014_000000	"Yes.	"Yes.
451_126826_000014_000001	I'm going to deny myself everything I like, and do everything I can think of that I don't like, just to punish myself for being so wicked.	I'm going to deny myself everything I like, and do everything I can think of that I don't like, just to punish myself for being so wicked.
451_126826_000014_000002	And if any of you think of anything I don't, just mention it to me.	And if any of you think of anything I don't, just mention it to me.
451_126826_000014_000003	I thought it out last night.	I thought it out last night.
451_126826_000015_000000	"He can see it anyhow, without your doing anything," said Cecily.	"He can see it anyhow, without your doing anything," said Cecily.
451_126826_000016_000000	"Well, my conscience will feel better."	"Well, my conscience will feel better."
451_126826_000018_000000	But the rest of us rather looked with favour on the Story Girl's idea. We felt sure that she would do penance as picturesquely and thoroughly as she did everything else.	But the rest of us rather looked with favour on the Story Girl's idea. We felt sure that she would do penance as picturesquely and thoroughly as she did everything else.
451_126826_000020_000001	I never thought of that.	I never thought of that.
451_126826_000020_000002	I'll get some after breakfast. I'm not going to eat a single thing all day, except bread and water--and not much of that!"	I'll get some after breakfast. I'm not going to eat a single thing all day, except bread and water-and not much of that!"
451_126826_000021_000001	To sit down to one of Aunt Janet's meals, in ordinary health and appetite, and eat nothing but bread and water--that would be penance with a vengeance!	To sit down to one of Aunt Janet's meals, in ordinary health and appetite, and eat nothing but bread and water-that would be penance with a vengeance!
451_126826_000021_000002	We felt WE could never do it.	We felt WE could never do it.
451_126826_000021_000003	But the Story Girl did it.	But the Story Girl did it.
451_126826_000023_000000	"No.	"no
451_126826_000023_000003	So I'm going to do penance all day.	So I'm going to do penance all day.
451_126826_000023_000004	You don't mind, do you?"	You don't mind, do you?"
451_126826_000025_000000	"Not if you don't go too far with your nonsense," she said tolerantly.	"Not if you don't go too far with your nonsense," she said tolerantly.
451_126826_000026_000000	"Thank you.	"Thank you.
451_126826_000027_000000	"There isn't any; I used the last in the soup yesterday."	"There isn't any; I used the last in the soup yesterday."
451_126826_000028_000001	"Then I suppose I'll have to do without.	"Then I suppose I'll have to do without.
451_126826_000030_000000	"You'll do nothing of the sort," said Aunt Janet.	"You'll do nothing of the sort," said Aunt Janet.
451_126826_000030_000001	"Sara must not do penance in that way.	"Sara must not do penance in that way.
451_126826_000030_000002	She would wear holes in her stockings, and might seriously bruise her feet."	She would wear holes in her stockings, and might seriously bruise her feet."
451_126826_000032_000000	"I wouldn't SAY anything," retorted Aunt Janet.	"I wouldn't SAY anything," retorted Aunt Janet.
451_126826_000032_000002	You'd find that penance enough."	You'd find that penance enough."
451_126826_000033_000000	The Story Girl was crimson with indignation.	The Story Girl was crimson with indignation.
451_126826_000034_000001	But the Story Girl would not come.	But the Story Girl would not come.
451_126826_000035_000002	And I'm going to work buttonholes all over this cotton.	And I'm going to work buttonholes all over this cotton.
451_126826_000037_000000	"It isn't any good.	"It isn't any good.
451_126826_000037_000002	So it doesn't matter what you do, whether it's useful or not, so long as it's nasty.	So it doesn't matter what you do, whether it's useful or not, so long as it's nasty.
451_126826_000039_000000	"I've thought of a great penance," said Cecily eagerly.	"I've thought of a great penance," said Cecily eagerly.
451_126826_000039_000001	"Don't go to the missionary meeting to-night."	"Don't go to the missionary meeting to night."
451_126826_000040_000000	The Story Girl looked piteous.	The Story Girl looked piteous.
451_126826_000041_000000	"I thought of that myself--but I CAN'T stay home, Cecily.	"I thought of that myself-but I CAN'T stay home, Cecily.
451_126826_000041_000002	I MUST hear that missionary speak.	I MUST hear that missionary speak.
451_126826_000041_000005	No, I must go, but I'll tell you what I'll do.	No, I must go, but I'll tell you what I'll do.
451_126826_000041_000006	I'll wear my school dress and hat.	I'll wear my school dress and hat.
451_126826_000041_000007	THAT will be penance.	THAT will be penance.
451_126826_000041_000009	I hate it so.	I hate it so.
451_126826_000041_000011	It's such dreadful tasting stuff--but it's a good blood purifier, so Aunt Janet can't object to it."	It's such dreadful tasting stuff-but it's a good blood purifier, so Aunt Janet can't object to it."
451_126826_000042_000001	All day she sat in the kitchen and worked buttonholes, subsisting on bread and water and Mexican Tea.	All day she sat in the kitchen and worked buttonholes, subsisting on bread and water and Mexican Tea.
451_126826_000043_000002	The smell of raisin pies is something to tempt an anchorite; and the Story Girl was exceedingly fond of them.	The smell of raisin pies is something to tempt an anchorite; and the Story Girl was exceedingly fond of them.
451_126826_000043_000003	Felicity ate two in her very presence, and then brought the rest out to us in the orchard.	Felicity ate two in her very presence, and then brought the rest out to us in the orchard.
451_126826_000043_000005	But she worked on at her buttonholes.	But she worked on at her buttonholes.
451_126826_000043_000007	Pat came over, but his most seductive purrs won no notice from his mistress, who refused herself the pleasure of even patting him.	Pat came over, but his most seductive purrs won no notice from his mistress, who refused herself the pleasure of even patting him.
451_126826_000044_000003	The Story Girl slipped over home, and when she came back we gasped.	The Story Girl slipped over home, and when she came back we gasped.
451_126826_000046_000001	I want to mortify the flesh--"	I want to mortify the flesh-"
451_126826_000047_000001	Go right home and dress yourself decently--or eat your supper in the kitchen."	Go right home and dress yourself decently-or eat your supper in the kitchen."
451_126826_000049_000001	And she had tied her hair with a snuff-brown ribbon which was very unbecoming to her.	And she had tied her hair with a snuff brown ribbon which was very unbecoming to her.
451_126826_000050_000000	The first person we saw in the church porch was Mrs. Ray.	The first person we saw in the church porch was mrs Ray.
451_126826_000053_000000	"Oh, I don't know.	"Oh, I don't know.
451_126826_000053_000001	I feel better since I punished myself.	I feel better since I punished myself.
451_126826_000053_000002	But I'm going to make up for it to-morrow," said the Story Girl energetically.	But I'm going to make up for it to morrow," said the Story Girl energetically.
451_126826_000053_000003	"In fact, I'll begin to-night.	"In fact, I'll begin to night.
451_126826_000053_000005	Wasn't the missionary splendid?	Wasn't the missionary splendid?
451_126826_000053_000006	That cannibal story was simply grand.	That cannibal story was simply grand.
451_126826_000054_000000	"I'd like to be a missionary and have adventures like that," said Felix.	"I'd like to be a missionary and have adventures like that," said Felix.
