1806_143946_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	true	10.095	12.4	24.956709
1806_143946_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.	true	13.25	16.99	26.441893
1806_143946_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.	true	17.63	26.19	22.60531
1806_143946_000001_000000	THE LAST OF THE MOHICANS ***	THE LAST OF THE MOHICANS asterisk asterisk asterisk	false	26.19	26.4	1
1806_143946_000002_000000	Produced by John Horner and David Widger	Produced by john Horner and David Widger	false	26.4	26.61	-20
1806_143946_000003_000000	THE LAST OF THE MOHICANS	THE LAST OF THE MOHICANS	false	26.61	26.76	-20
1806_143946_000004_000000	A Narrative of 1757	A Narrative of seventeen fifty seven	false	26.76	26.94	-20
1806_143946_000005_000000	by James Fenimore Cooper	by james Fenimore Cooper	false	26.94	27.06	-20
1806_143946_000006_000000	INTRODUCTION	INTRODUCTION	true	27.06	28.06	32.880672
1806_143946_000007_000000	It is believed that the scene of this tale, and most of the information necessary to understand its allusions, are rendered sufficiently obvious to the reader in the text itself, or in the accompanying notes.	It is believed that the scene of this tale, and most of the information necessary to understand its allusions, are rendered sufficiently obvious to the reader in the text itself, or in the accompanying notes.	true	29.24	42.34	24.151546
1806_143946_000007_000001	Still there is so much obscurity in the Indian traditions, and so much confusion in the Indian names, as to render some explanation useful.	Still there is so much obscurity in the Indian traditions, and so much confusion in the Indian names, as to render some explanation useful.	false	43.16	53.74	23.250086
1806_143946_000008_000000	Few men exhibit greater diversity, or, if we may so express it, greater antithesis of character, than the native warrior of North America. In war, he is daring, boastful, cunning, ruthless, self-denying, and self-devoted; in peace, just, generous, hospitable, revengeful, superstitious, modest, and commonly chaste.	Few men exhibit greater diversity, or, if we may so express it, greater antithesis of character, than the native warrior of North America. In war, he is daring, boastful, cunning, ruthless, self denying, and self devoted; in peace, just, generous, hospitable, revengeful, superstitious, modest, and commonly chaste.	true	55.07	87.73	23.530485
1806_143946_000008_000001	These are qualities, it is true, which do not distinguish all alike; but they are so far the predominating traits of these remarkable people as to be characteristic.	These are qualities, it is true, which do not distinguish all alike; but they are so far the predominating traits of these remarkable people as to be characteristic.	true	89.12	101.65	26.717754
1806_143946_000009_000000	It is generally believed that the Aborigines of the American continent have an Asiatic origin.	It is generally believed that the Aborigines of the American continent have an Asiatic origin.	true	102.68	108.37	24.658958
1806_143946_000009_000001	There are many physical as well as moral facts which corroborate this opinion, and some few that would seem to weigh against it.	There are many physical as well as moral facts which corroborate this opinion, and some few that would seem to weigh against it.	true	108.77	119.44	24.865084
1806_143946_000010_000000	The color of the Indian, the writer believes, is peculiar to himself, and while his cheek-bones have a very striking indication of a Tartar origin, his eyes have not.	The color of the Indian, the writer believes, is peculiar to himself, and while his cheek bones have a very striking indication of a Tartar origin, his eyes have not.	false	120.26	133.33	25.155859
1806_143946_000010_000001	Climate may have had great influence on the former, but it is difficult to see how it can have produced the substantial difference which exists in the latter.	Climate may have had great influence on the former, but it is difficult to see how it can have produced the substantial difference which exists in the latter.	true	134.6	145.54	28.295029
1806_143946_000010_000002	The imagery of the Indian, both in his poetry and in his oratory, is oriental; chastened, and perhaps improved, by the limited range of his practical knowledge. He draws his metaphors from the clouds, the seasons, the birds, the beasts, and the vegetable world.	The imagery of the Indian, both in his poetry and in his oratory, is oriental; chastened, and perhaps improved, by the limited range of his practical knowledge. He draws his metaphors from the clouds, the seasons, the birds, the beasts, and the vegetable world.	false	146.48	168.97	22.781666
1806_143946_000010_000003	In this, perhaps, he does no more than any other energetic and imaginative race would do, being compelled to set bounds to fancy by experience; but the North American Indian clothes his ideas in a dress which is different from that of the African, and is oriental in itself.	In this, perhaps, he does no more than any other energetic and imaginative race would do, being compelled to set bounds to fancy by experience; but the North American Indian clothes his ideas in a dress which is different from that of the African, and is oriental in itself.	true	169.58	192.58	26.655157
1806_143946_000010_000004	His language has the richness and sententious fullness of the Chinese.	His language has the richness and sententious fullness of the Chinese.	true	193.49	198.58	21.825657
1806_143946_000010_000005	He will express a phrase in a word, and he will qualify the meaning of an entire sentence by a syllable; he will even convey different significations by the simplest inflections of the voice.	He will express a phrase in a word, and he will qualify the meaning of an entire sentence by a syllable; he will even convey different significations by the simplest inflections of the voice.	true	199.49	214	23.991974
1806_143946_000011_000000	Philologists have said that there are but two or three languages, properly speaking, among all the numerous tribes which formerly occupied the country that now composes the United States.	Philologists have said that there are but two or three languages, properly speaking, among all the numerous tribes which formerly occupied the country that now composes the United States.	true	215.24	226.21	27.4303
1806_143946_000011_000001	They ascribe the known difficulty one people have to understand another to corruptions and dialects.	They ascribe the known difficulty one people have to understand another to corruptions and dialects.	true	227.3	234.37	26.62005
1806_143946_000011_000002	The writer remembers to have been present at an interview between two chiefs of the Great Prairies west of the Mississippi, and when an interpreter was in attendance who spoke both their languages. The warriors appeared to be on the most friendly terms, and seemingly conversed much together; yet, according to the account of the interpreter, each was absolutely ignorant of what the other said. They were of hostile tribes, brought together by the influence of the American government; and it is worthy of remark, that a common policy led them both to adopt the same subject.	The writer remembers to have been present at an interview between two chiefs of the Great Prairies west of the Mississippi, and when an interpreter was in attendance who spoke both their languages. The warriors appeared to be on the most friendly terms, and seemingly conversed much together; yet, according to the account of the interpreter, each was absolutely ignorant of what the other said. They were of hostile tribes, brought together by the influence of the American government; and it is worthy of remark, that a common policy led them both to adopt the same subject.	false	235.52	284.77	24.00097
1806_143946_000011_000003	They mutually exhorted each other to be of use in the event of the chances of war throwing either of the parties into the hands of his enemies.	They mutually exhorted each other to be of use in the event of the chances of war throwing either of the parties into the hands of his enemies.	true	286.01	295.78	24.378765
1806_143946_000011_000004	Whatever may be the truth, as respects the root and the genius of the Indian tongues, it is quite certain they are now so distinct in their words as to possess most of the disadvantages of strange languages; hence much of the embarrassment that has arisen in learning their histories, and most of the uncertainty which exists in their traditions.	Whatever may be the truth, as respects the root and the genius of the Indian tongues, it is quite certain they are now so distinct in their words as to possess most of the disadvantages of strange languages; hence much of the embarrassment that has arisen in learning their histories, and most of the uncertainty which exists in their traditions.	false	296.87	318.19	24.835636
1806_143946_000012_000000	Like nations of higher pretensions, the American Indian gives a very different account of his own tribe or race from that which is given by other people.	Like nations of higher pretensions, the American Indian gives a very different account of his own tribe or race from that which is given by other people.	true	319.37	329.71	27.623486
1806_143946_000012_000001	He is much addicted to overestimating his own perfections, and to undervaluing those of his rival or his enemy; a trait which may possibly be thought corroborative of the Mosaic account of the creation.	He is much addicted to overestimating his own perfections, and to undervaluing those of his rival or his enemy; a trait which may possibly be thought corroborative of the Mosaic account of the creation.	false	330.74	347.02	25.00342
1806_143946_000013_000000	The whites have assisted greatly in rendering the traditions of the Aborigines more obscure by their own manner of corrupting names.	The whites have assisted greatly in rendering the traditions of the Aborigines more obscure by their own manner of corrupting names.	true	348.23	356.83	27.07737
1806_143946_000013_000001	Thus, the term used in the title of this book has undergone the changes of Mahicanni, Mohicans, and Mohegans; the latter being the word commonly used by the whites.	Thus, the term used in the title of this book has undergone the changes of Mahicanni, Mohicans, and Mohegans; the latter being the word commonly used by the whites.	true	357.23	371.05	23.2702
1806_143946_000013_000002	When it is remembered that the Dutch (who first settled New York), the English, and the French, all gave appellations to the tribes that dwelt within the country which is the scene of this story, and that the Indians not only gave different names to their enemies, but frequently to themselves, the cause of the confusion will be understood.	When it is remembered that the Dutch (who first settled New York), the English, and the French, all gave appellations to the tribes that dwelt within the country which is the scene of this story, and that the Indians not only gave different names to their enemies, but frequently to themselves, the cause of the confusion will be understood.	true	372.2	395.77	21.94383
1806_143946_000014_000000	In these pages, Lenni-Lenape, Lenope, Delawares, Wapanachki, and Mohicans, all mean the same people, or tribes of the same stock.	In these pages, Lenni Lenape, Lenope, Delawares, Wapanachki, and Mohicans, all mean the same people, or tribes of the same stock.	true	397.13	409.51	23.110374
1806_143946_000014_000001	The Mengwe, the Maquas, the Mingoes, and the Iroquois, though not all strictly the same, are identified frequently by the speakers, being politically confederated and opposed to those just named.	The Mengwe, the Maquas, the Mingoes, and the Iroquois, though not all strictly the same, are identified frequently by the speakers, being politically confederated and opposed to those just named.	false	410.48	425.35	24.500631
1806_143946_000014_000002	Mingo was a term of peculiar reproach, as were Mengwe and Maqua in a less degree.	Mingo was a term of peculiar reproach, as were Mengwe and Maqua in a less degree.	false	426.2	434.29	24.88396
1806_143946_000015_000000	The Mohicans were the possessors of the country first occupied by the Europeans in this portion of the continent.	The Mohicans were the possessors of the country first occupied by the Europeans in this portion of the continent.	true	435.53	441.91	24.345966
1806_143946_000015_000001	They were, consequently, the first dispossessed; and the seemingly inevitable fate of all these people, who disappear before the advances, or it might be termed the inroads, of civilization, as the verdure of their native forests falls before the nipping frosts, is represented as having already befallen them.	They were, consequently, the first dispossessed; and the seemingly inevitable fate of all these people, who disappear before the advances, or it might be termed the inroads, of civilization, as the verdure of their native forests falls before the nipping frosts, is represented as having already befallen them.	true	442.49	464.86	23.82064
1806_143946_000015_000002	There is sufficient historical truth in the picture to justify the use that has been made of it.	There is sufficient historical truth in the picture to justify the use that has been made of it.	true	465.53	471.88	26.801485
