8066_290047_000000_000000	That boy's whole life was changed; sober and sad he was ever after.	That boy's whole life was changed; sober and sad he was ever after.	false	0	1.71	23.262602
8066_290047_000000_000001	He is now a gray haired old man, with one sorrow over his one act of disobedience, one wrong word embittering all his life--with those words ever ringing in his ears, "Mother, I don't love you now."	He is now a gray haired old man, with one sorrow over his one act of disobedience, one wrong word embittering all his life-with those words ever ringing in his ears, "Mother, I don't love you now."	false	1.71	4.29	19.436338
8066_290047_000001_000000	Will the little ones who read this remember, if they disobey their mother, if they are cross and naughty, they say every single time they do so, to a tender mother's heart, by their actions if not in the words of Henry, the very same thing, "I don't love you now, Mother."	Will the little ones who read this remember, if they disobey their mother, if they are cross and naughty, they say every single time they do so, to a tender mother's heart, by their actions if not in the words of Henry, the very same thing, "I don't love you now, Mother."	false	4.29	18.78	21.758482
8066_290047_000002_000000	"LITTLE MOTHER"	"LITTLE MOTHER"	true	18.78	19.9	25.093542
8066_290047_000003_000000	She was a clear-eyed, fresh-cheeked little maiden, living on the banks of the great Mississippi, the oldest of four children, and mother's "little woman" always.	She was a clear eyed, fresh cheeked little maiden, living on the banks of the great Mississippi, the oldest of four children, and mother's "little woman" always.	true	21.38	30.76	20.366
8066_290047_000003_000001	They called her so because of her quiet, matronly care of the younger Mayfields--that was the father's name.	They called her so because of her quiet, matronly care of the younger Mayfields-that was the father's name.	true	31.1	38.2	22.274916
8066_290047_000003_000002	Her own name was the beautiful one of Elizabeth, but they shortened it to Bess.	Her own name was the beautiful one of Elizabeth, but they shortened it to Bess.	true	38.42	44.5	20.195599
8066_290047_000004_000000	She was thirteen when one day Mr. Mayfield and his wife were called to the nearest town, six miles away.	She was thirteen when one day mr Mayfield and his wife were called to the nearest town, six miles away.	false	44.54	51.01	25.774748
8066_290047_000004_000001	"Be mother's little woman, dear," said Mrs. Mayfield as she kissed the rosy face.	"Be mother's little woman, dear," said mrs Mayfield as she kissed the rosy face.	true	51.71	56.74	20.723322
8066_290047_000004_000002	Her husband added: "I leave the children in your care, Bess; be a little mother to them."	Her husband added: "I leave the children in your care, Bess; be a little mother to them."	true	57.11	63.01	22.5588
8066_290047_000005_000000	Bess waved her old sun-bonnet vigorously, and held up the baby Rose, that she might watch them to the last.	Bess waved her old sun bonnet vigorously, and held up the baby Rose, that she might watch them to the last.	true	64.76	71.62	21.593113
8066_290047_000005_000001	Old Daddy Jim and Mammy had been detailed by Mr. Mayfield to keep an unsuspected watch on the little nestlings, and were to sleep at the house.	Old Daddy Jim and Mammy had been detailed by mr Mayfield to keep an unsuspected watch on the little nestlings, and were to sleep at the house.	true	72.77	81.28	23.471031
8066_290047_000005_000002	Thus two days went by, when Daddy Jim and Mammy begged to be allowed to go to the quarters where the Negroes lived, to see their daughter, "Jennie, who was pow'ful bad wid the toothache." They declared they would be back by evening, so Bess was willing.	Thus two days went by, when Daddy Jim and Mammy begged to be allowed to go to the quarters where the Negroes lived, to see their daughter, "Jennie, who was pow'ful bad wid the toothache." They declared they would be back by evening, so Bess was willing.	false	81.68	97.81	20.856533
8066_290047_000005_000003	She put the little girls to bed and persuaded Rob to go; then seated herself by the table with her mother's work-basket, in quaint imitation of Mrs. Mayfield's industry in the evening time.	She put the little girls to bed and persuaded Rob to go; then seated herself by the table with her mother's work basket, in quaint imitation of mrs Mayfield's industry in the evening time.	true	98.42	110.08	21.368887
8066_290047_000005_000004	But what was this?	But what was this?	true	110.93	112.06	25.184837
8066_290047_000005_000005	Her feet touched something cold!	Her feet touched something cold!	true	112.34	114.46	26.427172
8066_290047_000005_000006	She bent down and felt around with her hand.	She bent down and felt around with her hand.	true	114.83	117.61	24.920467
8066_290047_000005_000007	A pool of water was spreading over the floor.	A pool of water was spreading over the floor.	true	117.95	120.73	20.64117
8066_290047_000005_000008	She knew what it was; the Mississippi had broken through the levee.	She knew what it was; the Mississippi had broken through the levee.	false	121.31	125.14	20.251366
8066_290047_000005_000009	What should she do?	What should she do?	true	126.2	127.42	21.166826
8066_290047_000005_000010	Mammy's stories of how homes had been washed away and broken in pieces were in her mind.	Mammy's stories of how homes had been washed away and broken in pieces were in her mind.	true	128.03	133.6	17.986164
8066_290047_000005_000011	"Oh, if I had a boat!" she exclaimed.	"Oh, if I had a boat!" she exclaimed.	true	133.97	136.66	26.958048
8066_290047_000005_000012	"But there isn't anything of the sort on the place." She ran wildly out to look for Mammy; and stumbled over something sitting near the edge of the porch. A sudden inspiration took her.	"But there isn't anything of the sort on the place." She ran wildly out to look for Mammy; and stumbled over something sitting near the edge of the porch. A sudden inspiration took her.	true	136.94	148.42	21.84442
8066_290047_000005_000013	Here was her boat! a very large, old-fashioned, oblong tub.	Here was her boat! a very large, old-fashioned, oblong tub.	true	148.49	153.34	21.742332
8066_290047_000005_000014	The water was now several inches deep on the porch and she contrived to half-float, half-row the tub into the room.	The water was now several inches deep on the porch and she contrived to half float, half row the tub into the room.	true	153.65	161.11	23.111294
8066_290047_000006_000000	Without frightening the children she got them dressed in the warmest clothes they had.	Without frightening the children she got them dressed in the warmest clothes they had.	true	161.96	166.33	25.238092
8066_290047_000006_000001	She lined the oblong tub with a blanket, and made ready bread and cold meat left from supper.	She lined the oblong tub with a blanket, and made ready bread and cold meat left from supper.	true	166.58	172.48	22.716404
8066_290047_000006_000002	With Rob's assistance she dragged the tub upstairs.	With Rob's assistance she dragged the tub upstairs.	true	172.88	176.5	22.560804
8066_290047_000006_000003	There was a single large window in the room, and they set the tub directly by it, so that when the water rose the tub would float out.	There was a single large window in the room, and they set the tub directly by it, so that when the water rose the tub would float out.	true	176.72	185.26	21.406734
8066_290047_000006_000004	There was no way for the children to reach the roof, which was a very steep, inclined one.	There was no way for the children to reach the roof, which was a very steep, inclined one.	true	186.05	191.32	25.012205
8066_290047_000006_000005	It did not seem long before the water had very nearly risen to the top of the stairs leading from below.	It did not seem long before the water had very nearly risen to the top of the stairs leading from below.	true	191.57	197.8	20.522152
8066_290047_000007_000000	Bess flung the window open, and made Rob get into their novel boat; then she lifted in Kate, and finally baby Rose, who began to cry, was given into Rob's arms, and now the little mother, taking the basket of food, made ready to enter, too; but, lo! there was no room for her with safety to the rest.	Bess flung the window open, and made Rob get into their novel boat; then she lifted in Kate, and finally baby Rose, who began to cry, was given into Rob's arms, and now the little mother, taking the basket of food, made ready to enter, too; but, lo! there was no room for her with safety to the rest.	true	198.38	218.38	22.849672
8066_290047_000007_000001	Bess paused a moment, drew a long breath, and kissed the children quietly.	Bess paused a moment, drew a long breath, and kissed the children quietly.	true	218.54	224.11	23.806158
8066_290047_000007_000002	She explained to Rob that he must guard the basket, and that they must sit still.	She explained to Rob that he must guard the basket, and that they must sit still.	true	224.63	228.91	22.733105
8066_290047_000007_000003	"Goodbye, dears.	"Goodbye, dears.	true	230.15	231.25	24.277374
8066_290047_000007_000004	Say a prayer for sister, Rob.	Say a prayer for sister, Rob.	true	231.53	233.44	21.431147
8066_290047_000007_000005	If you ever see father and mother, tell them I took care of you." Then the water seized the insecure vessel, and out into the dark night it floated.	If you ever see father and mother, tell them I took care of you." Then the water seized the insecure vessel, and out into the dark night it floated.	true	233.69	243.45	22.875673
8066_290047_000008_000000	[Illustration: ]	[Illustration: ]	false	243.45	244.02	-20
8066_290047_000009_000000	The next day Mr. Mayfield, who, with his neighbors, scoured the broad lake of eddying water that represented the Mississippi, discovered the tub lodged in the branches of a sycamore with the children weeping and chilled, but safe.	The next day mr Mayfield, who, with his neighbors, scoured the broad lake of eddying water that represented the Mississippi, discovered the tub lodged in the branches of a sycamore with the children weeping and chilled, but safe.	true	244.02	257.59	21.13718
