770_131704_000003_000000	CHAPTER I	CHAPTER one
770_131704_000004_000000	THE AGE OF ELECTRICITY	THE AGE OF ELECTRICITY
770_131704_000005_000000	THE year 1847 marked a period of great territorial acquisition by the American people, with incalculable additions to their actual and potential wealth.	THE year eighteen forty seven marked a period of great territorial acquisition by the American people, with incalculable additions to their actual and potential wealth.
770_131704_000005_000001	By the rational compromise with England in the dispute over the Oregon region, President Polk had secured during 1846, for undisturbed settlement, three hundred thousand square miles of forest, fertile land, and fisheries, including the whole fair Columbia Valley. Our active "policy of the Pacific" dated from that hour.	By the rational compromise with England in the dispute over the Oregon region, President Polk had secured during eighteen forty six, for undisturbed settlement, three hundred thousand square miles of forest, fertile land, and fisheries, including the whole fair Columbia Valley. Our active "policy of the Pacific" dated from that hour.
770_131704_000005_000002	With swift and clinching succession came the melodramatic Mexican War, and February, 1848, saw another vast territory south of Oregon and west of the Rocky Mountains added by treaty to the United States.	With swift and clinching succession came the melodramatic Mexican War, and February, eighteen forty eight, saw another vast territory south of Oregon and west of the Rocky Mountains added by treaty to the United States.
770_131704_000005_000003	Thus in about eighteen months there had been pieced into the national domain for quick development and exploitation a region as large as the entire Union of Thirteen States at the close of the War of Independence.	Thus in about eighteen months there had been pieced into the national domain for quick development and exploitation a region as large as the entire Union of Thirteen States at the close of the War of Independence.
770_131704_000006_000000	Equally momentous were the times in Europe, where the attempt to secure opportunities of expansion as well as larger liberty for the individual took quite different form.	Equally momentous were the times in Europe, where the attempt to secure opportunities of expansion as well as larger liberty for the individual took quite different form.
770_131704_000006_000001	The old absolutist system of government was fast breaking up, and ancient thrones were tottering.	The old absolutist system of government was fast breaking up, and ancient thrones were tottering.
770_131704_000006_000004	But the retrospect indicates that many reforms and political changes were accomplished, although the process involved the exile of not a few ardent spirits to America, to become leading statesmen, inventors, journalists, and financiers.	But the retrospect indicates that many reforms and political changes were accomplished, although the process involved the exile of not a few ardent spirits to America, to become leading statesmen, inventors, journalists, and financiers.
770_131704_000006_000005	In 1847, too, Russia began her tremendous march eastward into Central Asia, just as France was solidifying her first gains on the littoral of northern Africa.	In eighteen forty seven, too, Russia began her tremendous march eastward into Central Asia, just as France was solidifying her first gains on the littoral of northern Africa.
770_131704_000006_000006	In England the fierce fervor of the Chartist movement, with its violent rhetoric as to the rights of man, was sobering down and passing pervasively into numerous practical schemes for social and political amelioration, constituting in their entirety a most profound change throughout every part of the national life.	In England the fierce fervor of the Chartist movement, with its violent rhetoric as to the rights of man, was sobering down and passing pervasively into numerous practical schemes for social and political amelioration, constituting in their entirety a most profound change throughout every part of the national life.
770_131704_000007_000000	Into such times Thomas Alva Edison was born, and his relations to them and to the events of the past sixty years are the subject of this narrative.	Into such times Thomas Alva Edison was born, and his relations to them and to the events of the past sixty years are the subject of this narrative.
770_131704_000007_000001	Aside from the personal interest that attaches to the picturesque career, so typically American, there is a broader aspect in which the work of the "Franklin of the Nineteenth Century" touches the welfare and progress of the race.	Aside from the personal interest that attaches to the picturesque career, so typically American, there is a broader aspect in which the work of the "Franklin of the Nineteenth Century" touches the welfare and progress of the race.
770_131704_000008_000000	Viewed from the standpoint of inventive progress, the first half of the nineteenth century had passed very profitably when Edison appeared--every year marked by some notable achievement in the arts and sciences, with promise of its early and abundant fruition in commerce and industry.	Viewed from the standpoint of inventive progress, the first half of the nineteenth century had passed very profitably when Edison appeared-every year marked by some notable achievement in the arts and sciences, with promise of its early and abundant fruition in commerce and industry.
770_131704_000008_000005	The first photographs had been taken.	The first photographs had been taken.
770_131704_000008_000006	Chloroform, nitrous oxide gas, and ether had been placed at the service of the physician in saving life, and the revolver, guncotton, and nitroglycerine added to the agencies for slaughter.	Chloroform, nitrous oxide gas, and ether had been placed at the service of the physician in saving life, and the revolver, guncotton, and nitroglycerine added to the agencies for slaughter.
770_131704_000008_000010	The application of machinery in the harvest-field had begun with the embryonic reaper, while both the bicycle and the automobile were heralded in primitive prototypes.	The application of machinery in the harvest field had begun with the embryonic reaper, while both the bicycle and the automobile were heralded in primitive prototypes.
770_131704_000008_000011	The gigantic expansion of the iron and steel industry was foreshadowed in the change from wood to coal in the smelting furnaces. The sewing-machine had brought with it, like the friction match, one of the most profound influences in modifying domestic life, and making it different from that of all preceding time.	The gigantic expansion of the iron and steel industry was foreshadowed in the change from wood to coal in the smelting furnaces. The sewing machine had brought with it, like the friction match, one of the most profound influences in modifying domestic life, and making it different from that of all preceding time.
770_131704_000009_000001	But it is when we turn to electricity that the rich virgin condition of an illimitable new kingdom of discovery is seen.	But it is when we turn to electricity that the rich virgin condition of an illimitable new kingdom of discovery is seen.
770_131704_000009_000006	But these few appliances made up the meagre kit of tools with which the nineteenth century entered upon its task of acquiring the arts and conveniences now such an intimate part of "human nature's daily food" that the average American to-day pays more for his electrical service than he does for bread.	But these few appliances made up the meagre kit of tools with which the nineteenth century entered upon its task of acquiring the arts and conveniences now such an intimate part of "human nature's daily food" that the average American to day pays more for his electrical service than he does for bread.
770_131704_000010_000003	For the first time man had command of a steady supply of electricity without toil or effort.	For the first time man had command of a steady supply of electricity without toil or effort.
770_131704_000010_000004	The useful results obtainable previously from the current of a frictional machine were not much greater than those to be derived from the flight of a rocket.	The useful results obtainable previously from the current of a frictional machine were not much greater than those to be derived from the flight of a rocket.
770_131704_000010_000006	No art or trade could be founded on it; no diminution of daily work or increase of daily comfort could be secured with it.	No art or trade could be founded on it; no diminution of daily work or increase of daily comfort could be secured with it.
770_131704_000010_000007	But the little battery with its metal plates in a weak solution proved a perennial reservoir of electrical energy, safe and controllable, from which supplies could be drawn at will.	But the little battery with its metal plates in a weak solution proved a perennial reservoir of electrical energy, safe and controllable, from which supplies could be drawn at will.
770_131704_000010_000008	That which was wild had become domesticated; regular crops took the place of haphazard gleanings from brake or prairie; the possibility of electrical starvation was forever left behind.	That which was wild had become domesticated; regular crops took the place of haphazard gleanings from brake or prairie; the possibility of electrical starvation was forever left behind.
770_131704_000011_000001	Almost all the electrical arts now employed made their beginnings in the next twenty-five years, and while the more extensive of them depend to-day on the dynamo for electrical energy, some of the most important still remain in loyal allegiance to the older source.	Almost all the electrical arts now employed made their beginnings in the next twenty five years, and while the more extensive of them depend to day on the dynamo for electrical energy, some of the most important still remain in loyal allegiance to the older source.
770_131704_000011_000002	The battery itself soon underwent modifications, and new types were evolved--the storage, the double-fluid, and the dry.	The battery itself soon underwent modifications, and new types were evolved-the storage, the double fluid, and the dry.
770_131704_000011_000003	Various analogies next pointed to the use of heat, and the thermoelectric cell emerged, embodying the application of flame to the junction of two different metals.	Various analogies next pointed to the use of heat, and the thermoelectric cell emerged, embodying the application of flame to the junction of two different metals.
770_131704_000011_000007	"Hitch your wagon to a star," said Emerson.	"Hitch your wagon to a star," said Emerson.
770_131704_000011_000008	To all the coal-fields and all the waterfalls Faraday had directly hitched the wheels of industry.	To all the coal fields and all the waterfalls Faraday had directly hitched the wheels of industry.
770_131704_000011_000009	Not only was it now possible to convert mechanical energy into electricity cheaply and in illimitable quantities, but electricity at once showed its ubiquitous availability as a motive power.	Not only was it now possible to convert mechanical energy into electricity cheaply and in illimitable quantities, but electricity at once showed its ubiquitous availability as a motive power.
770_131704_000011_000010	Boats were propelled by it, cars were hauled, and even papers printed.	Boats were propelled by it, cars were hauled, and even papers printed.
770_131704_000011_000011	Electroplating became an art, and telegraphy sprang into active being on both sides of the Atlantic.	Electroplating became an art, and telegraphy sprang into active being on both sides of the Atlantic.
770_131704_000012_000000	At the time Edison was born, in 1847, telegraphy, upon which he was to leave so indelible an imprint, had barely struggled into acceptance by the public.	At the time Edison was born, in eighteen forty seven, telegraphy, upon which he was to leave so indelible an imprint, had barely struggled into acceptance by the public.
770_131704_000012_000001	In England, Wheatstone and Cooke had introduced a ponderous magnetic needle telegraph.	In England, Wheatstone and Cooke had introduced a ponderous magnetic needle telegraph.
770_131704_000012_000004	Everything was crude and primitive.	Everything was crude and primitive.
770_131704_000012_000005	The poles were two hundred feet apart and could barely hold up a wash-line.	The poles were two hundred feet apart and could barely hold up a wash line.
770_131704_000012_000006	The slim, bare, copper wire snapped on the least provocation, and the circuit was "down" for thirty-six days in the first six months.	The slim, bare, copper wire snapped on the least provocation, and the circuit was "down" for thirty six days in the first six months.
770_131704_000012_000007	The little glass-knob insulators made seductive targets for ignorant sportsmen. Attempts to insulate the line wire were limited to coating it with tar or smearing it with wax for the benefit of all the bees in the neighborhood.	The little glass knob insulators made seductive targets for ignorant sportsmen. Attempts to insulate the line wire were limited to coating it with tar or smearing it with wax for the benefit of all the bees in the neighborhood.
770_131704_000012_000008	The farthest western reach of the telegraph lines in 1847 was Pittsburg, with three-ply iron wire mounted on square glass insulators with a little wooden pentroof for protection.	The farthest western reach of the telegraph lines in eighteen forty seven was Pittsburg, with three ply iron wire mounted on square glass insulators with a little wooden pentroof for protection.
770_131704_000012_000009	In that office, where Andrew Carnegie was a messenger boy, the magnets in use to receive the signals sent with the aid of powerful nitric-acid batteries weighed as much as seventy-five pounds apiece.	In that office, where Andrew Carnegie was a messenger boy, the magnets in use to receive the signals sent with the aid of powerful nitric acid batteries weighed as much as seventy five pounds apiece.
770_131704_000012_000010	But the business was fortunately small at the outset, until the new device, patronized chiefly by lottery-men, had proved its utility.	But the business was fortunately small at the outset, until the new device, patronized chiefly by lottery men, had proved its utility.
770_131704_000012_000011	Then came the great outburst of activity.	Then came the great outburst of activity.
770_131704_000012_000012	Within a score of years telegraph wires covered the whole occupied country with a network, and the first great electrical industry was a pronounced success, yielding to its pioneers the first great harvest of electrical fortunes.	Within a score of years telegraph wires covered the whole occupied country with a network, and the first great electrical industry was a pronounced success, yielding to its pioneers the first great harvest of electrical fortunes.
