318_124164_000000_000000	Chapter 50	Chapter fifty	false	21.48	24.78	20.462496
318_124164_000001_000000	Mr. Bennet had very often wished before this period of his life that, instead of spending his whole income, he had laid by an annual sum for the better provision of his children, and of his wife, if she survived him.	mr Bennet had very often wished before this period of his life that, instead of spending his whole income, he had laid by an annual sum for the better provision of his children, and of his wife, if she survived him.	true	24.78	37.81	21.227335
318_124164_000001_000001	He now wished it more than ever.	He now wished it more than ever.	true	38.36	40	18.800545
318_124164_000001_000002	Had he done his duty in that respect, Lydia need not have been indebted to her uncle for whatever of honour or credit could now be purchased for her.	Had he done his duty in that respect, Lydia need not have been indebted to her uncle for whatever of honour or credit could now be purchased for her.	true	40.7	49.06	23.150805
318_124164_000001_000003	The satisfaction of prevailing on one of the most worthless young men in Great Britain to be her husband might then have rested in its proper place.	The satisfaction of prevailing on one of the most worthless young men in Great Britain to be her husband might then have rested in its proper place.	true	49.85	58.21	18.939886
318_124164_000002_000000	He was seriously concerned that a cause of so little advantage to anyone should be forwarded at the sole expense of his brother-in-law, and he was determined, if possible, to find out the extent of his assistance, and to discharge the obligation as soon as he could.	He was seriously concerned that a cause of so little advantage to anyone should be forwarded at the sole expense of his brother in law, and he was determined, if possible, to find out the extent of his assistance, and to discharge the obligation as soon as he could.	true	58.97	73.06	21.371542
318_124164_000003_000000	When first Mr. Bennet had married, economy was held to be perfectly useless, for, of course, they were to have a son.	When first mr Bennet had married, economy was held to be perfectly useless, for, of course, they were to have a son.	true	75.11	81.76	19.787476
318_124164_000003_000001	The son was to join in cutting off the entail, as soon as he should be of age, and the widow and younger children would by that means be provided for.	The son was to join in cutting off the entail, as soon as he should be of age, and the widow and younger children would by that means be provided for.	true	82.4	90.73	20.805513
318_124164_000003_000002	Five daughters successively entered the world, but yet the son was to come; and Mrs. Bennet, for many years after Lydia's birth, had been certain that he would.	Five daughters successively entered the world, but yet the son was to come; and mrs Bennet, for many years after Lydia's birth, had been certain that he would.	false	91.4	100.78	20.626429
318_124164_000003_000003	This event had at last been despaired of, but it was then too late to be saving.	This event had at last been despaired of, but it was then too late to be saving.	true	101.48	105.97	21.83727
318_124164_000003_000004	Mrs. Bennet had no turn for economy, and her husband's love of independence had alone prevented their exceeding their income.	mrs Bennet had no turn for economy, and her husband's love of independence had alone prevented their exceeding their income.	true	106.46	113.23	22.9722
318_124164_000004_000000	Five thousand pounds was settled by marriage articles on Mrs. Bennet and the children.	Five thousand pounds was settled by marriage articles on mrs Bennet and the children.	true	114.68	118.84	18
318_124164_000004_000001	But in what proportions it should be divided amongst the latter depended on the will of the parents.	But in what proportions it should be divided amongst the latter depended on the will of the parents.	true	119.24	123.67	19.99387
318_124164_000004_000002	This was one point, with regard to Lydia, at least, which was now to be settled, and Mr. Bennet could have no hesitation in acceding to the proposal before him.	This was one point, with regard to Lydia, at least, which was now to be settled, and mr Bennet could have no hesitation in acceding to the proposal before him.	true	124.22	132.4	21.078335
318_124164_000004_000003	In terms of grateful acknowledgment for the kindness of his brother, though expressed most concisely, he then delivered on paper his perfect approbation of all that was done, and his willingness to fulfil the engagements that had been made for him.	In terms of grateful acknowledgment for the kindness of his brother, though expressed most concisely, he then delivered on paper his perfect approbation of all that was done, and his willingness to fulfil the engagements that had been made for him.	true	133.31	145.78	20.071856
318_124164_000004_000004	He had never before supposed that, could Wickham be prevailed on to marry his daughter, it would be done with so little inconvenience to himself as by the present arrangement.	He had never before supposed that, could Wickham be prevailed on to marry his daughter, it would be done with so little inconvenience to himself as by the present arrangement.	true	146.45	155.41	22.848747
318_124164_000004_000005	He would scarcely be ten pounds a year the loser by the hundred that was to be paid them; for, what with her board and pocket allowance, and the continual presents in money which passed to her through her mother's hands, Lydia's expenses had been very little within that sum.	He would scarcely be ten pounds a year the loser by the hundred that was to be paid them; for, what with her board and pocket allowance, and the continual presents in money which passed to her through her mother's hands, Lydia's expenses had been very little within that sum.	true	155.96	170.5	20.026804
318_124164_000005_000000	That it would be done with such trifling exertion on his side, too, was another very welcome surprise; for his wish at present was to have as little trouble in the business as possible.	That it would be done with such trifling exertion on his side, too, was another very welcome surprise; for his wish at present was to have as little trouble in the business as possible.	false	172.85	182.02	19.310728
318_124164_000005_000001	When the first transports of rage which had produced his activity in seeking her were over, he naturally returned to all his former indolence.	When the first transports of rage which had produced his activity in seeking her were over, he naturally returned to all his former indolence.	false	182.51	189.61	20.674095
318_124164_000005_000002	His letter was soon dispatched; for, though dilatory in undertaking business, he was quick in its execution.	His letter was soon dispatched; for, though dilatory in undertaking business, he was quick in its execution.	true	190.13	196.6	22.674114
