5776_46889_000000_000000	CHAPTER NINE.	CHAPTER NINE.	false	0.15	14.79	23.990913
5776_46889_000001_000000	A CAPE HORN GALE.	A CAPE HORN GALE.	true	14.79	16.21	26.087688
5776_46889_000002_000000	We stood on to the southward and westward during the remainder of that day, the wind continuing still to freshen, and the sea getting up with most fearful rapidity.	We stood on to the southward and westward during the remainder of that day, the wind continuing still to freshen, and the sea getting up with most fearful rapidity.	true	18.35	27.46	21
5776_46889_000002_000001	The glass fell slowly too, and there appeared to be every prospect of our getting a taste of the quality of the weather for which Cape Horn is so notorious.	The glass fell slowly too, and there appeared to be every prospect of our getting a taste of the quality of the weather for which Cape Horn is so notorious.	true	27.68	36.22	19
5776_46889_000003_000000	As the sun set, the veil of cloud-wrack which had obscured the heavens all day was rent asunder in the western quarter, and we caught a glimpse of the great luminary hanging upon the verge of the horizon like a ball of molten copper.	As the sun set, the veil of cloud wrack which had obscured the heavens all day was rent asunder in the western quarter, and we caught a glimpse of the great luminary hanging upon the verge of the horizon like a ball of molten copper.	false	36.47	49.75	18
5776_46889_000004_000000	His level beams shot for a few moments across the broad expanse of the heaving and wildly-leaping waters, tinging the wave-crests immediately in his wake with deep blood-red, whilst all around elsewhere the angry ocean was darkest indigo.	His level beams shot for a few moments across the broad expanse of the heaving and wildly leaping waters, tinging the wave crests immediately in his wake with deep blood red, whilst all around elsewhere the angry ocean was darkest indigo.	false	50.15	64.84	22
5776_46889_000004_000001	A few rays shot upward, gleaming wildly among the flying scud, and then the orb of day sank into the ocean, shooting abroad as he did so a sudden baleful crimson glare, which gradually died out in the gloom of increasing storm and coming night.	A few rays shot upward, gleaming wildly among the flying scud, and then the orb of day sank into the ocean, shooting abroad as he did so a sudden baleful crimson glare, which gradually died out in the gloom of increasing storm and coming night.	false	64.97	81.43	22.525309
5776_46889_000005_000000	Bob stood by my side watching the wild scene I have so feebly described, and as the sun disappeared, he turned to me and remarked:	Bob stood by my side watching the wild scene I have so feebly described, and as the sun disappeared, he turned to me and remarked:	true	83.81	91.87	22.42515
5776_46889_000006_000000	"My eyes, Harry! what d'ye think of that, lad?	"My eyes, Harry! what d'ye think of that, lad?	true	91.88	94.45	20.641455
5776_46889_000006_000001	To my mind it needs no prophet to tell us with that afore our eyes that we're booked for a reg'lar thorough-bred Cape Horn gale of wind; and my advice as chief- mate of this here barkie is, that we makes her just as snug as we knows how, for, depend upon it, afore morning we shall have as thorough a trial of her seagoin' qualities as we're likely to want for many a day to come."	To my mind it needs no prophet to tell us with that afore our eyes that we're booked for a reg'lar thorough bred Cape Horn gale of wind; and my advice as chief mate of this here barkie is, that we makes her just as snug as we knows how, for, depend upon it, afore morning we shall have as thorough a trial of her seagoin' qualities as we're likely to want for many a day to come."	false	94.55	117.97	22.922289
5776_46889_000007_000000	"My own idea, Bob," replied I; "I have seldom seen a wilder sunset, and if it does not mean wind, and plenty of it too, all my weather-lore must go for nothing, and I shall have to turn to and learn everything over afresh."	"My own idea, Bob," replied I; "I have seldom seen a wilder sunset, and if it does not mean wind, and plenty of it too, all my weather lore must go for nothing, and I shall have to turn to and learn everything over afresh."	false	118.19	133.2	22.182388
