5809_51162_000000_000000	X	X	false	21.24	21.96	-20
5809_51162_000001_000000	ON THE TOW-PATH	ON THE TOW PATH	true	21.96	23.14	25.467688
5809_51162_000002_000000	When they could no longer see Granny, nor hear Fidel, the children sat down on a coil of rope behind the cabin and felt very miserable indeed. Marie was just turning up the corner of her apron to wipe her eyes, and Jan was looking at nothing at all and winking very hard, when good Mother De Smet, came by with a baby waddling along on each side of her. She gave the two dismal little faces a quick glance and then said kindly:	When they could no longer see Granny, nor hear Fidel, the children sat down on a coil of rope behind the cabin and felt very miserable indeed. Marie was just turning up the corner of her apron to wipe her eyes, and Jan was looking at nothing at all and winking very hard, when good Mother De Smet, came by with a baby waddling along on each side of her. She gave the two dismal little faces a quick glance and then said kindly:	true	23.72	52.71	20.888247
5809_51162_000003_000000	"Jan, you run and see if you can't help Father with the tiller, and, Marie, would you mind playing with the babies while I put on the soup-kettle and fix the greens for dinner?	"Jan, you run and see if you can't help Father with the tiller, and, Marie, would you mind playing with the babies while I put on the soup kettle and fix the greens for dinner?	false	52.71	64.09	20.577015
5809_51162_000003_000001	They are beginning to climb everywhere now, and I am afraid they will fall overboard if somebody doesn't watch them every minute!"	They are beginning to climb everywhere now, and I am afraid they will fall overboard if somebody doesn't watch them every minute!"	false	64.58	71.49	19.034014
5809_51162_000004_000000	Jan clattered at once across the deck to Father De Smet, and Marie gladly followed his wife to the open space in front of the cabin where the babies had room to roll about.	Jan clattered at once across the deck to Father De Smet, and Marie gladly followed his wife to the open space in front of the cabin where the babies had room to roll about.	false	71.49	82.57	20.59982
5809_51162_000004_000001	Half an hour later, when Mother De Smet went back to get some potatoes for the soup, she found Jan proudly steering the boat by himself.	Half an hour later, when Mother De Smet went back to get some potatoes for the soup, she found Jan proudly steering the boat by himself.	true	83.21	90.82	21.789349
5809_51162_000005_000000	"Oh, my soul!" she cried in astonishment.	"Oh, my soul!" she cried in astonishment.	true	91.25	94.63	21.643589
5809_51162_000005_000001	"What a clever boy you must be to learn so quickly to handle the tiller.	"What a clever boy you must be to learn so quickly to handle the tiller.	true	94.91	98.88	21
5809_51162_000005_000002	Where is Father De Smet?"	Where is Father De Smet?"	false	98.88	100.69	21.538446
5809_51162_000006_000000	"Here!" boomed a loud voice behind her, and Father De Smet's head appeared above a barrel on the other side of the deck.	"Here!" boomed a loud voice behind her, and Father De Smet's head appeared above a barrel on the other side of the deck.	true	101.33	109.48	21.01557
