957_132537_000000_000000	'This is poor doings!' said Theresa. 'Dear lady! do take some food!	'This is poor doings!' said Theresa. 'Dear lady! do take some food!	false	1.68	2.04	14.4929085
957_132537_000000_000001	I have dressed a pheasant, and a fine one it is.	I have dressed a pheasant, and a fine one it is.	false	2.04	4.56	19.122852
957_132537_000000_000002	Old Monsieur Barreaux sent it this morning, for I saw him yesterday, and told him you were coming.	Old Monsieur Barreaux sent it this morning, for I saw him yesterday, and told him you were coming.	false	4.56	9.51	18.845741
957_132537_000000_000003	And I know nobody that seemed more concerned, when he heard the sad news, then he.'	And I know nobody that seemed more concerned, when he heard the sad news, then he.'	false	9.51	16.14	19.232615
957_132537_000001_000000	'Did he?' said Emily, in a tender voice, while she felt her poor heart warmed for a moment by a ray of sympathy.	'Did he?' said Emily, in a tender voice, while she felt her poor heart warmed for a moment by a ray of sympathy.	false	16.14	17.76	19
957_132537_000002_000000	At length, her spirits were entirely overcome, and she retired to her room.	At length, her spirits were entirely overcome, and she retired to her room.	false	17.76	20.82	15.858488
957_132537_000003_000000	CHAPTER IX	CHAPTER nine	true	20.82	21.88	20
957_132537_000004_000000	Can Music's voice, can Beauty's eye, Can Painting's glowing hand supply A charm so suited to my mind, As blows this hollow gust of wind? As drops this little weeping rill, Soft tinkling down the moss-grown hill; While, through the west, where sinks the crimson day, Meek Twilight slowly sails, and waves her banners gray? MASON	Can Music's voice, can Beauty's eye, Can Painting's glowing hand supply A charm so suited to my mind, As blows this hollow gust of wind? As drops this little weeping rill, Soft tinkling down the moss grown hill; While, through the west, where sinks the crimson day, Meek Twilight slowly sails, and waves her banners gray? MASON	true	24.32	51.4	19.493065
957_132537_000005_000000	Emily, some time after her return to La Vallee, received letters from her aunt, Madame Cheron, in which, after some common-place condolement and advice, she invited her to Tholouse, and added, that, as her late brother had entrusted Emily's EDUCATION to her, she should consider herself bound to overlook her conduct.	Emily, some time after her return to La Vallee, received letters from her aunt, Madame Cheron, in which, after some common place condolement and advice, she invited her to Tholouse, and added, that, as her late brother had entrusted Emily's EDUCATION to her, she should consider herself bound to overlook her conduct.	false	53.42	75.76	19.2482
957_132537_000005_000001	Emily, at this time, wished only to remain at La Vallee, in the scenes of her early happiness, now rendered infinitely dear to her, as the late residence of those, whom she had lost for ever, where she could weep unobserved, retrace their steps, and remember each minute particular of their manners.	Emily, at this time, wished only to remain at La Vallee, in the scenes of her early happiness, now rendered infinitely dear to her, as the late residence of those, whom she had lost for ever, where she could weep unobserved, retrace their steps, and remember each minute particular of their manners.	false	76.67	96.82	19.281666
957_132537_000005_000002	But she was equally anxious to avoid the displeasure of Madame Cheron.	But she was equally anxious to avoid the displeasure of Madame Cheron.	true	97.79	101.59	13
957_132537_000006_000000	Though her affection would not suffer her to question, even a moment, the propriety of St. Aubert's conduct in appointing Madame Cheron for her guardian, she was sensible, that this step had made her happiness depend, in a great degree, on the humour of her aunt.	Though her affection would not suffer her to question, even a moment, the propriety of st Aubert's conduct in appointing Madame Cheron for her guardian, she was sensible, that this step had made her happiness depend, in a great degree, on the humour of her aunt.	false	103.82	120.67	19.248066
957_132537_000006_000001	In her reply, she begged permission to remain, at present, at La Vallee, mentioning the extreme dejection of her spirits, and the necessity she felt for quiet and retirement to restore them.	In her reply, she begged permission to remain, at present, at La Vallee, mentioning the extreme dejection of her spirits, and the necessity she felt for quiet and retirement to restore them.	false	121.97	133.57	18.745655
957_132537_000006_000002	These she knew were not to be found at Madame Cheron's, whose inclinations led her into a life of dissipation, which her ample fortune encouraged; and, having given her answer, she felt somewhat more at ease.	These she knew were not to be found at Madame Cheron's, whose inclinations led her into a life of dissipation, which her ample fortune encouraged; and, having given her answer, she felt somewhat more at ease.	false	134.72	149.56	19.062258
957_132537_000007_000000	In the first days of her affliction, she was visited by Monsieur Barreaux, a sincere mourner for St. Aubert. 'I may well lament my friend,' said he, 'for I shall never meet with his resemblance.	In the first days of her affliction, she was visited by Monsieur Barreaux, a sincere mourner for st Aubert. 'I may well lament my friend,' said he, 'for I shall never meet with his resemblance.	false	151.07	165.76	16.653639
957_132537_000007_000001	If I could have found such a man in what is called society, I should not have left it.'	If I could have found such a man in what is called society, I should not have left it.'	true	166.79	172.35	17.742947
957_132537_000008_000000	M. Barreaux's admiration of her father endeared him extremely to Emily, whose heart found almost its first relief in conversing of her parents, with a man, whom she so much revered, and who, though with such an ungracious appearance, possessed to much goodness of heart and delicacy of mind.	M. Barreaux's admiration of her father endeared him extremely to Emily, whose heart found almost its first relief in conversing of her parents, with a man, whom she so much revered, and who, though with such an ungracious appearance, possessed to much goodness of heart and delicacy of mind.	false	172.35	194.59	18.768576
957_132537_000009_000000	Several weeks passed away in quiet retirement, and Emily's affliction began to soften into melancholy.	Several weeks passed away in quiet retirement, and Emily's affliction began to soften into melancholy.	true	195.62	201.94	20.120745
957_132537_000009_000001	She could bear to read the books she had before read with her father; to sit in his chair in the library--to watch the flowers his hand had planted--to awaken the tones of that instrument his fingers had pressed, and sometimes even to play his favourite air.	She could bear to read the books she had before read with her father; to sit in his chair in the library-to watch the flowers his hand had planted-to awaken the tones of that instrument his fingers had pressed, and sometimes even to play his favourite air.	true	203.6	219.43	18.546207
957_132537_000010_000000	When her mind had recovered from the first shock of affliction, perceiving the danger of yielding to indolence, and that activity alone could restore its tone, she scrupulously endeavoured to pass all her hours in employment.	When her mind had recovered from the first shock of affliction, perceiving the danger of yielding to indolence, and that activity alone could restore its tone, she scrupulously endeavoured to pass all her hours in employment.	true	220.88	235	20.500221
957_132537_000010_000001	And it was now that she understood the full value of the education she had received from St. Aubert, for in cultivating her understanding he had secured her an asylum from indolence, without recourse to dissipation, and rich and varied amusement and information, independent of the society, from which her situation secluded her.	And it was now that she understood the full value of the education she had received from st Aubert, for in cultivating her understanding he had secured her an asylum from indolence, without recourse to dissipation, and rich and varied amusement and information, independent of the society, from which her situation secluded her.	false	236.06	257.83	17.990084
