258_130878_000000_000000	CHAPTER 24	CHAPTER twenty four	true	23.655	25.12	18
258_130878_000001_000000	The Coral Realm	The Coral Realm	true	25.76	27.1	20.386911
258_130878_000002_000000	THE NEXT DAY I woke up with my head unusually clear.	THE NEXT DAY I woke up with my head unusually clear.	true	30.29	33.76	21.421911
258_130878_000002_000001	Much to my surprise, I was in my stateroom.	Much to my surprise, I was in my stateroom.	true	34.25	37.12	21.118353
258_130878_000002_000002	No doubt my companions had been put back in their cabin without noticing it any more than I had. Like me, they would have no idea what took place during the night, and to unravel this mystery I could count only on some future happenstance.	No doubt my companions had been put back in their cabin without noticing it any more than I had. Like me, they would have no idea what took place during the night, and to unravel this mystery I could count only on some future happenstance.	false	37.61	51.97	22.825174
258_130878_000003_000000	I then considered leaving my stateroom.	I then considered leaving my stateroom.	true	53.21	55.45	21.058014
258_130878_000003_000001	Was I free or still a prisoner? Perfectly free.	Was I free or still a prisoner? Perfectly free.	true	55.76	60.16	21.518072
258_130878_000003_000002	I opened my door, headed down the gangways, and climbed the central companionway.	I opened my door, headed down the gangways, and climbed the central companionway.	true	60.35	65.23	21.500586
258_130878_000003_000003	Hatches that had been closed the day before were now open.	Hatches that had been closed the day before were now open.	true	65.66	68.68	23.038748
258_130878_000003_000004	I arrived on the platform.	I arrived on the platform.	true	69.2	71.05	23.007359
258_130878_000004_000000	Ned Land and Conseil were there waiting for me.	Ned Land and Conseil were there waiting for me.	true	72.38	74.83	19.668238
258_130878_000004_000001	I questioned them. They knew nothing.	I questioned them. They knew nothing.	true	75.26	77.68	21.832787
258_130878_000004_000002	Lost in a heavy sleep of which they had no memory, they were quite startled to be back in their cabin.	Lost in a heavy sleep of which they had no memory, they were quite startled to be back in their cabin.	true	78.23	83.56	20.376053
258_130878_000005_000000	As for the Nautilus, it seemed as tranquil and mysterious as ever. It was cruising on the surface of the waves at a moderate speed. Nothing seemed to have changed on board.	As for the Nautilus, it seemed as tranquil and mysterious as ever. It was cruising on the surface of the waves at a moderate speed. Nothing seemed to have changed on board.	true	84.56	95.5	19.369596
258_130878_000006_000000	Ned Land observed the sea with his penetrating eyes.	Ned Land observed the sea with his penetrating eyes.	true	96.59	99.46	19.135612
258_130878_000006_000001	It was deserted. The Canadian sighted nothing new on the horizon, neither sail nor shore. A breeze was blowing noisily from the west, and disheveled by the wind, long billows made the submersible roll very noticeably.	It was deserted. The Canadian sighted nothing new on the horizon, neither sail nor shore. A breeze was blowing noisily from the west, and disheveled by the wind, long billows made the submersible roll very noticeably.	true	100.04	113.92	19.44989
258_130878_000007_000000	After renewing its air, the Nautilus stayed at an average depth of fifteen meters, enabling it to return quickly to the surface of the waves.	After renewing its air, the Nautilus stayed at an average depth of fifteen meters, enabling it to return quickly to the surface of the waves.	true	115.13	123.7	21.70633
258_130878_000007_000001	And, contrary to custom, it executed such a maneuver several times during that day of January 19.	And, contrary to custom, it executed such a maneuver several times during that day of january nineteenth.	true	124.13	130.3	20
258_130878_000007_000002	The chief officer would then climb onto the platform, and his usual phrase would ring through the ship's interior.	The chief officer would then climb onto the platform, and his usual phrase would ring through the ship's interior.	true	131.27	137.2	21.158396
258_130878_000008_000000	As for Captain Nemo, he didn't appear.	As for Captain Nemo, he didn't appear.	true	138.38	140.92	19.772404
258_130878_000008_000001	Of the other men on board, I saw only my emotionless steward, who served me with his usual mute efficiency.	Of the other men on board, I saw only my emotionless steward, who served me with his usual mute efficiency.	false	141.47	148.18	19.042221
258_130878_000009_000000	Near two o'clock I was busy organizing my notes in the lounge, when the captain opened the door and appeared.	Near two o'clock I was busy organizing my notes in the lounge, when the captain opened the door and appeared.	true	149.84	155.47	22.498564
258_130878_000009_000001	I bowed to him. He gave me an almost imperceptible bow in return, without saying a word to me.	I bowed to him. He gave me an almost imperceptible bow in return, without saying a word to me.	true	155.93	161.29	20.654858
258_130878_000009_000002	I resumed my work, hoping he might give me some explanation of the previous afternoon's events.	I resumed my work, hoping he might give me some explanation of the previous afternoon's events.	true	161.99	167.5	20.955881
258_130878_000009_000003	He did nothing of the sort. I stared at him.	He did nothing of the sort. I stared at him.	true	168.2	171.96	17.612692
258_130878_000009_000004	His face looked exhausted; his reddened eyes hadn't been refreshed by sleep; his facial features expressed profound sadness, real chagrin.	His face looked exhausted; his reddened eyes hadn't been refreshed by sleep; his facial features expressed profound sadness, real chagrin.	true	171.96	181.09	20.590649
258_130878_000009_000005	He walked up and down, sat and stood, picked up a book at random, discarded it immediately, consulted his instruments without taking his customary notes, and seemed unable to rest easy for an instant.	He walked up and down, sat and stood, picked up a book at random, discarded it immediately, consulted his instruments without taking his customary notes, and seemed unable to rest easy for an instant.	true	182.03	194.71	21.809069
258_130878_000010_000000	Finally he came over to me and said:	Finally he came over to me and said:	true	195.35	197.56	17.297197
