3221_138045_000001_000000	CHAPTER XXXVII.	CHAPTER thirty seven.
3221_138045_000002_000000	WHEREIN IS CONTINUED THE NOTABLE ADVENTURE OF THE DISTRESSED DUENNA	WHEREIN IS CONTINUED THE NOTABLE ADVENTURE OF THE DISTRESSED DUENNA
3221_138045_000003_000001	God bless me, how he hated them, that same apothecary! And so what I'm thinking is, if all duennas, of whatever sort or condition they may be, are plagues and busybodies, what must they be that are distressed, like this Countess Three-skirts or Three-tails!--for in my country skirts or tails, tails or skirts, it's all one."	God bless me, how he hated them, that same apothecary! And so what I'm thinking is, if all duennas, of whatever sort or condition they may be, are plagues and busybodies, what must they be that are distressed, like this Countess Three skirts or Three tails!--for in my country skirts or tails, tails or skirts, it's all one."
3221_138045_000004_000000	"Hush, friend Sancho," said Don Quixote; "since this lady duenna comes in quest of me from such a distant land she cannot be one of those the apothecary meant; moreover this is a countess, and when countesses serve as duennas it is in the service of queens and empresses, for in their own houses they are mistresses paramount and have other duennas to wait on them."	"Hush, friend Sancho," said Don Quixote; "since this lady duenna comes in quest of me from such a distant land she cannot be one of those the apothecary meant; moreover this is a countess, and when countesses serve as duennas it is in the service of queens and empresses, for in their own houses they are mistresses paramount and have other duennas to wait on them."
3221_138045_000006_000000	"For all that," said Sancho, "there's so much to be clipped about duennas, so my barber said, that 'it will be better not to stir the rice even though it sticks.'"	"For all that," said Sancho, "there's so much to be clipped about duennas, so my barber said, that 'it will be better not to stir the rice even though it sticks.'"
3221_138045_000007_000002	By my faith, if it were permitted me and time allowed, I could prove, not only to those here present, but to all the world, that there is no virtue that is not to be found in a duenna."	By my faith, if it were permitted me and time allowed, I could prove, not only to those here present, but to all the world, that there is no virtue that is not to be found in a duenna."
3221_138045_000009_000000	To which Sancho replied, "Ever since I have sniffed the governorship I have got rid of the humours of a squire, and I don't care a wild fig for all the duennas in the world."	To which Sancho replied, "Ever since I have sniffed the governorship I have got rid of the humours of a squire, and I don't care a wild fig for all the duennas in the world."
3221_138045_000010_000000	They would have carried on this duenna dispute further had they not heard the notes of the fife and drums once more, from which they concluded that the Distressed Duenna was making her entrance.	They would have carried on this duenna dispute further had they not heard the notes of the fife and drums once more, from which they concluded that the Distressed Duenna was making her entrance.
3221_138045_000010_000001	The duchess asked the duke if it would be proper to go out to receive her, as she was a countess and a person of rank.	The duchess asked the duke if it would be proper to go out to receive her, as she was a countess and a person of rank.
3221_138045_000011_000000	"In respect of her being a countess," said Sancho, before the duke could reply, "I am for your highnesses going out to receive her; but in respect of her being a duenna, it is my opinion you should not stir a step."	"In respect of her being a countess," said Sancho, before the duke could reply, "I am for your highnesses going out to receive her; but in respect of her being a duenna, it is my opinion you should not stir a step."
3221_138045_000014_000000	"Sancho is right," said the duke; "we'll see what the countess is like, and by that measure the courtesy that is due to her."	"Sancho is right," said the duke; "we'll see what the countess is like, and by that measure the courtesy that is due to her."
3221_138045_000016_000000	CHAPTER XXXVIII.	CHAPTER thirty eight.
3221_138045_000017_000000	WHEREIN IS TOLD THE DISTRESSED DUENNA'S TALE OF HER MISFORTUNES	WHEREIN IS TOLD THE DISTRESSED DUENNA'S TALE OF HER MISFORTUNES
3221_138045_000019_000003	On seeing this the duke, the duchess, and Don Quixote went some twelve paces forward to meet her.	On seeing this the duke, the duchess, and Don Quixote went some twelve paces forward to meet her.
3221_138045_000023_000001	I am Don Quixote of La Mancha, whose calling it is to give aid to the needy of all sorts; and that being so, it is not necessary for you, senora, to make any appeal to benevolence, or deal in preambles, only to tell your woes plainly and straightforwardly: for you have hearers that will know how, if not to remedy them, to sympathise with them."	I am Don Quixote of La Mancha, whose calling it is to give aid to the needy of all sorts; and that being so, it is not necessary for you, senora, to make any appeal to benevolence, or deal in preambles, only to tell your woes plainly and straightforwardly: for you have hearers that will know how, if not to remedy them, to sympathise with them."
3221_138045_000026_000003	Then, it must not be supposed her intelligence was childish; she was as intelligent as she was fair, and she was fairer than all the world; and is so still, unless the envious fates and hard-hearted sisters three have cut for her the thread of life.	Then, it must not be supposed her intelligence was childish; she was as intelligent as she was fair, and she was fairer than all the world; and is so still, unless the envious fates and hard hearted sisters three have cut for her the thread of life.
3221_138045_000026_000004	But that they have not, for Heaven will not suffer so great a wrong to Earth, as it would be to pluck unripe the grapes of the fairest vineyard on its surface.	But that they have not, for Heaven will not suffer so great a wrong to Earth, as it would be to pluck unripe the grapes of the fairest vineyard on its surface.
3221_138045_000028_000001	Another time he sang:	Another time he sang:
3221_138045_000029_000000	Come Death, so subtly veiled that I Thy coming know not, how or when, Lest it should give me life again To find how sweet it is to die.	Come Death, so subtly veiled that I Thy coming know not, how or when, Lest it should give me life again To find how sweet it is to die.
3221_138045_000030_000009	No, no, not that; marriage must come first in any business of this sort that I take in hand.	No, no, not that; marriage must come first in any business of this sort that I take in hand.
3221_138045_000032_000000	"I will," replied the countess.	"I will," replied the countess.
3221_138045_000035_000000	By every word that Sancho uttered, the duchess was as much delighted as Don Quixote was driven to desperation.	By every word that Sancho uttered, the duchess was as much delighted as Don Quixote was driven to desperation.
3221_138045_000036_000000	"She died, no doubt," said Sancho.	"She died, no doubt," said Sancho.
3221_138045_000039_000000	"Thou art right, Sancho," said Don Quixote, "for with a knight-errant, if he has but two fingers' breadth of good fortune, it is on the cards to become the mightiest lord on earth.	"Thou art right, Sancho," said Don Quixote, "for with a knight errant, if he has but two fingers' breadth of good fortune, it is on the cards to become the mightiest lord on earth.
3221_138045_000039_000001	But let senora the Distressed One proceed; for I suspect she has got yet to tell us the bitter part of this so far sweet story."	But let senora the Distressed One proceed; for I suspect she has got yet to tell us the bitter part of this so far sweet story."
3221_138045_000041_000001	Don Quixote and Sancho were overwhelmed with amazement, and the bystanders lost in astonishment, while the Trifaldi went on to say: "Thus did that malevolent villain Malambruno punish us, covering the tenderness and softness of our faces with these rough bristles!	Don Quixote and Sancho were overwhelmed with amazement, and the bystanders lost in astonishment, while the Trifaldi went on to say: "Thus did that malevolent villain Malambruno punish us, covering the tenderness and softness of our faces with these rough bristles!
3221_138045_000041_000004	What father or mother will feel pity for her?	What father or mother will feel pity for her?
