6286_75355_000000_000000	[Sidenote: Theory that stations actually correspond to faculty.]	[Sidenote: Theory that stations actually correspond to faculty.]	false	18	24.88	23.293795
6286_75355_000001_000000	An aristocratic society might accordingly be a perfect heaven if the variety and superposition of functions in it expressed a corresponding diversity in its members' faculties and ideals.	An aristocratic society might accordingly be a perfect heaven if the variety and superposition of functions in it expressed a corresponding diversity in its members' faculties and ideals.	true	25.88	39.94	22.453617
6286_75355_000001_000001	And, indeed, what aristocratic philosophers have always maintained is that men really differ so much in capacity that one is happier for being a slave, another for being a shopkeeper, and a third for being a king.	And, indeed, what aristocratic philosophers have always maintained is that men really differ so much in capacity that one is happier for being a slave, another for being a shopkeeper, and a third for being a king.	true	40.46	55.75	22.784548
6286_75355_000001_000002	All professions, they say, even the lowest, are or may be vocations.	All professions, they say, even the lowest, are or may be vocations.	true	56.3	62.38	20.587576
6286_75355_000001_000003	Some men, Aristotle tells us, are slaves by nature; only physical functions are spontaneous in them.	Some men, Aristotle tells us, are slaves by nature; only physical functions are spontaneous in them.	true	62.66	69.97	23.280888
6286_75355_000001_000004	So long as they are humanely treated, it is, we may infer, a benefit for them to be commanded; and the contribution their labour makes toward rational life in their betters is the highest dignity they can attain, and should be prized by them as a sufficient privilege.	So long as they are humanely treated, it is, we may infer, a benefit for them to be commanded; and the contribution their labour makes toward rational life in their betters is the highest dignity they can attain, and should be prized by them as a sufficient privilege.	true	70.28	87.49	21.875761
6286_75355_000002_000000	Such assertions, coming from lordly lips, have a suspicious optimism about them; yet the faithful slave, such as the nurse we find in the tragedies, may sometimes have corresponded to that description.	Such assertions, coming from lordly lips, have a suspicious optimism about them; yet the faithful slave, such as the nurse we find in the tragedies, may sometimes have corresponded to that description.	true	87.95	102.61	22.473406
6286_75355_000002_000001	In other regions it is surely true that to advance in conventional station would often entail a loss in true dignity and happiness.	In other regions it is surely true that to advance in conventional station would often entail a loss in true dignity and happiness.	true	103.1	111.94	17
6286_75355_000002_000002	It would seldom benefit a musician to be appointed admiral or a housemaid to become a prima donna.	It would seldom benefit a musician to be appointed admiral or a housemaid to become a prima donna.	true	112.4	118.81	23.26716
6286_75355_000002_000003	Scientific breeding might conceivably develop much more sharply the various temperaments and faculties needed in the state; and then each caste or order of citizens would not be more commonly dissatisfied with its lot than men or women now are with their sex.	Scientific breeding might conceivably develop much more sharply the various temperaments and faculties needed in the state; and then each caste or order of citizens would not be more commonly dissatisfied with its lot than men or women now are with their sex.	false	119.6	137.14	19
6286_75355_000002_000004	One tribe would run errands as persistently as the ants; another would sing like the lark; a third would show a devil's innate fondness for stoking a fiery furnace.	One tribe would run errands as persistently as the ants; another would sing like the lark; a third would show a devil's innate fondness for stoking a fiery furnace.	true	137.51	149.88	20.528189
6286_75355_000003_000000	[Sidenote: Its falsity.]	[Sidenote: Its falsity.]	false	149.88	152.11	19.36475
6286_75355_000004_000000	Aristocracy logically involves castes.	Aristocracy logically involves castes.	true	152.36	156.01	21.668034
6286_75355_000004_000001	But such castes as exist in India, and the social classes we find in the western world, are not now based on any profound difference in race, capacity, or inclination.	But such castes as exist in India, and the social classes we find in the western world, are not now based on any profound difference in race, capacity, or inclination.	true	156.47	168.64	22
6286_75355_000004_000002	They are based probably on the chances of some early war, reinforced by custom and perpetuated by inheritance.	They are based probably on the chances of some early war, reinforced by custom and perpetuated by inheritance.	true	169.07	177.43	23.926174
6286_75355_000004_000003	A certain circulation, corresponding in part to proved ability or disability, takes place in the body politic, and, since the French Revolution, has taken place increasingly.	A certain circulation, corresponding in part to proved ability or disability, takes place in the body politic, and, since the French Revolution, has taken place increasingly.	true	177.86	190.06	22
6286_75355_000004_000004	Some, by energy and perseverance, rise from the bottom; some, by ill fortune or vice, fall from the top.	Some, by energy and perseverance, rise from the bottom; some, by ill fortune or vice, fall from the top.	true	190.46	199.24	22.052853
6286_75355_000004_000005	But these readjustments are insignificant in comparison with the social inertia that perpetuates all the classes, and even such shifts as occur at once re-establish artificial conditions for the next generation.	But these readjustments are insignificant in comparison with the social inertia that perpetuates all the classes, and even such shifts as occur at once re-establish artificial conditions for the next generation.	true	199.82	215.74	23.271328
6286_75355_000004_000006	As a rule, men's station determines their occupation without their gifts determining their station.	As a rule, men's station determines their occupation without their gifts determining their station.	true	216.56	224.2	23.20258
6286_75355_000004_000007	Thus stifled ability in the lower orders, and apathy or pampered incapacity in the higher, unite to deprive society of its natural leaders.	Thus stifled ability in the lower orders, and apathy or pampered incapacity in the higher, unite to deprive society of its natural leaders.	true	224.78	235.68	22
6286_75355_000005_000000	[Sidenote: Feeble individuality the rule.]	[Sidenote: Feeble individuality the rule.]	false	235.68	239.23	20.591919
6286_75355_000006_000000	It would be easy, however, to exaggerate the havoc wrought by such artificial conditions.	It would be easy, however, to exaggerate the havoc wrought by such artificial conditions.	false	240.14	245.92	19
6286_75355_000006_000001	The monotony we observe in mankind must not be charged to the oppressive influence of circumstances crushing the individual soul.	The monotony we observe in mankind must not be charged to the oppressive influence of circumstances crushing the individual soul.	true	246.5	255.61	17
6286_75355_000006_000002	It is not society's fault that most men seem to miss their vocation.	It is not society's fault that most men seem to miss their vocation.	true	255.98	260.56	21.73183
6286_75355_000006_000003	Most men have no vocation; and society, in imposing on them some chance language, some chance religion, and some chance career, first plants an ideal in their bosoms and insinuates into them a sort of racial or professional soul.	Most men have no vocation; and society, in imposing on them some chance language, some chance religion, and some chance career, first plants an ideal in their bosoms and insinuates into them a sort of racial or professional soul.	true	260.99	278.92	21
6286_75355_000006_000004	Their only character is composed of the habits they have been led to acquire.	Their only character is composed of the habits they have been led to acquire.	true	279.26	284.26	25.803442
6286_75355_000006_000005	Some little propensities betrayed in childhood may very probably survive; one man may prove by his dying words that he was congenitally witty, another tender, another brave. But these native qualities will simply have added an ineffectual tint to some typical existence or other; and the vast majority will remain, as Schopenhauer said, _Fabrikwaaren der Natur_.	Some little propensities betrayed in childhood may very probably survive; one man may prove by his dying words that he was congenitally witty, another tender, another brave. But these native qualities will simply have added an ineffectual tint to some typical existence or other; and the vast majority will remain, as Schopenhauer said, underscore Fabrikwaaren der Natur underscore.	false	284.45	315.06	22.58801
6286_75355_000007_000000	Variety in human dreams, like personality among savages, may indeed be inwardly very great, but it is not efficacious.	Variety in human dreams, like personality among savages, may indeed be inwardly very great, but it is not efficacious.	true	315.06	324.4	22.51262
6286_75355_000007_000001	To be socially important and expressible in some common medium, initial differences in temper must be organised into custom and become cumulative by being imitated and enforced.	To be socially important and expressible in some common medium, initial differences in temper must be organised into custom and become cumulative by being imitated and enforced.	true	324.98	338.5	22.436863
6286_75355_000007_000002	The only artists who can show great originality are those trained in distinct and established schools; for originality and genius must be largely fed and raised on the shoulders of some old tradition.	The only artists who can show great originality are those trained in distinct and established schools; for originality and genius must be largely fed and raised on the shoulders of some old tradition.	true	339.17	353.02	22.8355
6286_75355_000007_000003	A rich organisation and heritage, while they predetermine the core of all possible variations, increase their number, since every advance opens up new vistas; and growth, in extending the periphery of the substance organised, multiplies the number of points at which new growths may begin.	A rich organisation and heritage, while they predetermine the core of all possible variations, increase their number, since every advance opens up new vistas; and growth, in extending the periphery of the substance organised, multiplies the number of points at which new growths may begin.	true	354.02	374.49	22.32727
6286_75355_000007_000004	Thus it is only in recent times that discoveries in science have been frequent, because natural science until lately possessed no settled method and no considerable fund of acquired truths.	Thus it is only in recent times that discoveries in science have been frequent, because natural science until lately possessed no settled method and no considerable fund of acquired truths.	false	374.49	387.76	22.41438
6286_75355_000007_000005	So, too, in political society, statesmanship is made possible by traditional policies, generalship by military institutions, great financiers by established commerce.	So, too, in political society, statesmanship is made possible by traditional policies, generalship by military institutions, great financiers by established commerce.	true	388.16	401.77	23.516907
6286_75355_000008_000000	If we ventured to generalise these observations we might say that such an unequal distribution of capacity as might justify aristocracy should be looked for only in civilised states.	If we ventured to generalise these observations we might say that such an unequal distribution of capacity as might justify aristocracy should be looked for only in civilised states.	true	401.84	414.88	18
6286_75355_000008_000001	Savages are born free and equal, but wherever a complex and highly specialised environment limits the loose freedom of those born into it, it also stimulates their capacity. Under forced culture remarkable growths will appear, bringing to light possibilities in men which might, perhaps, not even have been possibilities had they been left to themselves; for mulberry leaves do not of themselves develop into brocade.	Savages are born free and equal, but wherever a complex and highly specialised environment limits the loose freedom of those born into it, it also stimulates their capacity. Under forced culture remarkable growths will appear, bringing to light possibilities in men which might, perhaps, not even have been possibilities had they been left to themselves; for mulberry leaves do not of themselves develop into brocade.	true	415.43	445.21	22.311739
6286_75355_000008_000002	A certain personal idiosyncrasy must be assumed at bottom, else cotton damask would be as good as silk and all men having like opportunities would be equally great.	A certain personal idiosyncrasy must be assumed at bottom, else cotton damask would be as good as silk and all men having like opportunities would be equally great.	true	445.58	457.81	23.892435
6286_75355_000008_000003	This idiosyncrasy is brought out by social pressure, while in a state of nature it might have betrayed itself only in trivial and futile ways, as it does among barbarians.	This idiosyncrasy is brought out by social pressure, while in a state of nature it might have betrayed itself only in trivial and futile ways, as it does among barbarians.	true	457.97	469.83	22.045103
6286_75355_000009_000000	[Sidenote: Sophistical envy.]	[Sidenote: Sophistical envy.]	false	469.83	472.99	25.875666
6286_75355_000010_000000	Distinction is thus in one sense artificial, since it cannot become important or practical unless a certain environment gives play to individual talent and preserves its originality; but distinction nevertheless is perfectly real, and not merely imputed.	Distinction is thus in one sense artificial, since it cannot become important or practical unless a certain environment gives play to individual talent and preserves its originality; but distinction nevertheless is perfectly real, and not merely imputed.	true	475.16	493.39	22.398003
6286_75355_000010_000001	In vain does the man in the street declare that he, too, could have been a king if he had been born in the purple; for that potentiality does not belong to him as he is, but only as he might have been, if _per impossibile_ he had not been himself.	In vain does the man in the street declare that he, too, could have been a king if he had been born in the purple; for that potentiality does not belong to him as he is, but only as he might have been, if underscore per impossibile underscore he had not been himself.	false	494.09	512.28	22.778582
6286_75355_000010_000002	There is a strange metaphysical illusion in imagining that a man might change his parents, his body, his early environment, and yet retain his personality.	There is a strange metaphysical illusion in imagining that a man might change his parents, his body, his early environment, and yet retain his personality.	false	512.28	523.3	21.837383
6286_75355_000010_000003	In its higher faculties his personality is produced by his special relations.	In its higher faculties his personality is produced by his special relations.	false	523.91	529.42	22.825623
6286_75355_000010_000004	If Shakespeare had been born in Italy he might, if you will, have been a great poet, but Shakespeare he could never have been.	If Shakespeare had been born in Italy he might, if you will, have been a great poet, but Shakespeare he could never have been.	true	530.12	538.27	23.019724
6286_75355_000010_000005	Nor can it be called an injustice to all of us who are not Englishmen of Queen Elizabeth's time that Shakespeare had that advantage and was thereby enabled to exist.	Nor can it be called an injustice to all of us who are not Englishmen of Queen Elizabeth's time that Shakespeare had that advantage and was thereby enabled to exist.	true	538.88	549.16	22
6286_75355_000011_000000	The sense of injustice at unequal opportunities arises only when the two environments compared are really somewhat analogous, so that the illusion of a change of roles without a change of characters may retain some colour.	The sense of injustice at unequal opportunities arises only when the two environments compared are really somewhat analogous, so that the illusion of a change of roles without a change of characters may retain some colour.	true	550.31	566.05	22.34512
6286_75355_000011_000001	It was a just insight, for instance, in the Christian fable to make the first rebel against God the chief among the angels, the spirit occupying the position nearest to that which he tried to usurp. Lucifer's fallacy consisted in thinking natural inequality artificial. His perversity lay in rebelling against himself and rejecting the happiness proper to his nature.	It was a just insight, for instance, in the Christian fable to make the first rebel against God the chief among the angels, the spirit occupying the position nearest to that which he tried to usurp. Lucifer's fallacy consisted in thinking natural inequality artificial. His perversity lay in rebelling against himself and rejecting the happiness proper to his nature.	true	566.57	592.81	23.4391
6286_75355_000011_000002	This was the maddest possible way of rebelling against his true creator; for it is our particular finitude that creates us and makes us be.	This was the maddest possible way of rebelling against his true creator; for it is our particular finitude that creates us and makes us be.	false	593.21	603.7	23.882433
