6544_67863_000001_000000	CHAPTER XX	CHAPTER twenty
6544_67863_000002_000000	"TWO LITTLE DARKY GIRLS"	"TWO LITTLE DARKY GIRLS"
6544_67863_000003_000000	"When will Mr. Lincoln be President?" Sylvia asked a few mornings after her father's announcement of his intention to return to Boston.	"When will mr Lincoln be President?" Sylvia asked a few mornings after her father's announcement of his intention to return to Boston.
6544_67863_000004_000000	"He was inaugurated yesterday," replied her mother.	"He was inaugurated yesterday," replied her mother.
6544_67863_000005_000000	"Then can't Captain Carleton go north with us?" asked Sylvia, who had convinced herself that when Mr. Lincoln was in charge of the Government that all the troubles over Charleston's forts would end.	"Then can't Captain Carleton go north with us?" asked Sylvia, who had convinced herself that when mr Lincoln was in charge of the Government that all the troubles over Charleston's forts would end.
6544_67863_000006_000000	But Mrs. Fulton shook her head.	But mrs Fulton shook her head.
6544_67863_000007_000000	"Captain Carleton must stay and perhaps fight to defend the flag," she replied.	"Captain Carleton must stay and perhaps fight to defend the flag," she replied.
6544_67863_000007_000001	"I wish we could leave at once, but we must stay as long as we can."	"I wish we could leave at once, but we must stay as long as we can."
6544_67863_000008_000000	Sylvia listened soberly.	Sylvia listened soberly.
6544_67863_000008_000001	She wondered what her mother would say if she knew of her promise to Mrs. Carleton to take a message to Fort Sumter if Mrs. Carleton should ask her to do so.	She wondered what her mother would say if she knew of her promise to mrs Carleton to take a message to Fort Sumter if mrs Carleton should ask her to do so.
6544_67863_000009_000000	The warm days of early March made the southern city full of fragrance and beauty.	The warm days of early March made the southern city full of fragrance and beauty.
6544_67863_000009_000001	Many flowers were in bloom, the hedges were green, and the air soft and warm.	Many flowers were in bloom, the hedges were green, and the air soft and warm.
6544_67863_000009_000002	Sylvia and Grace often spoke of Flora, and wished that they could again visit the plantation.	Sylvia and Grace often spoke of Flora, and wished that they could again visit the plantation.
6544_67863_000010_000000	Philip had brought Sylvia a letter from Flora, thanking her for the locket, and hoping that they would see each other again.	Philip had brought Sylvia a letter from Flora, thanking her for the locket, and hoping that they would see each other again.
