3180_138043_000000_000000	CHAPTER XXXIII.	CHAPTER thirty three.	false	5.76	42.345	20.805935
3180_138043_000001_000000	OF THE DELECTABLE DISCOURSE WHICH THE DUCHESS AND HER DAMSELS HELD WITH SANCHO PANZA, WELL WORTH READING AND NOTING	OF THE DELECTABLE DISCOURSE WHICH THE DUCHESS AND HER DAMSELS HELD WITH SANCHO PANZA, WELL WORTH READING AND NOTING	true	42.345	50.02	21.606493
3180_138043_000002_000000	The history records that Sancho did not sleep that afternoon, but in order to keep his word came, before he had well done dinner, to visit the duchess, who, finding enjoyment in listening to him, made him sit down beside her on a low seat, though Sancho, out of pure good breeding, wanted not to sit down; the duchess, however, told him he was to sit down as governor and talk as squire, as in both respects he was worthy of even the chair of the Cid Ruy Diaz the Campeador.	The history records that Sancho did not sleep that afternoon, but in order to keep his word came, before he had well done dinner, to visit the duchess, who, finding enjoyment in listening to him, made him sit down beside her on a low seat, though Sancho, out of pure good breeding, wanted not to sit down; the duchess, however, told him he was to sit down as governor and talk as squire, as in both respects he was worthy of even the chair of the Cid Ruy Diaz the Campeador.	false	52.37	87.31	20.636576
3180_138043_000002_000001	Sancho shrugged his shoulders, obeyed, and sat down, and all the duchess's damsels and duennas gathered round him, waiting in profound silence to hear what he would say.	Sancho shrugged his shoulders, obeyed, and sat down, and all the duchess's damsels and duennas gathered round him, waiting in profound silence to hear what he would say.	true	87.8	98.98	19
3180_138043_000002_000002	It was the duchess, however, who spoke first, saying:	It was the duchess, however, who spoke first, saying:	true	99.17	102.46	22.72709
3180_138043_000003_000000	"Now that we are alone, and that there is nobody here to overhear us, I should be glad if the senor governor would relieve me of certain doubts I have, rising out of the history of the great Don Quixote that is now in print.	"Now that we are alone, and that there is nobody here to overhear us, I should be glad if the senor governor would relieve me of certain doubts I have, rising out of the history of the great Don Quixote that is now in print.	false	103.25	117.04	19
3180_138043_000003_000001	One is: inasmuch as worthy Sancho never saw Dulcinea, I mean the lady Dulcinea del Toboso, nor took Don Quixote's letter to her, for it was left in the memorandum book in the Sierra Morena, how did he dare to invent the answer and all that about finding her sifting wheat, the whole story being a deception and falsehood, and so much to the prejudice of the peerless Dulcinea's good name, a thing that is not at all becoming the character and fidelity of a good squire?"	One is: inasmuch as worthy Sancho never saw Dulcinea, I mean the lady Dulcinea del Toboso, nor took Don Quixote's letter to her, for it was left in the memorandum book in the Sierra Morena, how did he dare to invent the answer and all that about finding her sifting wheat, the whole story being a deception and falsehood, and so much to the prejudice of the peerless Dulcinea's good name, a thing that is not at all becoming the character and fidelity of a good squire?"	true	117.59	150.34	21
3180_138043_000004_000000	At these words, Sancho, without uttering one in reply, got up from his chair, and with noiseless steps, with his body bent and his finger on his lips, went all round the room lifting up the hangings; and this done, he came back to his seat and said, "Now, senora, that I have seen that there is no one except the bystanders listening to us on the sly, I will answer what you have asked me, and all you may ask me, without fear or dread. And the first thing I have got to say is, that for my own part I hold my master Don Quixote to be stark mad, though sometimes he says things that, to my mind, and indeed everybody's that listens to him, are so wise, and run in such a straight furrow, that Satan himself could not have said them better; but for all that, really, and beyond all question, it's my firm belief he is cracked.	At these words, Sancho, without uttering one in reply, got up from his chair, and with noiseless steps, with his body bent and his finger on his lips, went all round the room lifting up the hangings; and this done, he came back to his seat and said, "Now, senora, that I have seen that there is no one except the bystanders listening to us on the sly, I will answer what you have asked me, and all you may ask me, without fear or dread. And the first thing I have got to say is, that for my own part one hold my master Don Quixote to be stark mad, though sometimes he says things that, to my mind, and indeed everybody's that listens to him, are so wise, and run in such a straight furrow, that Satan himself could not have said them better; but for all that, really, and beyond all question, it's my firm belief he is cracked.	false	151.91	210.85	19.959187
3180_138043_000004_000001	Well, then, as this is clear to my mind, I can venture to make him believe things that have neither head nor tail, like that affair of the answer to the letter, and that other of six or eight days ago, which is not yet in history, that is to say, the affair of the enchantment of my lady Dulcinea; for I made him believe she is enchanted, though there's no more truth in it than over the hills of Ubeda."	Well, then, as this is clear to my mind, I can venture to make him believe things that have neither head nor tail, like that affair of the answer to the letter, and that other of six or eight days ago, which is not yet in history, that is to say, the affair of the enchantment of my lady Dulcinea; for I made him believe she is enchanted, though there's no more truth in it than over the hills of Ubeda."	false	212	243.93	20.668535
3180_138043_000005_000000	The duchess begged him to tell her about the enchantment or deception, so Sancho told the whole story exactly as it had happened, and his hearers were not a little amused by it; and then resuming, the duchess said, "In consequence of what worthy Sancho has told me, a doubt starts up in my mind, and there comes a kind of whisper to my ear that says, 'If Don Quixote be mad, crazy, and cracked, and Sancho Panza his squire knows it, and, notwithstanding, serves and follows him, and goes trusting to his empty promises, there can be no doubt he must be still madder and sillier than his master; and that being so, it will be cast in your teeth, senora duchess, if you give the said Sancho an island to govern; for how will he who does not know how to govern himself know how to govern others?'"	The duchess begged him to tell her about the enchantment or deception, so Sancho told the whole story exactly as it had happened, and his hearers were not a little amused by it; and then resuming, the duchess said, "In consequence of what worthy Sancho has told me, a doubt starts up in my mind, and there comes a kind of whisper to my ear that says, 'If Don Quixote be mad, crazy, and cracked, and Sancho Panza his squire knows it, and, notwithstanding, serves and follows him, and goes trusting to his empty promises, there can be no doubt he must be still madder and sillier than his master; and that being so, it will be cast in your teeth, senora duchess, if you give the said Sancho an island to govern; for how will he who does not know how to govern himself know how to govern others?'"	false	243.93	302.47	20.60303
3180_138043_000006_000000	"By God, senora," said Sancho, "but that doubt comes timely; but your grace may say it out, and speak plainly, or as you like; for I know what you say is true, and if I were wise I should have left my master long ago; but this was my fate, this was my bad luck; I can't help it, I must follow him; we're from the same village, I've eaten his bread, I'm fond of him, I'm grateful, he gave me his ass-colts, and above all I'm faithful; so it's quite impossible for anything to separate us, except the pickaxe and shovel.	"By God, senora," said Sancho, "but that doubt comes timely; but your grace may say it out, and speak plainly, or as you like; for I know what you say is true, and if I were wise I should have left my master long ago; but this was my fate, this was my bad luck; I can't help it, I must follow him; we're from the same village, I've eaten his bread, I'm fond of him, I'm grateful, he gave me his ass colts, and above all I'm faithful; so it's quite impossible for anything to separate us, except the pickaxe and shovel.	false	305.36	346.9	21.349257
3180_138043_000006_000001	And if your highness does not like to give me the government you promised, God made me without it, and maybe your not giving it to me will be all the better for my conscience, for fool as I am I know the proverb 'to her hurt the ant got wings,' and it may be that Sancho the squire will get to heaven sooner than Sancho the governor. 'They make as good bread here as in France,' and 'by night all cats are grey,' and 'a hard case enough his, who hasn't broken his fast at two in the afternoon,' and 'there's no stomach a hand's breadth bigger than another,' and the same can be filled 'with straw or hay,' as the saying is, and 'the little birds of the field have God for their purveyor and caterer,' and 'four yards of Cuenca frieze keep one warmer than four of Segovia broad-cloth,' and 'when we quit this world and are put underground the prince travels by as narrow a path as the journeyman,' and 'the Pope's body does not take up more feet of earth than the sacristan's,' for all that the one is higher than the other; for when we go to our graves we all pack ourselves up and make ourselves small, or rather they pack us up and make us small in spite of us, and then--good night to us.	And if your highness does not like to give me the government you promised, God made me without it, and maybe your not giving it to me will be all the better for my conscience, for fool as I am I know the proverb 'to her hurt the ant got wings,' and it may be that Sancho the squire will get to heaven sooner than Sancho the governor. 'They make as good bread here as in France,' and 'by night all cats are grey,' and 'a hard case enough his, who hasn't broken his fast at two in the afternoon,' and 'there's no stomach a hand's breadth bigger than another,' and the same can be filled 'with straw or hay,' as the saying is, and 'the little birds of the field have God for their purveyor and caterer,' and 'four yards of Cuenca frieze keep one warmer than four of Segovia broad cloth,' and 'when we quit this world and are put underground the prince travels by as narrow a path as the journeyman,' and 'the Pope's body does not take up more feet of earth than the sacristan's,' for all that the one is higher than the other; for when we go to our graves we all pack ourselves up and make ourselves small, or rather they pack us up and make us small in spite of us, and then-good night to us.	false	348.71	442.72	20.097069
