5002_72876_000000_000000	At Lachine we changed boats and took another to Montreal.	At Lachine we changed boats and took another to Montreal.	false	0	0.54	4
5002_72876_000000_000001	When we arrived there, three priests were waiting for us.	When we arrived there, three priests were waiting for us.	false	0.54	1.11	26.982094
5002_72876_000000_000002	Their names I perfectly remember, but I am not sure that I can spell them correctly. Having never learned while in the nunnery, to read, or spell anything except a simple prayer, it is not strange if I do make mistakes, when attempting to give names from memory.	Their names I perfectly remember, but I am not sure that I can spell them correctly. Having never learned while in the nunnery, to read, or spell anything except a simple prayer, it is not strange if I do make mistakes, when attempting to give names from memory.	false	1.11	7.23	19.295656
5002_72876_000000_000003	I can only give them as they were pronounced.	I can only give them as they were pronounced.	false	7.23	8.25	15.501585
5002_72876_000000_000004	They were called Father Kelly, Dow, and Conroy.	They were called Father Kelly, Dow, and Conroy.	false	8.25	8.94	10
5002_72876_000000_000005	All the priests were called father, of whatever age they might be.	All the priests were called father, of whatever age they might be.	false	8.94	9.54	9
5002_72876_000001_000000	As we proceeded from the boat to the Nunnery, one of the priests went before us while the others walked beside me, leading me between them. People gazed at us as we passed, but they did not dare to insult, or laugh at me, while in such respectable company.	As we proceeded from the boat to the Nunnery, one of the priests went before us while the others walked beside me, leading me between them. People gazed at us as we passed, but they did not dare to insult, or laugh at me, while in such respectable company.	false	9.54	13.08	20.636398
5002_72876_000001_000001	Yet, methinks it must have been a ludicrous sight to witness so much parade for a poor run-a-way nun.	Yet, methinks it must have been a ludicrous sight to witness so much parade for a poor run a way nun.	false	13.08	22.05	23.285538
5002_72876_000002_000000	CHAPTER XV.	CHAPTER fifteen.	true	22.05	23.47	21.713667
5002_72876_000003_000000	CHOICE OF PUNISHMENTS.	CHOICE OF PUNISHMENTS.	true	23.51	25.27	22.587704
5002_72876_000004_000000	On our arrival at the Nunnery, I was left alone for half an hour.	On our arrival at the Nunnery, I was left alone for half an hour.	true	25.7	30.46	17
5002_72876_000004_000001	Then the Bishop came in with the Lady Superior, and the Abbess who had charge of the kitchen when I left.	Then the Bishop came in with the Lady Superior, and the Abbess who had charge of the kitchen when I left.	true	30.8	38.26	20.086155
5002_72876_000004_000002	The Bishop read to me three punishments of which he said, I could take my choice.	The Bishop read to me three punishments of which he said, I could take my choice.	true	38.9	44.98	21.584328
5002_72876_000004_000003	First.--To fast five days in the fasting room.	First.--To fast five days in the fasting room.	true	45.47	49.21	21.608553
5002_72876_000004_000004	Second.--To suffer punishment in the lime room.	Second.--To suffer punishment in the lime room.	true	49.43	53.35	19.530396
5002_72876_000004_000005	Third.--To fast four days, in the cell.	Third.--To fast four days, in the cell.	true	53.51	57.25	20.40955
5002_72876_000004_000006	As I knew nothing of these places except the cell, a priest was directed to take me to them, that I might see for myself, and then take my choice.	As I knew nothing of these places except the cell, a priest was directed to take me to them, that I might see for myself, and then take my choice.	true	57.8	69.91	19.962833
5002_72876_000004_000007	At first, I thought I did not care, and I said I had no choice about it; but when I came to see the rooms, I was thankful that I was not allowed to abide by that decision.	At first, I thought I did not care, and I said I had no choice about it; but when I came to see the rooms, I was thankful that I was not allowed to abide by that decision.	true	70.43	83.77	20.826283
5002_72876_000004_000008	Certainly, I had no idea what was before me.	Certainly, I had no idea what was before me.	true	84.14	87.79	19.813505
5002_72876_000005_000000	I was blindfolded, and taken to the lime room first.	I was blindfolded, and taken to the lime room first.	true	88.7	93.25	20.129244
5002_72876_000005_000001	I think it must have been situated at a great distance from the room we left, for he led me down several flights of stairs, and through long, low passages, where it was impossible to stand erect.	I think it must have been situated at a great distance from the room we left, for he led me down several flights of stairs, and through long, low passages, where it was impossible to stand erect.	true	93.68	108.4	19.514614
5002_72876_000005_000002	At length we entered a room where the atmosphere seemed laden with hot vapor.	At length we entered a room where the atmosphere seemed laden with hot vapor.	true	108.8	115.06	21.120499
5002_72876_000005_000003	My blinder was removed, and I found myself in a pleasant room some fifteen feet square.	My blinder was removed, and I found myself in a pleasant room some fifteen feet square.	true	115.37	122.41	17.87222
