5002_72876_000002_000000	CHAPTER XV.	CHAPTER fifteen.
5002_72876_000003_000000	CHOICE OF PUNISHMENTS.	CHOICE OF PUNISHMENTS.
5002_72876_000004_000001	Then the Bishop came in with the Lady Superior, and the Abbess who had charge of the kitchen when I left.	Then the Bishop came in with the Lady Superior, and the Abbess who had charge of the kitchen when I left.
5002_72876_000004_000002	The Bishop read to me three punishments of which he said, I could take my choice.	The Bishop read to me three punishments of which he said, I could take my choice.
5002_72876_000004_000003	First.--To fast five days in the fasting room.	First.--To fast five days in the fasting room.
5002_72876_000004_000005	Third.--To fast four days, in the cell.	Third.--To fast four days, in the cell.
5002_72876_000004_000007	At first, I thought I did not care, and I said I had no choice about it; but when I came to see the rooms, I was thankful that I was not allowed to abide by that decision.	At first, I thought I did not care, and I said I had no choice about it; but when I came to see the rooms, I was thankful that I was not allowed to abide by that decision.
5002_72876_000005_000000	I was blindfolded, and taken to the lime room first.	I was blindfolded, and taken to the lime room first.
5002_72876_000005_000002	At length we entered a room where the atmosphere seemed laden with hot vapor.	At length we entered a room where the atmosphere seemed laden with hot vapor.
5002_72876_000005_000006	Around the sides of the room, a great number of hooks and chains were fastened to the wall, and a large hook hung in the center overhead.	Around the sides of the room, a great number of hooks and chains were fastened to the wall, and a large hook hung in the center overhead.
5002_72876_000006_000000	The priest directed me to stand upon the bench, and turning to the men, he bade them raise the door.	The priest directed me to stand upon the bench, and turning to the men, he bade them raise the door.
5002_72876_000006_000002	Surprised and terrified, I stood wondering what was to come next.	Surprised and terrified, I stood wondering what was to come next.
5002_72876_000006_000003	At my feet yawned a deep pit, from which, arose a suffocating vapor, so hot, it almost scorched my face and nearly stopped my breath.	At my feet yawned a deep pit, from which, arose a suffocating vapor, so hot, it almost scorched my face and nearly stopped my breath.
5002_72876_000006_000004	The priest pointed to the heaving, tumbling billows of smoke that were rolling below, and; asked, "How would you like to be thrown into the lime?" "Not at all," I gasped, in a voice scarcely audible, "it would burn me to death." I suppose he thought I was sufficiently frightened, for he bade his men close the door.	The priest pointed to the heaving, tumbling billows of smoke that were rolling below, and; asked, "How would you like to be thrown into the lime?" "Not at all," I gasped, in a voice scarcely audible, "it would burn me to death." I suppose he thought I was sufficiently frightened, for he bade his men close the door.
5002_72876_000007_000003	But the sight that met my eyes when my blinder was removed, I cannot describe, nor the sensations with which I gazed upon it.	But the sight that met my eyes when my blinder was removed, I cannot describe, nor the sensations with which I gazed upon it.
