3228_4687_000001_000001	When Sir Percivale saw him do so he marvelled what he meant.	When Sir Percivale saw him do so he marvelled what he meant.
3228_4687_000001_000004	Alas, said Sir Percivale, what have I done?	Alas, said Sir Percivale, what have I done?
3228_4687_000001_000005	I was sent by the queen for to seek you, and so I have sought you nigh this two year, and yonder is Sir Ector de Maris, your brother abideth me on the other side of the yonder water.	I was sent by the queen for to seek you, and so I have sought you nigh this two year, and yonder is Sir Ector de Maris, your brother abideth me on the other side of the yonder water.
3228_4687_000001_000006	Now for God's sake, said Sir Percivale, forgive me mine offences that I have here done.	Now for God's sake, said Sir Percivale, forgive me mine offences that I have here done.
3228_4687_000001_000007	It is soon forgiven, said Sir Launcelot.	It is soon forgiven, said Sir Launcelot.
3228_4687_000003_000000	CHAPTER IX.	CHAPTER nine.
3228_4687_000004_000000	NOW leave we Sir Launcelot in the Joyous Isle with the Lady Dame Elaine, and Sir Percivale and Sir Ector playing with them, and turn we to Sir Bors de Ganis and Sir Lionel, that had sought Sir Launcelot nigh by the space of two year, and never could they hear of him.	NOW leave we Sir Launcelot in the Joyous Isle with the Lady Dame Elaine, and Sir Percivale and Sir Ector playing with them, and turn we to Sir Bors de Ganis and Sir Lionel, that had sought Sir Launcelot nigh by the space of two year, and never could they hear of him.
3228_4687_000004_000001	And as they thus rode, by adventure they came to the house of Brandegore, and there Sir Bors was well known, for he had gotten a child upon the king's daughter fifteen year to-fore, and his name was Helin le Blank.	And as they thus rode, by adventure they came to the house of Brandegore, and there Sir Bors was well known, for he had gotten a child upon the king's daughter fifteen year to fore, and his name was Helin le Blank.
3228_4687_000004_000002	And when Sir Bors saw that child it liked him passing well.	And when Sir Bors saw that child it liked him passing well.
3228_4687_000004_000003	And so those knights had good cheer of the King Brandegore.	And so those knights had good cheer of the King Brandegore.
3228_4687_000004_000005	Sir, said the king, ye may well take him with you, but he is over tender of age.	Sir, said the king, ye may well take him with you, but he is over tender of age.
3228_4687_000004_000006	As for that, said Sir Bors, I will have him with me, and bring him to the house of most worship of the world.	As for that, said Sir Bors, I will have him with me, and bring him to the house of most worship of the world.
3228_4687_000004_000007	So when Sir Bors should depart there was made great sorrow for the departing of Helin le Blank, and great weeping was there made.	So when Sir Bors should depart there was made great sorrow for the departing of Helin le Blank, and great weeping was there made.
3228_4687_000004_000008	But Sir Bors and Sir Lionel departed, and within a while they came to Camelot, where was King Arthur.	But Sir Bors and Sir Lionel departed, and within a while they came to Camelot, where was King Arthur.
3228_4687_000005_000000	Now will we turn to our matter of Sir Launcelot.	Now will we turn to our matter of Sir Launcelot.
3228_4687_000005_000001	It befell upon a day Sir Ector and Sir Percivale came to Sir Launcelot and asked him what he would do, and whether he would go with them unto King Arthur or not.	It befell upon a day Sir Ector and Sir Percivale came to Sir Launcelot and asked him what he would do, and whether he would go with them unto King Arthur or not.
3228_4687_000005_000002	Nay, said Sir Launcelot, that may not be by no mean, for I was so entreated at the court that I cast me never to come there more.	Nay, said Sir Launcelot, that may not be by no mean, for I was so entreated at the court that I cast me never to come there more.
