3228_4687_000000_000000	CHAPTER VIII.	CHAPTER eight.	false	0.48	2.79	30.200579
3228_4687_000000_000001	How each of them knew other, and of their great courtesy, and how his brother Sir Ector came unto him, and of their joy.	How each of them knew other, and of their great courtesy, and how his brother Sir Ector came unto him, and of their joy.	false	2.79	23.295	25.13812
3228_4687_000001_000000	AND therewithal Sir Launcelot kneeled down upon his knees, and threw away his shield and his sword from him.	AND therewithal Sir Launcelot kneeled down upon his knees, and threw away his shield and his sword from him.	false	23.295	29.41	20
3228_4687_000001_000001	When Sir Percivale saw him do so he marvelled what he meant.	When Sir Percivale saw him do so he marvelled what he meant.	true	29.66	33.01	20.941833
3228_4687_000001_000002	And then thus he said: Sir knight, whatsomever thou be, I require thee upon the high order of knighthood, tell me thy true name.	And then thus he said: Sir knight, whatsomever thou be, I require thee upon the high order of knighthood, tell me thy true name.	false	33.29	41.17	24.280716
3228_4687_000001_000003	Then he said: So God me help, my name is Sir Launcelot du Lake, King Ban's son of Benoy.	Then he said: So God me help, my name is Sir Launcelot du Lake, King Ban's son of Benoy.	false	41.45	47.83	21.769817
3228_4687_000001_000004	Alas, said Sir Percivale, what have I done?	Alas, said Sir Percivale, what have I done?	true	48.11	50.74	23.743898
3228_4687_000001_000005	I was sent by the queen for to seek you, and so I have sought you nigh this two year, and yonder is Sir Ector de Maris, your brother abideth me on the other side of the yonder water.	I was sent by the queen for to seek you, and so I have sought you nigh this two year, and yonder is Sir Ector de Maris, your brother abideth me on the other side of the yonder water.	true	50.9	60.82	22.019022
3228_4687_000001_000006	Now for God's sake, said Sir Percivale, forgive me mine offences that I have here done.	Now for God's sake, said Sir Percivale, forgive me mine offences that I have here done.	true	61.1	65.89	25.108614
3228_4687_000001_000007	It is soon forgiven, said Sir Launcelot.	It is soon forgiven, said Sir Launcelot.	true	65.99	68.17	21.76041
3228_4687_000002_000000	Then Sir Percivale sent for Sir Ector de Maris, and when Sir Launcelot had a sight of him, he ran unto him and took him in his arms; and then Sir Ector kneeled down, and either wept upon other, that all had pity to behold them.	Then Sir Percivale sent for Sir Ector de Maris, and when Sir Launcelot had a sight of him, he ran unto him and took him in his arms; and then Sir Ector kneeled down, and either wept upon other, that all had pity to behold them.	false	68.81	81.37	24.649734
3228_4687_000002_000001	Then came Dame Elaine and she there made them great cheer as might lie in her power; and there she told Sir Ector and Sir Percivale how and in what manner Sir Launcelot came into that country, and how he was healed; and there it was known how long Sir Launcelot was with Sir Bliant and with Sir Selivant, and how he first met with them, and how he departed from them because of a boar; and how the hermit healed Sir Launcelot of his great wound, and how that he came to Corbin.	Then came Dame Elaine and she there made them great cheer as might lie in her power; and there she told Sir Ector and Sir Percivale how and in what manner Sir Launcelot came into that country, and how he was healed; and there it was known how long Sir Launcelot was with Sir Bliant and with Sir Selivant, and how he first met with them, and how he departed from them because of a boar; and how the hermit healed Sir Launcelot of his great wound, and how that he came to Corbin.	false	81.71	108.16	22.170256
3228_4687_000003_000000	CHAPTER IX.	CHAPTER nine.	true	109.43	110.49	30.089043
3228_4687_000003_000001	How Sir Bors and Sir Lionel came to King Brandegore, and how Sir Bors took his son Helin le Blank, and of Sir Launcelot.	How Sir Bors and Sir Lionel came to King Brandegore, and how Sir Bors took his son Helin le Blank, and of Sir Launcelot.	false	110.49	110.94	-20
3228_4687_000004_000000	NOW leave we Sir Launcelot in the Joyous Isle with the Lady Dame Elaine, and Sir Percivale and Sir Ector playing with them, and turn we to Sir Bors de Ganis and Sir Lionel, that had sought Sir Launcelot nigh by the space of two year, and never could they hear of him.	NOW leave we Sir Launcelot in the Joyous Isle with the Lady Dame Elaine, and Sir Percivale and Sir Ector playing with them, and turn we to Sir Bors de Ganis and Sir Lionel, that had sought Sir Launcelot nigh by the space of two year, and never could they hear of him.	true	110.94	125.89	22
3228_4687_000004_000001	And as they thus rode, by adventure they came to the house of Brandegore, and there Sir Bors was well known, for he had gotten a child upon the king's daughter fifteen year to-fore, and his name was Helin le Blank.	And as they thus rode, by adventure they came to the house of Brandegore, and there Sir Bors was well known, for he had gotten a child upon the king's daughter fifteen year to fore, and his name was Helin le Blank.	true	125.99	138.28	22.418306
3228_4687_000004_000002	And when Sir Bors saw that child it liked him passing well.	And when Sir Bors saw that child it liked him passing well.	true	138.35	141.73	20.45703
3228_4687_000004_000003	And so those knights had good cheer of the King Brandegore.	And so those knights had good cheer of the King Brandegore.	true	141.74	144.76	22.350298
3228_4687_000004_000004	And on the morn Sir Bors came afore King Brandegore and said: Here is my son Helin le Blank, that as it is said he is my son; and sith it is so, I will that ye wit that I will have him with me unto the court of King Arthur.	And on the morn Sir Bors came afore King Brandegore and said: Here is my son Helin le Blank, that as it is said he is my son; and sith it is so, I will that ye wit that I will have him with me unto the court of King Arthur.	false	144.92	158.17	22.845154
3228_4687_000004_000005	Sir, said the king, ye may well take him with you, but he is over tender of age.	Sir, said the king, ye may well take him with you, but he is over tender of age.	true	158.39	163.65	24.597868
3228_4687_000004_000006	As for that, said Sir Bors, I will have him with me, and bring him to the house of most worship of the world.	As for that, said Sir Bors, I will have him with me, and bring him to the house of most worship of the world.	true	163.65	169.36	26
3228_4687_000004_000007	So when Sir Bors should depart there was made great sorrow for the departing of Helin le Blank, and great weeping was there made.	So when Sir Bors should depart there was made great sorrow for the departing of Helin le Blank, and great weeping was there made.	true	169.46	175.99	24.255909
3228_4687_000004_000008	But Sir Bors and Sir Lionel departed, and within a while they came to Camelot, where was King Arthur.	But Sir Bors and Sir Lionel departed, and within a while they came to Camelot, where was King Arthur.	true	176.09	181.57	24.441301
3228_4687_000004_000009	And when King Arthur understood that Helin le Blank was Sir Bors' son, and nephew unto King Brandegore, then King Arthur let him make knight of the Round Table; and so he proved a good knight and an adventurous.	And when King Arthur understood that Helin le Blank was Sir Bors' son, and nephew unto King Brandegore, then King Arthur let him make knight of the Round Table; and so he proved a good knight and an adventurous.	false	181.79	192.64	24
3228_4687_000005_000000	Now will we turn to our matter of Sir Launcelot.	Now will we turn to our matter of Sir Launcelot.	true	193.1	195.94	21.68701
3228_4687_000005_000001	It befell upon a day Sir Ector and Sir Percivale came to Sir Launcelot and asked him what he would do, and whether he would go with them unto King Arthur or not.	It befell upon a day Sir Ector and Sir Percivale came to Sir Launcelot and asked him what he would do, and whether he would go with them unto King Arthur or not.	true	196.04	204.34	26.838226
3228_4687_000005_000002	Nay, said Sir Launcelot, that may not be by no mean, for I was so entreated at the court that I cast me never to come there more.	Nay, said Sir Launcelot, that may not be by no mean, for I was so entreated at the court that I cast me never to come there more.	true	204.56	211.72	23.96324
3228_4687_000005_000003	Sir, said Sir Ector, I am your brother, and ye are the man in the world that I love most; and if I understood that it were your disworship, ye may understand I would never counsel you thereto; but King Arthur and all his knights, and in especial Queen Guenever, made such dole and sorrow that it was marvel to hear and see.	Sir, said Sir Ector, I am your brother, and ye are the man in the world that I love most; and if I understood that it were your disworship, ye may understand I would never counsel you thereto; but King Arthur and all his knights, and in especial Queen Guenever, made such dole and sorrow that it was marvel to hear and see.	true	211.91	228.97	22.681824
3228_4687_000005_000004	And ye must remember the great worship and renown that ye be of, how that ye have been more spoken of than any other knight that is now living; for there is none that beareth the name now but ye and Sir Tristram.	And ye must remember the great worship and renown that ye be of, how that ye have been more spoken of than any other knight that is now living; for there is none that beareth the name now but ye and Sir Tristram.	false	229.16	240.88	24
3228_4687_000005_000005	Therefore brother, said Sir Ector, make you ready to ride to the court with us, and I dare say there was never knight better welcome to the court than ye; and I wot well and can make it good, said Sir Ector, it hath cost my lady, the queen, twenty thousand pound the seeking of you.	Therefore brother, said Sir Ector, make you ready to ride to the court with us, and I dare say there was never knight better welcome to the court than ye; and I wot well and can make it good, said Sir Ector, it hath cost my lady, the queen, twenty thousand pound the seeking of you.	false	241.07	256.15	24.793854
3228_4687_000005_000006	Well brother, said Sir Launcelot, I will do after your counsel, and ride with you.	Well brother, said Sir Launcelot, I will do after your counsel, and ride with you.	false	256.4	260.59	22.78571
3228_4687_000006_000000	So then they took their horses and made them ready, and took their leave at King Pelles and at Dame Elaine.	So then they took their horses and made them ready, and took their leave at King Pelles and at Dame Elaine.	false	260.99	266.62	23
3228_4687_000006_000001	And when Sir Launcelot should depart Dame Elaine made great sorrow.	And when Sir Launcelot should depart Dame Elaine made great sorrow.	true	266.72	270.16	22
3228_4687_000006_000002	My lord, Sir Launcelot, said Dame Elaine, at this same feast of Pentecost shall your son and mine, Galahad, be made knight, for he is fully now fifteen winter old.	My lord, Sir Launcelot, said Dame Elaine, at this same feast of Pentecost shall your son and mine, Galahad, be made knight, for he is fully now fifteen winter old.	true	270.44	280.06	25.859592
3228_4687_000006_000003	Do as ye list, said Sir Launcelot; God give him grace to prove a good knight.	Do as ye list, said Sir Launcelot; God give him grace to prove a good knight.	false	280.25	284.74	22.595713
3228_4687_000006_000004	As for that, said Dame Elaine, I doubt not he shall prove the best man of his kin except one.	As for that, said Dame Elaine, I doubt not he shall prove the best man of his kin except one.	true	284.75	289.75	25
3228_4687_000006_000005	Then shall he be a man good enough, said Sir Launcelot.	Then shall he be a man good enough, said Sir Launcelot.	true	289.97	293.02	23.245409
3228_4687_000007_000000	CHAPTER X. How Sir Launcelot with Sir Percivale and Sir Ector came to the court, and of the great joy of him.	CHAPTER ten How Sir Launcelot with Sir Percivale and Sir Ector came to the court, and of the great joy of him.	false	293.99	295.32	35.049458
3228_4687_000008_000000	THEN they departed, and within five days' journey they came to Camelot, that is called in English, Winchester.	THEN they departed, and within five days' journey they came to Camelot, that is called in English, Winchester.	true	295.32	301.33	23.955732
3228_4687_000008_000001	And when Sir Launcelot was come among them, the king and all the knights made great joy of him.	And when Sir Launcelot was come among them, the king and all the knights made great joy of him.	true	301.58	306.46	24.589128
3228_4687_000008_000002	And there Sir Percivale de Galis and Sir Ector de Maris began and told the whole adventures: that Sir Launcelot had been out of his mind the time of his absence, and how he called himself Le Chevaler Mal Fet, the knight that had trespassed; and in three days Sir Launcelot smote down five hundred knights.	And there Sir Percivale de Galis and Sir Ector de Maris began and told the whole adventures: that Sir Launcelot had been out of his mind the time of his absence, and how he called himself Le Chevaler Mal Fet, the knight that had trespassed; and in three days Sir Launcelot smote down five hundred knights.	false	306.47	324.04	24.382294
3228_4687_000008_000003	And ever as Sir Ector and Sir Percivale told these tales of Sir Launcelot, Queen Guenever wept as she should have died. Then the queen made great cheer.	And ever as Sir Ector and Sir Percivale told these tales of Sir Launcelot, Queen Guenever wept as she should have died. Then the queen made great cheer.	true	324.59	333.31	24.546183
3228_4687_000008_000004	O Jesu, said King Arthur, I marvel for what cause ye, Sir Launcelot, went out of your mind.	O Jesu, said King Arthur, I marvel for what cause ye, Sir Launcelot, went out of your mind.	true	333.47	339.43	22.783056
3228_4687_000008_000005	I and many others deem it was for the love of fair Elaine, the daughter of King Pelles, by whom ye are noised that ye have gotten a child, and his name is Galahad, and men say he shall do marvels.	I and many others deem it was for the love of fair Elaine, the daughter of King Pelles, by whom ye are noised that ye have gotten a child, and his name is Galahad, and men say he shall do marvels.	false	339.53	350.44	22
3228_4687_000008_000006	My lord, said Sir Launcelot, if I did any folly I have that I sought.	My lord, said Sir Launcelot, if I did any folly I have that I sought.	false	350.81	355.08	22.503458
3228_4687_000008_000007	And therewithal the king spake no more. But all Sir Launcelot's kin knew for whom he went out of his mind.	And therewithal the king spake no more. But all Sir Launcelot's kin knew for whom he went out of his mind.	true	355.08	361	23.95354
3228_4687_000008_000008	And then there were great feasts made and great joy; and many great lords and ladies, when they heard that Sir Launcelot was come to the court again, they made great joy.	And then there were great feasts made and great joy; and many great lords and ladies, when they heard that Sir Launcelot was come to the court again, they made great joy.	true	361.13	370.27	22.758305
3228_4687_000009_000000	CHAPTER XI.	CHAPTER eleven.	true	370.61	371.73	21.988617
3228_4687_000009_000001	How La Beale Isoud counselled Sir Tristram to go unto the court, to the great feast of Pentecost.	How La Beale Isoud counselled Sir Tristram to go unto the court, to the great feast of Pentecost.	false	371.73	372	-20
3228_4687_000010_000000	NOW will we leave off this matter, and speak we of Sir Tristram, and of Sir Palomides that was the Saracen unchristened.	NOW will we leave off this matter, and speak we of Sir Tristram, and of Sir Palomides that was the Saracen unchristened.	true	372	378.43	19
3228_4687_000010_000001	When Sir Tristram was come home unto Joyous Gard from his adventures, all this while that Sir Launcelot was thus missed, two year and more, Sir Tristram bare the renown through all the realm of Logris, and many strange adventures befell him, and full well and manly and worshipfully he brought them to an end.	When Sir Tristram was come home unto Joyous Gard from his adventures, all this while that Sir Launcelot was thus missed, two year and more, Sir Tristram bare the renown through all the realm of Logris, and many strange adventures befell him, and full well and manly and worshipfully he brought them to an end.	false	378.65	395.08	23
3228_4687_000010_000002	So when he was come home La Beale Isoud told him of the great feast that should be at Pentecost next following, and there she told him how Sir Launcelot had been missed two year, and all that while he had been out of his mind, and how he was holpen by the holy vessel, the Sangreal.	So when he was come home La Beale Isoud told him of the great feast that should be at Pentecost next following, and there she told him how Sir Launcelot had been missed two year, and all that while he had been out of his mind, and how he was holpen by the holy vessel, the Sangreal.	false	395.72	410.83	20.863852
3228_4687_000010_000003	Alas, said Sir Tristram, that caused some debate betwixt him and Queen Guenever.	Alas, said Sir Tristram, that caused some debate betwixt him and Queen Guenever.	true	411.05	415.27	23.337234
3228_4687_000010_000004	Sir, said Dame Isoud, I know it all, for Queen Guenever sent me a letter in the which she wrote me all how it was, for to require you to seek him.	Sir, said Dame Isoud, I know it all, for Queen Guenever sent me a letter in the which she wrote me all how it was, for to require you to seek him.	false	415.55	423.94	26.523228
3228_4687_000010_000005	And now, blessed be God, said La Beale Isoud, he is whole and sound and come again to the court.	And now, blessed be God, said La Beale Isoud, he is whole and sound and come again to the court.	false	424.16	429.55	22.8684
3228_4687_000011_000000	Thereof am I glad, said Sir Tristram, and now shall ye and I make us ready, for both ye and I will be at the feast.	Thereof am I glad, said Sir Tristram, and now shall ye and I make us ready, for both ye and I will be at the feast.	true	429.86	436.63	23
3228_4687_000011_000001	Sir, said Isoud, an it please you I will not be there, for through me ye be marked of many good knights, and that caused you to have much more labour for my sake than needeth you.	Sir, said Isoud, an it please you I will not be there, for through me ye be marked of many good knights, and that caused you to have much more labour for my sake than needeth you.	false	436.91	446.83	24
