7995_276908_000000_000000	In the morning hunger paid him a second visit, and found him again in the same situation as before.	In the morning hunger paid him a second visit, and found him again in the same situation as before.	false	0	1.59	29.625257
7995_276908_000000_000001	After some deliberation, therefore, he resolved to ask Robinson to lend him a shilling or two of that money which was lately his own.	After some deliberation, therefore, he resolved to ask Robinson to lend him a shilling or two of that money which was lately his own.	false	1.59	4.56	16.380495
7995_276908_000000_000002	And this experiments he thought, would confirm him either in a good or evil opinion of that gentleman.	And this experiments he thought, would confirm him either in a good or evil opinion of that gentleman.	false	4.56	6.21	15.229943
7995_276908_000001_000000	To this demand Robinson answered, with great alacrity, that he should very gladly have complied, had not fortune played one of her jade tricks with him: "for since my winning of you," said he, "I have been stript not only of your money but my own." He was going to harangue farther; but Booth, with great indignation, turned from him.	To this demand Robinson answered, with great alacrity, that he should very gladly have complied, had not fortune played one of her jade tricks with him: "for since my winning of you," said he, "I have been stript not only of your money but my own." He was going to harangue farther; but Booth, with great indignation, turned from him.	false	6.21	12.57	19.97697
7995_276908_000002_000000	This poor gentleman had very little time to reflect on his own misery, or the rascality, as it appeared to him, of the other, when the same person who had the day before delivered him the guinea from the unknown hand, again accosted him, and told him a lady in the house (so he expressed himself) desired the favour of his company.	This poor gentleman had very little time to reflect on his own misery, or the rascality, as it appeared to him, of the other, when the same person who had the day before delivered him the guinea from the unknown hand, again accosted him, and told him a lady in the house (so he expressed himself) desired the favour of his company.	false	12.57	17.73	21.127802
7995_276908_000003_000000	Mr. Booth immediately obeyed the message, and was conducted into a room in the prison, where he was presently convinced that Mrs. Vincent was no other than his old acquaintance Miss Matthews.	mr Booth immediately obeyed the message, and was conducted into a room in the prison, where he was presently convinced that mrs Vincent was no other than his old acquaintance Miss Matthews.	false	17.73	20.64	21.334911
7995_276908_000004_000000	Chapter vi	Chapter vi	false	20.64	21.54	29.154116
7995_276908_000005_000000	_Containing the extraordinary behaviour of Miss Matthews on her meeting with Booth, and some endeavours to prove, by reason and authority, that it is possible for a woman to appear to be what she really is not._	underscore Containing the extraordinary behaviour of Miss Matthews on her meeting with Booth, and some endeavours to prove, by reason and authority, that it is possible for a woman to appear to be what she really is not.underscore	false	21.54	37.14	24.086441
7995_276908_000006_000000	Eight or nine years had past since any interview between Mr. Booth and Miss Matthews; and their meeting now in so extraordinary a place affected both of them with an equal surprize.	Eight or nine years had past since any interview between mr Booth and Miss Matthews; and their meeting now in so extraordinary a place affected both of them with an equal surprize.	true	37.14	50.2	21.216213
7995_276908_000007_000000	After some immaterial ceremonies, the lady acquainted Mr. Booth that, having heard there was a person in the prison who knew her by the name of Matthews, she had great curiosity to inquire who he was, whereupon he had been shewn to her from the window of the house; that she immediately recollected him, and, being informed of his distressful situation, for which she expressed great concern, she had sent him that guinea which he had received the day before; and then proceeded to excuse herself for not having desired to see him at that time, when she was under the greatest disorder and hurry of spirits.	After some immaterial ceremonies, the lady acquainted mr Booth that, having heard there was a person in the prison who knew her by the name of Matthews, she had great curiosity to inquire who he was, whereupon he had been shewn to her from the window of the house; that she immediately recollected him, and, being informed of his distressful situation, for which she expressed great concern, she had sent him that guinea which he had received the day before; and then proceeded to excuse herself for not having desired to see him at that time, when she was under the greatest disorder and hurry of spirits.	true	50.39	90.58	22.13931
7995_276908_000008_000000	Booth made many handsome acknowledgments of her favour; and added that he very little wondered at the disorder of her spirits, concluding that he was heartily concerned at seeing her there; "but I hope, madam," said he--	Booth made many handsome acknowledgments of her favour; and added that he very little wondered at the disorder of her spirits, concluding that he was heartily concerned at seeing her there; "but I hope, madam," said he-	true	91.49	105.45	22
7995_276908_000009_000000	Here he hesitated; upon which, bursting into an agony of tears, she cried out, "O captain!	Here he hesitated; upon which, bursting into an agony of tears, she cried out, "O captain!	true	105.45	112.92	26.770153
7995_276908_000009_000001	captain! many extraordinary things have passed since last I saw you.	captain! many extraordinary things have passed since last I saw you.	true	112.92	118.39	23
7995_276908_000009_000002	O gracious heaven! did I ever expect that this would be the next place of our meeting?"	O gracious heaven! did I ever expect that this would be the next place of our meeting?"	true	118.52	124.12	24
7995_276908_000010_000000	She then flung herself into her chair, where she gave a loose to her passion, whilst he, in the most affectionate and tender manner, endeavoured to soothe and comfort her; but passion itself did probably more for its own relief than all his friendly consolations.	She then flung herself into her chair, where she gave a loose to her passion, whilst he, in the most affectionate and tender manner, endeavoured to soothe and comfort her; but passion itself did probably more for its own relief than all his friendly consolations.	true	124.19	142.99	22
7995_276908_000010_000001	Having vented this in a large flood of tears, she became pretty well composed; but Booth unhappily mentioning her father, she again relapsed into an agony, and cried out, "Why? why will you repeat the name of that dear man?	Having vented this in a large flood of tears, she became pretty well composed; but Booth unhappily mentioning her father, she again relapsed into an agony, and cried out, "Why? why will you repeat the name of that dear man?	true	143.3	160.09	18.91857
7995_276908_000010_000002	I have disgraced him, Mr. Booth, I am unworthy the name of his daughter."--Here passion again stopped her words, and discharged itself in tears.	I have disgraced him, mr Booth, I am unworthy the name of his daughter."--Here passion again stopped her words, and discharged itself in tears.	true	160.13	171.55	26.322403
7995_276908_000011_000000	After this second vent of sorrow or shame, or, if the reader pleases, of rage, she once more recovered from her agonies.	After this second vent of sorrow or shame, or, if the reader pleases, of rage, she once more recovered from her agonies.	true	171.95	180.61	19
7995_276908_000011_000001	To say the truth, these are, I believe, as critical discharges of nature as any of those which are so called by the physicians, and do more effectually relieve the mind than any remedies with which the whole materia medica of philosophy can supply it.	To say the truth, these are, I believe, as critical discharges of nature as any of those which are so called by the physicians, and do more effectually relieve the mind than any remedies with which the whole materia medica of philosophy can supply it.	true	180.83	198.19	22
7995_276908_000012_000000	When Mrs. Vincent had recovered her faculties, she perceived Booth standing silent, with a mixture of concern and astonishment in his countenance; then addressing herself to him with an air of most bewitching softness, of which she was a perfect mistress, she said, "I do not wonder at your amazement, Captain Booth, nor indeed at the concern which you so plainly discover for me; for I well know the goodness of your nature: but, O, Mr. Booth! believe me, when you know what hath happened since our last meeting, your concern will be raised, however your astonishment may cease.	When mrs Vincent had recovered her faculties, she perceived Booth standing silent, with a mixture of concern and astonishment in his countenance; then addressing herself to him with an air of most bewitching softness, of which she was a perfect mistress, she said, "I do not wonder at your amazement, Captain Booth, nor indeed at the concern which you so plainly discover for me; for I well know the goodness of your nature: but, O, mr Booth! believe me, when you know what hath happened since our last meeting, your concern will be raised, however your astonishment may cease.	false	198.44	240.28	21.443056
7995_276908_000012_000001	O, sir! you are a stranger to the cause of my sorrows."	O, sir! you are a stranger to the cause of my sorrows."	true	240.83	245.32	21.84281
