5266_34501_000004_000001	He was five years older than Levin, and had long been married.	He was five years older than Levin, and had long been married.
5266_34501_000006_000000	Sviazhsky was one of those people, always a source of wonder to Levin, whose convictions, very logical though never original, go one way by themselves, while their life, exceedingly definite and firm in its direction, goes its way quite apart and almost always in direct contradiction to their convictions.	Sviazhsky was one of those people, always a source of wonder to Levin, whose convictions, very logical though never original, go one way by themselves, while their life, exceedingly definite and firm in its direction, goes its way quite apart and almost always in direct contradiction to their convictions.
5266_34501_000006_000006	He believed neither in God nor the devil, but was much concerned about the question of the improvement of the clergy and the maintenance of their revenues, and took special trouble to keep up the church in his village.	He believed neither in God nor the devil, but was much concerned about the question of the improvement of the clergy and the maintenance of their revenues, and took special trouble to keep up the church in his village.
5266_34501_000008_000000	If it had not been a characteristic of Levin's to put the most favorable interpretation on people, Sviazhsky's character would have presented no doubt or difficulty to him: he would have said to himself, "a fool or a knave," and everything would have seemed clear.	If it had not been a characteristic of Levin's to put the most favorable interpretation on people, Sviazhsky's character would have presented no doubt or difficulty to him: he would have said to himself, "a fool or a knave," and everything would have seemed clear.
5266_34501_000008_000001	But he could not say "a fool," because Sviazhsky was unmistakably clever, and moreover, a highly cultivated man, who was exceptionally modest over his culture.	But he could not say "a fool," because Sviazhsky was unmistakably clever, and moreover, a highly cultivated man, who was exceptionally modest over his culture.
5266_34501_000012_000000	The shooting turned out to be worse than Levin had expected.	The shooting turned out to be worse than Levin had expected.
5266_34501_000012_000001	The marsh was dry and there were no grouse at all.	The marsh was dry and there were no grouse at all.
5266_34501_000014_000005	He imagined, probably mistakenly, that this low-necked bodice had been made on his account, and felt that he had no right to look at it, and tried not to look at it; but he felt that he was to blame for the very fact of the low-necked bodice having been made.	He imagined, probably mistakenly, that this low necked bodice had been made on his account, and felt that he had no right to look at it, and tried not to look at it; but he felt that he was to blame for the very fact of the low necked bodice having been made.
5266_34501_000014_000006	It seemed to Levin that he had deceived someone, that he ought to explain something, but that to explain it was impossible, and for that reason he was continually blushing, was ill at ease and awkward.	It seemed to Levin that he had deceived someone, that he ought to explain something, but that to explain it was impossible, and for that reason he was continually blushing, was ill at ease and awkward.
5266_34501_000015_000003	He has so much to do, and he has the faculty of interesting himself in everything.	He has so much to do, and he has the faculty of interesting himself in everything.
5266_34501_000016_000001	The little house covered with ivy, isn't it?"	The little house covered with ivy, isn't it?"
5266_34501_000020_000003	His brilliant black eyes were looking straight at the excited country gentleman with gray whiskers, and apparently he derived amusement from his remarks.	His brilliant black eyes were looking straight at the excited country gentleman with gray whiskers, and apparently he derived amusement from his remarks.
