2256_137597_000000_000000	CHAPTER XXIII.	CHAPTER twenty three.	false	0.36	7.62	25.138636
2256_137597_000000_000001	How Sir Pelleas loved no more Ettard by means of the Damosel of the Lake, whom he loved ever after.	How Sir Pelleas loved no more Ettard by means of the Damosel of the Lake, whom he loved ever after.	false	7.62	35.955	21.27975
2256_137597_000001_000000	SIR KNIGHT PELLEAS, said the Damosel of the Lake, take your horse and come forth with me out of this country, and ye shall love a lady that shall love you.	SIR KNIGHT PELLEAS, said the Damosel of the Lake, take your horse and come forth with me out of this country, and ye shall love a lady that shall love you.	true	35.955	46.93	22.98464
2256_137597_000001_000001	I will well, said Sir Pelleas, for this Lady Ettard hath done me great despite and shame, and there he told her the beginning and ending, and how he had purposed never to have arisen till that he had been dead.	I will well, said Sir Pelleas, for this Lady Ettard hath done me great despite and shame, and there he told her the beginning and ending, and how he had purposed never to have arisen till that he had been dead.	false	48.41	65.74	22.910557
2256_137597_000001_000002	And now such grace God hath sent me, that I hate her as much as ever I loved her, thanked be our Lord Jesus!	And now such grace God hath sent me, that I hate her as much as ever I loved her, thanked be our Lord Jesus!	true	66.14	75.1	22
2256_137597_000001_000003	Thank me, said the Damosel of the Lake.	Thank me, said the Damosel of the Lake.	true	75.8	78.73	24.071737
2256_137597_000001_000004	Anon Sir Pelleas armed him, and took his horse, and commanded his men to bring after his pavilions and his stuff where the Damosel of the Lake would assign.	Anon Sir Pelleas armed him, and took his horse, and commanded his men to bring after his pavilions and his stuff where the Damosel of the Lake would assign.	true	79.34	89.77	20.27354
2256_137597_000001_000005	So the Lady Ettard died for sorrow, and the Damosel of the Lake rejoiced Sir Pelleas, and loved together during their life days.	So the Lady Ettard died for sorrow, and the Damosel of the Lake rejoiced Sir Pelleas, and loved together during their life days.	false	90.02	101.86	21.015675
2256_137597_000002_000000	CHAPTER XXIV.	CHAPTER twenty four.	true	102.68	104.64	22.724112
2256_137597_000002_000001	How Sir Marhaus rode with the damosel, and how he came to the Duke of the South Marches.	How Sir Marhaus rode with the damosel, and how he came to the Duke of the South Marches.	false	104.64	105.39	-8
2256_137597_000003_000000	NOW turn we unto Sir Marhaus, that rode with the damosel of thirty winter of age, southward.	NOW turn we unto Sir Marhaus, that rode with the damosel of thirty winter of age, southward.	true	105.39	112.06	20
2256_137597_000003_000001	And so they came into a deep forest, and by fortune they were nighted, and rode long in a deep way, and at the last they came unto a courtelage, and there they asked harbour.	And so they came into a deep forest, and by fortune they were nighted, and rode long in a deep way, and at the last they came unto a courtelage, and there they asked harbour.	false	112.31	125.475	23.824318
