1987_144135_000000_000000	CHAPTER VIII	CHAPTER eight	false	3.81	28.125	15.416259
1987_144135_000001_000000	It was not long before Chichikov's purchases had become the talk of the town; and various were the opinions expressed as to whether or not it was expedient to procure peasants for transferment.	It was not long before Chichikov's purchases had become the talk of the town; and various were the opinions expressed as to whether or not it was expedient to procure peasants for transferment.	true	28.125	38.2	14
1987_144135_000001_000001	Indeed such was the interest taken by certain citizens in the matter that they advised the purchaser to provide himself and his convoy with an escort, in order to ensure their safe arrival at the appointed destination; but though Chichikov thanked the donors of this advice for the same, and declared that he should be very glad, in case of need, to avail himself of it, he declared also that there was no real need for an escort, seeing that the peasants whom he had purchased were exceptionally peace-loving folk, and that, being themselves consenting parties to the transferment, they would undoubtedly prove in every way tractable.	Indeed such was the interest taken by certain citizens in the matter that they advised the purchaser to provide himself and his convoy with an escort, in order to ensure their safe arrival at the appointed destination; but though Chichikov thanked the donors of this advice for the same, and declared that he should be very glad, in case of need, to avail himself of it, he declared also that there was no real need for an escort, seeing that the peasants whom he had purchased were exceptionally peace loving folk, and that, being themselves consenting parties to the transferment, they would undoubtedly prove in every way tractable.	true	38.45	73.63	12
1987_144135_000002_000000	One particularly good result of this advertisement of his scheme was that he came to rank as neither more nor less than a millionaire. Consequently, much as the inhabitants had liked our hero in the first instance (as seen in Chapter I.), they now liked him more than ever. As a matter of fact, they were citizens of an exceptionally quiet, good-natured, easy-going disposition; and some of them were even well-educated.	One particularly good result of this advertisement of his scheme was that he came to rank as neither more nor less than a millionaire. Consequently, much as the inhabitants had liked our hero in the first instance (as seen in Chapter one), they now liked him more than ever. As a matter of fact, they were citizens of an exceptionally quiet, good-natured, easy going disposition; and some of them were even well educated.	true	74.45	100.93	14
1987_144135_000002_000001	For instance, the President of the Local Council could recite the whole of Zhukovski's LUDMILLA by heart, and give such an impressive rendering of the passage "The pine forest was asleep and the valley at rest" (as well as of the exclamation "Phew!") that one felt, as he did so, that the pine forest and the valley really WERE as he described them.	For instance, the President of the Local Council could recite the whole of Zhukovski's LUDMILLA by heart, and give such an impressive rendering of the passage "The pine forest was asleep and the valley at rest" (as well as of the exclamation "Phew!") that one felt, as he did so, that the pine forest and the valley really WERE as he described them.	false	101.27	124.9	13
1987_144135_000002_000002	The effect was also further heightened by the manner in which, at such moments, he assumed the most portentous frown.	The effect was also further heightened by the manner in which, at such moments, he assumed the most portentous frown.	true	125.3	132.82	13
1987_144135_000002_000003	For his part, the Postmaster went in more for philosophy, and diligently perused such works as Young's Night Thoughts, and Eckharthausen's A Key to the Mysteries of Nature; of which latter work he would make copious extracts, though no one had the slightest notion what they referred to.	For his part, the Postmaster went in more for philosophy, and diligently perused such works as Young's Night Thoughts, and Eckharthausen's A Key to the Mysteries of Nature; of which latter work he would make copious extracts, though no one had the slightest notion what they referred to.	true	134.45	153.88	13
1987_144135_000002_000004	For the rest, he was a witty, florid little individual, and much addicted to a practice of what he called "embellishing" whatsoever he had to say--a feat which he performed with the aid of such by-the-way phrases as "my dear sir," "my good So-and-So," "you know," "you understand," "you may imagine," "relatively speaking," "for instance," and "et cetera"; of which phrases he would add sackfuls to his speech.	For the rest, he was a witty, florid little individual, and much addicted to a practice of what he called "embellishing" whatsoever he had to say-a feat which he performed with the aid of such by the way phrases as "my dear sir," "my good So and So," "you know," "you understand," "you may imagine," "relatively speaking," "for instance," and "et cetera"; of which phrases he would add sackfuls to his speech.	false	154.67	183.49	15
1987_144135_000002_000005	He could also "embellish" his words by the simple expedient of half-closing, half-winking one eye; which trick communicated to some of his satirical utterances quite a mordant effect.	He could also "embellish" his words by the simple expedient of half closing, half winking one eye; which trick communicated to some of his satirical utterances quite a mordant effect.	false	183.95	196.08	15
1987_144135_000002_000006	Nor were his colleagues a wit inferior to him in enlightenment.	Nor were his colleagues a wit inferior to him in enlightenment.	true	196.08	199.6	12
1987_144135_000002_000007	For instance, one of them made a regular practice of reading Karamzin, another of conning the Moscow Gazette, and a third of never looking at a book at all.	For instance, one of them made a regular practice of reading Karamzin, another of conning the Moscow Gazette, and a third of never looking at a book at all.	true	199.73	209.86	13
1987_144135_000002_000008	Likewise, although they were the sort of men to whom, in their more intimate movements, their wives would very naturally address such nicknames as "Toby Jug," "Marmot," "Fatty," "Pot Belly," "Smutty," "Kiki," and "Buzz-Buzz," they were men also of good heart, and very ready to extend their hospitality and their friendship when once a guest had eaten of their bread and salt, or spent an evening in their company. Particularly, therefore, did Chichikov earn these good folk's approval with his taking methods and qualities--so much so that the expression of that approval bid fair to make it difficult for him to quit the town, seeing that, wherever he went, the one phrase dinned into his ears was "Stay another week with us, Paul Ivanovitch." In short, he ceased to be a free agent.	Likewise, although they were the sort of men to whom, in their more intimate movements, their wives would very naturally address such nicknames as "Toby Jug," "Marmot," "Fatty," "Pot Belly," "Smutty," "Kiki," and "Buzz Buzz," they were men also of good heart, and very ready to extend their hospitality and their friendship when once a guest had eaten of their bread and salt, or spent an evening in their company. Particularly, therefore, did Chichikov earn these good folk's approval with his taking methods and qualities-so much so that the expression of that approval bid fair to make it difficult for him to quit the town, seeing that, wherever he went, the one phrase dinned into his ears was "Stay another week with us, Paul Ivanovitch." In short, he ceased to be a free agent.	false	210.26	255.82	14
1987_144135_000002_000009	But incomparably more striking was the impression (a matter for unbounded surprise!) which he produced upon the ladies. Properly to explain this phenomenon I should need to say a great deal about the ladies themselves, and to describe in the most vivid of colours their social intercourse and spiritual qualities.	But incomparably more striking was the impression (a matter for unbounded surprise!) which he produced upon the ladies. Properly to explain this phenomenon I should need to say a great deal about the ladies themselves, and to describe in the most vivid of colours their social intercourse and spiritual qualities.	false	256.07	273.52	14
1987_144135_000002_000010	Yet this would be a difficult thing for me to do, since, on the one hand, I should be hampered by my boundless respect for the womenfolk of all Civil Service officials, and, on the other hand--well, simply by the innate arduousness of the task.	Yet this would be a difficult thing for me to do, since, on the one hand, I should be hampered by my boundless respect for the womenfolk of all Civil Service officials, and, on the other hand-well, simply by the innate arduousness of the task.	false	273.92	286.81	14
1987_144135_000002_000011	The ladies of N. were--But no, I cannot do it; my heart has already failed me.	The ladies of n were-But no, I cannot do it; my heart has already failed me.	true	287.72	293.17	16.23315
1987_144135_000002_000012	Come, come!	Come, come!	true	293.33	294.52	16
1987_144135_000002_000013	The ladies of N. were distinguished for--But it is of no use; somehow my pen seems to refuse to move over the paper--it seems to be weighted as with a plummet of lead.	The ladies of n were distinguished for-But it is of no use; somehow my pen seems to refuse to move over the paper-it seems to be weighted as with a plummet of lead.	false	294.89	305.61	18.192507
1987_144135_000002_000014	Very well.	Very well.	true	305.61	306.49	20
1987_144135_000002_000015	That being so, I will merely say a word or two concerning the most prominent tints on the feminine palette of N.--merely a word or two concerning the outward appearance of its ladies, and a word or two concerning their more superficial characteristics.	That being so, I will merely say a word or two concerning the most prominent tints on the feminine palette of n--merely a word or two concerning the outward appearance of its ladies, and a word or two concerning their more superficial characteristics.	false	306.59	319.93	15
1987_144135_000002_000016	The ladies of N. were pre-eminently what is known as "presentable." Indeed, in that respect they might have served as a model to the ladies of many another town.	The ladies of n were pre eminently what is known as "presentable." Indeed, in that respect they might have served as a model to the ladies of many another town.	false	320.63	330.04	17.34318
1987_144135_000002_000017	That is to say, in whatever pertained to "tone," etiquette, the intricacies of decorum, and strict observance of the prevailing mode, they surpassed even the ladies of Moscow and St. Petersburg, seeing that they dressed with taste, drove about in carriages in the latest fashions, and never went out without the escort of a footman in gold-laced livery.	That is to say, in whatever pertained to "tone," etiquette, the intricacies of decorum, and strict observance of the prevailing mode, they surpassed even the ladies of Moscow and st Petersburg, seeing that they dressed with taste, drove about in carriages in the latest fashions, and never went out without the escort of a footman in gold laced livery.	false	330.32	353.085	13
1987_144135_000002_000018	Again, they looked upon a visiting card--even upon a make-shift affair consisting of an ace of diamonds or a two of clubs--as a sacred thing; so sacred that on one occasion two closely related ladies who had also been closely attached friends were known to fall out with one another over the mere fact of an omission to return a social call!	Again, they looked upon a visiting card-even upon a make shift affair consisting of an ace of diamonds or a two of clubs-as a sacred thing; so sacred that on one occasion two closely related ladies who had also been closely attached friends were known to fall out with one another over the mere fact of an omission to return a social call!	false	353.085	373.99	16
1987_144135_000002_000019	Yes, in spite of the best efforts of husbands and kinsfolk to reconcile the antagonists, it became clear that, though all else in the world might conceivably be possible, never could the hatchet be buried between ladies who had quarrelled over a neglected visit.	Yes, in spite of the best efforts of husbands and kinsfolk to reconcile the antagonists, it became clear that, though all else in the world might conceivably be possible, never could the hatchet be buried between ladies who had quarrelled over a neglected visit.	true	374.51	389.47	17
1987_144135_000002_000020	Likewise strenuous scenes used to take place over questions of precedence--scenes of a kind which had the effect of inspiring husbands to great and knightly ideas on the subject of protecting the fair.	Likewise strenuous scenes used to take place over questions of precedence-scenes of a kind which had the effect of inspiring husbands to great and knightly ideas on the subject of protecting the fair.	true	389.51	400.3	13
1987_144135_000002_000021	True, never did a duel actually take place, since all the husbands were officials belonging to the Civil Service; but at least a given combatant would strive to heap contumely upon his rival, and, as we all know, that is a resource which may prove even more effectual than a duel.	True, never did a duel actually take place, since all the husbands were officials belonging to the Civil Service; but at least a given combatant would strive to heap contumely upon his rival, and, as we all know, that is a resource which may prove even more effectual than a duel.	false	400.67	415.93	14
1987_144135_000002_000022	As regards morality, the ladies of N. were nothing if not censorious, and would at once be fired with virtuous indignation when they heard of a case of vice or seduction.	As regards morality, the ladies of n were nothing if not censorious, and would at once be fired with virtuous indignation when they heard of a case of vice or seduction.	false	416.6	426.7	12
1987_144135_000002_000023	Nay, even to mere frailty they would award the lash without mercy.	Nay, even to mere frailty they would award the lash without mercy.	true	427.07	431.26	12
1987_144135_000002_000024	On the other hand, should any instance of what they called "third personism" occur among THEIR OWN circle, it was always kept dark--not a hint of what was going on being allowed to transpire, and even the wronged husband holding himself ready, should he meet with, or hear of, the "third person," to quote, in a mild and rational manner, the proverb, "Whom concerns it that a friend should consort with friend?"	On the other hand, should any instance of what they called "third personism" occur among THEIR OWN circle, it was always kept dark-not a hint of what was going on being allowed to transpire, and even the wronged husband holding himself ready, should he meet with, or hear of, the "third person," to quote, in a mild and rational manner, the proverb, "Whom concerns it that a friend should consort with friend?"	true	431.63	458.29	16.582853
1987_144135_000002_000025	In addition, I may say that, like most of the female world of St. Petersburg, the ladies of N. were pre-eminently careful and refined in their choice of words and phrases. Never did a lady say, "I blew my nose," or "I perspired," or "I spat." No, it had to be, "I relieved my nose through the expedient of wiping it with my handkerchief," and so forth.	In addition, I may say that, like most of the female world of st Petersburg, the ladies of n were pre eminently careful and refined in their choice of words and phrases. Never did a lady say, "I blew my nose," or "I perspired," or "I spat." No, it had to be, "I relieved my nose through the expedient of wiping it with my handkerchief," and so forth.	false	458.75	479.8	13
1987_144135_000002_000026	Again, to say, "This glass, or this plate, smells badly," was forbidden.	Again, to say, "This glass, or this plate, smells badly," was forbidden.	true	479.87	484.41	13
1987_144135_000002_000027	No, not even a hint to such an effect was to be dropped.	No, not even a hint to such an effect was to be dropped.	true	484.41	487.51	15
1987_144135_000002_000028	Rather, the proper phrase, in such a case, was "This glass, or this plate, is not behaving very well,"--or some such formula.	Rather, the proper phrase, in such a case, was "This glass, or this plate, is not behaving very well,"--or some such formula.	false	487.52	494.62	13
1987_144135_000003_000000	In fact, to refine the Russian tongue the more thoroughly, something like half the words in it were cut out: which circumstance necessitated very frequent recourse to the tongue of France, since the same words, if spoken in French, were another matter altogether, and one could use even blunter ones than the ones originally objected to.	In fact, to refine the Russian tongue the more thoroughly, something like half the words in it were cut out: which circumstance necessitated very frequent recourse to the tongue of France, since the same words, if spoken in French, were another matter altogether, and one could use even blunter ones than the ones originally objected to.	false	494.84	513.225	14
1987_144135_000004_000000	So much for the ladies of N., provided that one confines one's observations to the surface; yet hardly need it be said that, should one penetrate deeper than that, a great deal more would come to light.	So much for the ladies of n, provided that one confines one's observations to the surface; yet hardly need it be said that, should one penetrate deeper than that, a great deal more would come to light.	true	513.225	524.17	16
1987_144135_000004_000001	At the same time, it is never a very safe proceeding to peer deeply into the hearts of ladies; wherefore, restricting ourselves to the foregoing superficialities, let us proceed further on our way.	At the same time, it is never a very safe proceeding to peer deeply into the hearts of ladies; wherefore, restricting ourselves to the foregoing superficialities, let us proceed further on our way.	true	524.39	535.54	18.94743
1987_144135_000005_000000	Hitherto the ladies had paid Chichikov no particular attention, though giving him full credit for his gentlemanly and urbane demeanour; but from the moment that there arose rumours of his being a millionaire other qualities of his began to be canvassed.	Hitherto the ladies had paid Chichikov no particular attention, though giving him full credit for his gentlemanly and urbane demeanour; but from the moment that there arose rumours of his being a millionaire other qualities of his began to be canvassed.	true	535.88	550.75	19
1987_144135_000005_000001	Nevertheless, not ALL the ladies were governed by interested motives, since it is due to the term "millionaire" rather than to the character of the person who bears it, that the mere sound of the word exercises upon rascals, upon decent folk, and upon folk who are neither the one nor the other, an undeniable influence.	Nevertheless, not ALL the ladies were governed by interested motives, since it is due to the term "millionaire" rather than to the character of the person who bears it, that the mere sound of the word exercises upon rascals, upon decent folk, and upon folk who are neither the one nor the other, an undeniable influence.	false	550.94	568.81	16
