7169_89735_000004_000000	III	three
7169_89735_000005_000000	A POINT OF INTERROGATION	A POINT OF INTERROGATION
7169_89735_000006_000000	The man from Scotland Yard had just surrendered hat, coat, and umbrella to the vestiaire and was turning through swinging doors to the dining-room.	The man from Scotland Yard had just surrendered hat, coat, and umbrella to the vestiaire and was turning through swinging doors to the dining room.
7169_89735_000006_000001	Again, embracing Lanyard, his glance seemed devoid of any sort of intelligible expression; and if its object needed all his self-possession in that moment, it was to dissemble relief rather than dismay.	Again, embracing Lanyard, his glance seemed devoid of any sort of intelligible expression; and if its object needed all his self possession in that moment, it was to dissemble relief rather than dismay.
7169_89735_000006_000002	An accent of the fortuitous distinguished this second encounter too persuasively to excuse further misgivings.	An accent of the fortuitous distinguished this second encounter too persuasively to excuse further misgivings.
7169_89735_000007_000000	Furthermore, before quitting the lobby, Roddy paused long enough to instruct the vestiaire to have a fire laid in his room.	Furthermore, before quitting the lobby, Roddy paused long enough to instruct the vestiaire to have a fire laid in his room.
7169_89735_000010_000000	This last disposed of; Lanyard surrendered himself to new impressions--of which the first proved a bit disheartening.	This last disposed of; Lanyard surrendered himself to new impressions-of which the first proved a bit disheartening.
7169_89735_000011_000000	However impulsively, he hadn't resought Troyon's without definite intent, to wit, to gain some clue, however slender, to the mystery of that wretched child, Marcel.	However impulsively, he hadn't resought Troyon's without definite intent, to wit, to gain some clue, however slender, to the mystery of that wretched child, Marcel.
7169_89735_000011_000001	But now it appeared he had procrastinated fatally: Time and Change had left little other than the shell of the Troyon's he remembered.	But now it appeared he had procrastinated fatally: Time and Change had left little other than the shell of the Troyon's he remembered.
7169_89735_000011_000002	Papa Troyon was gone; Madame no longer occupied the desk of the caisse; enquiries, so discreetly worded as to be uncompromising, elicited from the maitre-d'hotel the information that the house had been under new management these eighteen months; the old proprietor was dead, and his widow had sold out lock, stock and barrel, and retired to the country--it was not known exactly where.	Papa Troyon was gone; Madame no longer occupied the desk of the caisse; enquiries, so discreetly worded as to be uncompromising, elicited from the maitre d'hotel the information that the house had been under new management these eighteen months; the old proprietor was dead, and his widow had sold out lock, stock and barrel, and retired to the country-it was not known exactly where.
7169_89735_000011_000003	And with the new administration had come fresh decorations and furnishings as well as a complete change of personnel: not even one of the old waiters remained.	And with the new administration had come fresh decorations and furnishings as well as a complete change of personnel: not even one of the old waiters remained.
7169_89735_000012_000000	"'All, all are gone, the old familiar faces,'" Lanyard quoted in vindictive melancholy--"damn 'em!"	"'All, all are gone, the old familiar faces,'" Lanyard quoted in vindictive melancholy-"damn 'em!"
7169_89735_000014_000000	Other impressions, less ultimate, proved puzzling, disconcerting, and paradoxically reassuring.	Other impressions, less ultimate, proved puzzling, disconcerting, and paradoxically reassuring.
7169_89735_000015_000000	Lanyard commanded a fair view of Roddy across the waist of the room. The detective had ordered a meal that matched his aspect well--both of true British simplicity.	Lanyard commanded a fair view of Roddy across the waist of the room. The detective had ordered a meal that matched his aspect well-both of true British simplicity.
7169_89735_000016_000000	Now one doesn't read the Paris edition of the London Daily Mail with tense excitement.	Now one doesn't read the Paris edition of the London Daily Mail with tense excitement.
7169_89735_000016_000001	Humanly speaking, it can't be done.	Humanly speaking, it can't be done.
7169_89735_000017_000000	Where, then, was the object of this so sedulously dissembled interest?	Where, then, was the object of this so sedulously dissembled interest?
7169_89735_000019_000000	Despite the lateness of the hour, which had by now turned ten o'clock, the restaurant had a dozen tables or so in the service of guests pleasantly engaged in lengthening out an agreeable evening with dessert, coffee, liqueurs and cigarettes.	Despite the lateness of the hour, which had by now turned ten o'clock, the restaurant had a dozen tables or so in the service of guests pleasantly engaged in lengthening out an agreeable evening with dessert, coffee, liqueurs and cigarettes.
7169_89735_000019_000001	The majority of these were in couples, but at a table one removed from Roddy's sat a party of three; and Lanyard noticed, or fancied, that the man from Scotland Yard turned his newspaper only during lulls in the conversation in this quarter.	The majority of these were in couples, but at a table one removed from Roddy's sat a party of three; and Lanyard noticed, or fancied, that the man from Scotland Yard turned his newspaper only during lulls in the conversation in this quarter.
7169_89735_000021_000000	For the instant they seemed to explore Lanyard's very soul with a look of remote and impersonal curiosity; then they fell away; and when next the adventurer looked, the man had turned to attend to some observation of one of his companions.	For the instant they seemed to explore Lanyard's very soul with a look of remote and impersonal curiosity; then they fell away; and when next the adventurer looked, the man had turned to attend to some observation of one of his companions.
7169_89735_000022_000000	On his right sat a girl who might be his daughter; for not only was she, too, hall-marked American, but she was far too young to be the other's wife.	On his right sat a girl who might be his daughter; for not only was she, too, hall marked American, but she was far too young to be the other's wife.
