1392_140654_000002_000001	Let us live happily then, though we call nothing our own!	Let us live happily then, though we call nothing our own!
1392_140654_000003_000001	Victory breeds hatred, for the conquered is unhappy.	Victory breeds hatred, for the conquered is unhappy.
1392_140654_000003_000002	He who has given up both victory and defeat, he, the contented, is happy.	He who has given up both victory and defeat, he, the contented, is happy.
1392_140654_000004_000001	There is no fire like passion; there is no losing throw like hatred; there is no pain like this body; there is no happiness higher than rest.	There is no fire like passion; there is no losing throw like hatred; there is no pain like this body; there is no happiness higher than rest.
1392_140654_000006_000001	Health is the greatest of gifts, contentedness the best riches; trust is the best of relationships, Nirvana the highest happiness.	Health is the greatest of gifts, contentedness the best riches; trust is the best of relationships, Nirvana the highest happiness.
1392_140654_000007_000001	He who has tasted the sweetness of solitude and tranquillity, is free from fear and free from sin, while he tastes the sweetness of drinking in the law.	He who has tasted the sweetness of solitude and tranquillity, is free from fear and free from sin, while he tastes the sweetness of drinking in the law.
1392_140654_000008_000001	The sight of the elect (Arya) is good, to live with them is always happiness; if a man does not see fools, he will be truly happy.	The sight of the elect (Arya) is good, to live with them is always happiness; if a man does not see fools, he will be truly happy.
1392_140654_000009_000001	He who walks in the company of fools suffers a long way; company with fools, as with an enemy, is always painful; company with the wise is pleasure, like meeting with kinsfolk.	He who walks in the company of fools suffers a long way; company with fools, as with an enemy, is always painful; company with the wise is pleasure, like meeting with kinsfolk.
1392_140654_000011_000000	Chapter XVI.	Chapter sixteen.
1392_140654_000011_000001	Pleasure	Pleasure
1392_140654_000012_000001	He who gives himself to vanity, and does not give himself to meditation, forgetting the real aim (of life) and grasping at pleasure, will in time envy him who has exerted himself in meditation.	He who gives himself to vanity, and does not give himself to meditation, forgetting the real aim (of life) and grasping at pleasure, will in time envy him who has exerted himself in meditation.
1392_140654_000013_000001	Let no man ever look for what is pleasant, or what is unpleasant. Not to see what is pleasant is pain, and it is pain to see what is unpleasant.	Let no man ever look for what is pleasant, or what is unpleasant. Not to see what is pleasant is pain, and it is pain to see what is unpleasant.
1392_140654_000014_000001	Let, therefore, no man love anything; loss of the beloved is evil. Those who love nothing and hate nothing, have no fetters.	Let, therefore, no man love anything; loss of the beloved is evil. Those who love nothing and hate nothing, have no fetters.
1392_140654_000015_000001	From pleasure comes grief, from pleasure comes fear; he who is free from pleasure knows neither grief nor fear.	From pleasure comes grief, from pleasure comes fear; he who is free from pleasure knows neither grief nor fear.
1392_140654_000020_000001	He who possesses virtue and intelligence, who is just, speaks the truth, and does what is his own business, him the world will hold dear.	He who possesses virtue and intelligence, who is just, speaks the truth, and does what is his own business, him the world will hold dear.
1392_140654_000023_000001	In like manner his good works receive him who has done good, and has gone from this world to the other;--as kinsmen receive a friend on his return.	In like manner his good works receive him who has done good, and has gone from this world to the other;--as kinsmen receive a friend on his return.
1392_140654_000024_000000	Chapter XVII.	Chapter seventeen.
1392_140654_000024_000001	Anger	Anger
1392_140654_000025_000001	Let a man leave anger, let him forsake pride, let him overcome all bondage!	Let a man leave anger, let him forsake pride, let him overcome all bondage!
1392_140654_000025_000002	No sufferings befall the man who is not attached to name and form, and who calls nothing his own.	No sufferings befall the man who is not attached to name and form, and who calls nothing his own.
1392_140654_000026_000001	He who holds back rising anger like a rolling chariot, him I call a real driver; other people are but holding the reins.	He who holds back rising anger like a rolling chariot, him I call a real driver; other people are but holding the reins.
1392_140654_000034_000001	Beware of bodily anger, and control thy body!	Beware of bodily anger, and control thy body!
1392_140654_000034_000002	Leave the sins of the body, and with thy body practise virtue!	Leave the sins of the body, and with thy body practise virtue!
1392_140654_000035_000002	Leave the sins of the tongue, and practise virtue with thy tongue!	Leave the sins of the tongue, and practise virtue with thy tongue!
1392_140654_000037_000001	The wise who control their body, who control their tongue, the wise who control their mind, are indeed well controlled.	The wise who control their body, who control their tongue, the wise who control their mind, are indeed well controlled.
1392_140654_000038_000000	Chapter XVIII.	Chapter eighteen.
1392_140654_000038_000001	Impurity	Impurity
1392_140654_000039_000001	Thou art now like a sear leaf, the messengers of death (Yama) have come near to thee; thou standest at the door of thy departure, and thou hast no provision for thy journey.	Thou art now like a sear leaf, the messengers of death (Yama) have come near to thee; thou standest at the door of thy departure, and thou hast no provision for thy journey.
1392_140654_000040_000001	Make thyself an island, work hard, be wise!	Make thyself an island, work hard, be wise!
1392_140654_000041_000001	Thy life has come to an end, thou art come near to death (Yama), there is no resting-place for thee on the road, and thou hast no provision for thy journey.	Thy life has come to an end, thou art come near to death (Yama), there is no resting place for thee on the road, and thou hast no provision for thy journey.
1392_140654_000042_000001	Make thyself an island, work hard, be wise!	Make thyself an island, work hard, be wise!
1392_140654_000042_000002	When thy impurities are blown away, and thou art free from guilt, thou wilt not enter again into birth and decay.	When thy impurities are blown away, and thou art free from guilt, thou wilt not enter again into birth and decay.
1392_140654_000044_000001	As the impurity which springs from the iron, when it springs from it, destroys it; thus do a transgressor's own works lead him to the evil path.	As the impurity which springs from the iron, when it springs from it, destroys it; thus do a transgressor's own works lead him to the evil path.
1392_140654_000047_000001	But there is a taint worse than all taints,--ignorance is the greatest taint.	But there is a taint worse than all taints,--ignorance is the greatest taint.
1392_140654_000047_000002	O mendicants! throw off that taint, and become taintless!	O mendicants! throw off that taint, and become taintless!
1392_140654_000048_000001	Life is easy to live for a man who is without shame, a crow hero, a mischief-maker, an insulting, bold, and wretched fellow.	Life is easy to live for a man who is without shame, a crow hero, a mischief maker, an insulting, bold, and wretched fellow.
1392_140654_000049_000001	But life is hard to live for a modest man, who always looks for what is pure, who is disinterested, quiet, spotless, and intelligent.	But life is hard to live for a modest man, who always looks for what is pure, who is disinterested, quiet, spotless, and intelligent.
1392_140654_000051_000001	And the man who gives himself to drinking intoxicating liquors, he, even in this world, digs up his own root.	And the man who gives himself to drinking intoxicating liquors, he, even in this world, digs up his own root.
1392_140654_000052_000001	O man, know this, that the unrestrained are in a bad state; take care that greediness and vice do not bring thee to grief for a long time!	O man, know this, that the unrestrained are in a bad state; take care that greediness and vice do not bring thee to grief for a long time!
1392_140654_000055_000001	There is no fire like passion, there is no shark like hatred, there is no snare like folly, there is no torrent like greed.	There is no fire like passion, there is no shark like hatred, there is no snare like folly, there is no torrent like greed.
