3630_24758_000000_000000	PROP. XLV.	PROP. x l v.	false	0	0.87	24.86998
3630_24758_000000_000001	If a man conceives, that anyone similar to himself hates anything also similar to himself, which he loves, he will hate that person.	If a man conceives, that anyone similar to himself hates anything also similar to himself, which he loves, he will hate that person.	false	0.87	4.8	24.974928
3630_24758_000001_000000	Proof.--The beloved object feels reciprocal hatred towards him who hates it (III. xl.); therefore the lover, in conceiving that anyone hates the beloved object, conceives the beloved thing as affected by hatred, in other words (III. xiii.), by pain; consequently he is himself affected by pain accompanied by the idea of the hater of the beloved thing as cause; that is, he will hate him who hates anything which he himself loves (III. xiii.	Proof.--The beloved object feels reciprocal hatred towards him who hates it (three. x l.); therefore the lover, in conceiving that anyone hates the beloved object, conceives the beloved thing as affected by hatred, in other words (three. x i i i.), by pain; consequently he is himself affected by pain accompanied by the idea of the hater of the beloved thing as cause; that is, he will hate him who hates anything which he himself loves (three. x i i i.	false	4.8	23.64	24.089357
3630_24758_000001_000001	note). Q.E.D.	note). q e d	false	23.64	24.51	13
3630_24758_000002_000000	PROP. XLVI.	PROP. x l v i.	false	24.51	25.68	26.606838
3630_24758_000002_000001	If a man has been affected pleasurably or painfully by anyone, of a class or nation different from his own, and if the pleasure or pain has been accompanied by the idea of the said stranger as cause, under the general category of the class or nation: the man will feel love or hatred, not only to the individual stranger, but also to the whole class or nation whereto he belongs.	If a man has been affected pleasurably or painfully by anyone, of a class or nation different from his own, and if the pleasure or pain has been accompanied by the idea of the said stranger as cause, under the general category of the class or nation: the man will feel love or hatred, not only to the individual stranger, but also to the whole class or nation whereto he belongs.	true	25.68	44.74	22.918621
3630_24758_000003_000000	Proof.--This is evident from III.	Proof.--This is evident from three.	false	45.17	47.76	22.471987
3630_24758_000003_000001	xvi.	x v i.	false	47.76	49.11	20
3630_24758_000004_000000	PROP. XLVII.	PROP. x l v i i.	false	49.11	51.855	20.295973
3630_24758_000004_000001	Joy arising from the fact, that anything we hate is destroyed, or suffers other injury, is never unaccompanied by a certain pain in us.	Joy arising from the fact, that anything we hate is destroyed, or suffers other injury, is never unaccompanied by a certain pain in us.	true	51.855	58.87	22.755173
3630_24758_000005_000000	Proof.--This is evident from III. xxvii.	Proof.--This is evident from three. x x v i i.	false	59.15	63.9	22.688683
3630_24758_000005_000001	For in so far as we conceive a thing similar to ourselves to be affected with pain, we ourselves feel pain.	For in so far as we conceive a thing similar to ourselves to be affected with pain, we ourselves feel pain.	true	63.9	69.94	23.364492
