6683_67218_000000_000000	[Illustration: OTTER HUNTING.]	[Illustration: OTTER HUNTING.]	false	6.69	8.535	14
6683_67218_000001_000000	THE OTTER TERRIER.	THE OTTER TERRIER.	false	8.535	23.56	24.295448
6683_67218_000002_000000	"How greedily They snuff the fishy steam, that to each blade Rank scenting clings!	"How greedily They snuff the fishy steam, that to each blade Rank scenting clings!	true	24.56	31.06	23.185955
6683_67218_000002_000001	See! how the morning dews They sweep, that from their feet besprinkling drop Dispersed, and leave a track oblique behind. Now on firm land they range, then in the flood They plunge tumultuous; or through reedy pools Rustling they work their way; no holt escapes Their curious search.	See! how the morning dews They sweep, that from their feet besprinkling drop Dispersed, and leave a track oblique behind. Now on firm land they range, then in the flood They plunge tumultuous; or through reedy pools Rustling they work their way; no holt escapes Their curious search.	true	31.34	53.65	22.878292
6683_67218_000002_000002	With quick sensation now The fuming vapour stings; flutter their hearts, And joy redoubled bursts from every mouth In louder symphonies.	With quick sensation now The fuming vapour stings; flutter their hearts, And joy redoubled bursts from every mouth In louder symphonies.	true	53.99	64.66	22.568302
6683_67218_000002_000003	Yon hollow trunk, That with its hoary head incurv'd salutes The passing wave, must be the tyrant's fort And dread abode.	Yon hollow trunk, That with its hoary head incurv'd salutes The passing wave, must be the tyrant's fort And dread abode.	true	65.09	74.95	23.767136
6683_67218_000002_000004	How these impatient climb, While others at the root incessant bay!-- They put him down."--SOMERVILLE.	How these impatient climb, While others at the root incessant bay!-- They put him down."--SOMERVILLE.	true	75.2	84.49	22.918077
6683_67218_000003_000000	The above is an animated and beautiful description of an otter hunt, an old English sport fast falling into disuse, and the breed of the real otter-hound is either extinct or very nearly so.	The above is an animated and beautiful description of an otter hunt, an old English sport fast falling into disuse, and the breed of the real otter hound is either extinct or very nearly so.	true	86.12	102.07	22.16625
6683_67218_000003_000001	In stating this, I am aware that there are still many dogs which are called otter-hounds; but it may be doubted whether they possess that peculiar formation which belongs exclusively to the true breed.	In stating this, I am aware that there are still many dogs which are called otter hounds; but it may be doubted whether they possess that peculiar formation which belongs exclusively to the true breed.	true	102.41	116.98	22.169888
6683_67218_000003_000002	Few things in nature are more curious and interesting than this formation, and it shows forcibly how beautifully everything has been arranged for the instincts and several habits of animals.	Few things in nature are more curious and interesting than this formation, and it shows forcibly how beautifully everything has been arranged for the instincts and several habits of animals.	true	117.53	131.83	21.961613
6683_67218_000003_000003	The true otter-hound is completely web-footed, even to the roots of its claws; thus enabling it to swim with much greater facility and swiftness than other dogs. But it has another extraordinary formation; the ear possesses a sort of flap, which covering the aperture excludes the entrance of the water, and thus the dog is enabled to dive after the otter without that inconvenience which it would otherwise experience.	The true otter hound is completely web footed, even to the roots of its claws; thus enabling it to swim with much greater facility and swiftness than other dogs. But it has another extraordinary formation; the ear possesses a sort of flap, which covering the aperture excludes the entrance of the water, and thus the dog is enabled to dive after the otter without that inconvenience which it would otherwise experience.	false	132.44	164.98	22.614061
6683_67218_000003_000004	The Earl of Cadogan has, what his Lordship considers, the last of the breed of the true otter-hound.	The Earl of Cadogan has, what his Lordship considers, the last of the breed of the true otter hound.	true	165.53	172.75	21.561651
6683_67218_000003_000005	It was a present from Sir Walter Scott.	It was a present from Sir Walter Scott.	true	173.06	175.63	25.944902
6683_67218_000003_000006	Lord Cadogan offered one hundred pounds for another dog of the same breed, but of a different sex; but I believe without being able to procure one with those true marks which are confined to the authentic breed.	Lord Cadogan offered one hundred pounds for another dog of the same breed, but of a different sex; but I believe without being able to procure one with those true marks which are confined to the authentic breed.	true	175.97	190.45	24.419357
