5266_41151_000000_000000	"How have you got on?" queried Levin.	"How have you got on?" queried Levin.	false	0	2.55	24.755875
5266_41151_000000_000001	But there was no need to ask, for he had already seen the full game bag.	But there was no need to ask, for he had already seen the full game bag.	false	2.55	8.97	23.965761
5266_41151_000001_000000	"Oh, pretty fair."	"Oh, pretty fair."	false	8.97	10.11	22.905716
5266_41151_000002_000000	He had fourteen birds.	He had fourteen birds.	false	10.11	11.61	24.39589
5266_41151_000003_000000	"A splendid marsh!	"A splendid marsh!	false	11.61	13.11	23.637072
5266_41151_000003_000001	I've no doubt Veslovsky got in your way.	I've no doubt Veslovsky got in your way.	false	13.11	18.03	18.927578
5266_41151_000003_000002	It's awkward too, shooting with one dog," said Stepan Arkadyevitch, to soften his triumph.	It's awkward too, shooting with one dog," said Stepan Arkadyevitch, to soften his triumph.	false	18.03	23.22	24.580883
5266_41151_000004_000000	Chapter 11	Chapter eleven	true	23.22	24.27	21.358107
5266_41151_000005_000000	When Levin and Stepan Arkadyevitch reached the peasant's hut where Levin always used to stay, Veslovsky was already there.	When Levin and Stepan Arkadyevitch reached the peasant's hut where Levin always used to stay, Veslovsky was already there.	false	24.27	33.76	23.518211
5266_41151_000005_000001	He was sitting in the middle of the hut, clinging with both hands to the bench from which he was being pulled by a soldier, the brother of the peasant's wife, who was helping him off with his miry boots.	He was sitting in the middle of the hut, clinging with both hands to the bench from which he was being pulled by a soldier, the brother of the peasant's wife, who was helping him off with his miry boots.	true	34.01	46.15	24.189936
5266_41151_000005_000002	Veslovsky was laughing his infectious, good-humored laugh.	Veslovsky was laughing his infectious, good humored laugh.	true	46.46	50.56	25.24522
5266_41151_000006_000000	"I've only just come.	"I've only just come.	true	50.9	52.68	23.64021
5266_41151_000006_000001	_Ils ont ete charmants_.	underscore i l's o n t e t e charmants underscore.	false	52.68	54.99	18.570473
5266_41151_000006_000002	Just fancy, they gave me drink, fed me!	Just fancy, they gave me drink, fed me!	true	54.99	58.24	25.31461
5266_41151_000006_000003	Such bread, it was exquisite!	Such bread, it was exquisite!	true	58.31	60.93	25.889011
5266_41151_000006_000004	_Delicieux!_ And the vodka, I never tasted any better.	underscore Delicieux!underscore And the vodka, I never tasted any better.	false	60.93	66.04	26.13827
5266_41151_000006_000005	And they would not take a penny for anything. And they kept saying: 'Excuse our homely ways.'"	And they would not take a penny for anything. And they kept saying: 'Excuse our homely ways.'"	true	66.2	72.85	24.452682
5266_41151_000007_000000	"What should they take anything for?	"What should they take anything for?	true	73.7	75.855	29.230007
5266_41151_000007_000001	They were entertaining you, to be sure.	They were entertaining you, to be sure.	true	75.855	78.4	24.676428
5266_41151_000007_000002	Do you suppose they keep vodka for sale?" said the soldier, succeeding at last in pulling the soaked boot off the blackened stocking.	Do you suppose they keep vodka for sale?" said the soldier, succeeding at last in pulling the soaked boot off the blackened stocking.	true	78.59	87.76	24.446766
5266_41151_000008_000000	In spite of the dirtiness of the hut, which was all muddied by their boots and the filthy dogs licking themselves clean, and the smell of marsh mud and powder that filled the room, and the absence of knives and forks, the party drank their tea and ate their supper with a relish only known to sportsmen.	In spite of the dirtiness of the hut, which was all muddied by their boots and the filthy dogs licking themselves clean, and the smell of marsh mud and powder that filled the room, and the absence of knives and forks, the party drank their tea and ate their supper with a relish only known to sportsmen.	true	88.55	107.59	23.809097
5266_41151_000008_000001	Washed and clean, they went into a hay-barn swept ready for them, where the coachman had been making up beds for the gentlemen.	Washed and clean, they went into a hay barn swept ready for them, where the coachman had been making up beds for the gentlemen.	true	107.96	116.5	24.090727
5266_41151_000009_000000	Though it was dusk, not one of them wanted to go to sleep.	Though it was dusk, not one of them wanted to go to sleep.	true	116.99	121.065	21.305784
5266_41151_000010_000000	After wavering among reminiscences and anecdotes of guns, of dogs, and of former shooting parties, the conversation rested on a topic that interested all of them.	After wavering among reminiscences and anecdotes of guns, of dogs, and of former shooting parties, the conversation rested on a topic that interested all of them.	false	121.065	132.34	22.67109
5266_41151_000010_000001	After Vassenka had several times over expressed his appreciation of this delightful sleeping place among the fragrant hay, this delightful broken cart (he supposed it to be broken because the shafts had been taken out), of the good nature of the peasants that had treated him to vodka, of the dogs who lay at the feet of their respective masters, Oblonsky began telling them of a delightful shooting party at Malthus's, where he had stayed the previous summer.	After Vassenka had several times over expressed his appreciation of this delightful sleeping place among the fragrant hay, this delightful broken cart (he supposed it to be broken because the shafts had been taken out), of the good nature of the peasants that had treated him to vodka, of the dogs who lay at the feet of their respective masters, Oblonsky began telling them of a delightful shooting party at Malthus's, where he had stayed the previous summer.	false	132.83	164.41	24.236364
5266_41151_000011_000000	Malthus was a well-known capitalist, who had made his money by speculation in railway shares.	Malthus was a well-known capitalist, who had made his money by speculation in railway shares.	true	165.05	171.55	21.735521
5266_41151_000011_000001	Stepan Arkadyevitch described what grouse moors this Malthus had bought in the Tver province, and how they were preserved, and of the carriages and dogcarts in which the shooting party had been driven, and the luncheon pavilion that had been rigged up at the marsh.	Stepan Arkadyevitch described what grouse moors this Malthus had bought in the Tver province, and how they were preserved, and of the carriages and dogcarts in which the shooting party had been driven, and the luncheon pavilion that had been rigged up at the marsh.	true	171.77	189.1	25.693138
5266_41151_000012_000000	"I don't understand you," said Levin, sitting up in the hay; "how is it such people don't disgust you?	"I don't understand you," said Levin, sitting up in the hay; "how is it such people don't disgust you?	true	189.65	196.99	21.79567
5266_41151_000012_000001	I can understand a lunch with Lafitte is all very pleasant, but don't you dislike just that very sumptuousness? All these people, just like our spirit monopolists in old days, get their money in a way that gains them the contempt of everyone.	I can understand a lunch with Lafitte is all very pleasant, but don't you dislike just that very sumptuousness? All these people, just like our spirit monopolists in old days, get their money in a way that gains them the contempt of everyone.	false	197.33	214.87	24.680824
5266_41151_000012_000002	They don't care for their contempt, and then they use their dishonest gains to buy off the contempt they have deserved."	They don't care for their contempt, and then they use their dishonest gains to buy off the contempt they have deserved."	true	215.18	222.67	23.157696
