5266_41151_000004_000000	Chapter 11	Chapter eleven
5266_41151_000005_000001	He was sitting in the middle of the hut, clinging with both hands to the bench from which he was being pulled by a soldier, the brother of the peasant's wife, who was helping him off with his miry boots.	He was sitting in the middle of the hut, clinging with both hands to the bench from which he was being pulled by a soldier, the brother of the peasant's wife, who was helping him off with his miry boots.
5266_41151_000005_000002	Veslovsky was laughing his infectious, good-humored laugh.	Veslovsky was laughing his infectious, good humored laugh.
5266_41151_000006_000000	"I've only just come.	"I've only just come.
5266_41151_000006_000002	Just fancy, they gave me drink, fed me!	Just fancy, they gave me drink, fed me!
5266_41151_000006_000003	Such bread, it was exquisite!	Such bread, it was exquisite!
5266_41151_000006_000005	And they would not take a penny for anything. And they kept saying: 'Excuse our homely ways.'"	And they would not take a penny for anything. And they kept saying: 'Excuse our homely ways.'"
5266_41151_000007_000000	"What should they take anything for?	"What should they take anything for?
5266_41151_000007_000001	They were entertaining you, to be sure.	They were entertaining you, to be sure.
5266_41151_000007_000002	Do you suppose they keep vodka for sale?" said the soldier, succeeding at last in pulling the soaked boot off the blackened stocking.	Do you suppose they keep vodka for sale?" said the soldier, succeeding at last in pulling the soaked boot off the blackened stocking.
5266_41151_000008_000000	In spite of the dirtiness of the hut, which was all muddied by their boots and the filthy dogs licking themselves clean, and the smell of marsh mud and powder that filled the room, and the absence of knives and forks, the party drank their tea and ate their supper with a relish only known to sportsmen.	In spite of the dirtiness of the hut, which was all muddied by their boots and the filthy dogs licking themselves clean, and the smell of marsh mud and powder that filled the room, and the absence of knives and forks, the party drank their tea and ate their supper with a relish only known to sportsmen.
5266_41151_000008_000001	Washed and clean, they went into a hay-barn swept ready for them, where the coachman had been making up beds for the gentlemen.	Washed and clean, they went into a hay barn swept ready for them, where the coachman had been making up beds for the gentlemen.
5266_41151_000009_000000	Though it was dusk, not one of them wanted to go to sleep.	Though it was dusk, not one of them wanted to go to sleep.
5266_41151_000011_000000	Malthus was a well-known capitalist, who had made his money by speculation in railway shares.	Malthus was a well-known capitalist, who had made his money by speculation in railway shares.
5266_41151_000011_000001	Stepan Arkadyevitch described what grouse moors this Malthus had bought in the Tver province, and how they were preserved, and of the carriages and dogcarts in which the shooting party had been driven, and the luncheon pavilion that had been rigged up at the marsh.	Stepan Arkadyevitch described what grouse moors this Malthus had bought in the Tver province, and how they were preserved, and of the carriages and dogcarts in which the shooting party had been driven, and the luncheon pavilion that had been rigged up at the marsh.
5266_41151_000012_000000	"I don't understand you," said Levin, sitting up in the hay; "how is it such people don't disgust you?	"I don't understand you," said Levin, sitting up in the hay; "how is it such people don't disgust you?
5266_41151_000012_000002	They don't care for their contempt, and then they use their dishonest gains to buy off the contempt they have deserved."	They don't care for their contempt, and then they use their dishonest gains to buy off the contempt they have deserved."
5266_41151_000013_000001	"Perfectly!	"Perfectly!
5266_41151_000014_000000	"Not a bit of it." Levin could hear that Oblonsky was smiling as he spoke.	"Not a bit of it." Levin could hear that Oblonsky was smiling as he spoke.
5266_41151_000014_000001	"I simply don't consider him more dishonest than any other wealthy merchant or nobleman.	"I simply don't consider him more dishonest than any other wealthy merchant or nobleman.
5266_41151_000014_000002	They've all made their money alike--by their work and their intelligence."	They've all made their money alike-by their work and their intelligence."
5266_41151_000015_000000	"Oh, by what work?	"Oh, by what work?
5266_41151_000015_000001	Do you call it work to get hold of concessions and speculate with them?"	Do you call it work to get hold of concessions and speculate with them?"
5266_41151_000016_000000	"Of course it's work.	"Of course it's work.
5266_41151_000016_000001	Work in this sense, that if it were not for him and others like him, there would have been no railways."	Work in this sense, that if it were not for him and others like him, there would have been no railways."
5266_41151_000017_000000	"But that's not work, like the work of a peasant or a learned profession."	"But that's not work, like the work of a peasant or a learned profession."
5266_41151_000018_000000	"Granted, but it's work in the sense that his activity produces a result--the railways.	"Granted, but it's work in the sense that his activity produces a result-the railways.
5266_41151_000018_000001	But of course you think the railways useless."	But of course you think the railways useless."
5266_41151_000019_000000	"No, that's another question; I am prepared to admit that they're useful.	"No, that's another question; I am prepared to admit that they're useful.
5266_41151_000019_000001	But all profit that is out of proportion to the labor expended is dishonest."	But all profit that is out of proportion to the labor expended is dishonest."
