8222_274380_000000_000000	* Whitlocke, p. 121.	asterisk Whitlocke, p. one hundred twenty one.	false	0	1.83	14
8222_274380_000000_000001	Dugdale, p. 758.	Dugdale, p. seven hundred fifty eight.	false	1.83	3.48	14
8222_274380_000001_000000	** Such love of contradiction prevailed in the parliament, that they had converted Christmas, which with the churchmen was a great festival, into a solemn fast and humiliation; "in order," as they said, "that it might call to remembrance our sins and the sins of our forefathers, who, pretending to celebrate the memory of Christ, have turned this feast into an extreme forgetfulness of him, by giving liberty to carnal and sensual delights." Rush. vol. vi.	asterisk asterisk Such love of contradiction prevailed in the parliament, that they had converted Christmas, which with the churchmen was a great festival, into a solemn fast and humiliation; "in order," as they said, "that it might call to remembrance our sins and the sins of our forefathers, who, pretending to celebrate the memory of Christ, have turned this feast into an extreme forgetfulness of him, by giving liberty to carnal and sensual delights." Rush. vol vi.	false	3.48	29.28	22.928064
8222_274380_000001_000001	p. 817.	p. eight hundred seventeen.	false	29.28	31.56	27.445713
8222_274380_000001_000002	It is remarkable, that as the parliament abolished all holydays, and severely prohibited all amusement on the Sabbath; and even burned, by the hands of the hangman, the king's Book of Sports; the nation found that there was no time left for relaxation or diversion.	It is remarkable, that as the parliament abolished all holydays, and severely prohibited all amusement on the Sabbath; and even burned, by the hands of the hangman, the king's Book of Sports; the nation found that there was no time left for relaxation or diversion.	false	31.56	47.01	23.037813
8222_274380_000001_000003	Upon application, therefore, of the servants and apprentices, the parliament appointed the second Tuesday of every month for play and recreation.	Upon application, therefore, of the servants and apprentices, the parliament appointed the second Tuesday of every month for play and recreation.	false	47.01	52.2	22.6066
8222_274380_000001_000004	Rush. vol. vii.	Rush. vol vii.	false	52.2	53.19	37.20567
8222_274380_000001_000005	p. 460.	p. four hundred sixty.	false	53.19	54.54	10
8222_274380_000001_000006	Whitlocke, p. 247.	Whitlocke, p. two hundred forty seven.	false	54.54	56.58	19
8222_274380_000001_000007	But these institutions they found great difficulty to execute: and the people were resolved to be merry when they themselves pleased, not when the parliament should prescribe it to them.	But these institutions they found great difficulty to execute: and the people were resolved to be merry when they themselves pleased, not when the parliament should prescribe it to them.	false	56.58	65.235	22.796787
8222_274380_000001_000008	The keeping of Christmas holydays was long a great mark of malignancy, and very severely censured by the commons.	The keeping of Christmas holydays was long a great mark of malignancy, and very severely censured by the commons.	false	65.235	70.65	20
8222_274380_000001_000009	Whitlocke, p. 286. Even minced pies, which custom had made a Christmas dish among the churchmen, was regarded, during that season, as a profane and superstitious viand by the sectaries; though at other times it agreed very well with their stomachs.	Whitlocke, p. two hundred eighty six. Even minced pies, which custom had made a Christmas dish among the churchmen, was regarded, during that season, as a profane and superstitious viand by the sectaries; though at other times it agreed very well with their stomachs.	false	70.65	81.21	21.263826
8222_274380_000001_000010	In the parliamentary ordinance, too, for the observance of the Sabbath, they inserted a clause for the taking down of maypoles, which they called a heathenish vanity.	In the parliamentary ordinance, too, for the observance of the Sabbath, they inserted a clause for the taking down of maypoles, which they called a heathenish vanity.	false	81.21	89.58	24.117096
8222_274380_000001_000011	Since we are upon this subject, it may not be amiss to mention that, besides setting apart Sunday for the ordinances, as they called them, the godly had regular meetings on the Thursdays, for resolving cases of conscience, and conferring about their progress in grace.	Since we are upon this subject, it may not be amiss to mention that, besides setting apart Sunday for the ordinances, as they called them, the godly had regular meetings on the Thursdays, for resolving cases of conscience, and conferring about their progress in grace.	false	89.58	99.12	24.539804
8222_274380_000001_000012	What they were chiefly anxious about, was the fixing the precise moment of their conversion or new birth; and whoever could not ascertain so difficult a point of calculation, could not pretend to any title to saintship.	What they were chiefly anxious about, was the fixing the precise moment of their conversion or new birth; and whoever could not ascertain so difficult a point of calculation, could not pretend to any title to saintship.	false	99.12	111.51	23.390753
8222_274380_000001_000013	The profane scholars at Oxford, after the parliament became masters of that town, gave to the house in which the zealots assembled the denomination of Sernple Shop: the zealots, in their turn, insulted the scholars and professors; and, intruding into the place of lectures, declaimed against human learning, and challenged the most knowing of them to prove that their calling was from Christ.	The profane scholars at Oxford, after the parliament became masters of that town, gave to the house in which the zealots assembled the denomination of Sernple Shop: the zealots, in their turn, insulted the scholars and professors; and, intruding into the place of lectures, declaimed against human learning, and challenged the most knowing of them to prove that their calling was from Christ.	false	111.51	129.45	25.235905
8222_274380_000001_000014	See Wood's Fasti Oxonienses, p. 740.	See Wood's Fasti Oxonienses, p. seven hundred forty.	false	129.45	132.345	24.150593
8222_274380_000002_000000	Had Charles been of a disposition to neglect all theological controversy, he yet had been obliged, in good policy, to adhere to episcopal jurisdiction; not only because it was favorable to monarchy, but because all its adherents were passionately devoted to it; and to abandon them, in what they regarded as so important an article, was forever to relinquish their friendship and assistance.	Had Charles been of a disposition to neglect all theological controversy, he yet had been obliged, in good policy, to adhere to episcopal jurisdiction; not only because it was favorable to monarchy, but because all its adherents were passionately devoted to it; and to abandon them, in what they regarded as so important an article, was forever to relinquish their friendship and assistance.	true	132.345	155.2	22.052942
8222_274380_000002_000001	But Charles had never attained such enlarged principles.	But Charles had never attained such enlarged principles.	true	155.81	159.25	25.06081
8222_274380_000002_000002	He deemed bishops essential to the very being of a Christian church; and he thought himself bound, by more sacred ties than those of policy, or even of honor, to the support of that order.	He deemed bishops essential to the very being of a Christian church; and he thought himself bound, by more sacred ties than those of policy, or even of honor, to the support of that order.	true	159.47	170.2	23.55085
8222_274380_000002_000003	His concessions, therefore, on this head, he judged sufficient, when he agreed that an indulgence should be given to tender consciences with regard to ceremonies; that the bishops should exercise no act of jurisdiction or ordination without the consent and counsel of such presbyters as should be chosen by the clergy of each diocese; that they should reside constantly in their diocese, and be bound to preach every Sunday; that pluralities be abolished; that abuses in ecclesiastical courts be redressed; and that a hundred thousand pounds be levied on the bishops' estates and the chapter lands, for payment of debts contracted by the parliament.[*]	His concessions, therefore, on this head, he judged sufficient, when he agreed that an indulgence should be given to tender consciences with regard to ceremonies; that the bishops should exercise no act of jurisdiction or ordination without the consent and counsel of such presbyters as should be chosen by the clergy of each diocese; that they should reside constantly in their diocese, and be bound to preach every Sunday; that pluralities be abolished; that abuses in ecclesiastical courts be redressed; and that a hundred thousand pounds be levied on the bishops' estates and the chapter lands, for payment of debts contracted by the parliament.[asterisk]	false	170.51	206.58	22.376205
8222_274380_000003_000000	* Dugdale, p. 779, 780.	asterisk Dugdale, p. seven hundred seventy nine, seven hundred eighty.	false	206.58	207.495	9
8222_274380_000004_000000	These concessions, though considerable gave no satisfaction to the parliamentary commissioners; and, without abating any thing of their rigor on this head, they proceeded to their demands with regard to the militia.	These concessions, though considerable gave no satisfaction to the parliamentary commissioners; and, without abating any thing of their rigor on this head, they proceeded to their demands with regard to the militia.	true	207.495	219.07	21.547714
8222_274380_000005_000000	The king's partisans had all along maintained, that the fears and jealousies of the parliament, after the securities so early and easily given to public liberty, were either feigned or groundless; and that no human institution could be better poised and adjusted than was now the government of England.	The king's partisans had all along maintained, that the fears and jealousies of the parliament, after the securities so early and easily given to public liberty, were either feigned or groundless; and that no human institution could be better poised and adjusted than was now the government of England.	true	219.89	236.83	21.805546
8222_274380_000005_000001	By the abolition of the star chamber and court of high commission, the prerogative, they said, has lost all that coercive power by which it had formerly suppressed or endangered liberty: by the establishment of triennial parliaments, it can have no leisure to acquire new powers, or guard itself, during any time, from the inspection of that vigilant assembly: by the slender revenue of the crown, no king can ever attain such influence as to procure a repeal of these salutary statutes; and while the prince commands no military force, he will in vain by violence attempt an infringement of laws so clearly defined by means of late disputes, and so passionately cherished by all his subjects.	By the abolition of the star chamber and court of high commission, the prerogative, they said, has lost all that coercive power by which it had formerly suppressed or endangered liberty: by the establishment of triennial parliaments, it can have no leisure to acquire new powers, or guard itself, during any time, from the inspection of that vigilant assembly: by the slender revenue of the crown, no king can ever attain such influence as to procure a repeal of these salutary statutes; and while the prince commands no military force, he will in vain by violence attempt an infringement of laws so clearly defined by means of late disputes, and so passionately cherished by all his subjects.	true	237.47	278.62	23.658377
8222_274380_000005_000002	In this situation, surely the nation, governed by so virtuous a monarch, may for the present remain in tranquillity, and try whether it be not possible, by peaceful arts, to elude that danger with which it is pretended its liberties are still threatened.	In this situation, surely the nation, governed by so virtuous a monarch, may for the present remain in tranquillity, and try whether it be not possible, by peaceful arts, to elude that danger with which it is pretended its liberties are still threatened.	true	279.23	293.74	22.683636
8222_274380_000006_000000	But though the royalists insisted on these plausible topics before the commencement of war, they were obliged to own, that the progress of civil commotions had somewhat abated the force and evidence of this reasoning.	But though the royalists insisted on these plausible topics before the commencement of war, they were obliged to own, that the progress of civil commotions had somewhat abated the force and evidence of this reasoning.	true	294.29	305.53	20.402716
8222_274380_000006_000001	If the power of the militia, said the opposite party, be intrusted to the king, it would not now be difficult for him to abuse that authority.	If the power of the militia, said the opposite party, be intrusted to the king, it would not now be difficult for him to abuse that authority.	true	306.17	313.93	23.226576
8222_274380_000006_000002	By the rage of intestine discord, his partisans are inflamed into an extreme hatred against their antagonists; and have contracted, no doubt, some prejudices against popular privileges, which, in their apprehension, have been the source of so much disorder.	By the rage of intestine discord, his partisans are inflamed into an extreme hatred against their antagonists; and have contracted, no doubt, some prejudices against popular privileges, which, in their apprehension, have been the source of so much disorder.	false	314.27	330.43	25.329666
8222_274380_000006_000003	Were the arms of the state, therefore, put entirely into such hands, what public security, it may be demanded, can be given to liberty, or what private security to those who, in opposition to the letter of the law, have so generously ventured their lives in its defence?	Were the arms of the state, therefore, put entirely into such hands, what public security, it may be demanded, can be given to liberty, or what private security to those who, in opposition to the letter of the law, have so generously ventured their lives in its defence?	true	331.01	346.93	23.086916
