4238_12895_000000_000000	Yours very sincerely,	Yours very sincerely,	false	1.77	5.31	26.019875
4238_12895_000001_000000	G. A. HENTY.	g a HENTY.	false	5.31	23.955	21.217268
4238_12895_000002_000000	TRUE TO THE OLD FLAG.	TRUE TO THE OLD FLAG.	false	23.955	28.59	23.490673
4238_12895_000003_000000	CHAPTER I.	CHAPTER one	true	28.59	30.16	18.183142
4238_12895_000004_000000	A FRONTIER FARM.	A FRONTIER FARM.	true	30.5	32.53	24
4238_12895_000005_000000	"Concord, March 1, 1774.	"Concord, march first seventeen seventy four.	true	33.92	38.83	23.12109
4238_12895_000006_000000	"MY DEAR COUSIN: I am leaving next week with my husband for England, where we intend to pass some time visiting his friends.	"MY DEAR COUSIN: I am leaving next week with my husband for England, where we intend to pass some time visiting his friends.	true	39.68	49.63	23.452982
4238_12895_000006_000001	John and I have determined to accept the invitation you gave us last summer for Harold to come and spend a few months with you.	john and I have determined to accept the invitation you gave us last summer for Harold to come and spend a few months with you.	true	50	60.04	22.094877
4238_12895_000006_000002	His father thinks that a great future will, ere many years, open in the West, and that it is therefore well the boy should learn something of frontier life. For myself, I would rather that he stayed quietly at home, for he is at present over-fond of adventure; but as my husband is meditating selling his estate here and moving West, it is perhaps better for him.	His father thinks that a great future will, ere many years, open in the West, and that it is therefore well the boy should learn something of frontier life. For myself, I would rather that he stayed quietly at home, for he is at present over fond of adventure; but as my husband is meditating selling his estate here and moving West, it is perhaps better for him.	true	60.68	95.35	21.244938
4238_12895_000007_000000	"Massachusetts is in a ferment, as indeed are all the Eastern States, and the people talk openly of armed resistance against the Government.	"Massachusetts is in a ferment, as indeed are all the Eastern States, and the people talk openly of armed resistance against the Government.	true	96.26	107.68	21.709871
4238_12895_000007_000001	My husband, being of English birth and having served in the king's army, cannot brook what he calls the rebellious talk which is common among his neighbors, and is already on bad terms with many around us.	My husband, being of English birth and having served in the king's army, cannot brook what he calls the rebellious talk which is common among his neighbors, and is already on bad terms with many around us.	false	108.14	124.9	21.358997
4238_12895_000007_000002	I myself am, as it were, a neutral.	I myself am, as it were, a neutral.	false	125.51	130	26.151855
4238_12895_000007_000003	As an American woman, it seems to me that the colonists have been dealt with somewhat hardly by the English Parliament, and that the measures of the latter have been high-handed and arbitrary.	As an American woman, it seems to me that the colonists have been dealt with somewhat hardly by the English Parliament, and that the measures of the latter have been high handed and arbitrary.	true	130.34	146.23	21.21829
4238_12895_000007_000004	Upon the other hand, I naturally incline toward my husband's views.	Upon the other hand, I naturally incline toward my husband's views.	true	146.9	152.38	21
4238_12895_000007_000005	He maintains that, as the king's army has driven out the French, and gives protection to the colony, it is only fair that the colonists should contribute to its expenses. The English ask for no contributions toward the expense of their own country, but demand that, at least, the expenses of the protection of the colony shall not be charged upon the heavily taxed people at home.	He maintains that, as the king's army has driven out the French, and gives protection to the colony, it is only fair that the colonists should contribute to its expenses. The English ask for no contributions toward the expense of their own country, but demand that, at least, the expenses of the protection of the colony shall not be charged upon the heavily taxed people at home.	true	152.72	184.36	21.488293
4238_12895_000007_000006	As to the law that the colony shall trade only with the mother country, my husband says that this is the rule in the colonies of Spain, France, Portugal, and the Netherlands, and that the people here, who can obtain what land they choose and till it without rent, should not grumble at paying this small tax to the mother country. However it be, I fear that troubles will come, and, this place being the head and focus of the party hostile to England, my husband, feeling himself out of accord with all his neighbors, saving a few loyal gentlemen like himself, is thinking much and seriously of selling our estate here and of moving away into the new countries of the West, where he will be free from all the disputation and contentious talk which occupies men's time here.	As to the law that the colony shall trade only with the mother country, my husband says that this is the rule in the colonies of Spain, France, Portugal, and the Netherlands, and that the people here, who can obtain what land they choose and till it without rent, should not grumble at paying this small tax to the mother country. However it be, I fear that troubles will come, and, this place being the head and focus of the party hostile to England, my husband, feeling himself out of accord with all his neighbors, saving a few loyal gentlemen like himself, is thinking much and seriously of selling our estate here and of moving away into the new countries of the West, where he will be free from all the disputation and contentious talk which occupies men's time here.	false	185.18	250.51	21.012083
4238_12895_000008_000000	"Indeed, cousin, times have sadly changed since you were staying here with us five years ago.	"Indeed, cousin, times have sadly changed since you were staying here with us five years ago.	true	251	258.64	18
