7802_104394_000002_000000	CHAPTER XIII	CHAPTER thirteen
7802_104394_000003_000000	NORA'S GRANDCHILDREN	NORA'S GRANDCHILDREN
7802_104394_000004_000000	One afternoon Eric and Ivra started out for the Forest Children's moss village to play with them.	One afternoon Eric and Ivra started out for the Forest Children's moss village to play with them.
7802_104394_000004_000001	But when they got there they found all the little houses deserted: not a Forest Child was to be found.	But when they got there they found all the little houses deserted: not a Forest Child was to be found.
7802_104394_000004_000002	They must have gone into some other part of the forest to play.	They must have gone into some other part of the forest to play.
7802_104394_000004_000004	Down in the pasture by the house half a dozen Snow Witches were dancing in a circle, now near, now far, all over the pasture, and sometimes right up to the farm-house windows.	Down in the pasture by the house half a dozen Snow Witches were dancing in a circle, now near, now far, all over the pasture, and sometimes right up to the farm house windows.
7802_104394_000005_000000	Ivra clapped her hands and bounded forward.	Ivra clapped her hands and bounded forward.
7802_104394_000005_000001	Eric did not follow.	Eric did not follow.
7802_104394_000005_000002	He stood to watch.	He stood to watch.
7802_104394_000005_000004	For a minute she was lost in a cloud of blown snow, and then there she was dancing in their circle back and forth across the pasture, and then away, away, away!	For a minute she was lost in a cloud of blown snow, and then there she was dancing in their circle back and forth across the pasture, and then away, away, away!
7802_104394_000006_000000	"Come on," she called.	"Come on," she called.
7802_104394_000006_000001	"We're going to slide on the brook below the cornfield."	"We're going to slide on the brook below the cornfield."
7802_104394_000007_000000	But Eric did not follow.	But Eric did not follow.
7802_104394_000007_000001	He did not like the Snow Witches.	He did not like the Snow Witches.
7802_104394_000007_000002	And just as Ivra and the Witches drifted out of sight, he thought he heard the Forest Children laughing.	And just as Ivra and the Witches drifted out of sight, he thought he heard the Forest Children laughing.
7802_104394_000007_000004	So Eric ran to the door.	So Eric ran to the door.
7802_104394_000007_000005	It was a big sliding door, and now stood open on a crack just large enough for a child to slip through.	It was a big sliding door, and now stood open on a crack just large enough for a child to slip through.
7802_104394_000007_000006	Eric went in.	Eric went in.
7802_104394_000008_000001	Ahead of him were two stalls, with a horse in one.	Ahead of him were two stalls, with a horse in one.
7802_104394_000008_000002	But Eric was most interested in the empty stall, for it was from there the laughter seemed to come.	But Eric was most interested in the empty stall, for it was from there the laughter seemed to come.
7802_104394_000008_000004	She sat up, saw Eric and stared.	She sat up, saw Eric and stared.
7802_104394_000008_000005	She was a little girl about his own age, freckle-faced, snub-nosed and red-haired.	She was a little girl about his own age, freckle faced, snub nosed and red haired.
7802_104394_000008_000006	She had the jolliest, the nicest face in the world.	She had the jolliest, the nicest face in the world.
7802_104394_000009_000001	This was a boy.	This was a boy.
7802_104394_000009_000003	He looked even jollier than the girl.	He looked even jollier than the girl.
7802_104394_000010_000000	Before Eric had closed his mouth on his amazement, "Whoop!" and down came another boy.	Before Eric had closed his mouth on his amazement, "Whoop!" and down came another boy.
7802_104394_000010_000001	This boy was red-haired, freckle-faced and snub-nosed, and he looked jollier than the other two put together, if that were possible, for his red hair curled in saucy, tight little ringlets, and his mouth was wide with smiles.	This boy was red haired, freckle faced and snub nosed, and he looked jollier than the other two put together, if that were possible, for his red hair curled in saucy, tight little ringlets, and his mouth was wide with smiles.
7802_104394_000012_000000	"Eric,--who are you?"	"Eric,--who are you?"
7802_104394_000013_000000	"Nora's grandchildren, of course.	"Nora's grandchildren, of course.
7802_104394_000013_000001	Come up.	Come up.
7802_104394_000013_000002	We're having sport."	We're having sport."
7802_104394_000014_000000	The three children ran across the barn to a ladder and scrambled up and disappeared through a trap door at the top.	The three children ran across the barn to a ladder and scrambled up and disappeared through a trap door at the top.
7802_104394_000014_000001	Eric followed.	Eric followed.
7802_104394_000015_000000	He found the hole in the stable ceiling and looked down.	He found the hole in the stable ceiling and looked down.
7802_104394_000015_000002	"Look out down there!	"Look out down there!
7802_104394_000015_000003	Whoop!" cried Eric, and dropped, landing among them.	Whoop!" cried Eric, and dropped, landing among them.
