5123_34572_000000_000000	PART I.	PART one	false	0	0.84	30.029667
5123_34572_000001_000000	BOOK THE FIRST.	BOOK THE FIRST.	false	0.84	8.25	21.954315
5123_34572_000002_000000	_NIGHT NOT SO BLACK AS MAN_.	underscore NIGHT NOT SO BLACK AS MAN underscore.	false	8.25	19.02	21.242447
5123_34572_000003_000000	CHAPTER I.	CHAPTER one	true	19.02	20.32	28.98854
5123_34572_000004_000000	PORTLAND BILL.	PORTLAND BILL.	true	21.08	22.51	25.36427
5123_34572_000005_000000	An obstinate north wind blew without ceasing over the mainland of Europe, and yet more roughly over England, during all the month of December, 1689, and all the month of January, 1690.	An obstinate north wind blew without ceasing over the mainland of Europe, and yet more roughly over England, during all the month of December, sixteen eighty nine, and all the month of January, sixteen ninety.	true	24.14	39.19	22.127363
5123_34572_000005_000001	Hence the disastrous cold weather, which caused that winter to be noted as "memorable to the poor," on the margin of the old Bible in the Presbyterian chapel of the Nonjurors in London.	Hence the disastrous cold weather, which caused that winter to be noted as "memorable to the poor," on the margin of the old Bible in the Presbyterian chapel of the Nonjurors in London.	true	39.95	53.02	22.32437
5123_34572_000005_000002	Thanks to the lasting qualities of the old monarchical parchment employed in official registers, long lists of poor persons, found dead of famine and cold, are still legible in many local repositories, particularly in the archives of the Liberty of the Clink, in the borough of Southwark, of Pie Powder Court (which signifies Dusty Feet Court), and in those of Whitechapel Court, held in the village of Stepney by the bailiff of the Lord of the Manor.	Thanks to the lasting qualities of the old monarchical parchment employed in official registers, long lists of poor persons, found dead of famine and cold, are still legible in many local repositories, particularly in the archives of the Liberty of the Clink, in the borough of Southwark, of Pie Powder Court (which signifies Dusty Feet Court), and in those of Whitechapel Court, held in the village of Stepney by the bailiff of the Lord of the Manor.	false	54.08	84.94	21.317995
5123_34572_000005_000003	The Thames was frozen over--a thing which does not happen once in a century, as the ice forms on it with difficulty owing to the action of the sea.	The Thames was frozen over-a thing which does not happen once in a century, as the ice forms on it with difficulty owing to the action of the sea.	true	85.37	95.56	20.31811
5123_34572_000005_000004	Coaches rolled over the frozen river, and a fair was held with booths, bear-baiting, and bull-baiting.	Coaches rolled over the frozen river, and a fair was held with booths, bear baiting, and bull baiting.	true	96.47	103.81	19.566883
5123_34572_000005_000005	An ox was roasted whole on the ice.	An ox was roasted whole on the ice.	true	104.75	107.47	22.721216
5123_34572_000005_000006	This thick ice lasted two months.	This thick ice lasted two months.	true	108.35	110.83	23.188334
5123_34572_000005_000007	The hard year 1690 surpassed in severity even the famous winters at the beginning of the seventeenth century, so minutely observed by Dr. Gideon Delane--the same who was, in his quality of apothecary to King James, honoured by the city of London with a bust and a pedestal.	The hard year sixteen ninety surpassed in severity even the famous winters at the beginning of the seventeenth century, so minutely observed by dr Gideon Delane-the same who was, in his quality of apothecary to King james, honoured by the city of London with a bust and a pedestal.	false	111.56	130.66	20.695875
5123_34572_000006_000000	One evening, towards the close of one of the most bitter days of the month of January, 1690, something unusual was going on in one of the numerous inhospitable bights of the bay of Portland, which caused the sea-gulls and wild geese to scream and circle round its mouth, not daring to re-enter.	One evening, towards the close of one of the most bitter days of the month of January, sixteen ninety, something unusual was going on in one of the numerous inhospitable bights of the bay of Portland, which caused the sea gulls and wild geese to scream and circle round its mouth, not daring to re-enter.	false	131.87	152.53	19.66542
5123_34572_000007_000000	In this creek, the most dangerous of all which line the bay during the continuance of certain winds, and consequently the most lonely--convenient, by reason of its very danger, for ships in hiding--a little vessel, almost touching the cliff, so deep was the water, was moored to a point of rock.	In this creek, the most dangerous of all which line the bay during the continuance of certain winds, and consequently the most lonely-convenient, by reason of its very danger, for ships in hiding-a little vessel, almost touching the cliff, so deep was the water, was moored to a point of rock.	false	153.53	174.22	20.41652
5123_34572_000007_000001	We are wrong in saying, The night falls; we should say the night rises, for it is from the earth that obscurity comes.	We are wrong in saying, The night falls; we should say the night rises, for it is from the earth that obscurity comes.	false	175.04	184.39	19.592396
5123_34572_000007_000002	It was already night at the bottom of the cliff; it was still day at top.	It was already night at the bottom of the cliff; it was still day at top.	true	185.42	190.27	21.68744
5123_34572_000007_000003	Any one approaching the vessel's moorings would have recognized a Biscayan hooker.	Any one approaching the vessel's moorings would have recognized a Biscayan hooker.	true	190.82	195.88	20
5123_34572_000008_000000	The sun, concealed all day by the mist, had just set.	The sun, concealed all day by the mist, had just set.	true	196.79	202	17.747353
5123_34572_000008_000001	There was beginning to be felt that deep and sombrous melancholy which might be called anxiety for the absent sun.	There was beginning to be felt that deep and sombrous melancholy which might be called anxiety for the absent sun	true	202.91	211.36	23.185787
5123_34572_000008_000002	With no wind from the sea, the water of the creek was calm.	With no wind from the sea, the water of the creek was calm.	true	212.27	216.73	20.175611
5123_34572_000009_000000	This was, especially in winter, a lucky exception.	This was, especially in winter, a lucky exception.	true	217.52	221.74	21.506495
5123_34572_000009_000001	Almost all the Portland creeks have sand-bars; and in heavy weather the sea becomes very rough, and, to pass in safety, much skill and practice are necessary.	Almost all the Portland creeks have sand bars; and in heavy weather the sea becomes very rough, and, to pass in safety, much skill and practice are necessary.	true	222.77	235	21.252808
5123_34572_000009_000002	These little ports (ports more in appearance than fact) are of small advantage.	These little ports (ports more in appearance than fact) are of small advantage.	true	235.79	241.9	22.512371
5123_34572_000009_000003	They are hazardous to enter, fearful to leave.	They are hazardous to enter, fearful to leave.	true	242.39	245.98	20.939213
5123_34572_000009_000004	On this evening, for a wonder, there was no danger.	On this evening, for a wonder, there was no danger.	true	246.5	250.21	19.599674
5123_34572_000010_000000	The Biscay hooker is of an ancient model, now fallen into disuse.	The Biscay hooker is of an ancient model, now fallen into disuse.	true	251.33	256.84	19.895208
5123_34572_000010_000001	This kind of hooker, which has done service even in the navy, was stoutly built in its hull--a boat in size, a ship in strength.	This kind of hooker, which has done service even in the navy, was stoutly built in its hull-a boat in size, a ship in strength.	false	257.3	266.62	22.572693
5123_34572_000010_000002	It figured in the Armada.	It figured in the Armada.	true	266.96	268.87	23.786413
5123_34572_000010_000003	Sometimes the war-hooker attained to a high tonnage; thus the Great Griffin, bearing a captain's flag, and commanded by Lopez de Medina, measured six hundred and fifty good tons, and carried forty guns.	Sometimes the war hooker attained to a high tonnage; thus the Great Griffin, bearing a captain's flag, and commanded by Lopez de Medina, measured six hundred and fifty good tons, and carried forty guns.	false	269.54	283.81	23.355038
5123_34572_000010_000004	But the merchant and contraband hookers were very feeble specimens.	But the merchant and contraband hookers were very feeble specimens.	true	284.24	288.67	23.449038
5123_34572_000010_000005	Sea-folk held them at their true value, and esteemed the model a very sorry one, The rigging of the hooker was made of hemp, sometimes with wire inside, which was probably intended as a means, however unscientific, of obtaining indications, in the case of magnetic tension.	Sea folk held them at their true value, and esteemed the model a very sorry one, The rigging of the hooker was made of hemp, sometimes with wire inside, which was probably intended as a means, however unscientific, of obtaining indications, in the case of magnetic tension.	true	289.1	310.24	20.573223
5123_34572_000010_000006	The lightness of this rigging did not exclude the use of heavy tackle, the cabrias of the Spanish galleon, and the cameli of the Roman triremes.	The lightness of this rigging did not exclude the use of heavy tackle, the cabrias of the Spanish galleon, and the cameli of the Roman triremes.	true	311.09	320.98	18.781857
5123_34572_000010_000007	The helm was very long, which gives the advantage of a long arm of leverage, but the disadvantage of a small arc of effort.	The helm was very long, which gives the advantage of a long arm of leverage, but the disadvantage of a small arc of effort.	true	321.53	329.44	19.90676
5123_34572_000010_000008	Two wheels in two pulleys at the end of the rudder corrected this defect, and compensated, to some extent, for the loss of strength.	Two wheels in two pulleys at the end of the rudder corrected this defect, and compensated, to some extent, for the loss of strength.	true	330.08	338.86	21.742123
5123_34572_000010_000009	The compass was well housed in a case perfectly square, and well balanced by its two copper frames placed horizontally, one in the other, on little bolts, as in Cardan's lamps.	The compass was well housed in a case perfectly square, and well balanced by its two copper frames placed horizontally, one in the other, on little bolts, as in Cardan's lamps.	true	339.2	351.91	22.320026
5123_34572_000010_000010	There was science and cunning in the construction of the hooker, but it was ignorant science and barbarous cunning.	There was science and cunning in the construction of the hooker, but it was ignorant science and barbarous cunning.	false	352.55	359.86	21.5258
5123_34572_000010_000011	The hooker was primitive, just like the praam and the canoe; was kindred to the praam in stability, and to the canoe in swiftness; and, like all vessels born of the instinct of the pirate and fisherman, it had remarkable sea qualities: it was equally well suited to landlocked and to open waters.	The hooker was primitive, just like the praam and the canoe; was kindred to the praam in stability, and to the canoe in swiftness; and, like all vessels born of the instinct of the pirate and fisherman, it had remarkable sea qualities: it was equally well suited to landlocked and to open waters.	true	360.5	381.49	20.829273
5123_34572_000010_000012	Its system of sails, complicated in stays, and very peculiar, allowed of its navigating trimly in the close bays of Asturias (which are little more than enclosed basins, as Pasages, for instance), and also freely out at sea.	Its system of sails, complicated in stays, and very peculiar, allowed of its navigating trimly in the close bays of Asturias (which are little more than enclosed basins, as Pasages, for instance), and also freely out at sea.	false	382.1	399.52	21.949543
5123_34572_000010_000013	It could sail round a lake, and sail round the world--a strange craft with two objects, good for a pond and good for a storm.	It could sail round a lake, and sail round the world-a strange craft with two objects, good for a pond and good for a storm.	true	400.1	410.02	20.453773
5123_34572_000010_000014	The hooker is among vessels what the wagtail is among birds--one of the smallest and one of the boldest.	The hooker is among vessels what the wagtail is among birds-one of the smallest and one of the boldest.	false	410.57	418.36	21.429369
5123_34572_000010_000015	The wagtail perching on a reed scarcely bends it, and, flying away, crosses the ocean.	The wagtail perching on a reed scarcely bends it, and, flying away, crosses the ocean.	false	418.85	428.13	18.885399
5123_34572_000011_000000	These Biscay hookers, even to the poorest, were gilt and painted. Tattooing is part of the genius of those charming people, savages to some degree.	These Biscay hookers, even to the poorest, were gilt and painted. Tattooing is part of the genius of those charming people, savages to some degree.	true	428.13	438.82	22.931961
5123_34572_000011_000001	The sublime colouring of their mountains, variegated by snows and meadows, reveals to them the rugged spell which ornament possesses in itself.	The sublime colouring of their mountains, variegated by snows and meadows, reveals to them the rugged spell which ornament possesses in itself.	true	439.13	450.28	19.935566
5123_34572_000011_000002	They are poverty-stricken and magnificent; they put coats-of-arms on their cottages; they have huge asses, which they bedizen with bells, and huge oxen, on which they put head-dresses of feathers.	They are poverty stricken and magnificent; they put coats of arms on their cottages; they have huge asses, which they bedizen with bells, and huge oxen, on which they put head dresses of feathers.	false	450.86	466.06	21.052284
5123_34572_000011_000003	Their coaches, which you can hear grinding the wheels two leagues off, are illuminated, carved, and hung with ribbons.	Their coaches, which you can hear grinding the wheels two leagues off, are illuminated, carved, and hung with ribbons.	true	466.79	475.54	20.159931
5123_34572_000011_000004	A cobbler has a bas-relief on his door: it is only St. Crispin and an old shoe, but it is in stone.	A cobbler has a bas relief on his door: it is only st Crispin and an old shoe, but it is in stone.	false	476.33	484.03	21.140894
5123_34572_000011_000005	They trim their leathern jackets with lace.	They trim their leathern jackets with lace.	true	484.85	487.57	19.675365
5123_34572_000011_000006	They do not mend their rags, but they embroider them.	They do not mend their rags, but they embroider them.	true	488.21	491.98	20.556072
5123_34572_000011_000007	Vivacity profound and superb!	Vivacity profound and superb!	true	492.98	496.66	21.675678
5123_34572_000011_000008	The Basques are, like the Greeks, children of the sun; while the Valencian drapes himself, bare and sad, in his russet woollen rug, with a hole to pass his head through, the natives of Galicia and Biscay have the delight of fine linen shirts, bleached in the dew.	The Basques are, like the Greeks, children of the sun; while the Valencian drapes himself, bare and sad, in his russet woollen rug, with a hole to pass his head through, the natives of Galicia and Biscay have the delight of fine linen shirts, bleached in the dew.	false	496.91	516.88	20.937973
5123_34572_000011_000009	Their thresholds and their windows teem with faces fair and fresh, laughing under garlands of maize; a joyous and proud serenity shines out in their ingenious arts, in their trades, in their customs, in the dress of their maidens, in their songs.	Their thresholds and their windows teem with faces fair and fresh, laughing under garlands of maize; a joyous and proud serenity shines out in their ingenious arts, in their trades, in their customs, in the dress of their maidens, in their songs.	false	517.7	536.35	20.484602
5123_34572_000011_000010	The mountain, that colossal ruin, is all aglow in Biscay: the sun's rays go in and out of every break.	The mountain, that colossal ruin, is all aglow in Biscay: the sun's rays go in and out of every break.	true	537.23	546.28	19.756374
5123_34572_000011_000011	The wild Jaizquivel is full of idylls.	The wild Jaizquivel is full of idylls.	false	547.1	550.6	19.936111
5123_34572_000011_000012	Biscay is Pyrenean grace as Savoy is Alpine grace.	Biscay is Pyrenean grace as Savoy is Alpine grace.	true	551.51	556.87	20.101803
5123_34572_000011_000013	The dangerous bays--the neighbours of St. Sebastian, Leso, and Fontarabia--with storms, with clouds, with spray flying over the capes, with the rages of the waves and the winds, with terror, with uproar, mingle boat-women crowned with roses.	The dangerous bays-the neighbours of st Sebastian, Leso, and Fontarabia-with storms, with clouds, with spray flying over the capes, with the rages of the waves and the winds, with terror, with uproar, mingle boat women crowned with roses.	false	558.02	576.61	20.344713
5123_34572_000011_000014	He who has seen the Basque country wishes to see it again.	He who has seen the Basque country wishes to see it again.	true	577.91	581.95	18.575329
5123_34572_000011_000015	It is the blessed land.	It is the blessed land.	true	582.89	585.28	18.072952
5123_34572_000011_000016	Two harvests a year; villages resonant and gay; a stately poverty; all Sunday the sound of guitars, dancing, castanets, love-making; houses clean and bright; storks in the belfries.	Two harvests a year; villages resonant and gay; a stately poverty; all Sunday the sound of guitars, dancing, castanets, love making; houses clean and bright; storks in the belfries.	true	586.07	602.44	20.60008
5123_34572_000012_000000	Let us return to Portland--that rugged mountain in the sea.	Let us return to Portland-that rugged mountain in the sea.	true	603.32	607.24	20.383753
5123_34572_000013_000000	The peninsula of Portland, looked at geometrically, presents the appearance of a bird's head, of which the bill is turned towards the ocean, the back of the head towards Weymouth; the isthmus is its neck.	The peninsula of Portland, looked at geometrically, presents the appearance of a bird's head, of which the bill is turned towards the ocean, the back of the head towards Weymouth; the isthmus is its neck.	true	608.87	624.07	23.31642
5123_34572_000014_000000	Portland, greatly to the sacrifice of its wildness, exists now but for trade.	Portland, greatly to the sacrifice of its wildness, exists now but for trade.	true	625.37	632.59	21.498457
5123_34572_000014_000001	The coasts of Portland were discovered by quarrymen and plasterers towards the middle of the seventeenth century.	The coasts of Portland were discovered by quarrymen and plasterers towards the middle of the seventeenth century.	true	633.32	640.45	19.94794
5123_34572_000014_000002	Since that period what is called Roman cement has been made of the Portland stone--a useful industry, enriching the district, and disfiguring the bay.	Since that period what is called Roman cement has been made of the Portland stone-a useful industry, enriching the district, and disfiguring the bay.	true	640.97	653.08	21.8769
5123_34572_000014_000003	Two hundred years ago these coasts were eaten away as a cliff; to-day, as a quarry.	Two hundred years ago these coasts were eaten away as a cliff; to day, as a quarry.	true	654.17	660.94	19.915478
5123_34572_000014_000004	The pick bites meanly, the wave grandly; hence a diminution of beauty.	The pick bites meanly, the wave grandly; hence a diminution of beauty.	true	661.91	668.53	21.136585
5123_34572_000014_000005	To the magnificent ravages of the ocean have succeeded the measured strokes of men.	To the magnificent ravages of the ocean have succeeded the measured strokes of men.	true	669.62	675.67	17.771717
5123_34572_000014_000006	These measured strokes have worked away the creek where the Biscay hooker was moored.	These measured strokes have worked away the creek where the Biscay hooker was moored.	true	676.31	680.92	22
5123_34572_000014_000007	To find any vestige of the little anchorage, now destroyed, the eastern side of the peninsula should be searched, towards the point beyond Folly Pier and Dirdle Pier, beyond Wakeham even, between the place called Church Hope and the place called Southwell.	To find any vestige of the little anchorage, now destroyed, the eastern side of the peninsula should be searched, towards the point beyond Folly Pier and Dirdle Pier, beyond Wakeham even, between the place called Church Hope and the place called Southwell.	false	682.01	701.08	21.537043
5123_34572_000015_000000	The creek, walled in on all sides by precipices higher than its width, was minute by minute becoming more overshadowed by evening.	The creek, walled in on all sides by precipices higher than its width, was minute by minute becoming more overshadowed by evening.	true	702.5	712.72	20.576006
5123_34572_000015_000001	The misty gloom, usual at twilight, became thicker; it was like a growth of darkness at the bottom of a well.	The misty gloom, usual at twilight, became thicker; it was like a growth of darkness at the bottom of a well.	false	713.48	721.42	21.160221
5123_34572_000015_000002	The opening of the creek seaward, a narrow passage, traced on the almost night-black interior a pallid rift where the waves were moving.	The opening of the creek seaward, a narrow passage, traced on the almost night black interior a pallid rift where the waves were moving.	false	721.82	731.23	20.032408
5123_34572_000015_000003	You must have been quite close to perceive the hooker moored to the rocks, and, as it were, hidden by the great cloaks of shadow.	You must have been quite close to perceive the hooker moored to the rocks, and, as it were, hidden by the great cloaks of shadow.	false	732.23	740.41	20
5123_34572_000015_000004	A plank thrown from on board on to a low and level projection of the cliff, the only point on which a landing could be made, placed the vessel in communication with the land.	A plank thrown from on board on to a low and level projection of the cliff, the only point on which a landing could be made, placed the vessel in communication with the land.	true	741.68	754.6	21.23832
5123_34572_000015_000005	Dark figures were crossing and recrossing each other on this tottering gangway, and in the shadow some people were embarking.	Dark figures were crossing and recrossing each other on this tottering gangway, and in the shadow some people were embarking.	true	755.45	763.99	20
5123_34572_000016_000000	It was less cold in the creek than out at sea, thanks to the screen of rock rising over the north of the basin, which did not, however, prevent the people from shivering.	It was less cold in the creek than out at sea, thanks to the screen of rock rising over the north of the basin, which did not, however, prevent the people from shivering.	true	765.74	776.65	22.881763
5123_34572_000016_000001	They were hurrying.	They were hurrying.	true	777.65	778.84	18.947556
5123_34572_000016_000002	The effect of the twilight defined the forms as though they had been punched out with a tool.	The effect of the twilight defined the forms as though they had been punched out with a tool.	false	779.21	785.41	23.559162
5123_34572_000016_000003	Certain indentations in their clothes were visible, and showed that they belonged to the class called in England the ragged.	Certain indentations in their clothes were visible, and showed that they belonged to the class called in England the ragged.	true	785.93	794.38	20.60539
5123_34572_000017_000000	The twisting of the pathway could be distinguished vaguely in the relief of the cliff.	The twisting of the pathway could be distinguished vaguely in the relief of the cliff.	true	795.32	800.65	21
5123_34572_000017_000001	A girl who lets her stay-lace hang down trailing over the back of an armchair, describes, without being conscious of it, most of the paths of cliffs and mountains.	A girl who lets her stay lace hang down trailing over the back of an armchair, describes, without being conscious of it, most of the paths of cliffs and mountains.	true	801.29	812.26	19.31944
5123_34572_000017_000002	The pathway of this creek, full of knots and angles, almost perpendicular, and better adapted for goats than men, terminated on the platform where the plank was placed.	The pathway of this creek, full of knots and angles, almost perpendicular, and better adapted for goats than men, terminated on the platform where the plank was placed.	true	813.14	824.95	22.717981
5123_34572_000017_000003	The pathways of cliffs ordinarily imply a not very inviting declivity; they offer themselves less as a road than as a fall; they sink rather than incline.	The pathways of cliffs ordinarily imply a not very inviting declivity; they offer themselves less as a road than as a fall; they sink rather than incline.	true	825.68	837.79	22.45868
5123_34572_000017_000004	This one--probably some ramification of a road on the plain above--was disagreeable to look at, so vertical was it.	This one-probably some ramification of a road on the plain above-was disagreeable to look at, so vertical was it.	false	838.13	846.84	19.879852
5123_34572_000017_000005	From underneath you saw it gain by zigzag the higher layer of the cliff where it passed out through deep passages on to the high plateau by a cutting in the rock; and the passengers for whom the vessel was waiting in the creek must have come by this path.	From underneath you saw it gain by zigzag the higher layer of the cliff where it passed out through deep passages on to the high plateau by a cutting in the rock; and the passengers for whom the vessel was waiting in the creek must have come by this path.	false	846.84	864.19	20.986603
5123_34572_000018_000000	Excepting the movement of embarkation which was being made in the creek, a movement visibly scared and uneasy, all around was solitude; no step, no noise, no breath was heard.	Excepting the movement of embarkation which was being made in the creek, a movement visibly scared and uneasy, all around was solitude; no step, no noise, no breath was heard.	true	865.76	879.58	20.447474
5123_34572_000018_000001	At the other side of the roads, at the entrance of Ringstead Bay, you could just perceive a flotilla of shark-fishing boats, which were evidently out of their reckoning.	At the other side of the roads, at the entrance of Ringstead Bay, you could just perceive a flotilla of shark fishing boats, which were evidently out of their reckoning.	true	880.58	891.37	20.286665
5123_34572_000018_000002	These polar boats had been driven from Danish into English waters by the whims of the sea.	These polar boats had been driven from Danish into English waters by the whims of the sea.	true	892.01	897.94	18
5123_34572_000018_000003	Northerly winds play these tricks on fishermen.	Northerly winds play these tricks on fishermen.	true	898.55	901.84	17.93957
5123_34572_000018_000004	They had just taken refuge in the anchorage of Portland--a sign of bad weather expected and danger out at sea.	They had just taken refuge in the anchorage of Portland-a sign of bad weather expected and danger out at sea.	true	902.81	910.27	22.389236
