5123_34572_000003_000000	CHAPTER I.	CHAPTER one
5123_34572_000004_000000	PORTLAND BILL.	PORTLAND BILL.
5123_34572_000005_000000	An obstinate north wind blew without ceasing over the mainland of Europe, and yet more roughly over England, during all the month of December, 1689, and all the month of January, 1690.	An obstinate north wind blew without ceasing over the mainland of Europe, and yet more roughly over England, during all the month of December, sixteen eighty nine, and all the month of January, sixteen ninety.
5123_34572_000005_000001	Hence the disastrous cold weather, which caused that winter to be noted as "memorable to the poor," on the margin of the old Bible in the Presbyterian chapel of the Nonjurors in London.	Hence the disastrous cold weather, which caused that winter to be noted as "memorable to the poor," on the margin of the old Bible in the Presbyterian chapel of the Nonjurors in London.
5123_34572_000005_000003	The Thames was frozen over--a thing which does not happen once in a century, as the ice forms on it with difficulty owing to the action of the sea.	The Thames was frozen over-a thing which does not happen once in a century, as the ice forms on it with difficulty owing to the action of the sea.
5123_34572_000005_000005	An ox was roasted whole on the ice.	An ox was roasted whole on the ice.
5123_34572_000005_000006	This thick ice lasted two months.	This thick ice lasted two months.
5123_34572_000007_000002	It was already night at the bottom of the cliff; it was still day at top.	It was already night at the bottom of the cliff; it was still day at top.
5123_34572_000007_000003	Any one approaching the vessel's moorings would have recognized a Biscayan hooker.	Any one approaching the vessel's moorings would have recognized a Biscayan hooker.
5123_34572_000008_000001	There was beginning to be felt that deep and sombrous melancholy which might be called anxiety for the absent sun.	There was beginning to be felt that deep and sombrous melancholy which might be called anxiety for the absent sun
5123_34572_000008_000002	With no wind from the sea, the water of the creek was calm.	With no wind from the sea, the water of the creek was calm.
5123_34572_000009_000000	This was, especially in winter, a lucky exception.	This was, especially in winter, a lucky exception.
5123_34572_000009_000001	Almost all the Portland creeks have sand-bars; and in heavy weather the sea becomes very rough, and, to pass in safety, much skill and practice are necessary.	Almost all the Portland creeks have sand bars; and in heavy weather the sea becomes very rough, and, to pass in safety, much skill and practice are necessary.
