3157_68361_000001_000000	CHAPTER XIX	CHAPTER nineteen
3157_68361_000002_000000	A COUNTRY WITH A THOUSAND RIVERS--VENEZUELA	A COUNTRY WITH A THOUSAND RIVERS-VENEZUELA
3157_68361_000003_000000	Years ago two miners worked together for months and finally came to know each other as Tom and Jack.	Years ago two miners worked together for months and finally came to know each other as Tom and Jack.
3157_68361_000003_000001	One day Tom was not well and could not do much but watch Jack dig.	One day Tom was not well and could not do much but watch Jack dig.
3157_68361_000003_000002	After noting some movements of the body that seemed familiar he said: "Jack, where did you come from?" The two men sat down and talked of boyhood days and found that they were born in the same community and had played together when they were small boys.	After noting some movements of the body that seemed familiar he said: "Jack, where did you come from?" The two men sat down and talked of boyhood days and found that they were born in the same community and had played together when they were small boys.
3157_68361_000003_000003	Here they had worked together for months without knowing that they were neighbors; they actually got up and shook hands with each other.	Here they had worked together for months without knowing that they were neighbors; they actually got up and shook hands with each other.
3157_68361_000004_000000	Venezuela is our nearest neighbor to the south.	Venezuela is our nearest neighbor to the south.
3157_68361_000004_000001	This country is nearer to Florida than New Orleans is to New York and yet we have lived side by side for four hundred years and hardly knew we were neighbors.	This country is nearer to Florida than New Orleans is to New York and yet we have lived side by side for four hundred years and hardly knew we were neighbors.
3157_68361_000004_000002	We might have been friends and greatly assisted each other all these years.	We might have been friends and greatly assisted each other all these years.
3157_68361_000004_000003	Is it not about time we were getting acquainted and shaking hands with each other?	Is it not about time we were getting acquainted and shaking hands with each other?
3157_68361_000005_000000	It is surprising to know that Venezuela is as large as Maine, New Hampshire, Vermont, Massachusetts, Connecticut, Rhode Island, New York, Pennsylvania, New Jersey, Delaware, the two Virginias, North and South Carolina and Georgia combined.	It is surprising to know that Venezuela is as large as Maine, New Hampshire, Vermont, Massachusetts, Connecticut, Rhode Island, New York, Pennsylvania, New Jersey, Delaware, the two Virginias, North and South Carolina and Georgia combined.
3157_68361_000005_000001	It is a country that has a thousand rivers.	It is a country that has a thousand rivers.
3157_68361_000005_000002	In some parts of it you can travel for days in regions where as yet no white man has ever set his foot.	In some parts of it you can travel for days in regions where as yet no white man has ever set his foot.
3157_68361_000005_000003	One writer says that of all the countries in the world Venezuela is the one for which God has done the most and man has done the least.	One writer says that of all the countries in the world Venezuela is the one for which God has done the most and man has done the least.
3157_68361_000006_000001	Its treasury has been looted again and again.	Its treasury has been looted again and again.
3157_68361_000006_000002	Even the president of Venezuela was for years a criminal.	Even the president of Venezuela was for years a criminal.
3157_68361_000006_000003	He robbed merchants of other countries who tried to do business with his government.	He robbed merchants of other countries who tried to do business with his government.
3157_68361_000006_000004	He imprisoned those who refused to assist him and ran things in a high-handed way.	He imprisoned those who refused to assist him and ran things in a high handed way.
3157_68361_000006_000005	Business firms of other lands found this out and did not care to do business with such a country or help develop its resources in any way.	Business firms of other lands found this out and did not care to do business with such a country or help develop its resources in any way.
3157_68361_000007_000000	We are not ashamed of our revolution in 1776 for its purpose was to gain our independence.	We are not ashamed of our revolution in seventeen seventy six for its purpose was to gain our independence.
3157_68361_000007_000001	During the past seventy or eighty years Venezuela has had more than a half hundred revolutions but generally they were gotten up to give an excuse for pillage and robbery rather than to make a better country or government.	During the past seventy or eighty years Venezuela has had more than a half hundred revolutions but generally they were gotten up to give an excuse for pillage and robbery rather than to make a better country or government.
3157_68361_000007_000002	Things are better now, however, and a new day is dawning for these unhappy people.	Things are better now, however, and a new day is dawning for these unhappy people.
3157_68361_000008_000000	The main port or entrance to this country is La Guaira and sailors say it is about the worst port to enter in the world.	The main port or entrance to this country is La Guaira and sailors say it is about the worst port to enter in the world.
3157_68361_000008_000001	This port city contains about fifteen thousand people and has but a single street.	This port city contains about fifteen thousand people and has but a single street.
3157_68361_000008_000002	The high mountains are so near the sea that there is only a narrow strip of land at the foot and on this narrow strip the city is built.	The high mountains are so near the sea that there is only a narrow strip of land at the foot and on this narrow strip the city is built.
3157_68361_000008_000003	The sea is nearly always rough and the weather always hot.	The sea is nearly always rough and the weather always hot.
3157_68361_000008_000004	How people can endure such extreme heat all the time is a mystery.	How people can endure such extreme heat all the time is a mystery.
3157_68361_000009_000000	All along this coast strip of Venezuela are plantations generally covered with cocoa trees.	All along this coast strip of Venezuela are plantations generally covered with cocoa trees.
3157_68361_000009_000001	From the beans of this tree are made cocoa and chocolate.	From the beans of this tree are made cocoa and chocolate.
3157_68361_000009_000002	Coffee is also a staple crop.	Coffee is also a staple crop.
3157_68361_000009_000003	At the piers will be noticed bags of coffee and cocoa beans, great quantities of rubber and piles of hides.	At the piers will be noticed bags of coffee and cocoa beans, great quantities of rubber and piles of hides.
3157_68361_000009_000004	As we are nearer to them than other foreign countries we now use much of their products.	As we are nearer to them than other foreign countries we now use much of their products.
3157_68361_000009_000005	The population of this great country is only a little more than that of the state of Iowa.	The population of this great country is only a little more than that of the state of Iowa.
3157_68361_000010_000001	This city, Caracas, is about as large as Sioux City, Iowa, but to get to it is some job.	This city, Caracas, is about as large as Sioux city iowa, but to get to it is some job.
3157_68361_000010_000002	It is only about twenty-five miles by rail and this railroad was about as difficult to build as any of our mountain railroads.	It is only about twenty five miles by rail and this railroad was about as difficult to build as any of our mountain railroads.
3157_68361_000010_000003	The tracks cling to the mountain sides almost like vines cling to brick walls, and the curves are so short that one riding in the end coach can nearly reach the engineer.	The tracks cling to the mountain sides almost like vines cling to brick walls, and the curves are so short that one riding in the end coach can nearly reach the engineer.
3157_68361_000010_000004	One can look hundreds of feet into caverns and gorges that seem almost like the bottomless pit.	One can look hundreds of feet into caverns and gorges that seem almost like the bottomless pit.
3157_68361_000011_000000	Venezuela got its name from Venice, Italy, in the following way.	Venezuela got its name from Venice, Italy, in the following way.
3157_68361_000012_000000	Here lived Las Casas, a priest who was the Indian's greatest champion in the early days and who is said to be the father of African Slavery in the new world.	Here lived Las Casas, a priest who was the Indian's greatest champion in the early days and who is said to be the father of African Slavery in the new world.
3157_68361_000012_000001	It was he who suggested that negroes be imported to labor in the fields and mines that the Indians might have an easier time. Brought from Africa to work that the Indians might rest, these black people became the slaves of all.	It was he who suggested that negroes be imported to labor in the fields and mines that the Indians might have an easier time. Brought from Africa to work that the Indians might rest, these black people became the slaves of all.
3157_68361_000013_000001	Even the coins of the old days were stamped with Bolivar's name and everywhere he is revered as the George Washington of that country.	Even the coins of the old days were stamped with Bolivar's name and everywhere he is revered as the George Washington of that country.
3157_68361_000014_000000	In one of the large museums is a room in which are kept the great liberator's clothing, saddle, boots and spears and these things are as sacred to them as the Ark of the Covenant was to the Jews.	In one of the large museums is a room in which are kept the great liberator's clothing, saddle, boots and spears and these things are as sacred to them as the Ark of the Covenant was to the Jews.
3157_68361_000014_000001	In this same room is a portrait of Washington upon which is the inscription: "This picture of the liberator of North America is sent by his adopted son to him who acquired equal glory in South America."	In this same room is a portrait of Washington upon which is the inscription: "This picture of the liberator of North America is sent by his adopted son to him who acquired equal glory in South America."
3157_68361_000015_000000	Through this country runs one of the world's greatest rivers, the Orinoco, which with its tributaries furnishes more than four thousand miles of navigable rivers.	Through this country runs one of the world's greatest rivers, the Orinoco, which with its tributaries furnishes more than four thousand miles of navigable rivers.
3157_68361_000015_000001	This great river system drains a territory of three hundred and sixty thousand square miles.	This great river system drains a territory of three hundred and sixty thousand square miles.
3157_68361_000016_000000	It is rather strange that in this country with lovely and productive valleys whose irrigated orchards and gardens make a regular paradise, that the farming classes should be poor and ignorant, without ambition or education and be satisfied to live in comfortless, tumble-down huts without furniture or any of the improvements that make life worth living.	It is rather strange that in this country with lovely and productive valleys whose irrigated orchards and gardens make a regular paradise, that the farming classes should be poor and ignorant, without ambition or education and be satisfied to live in comfortless, tumble down huts without furniture or any of the improvements that make life worth living.
