3157_68361_000000_000000	I had a most pleasant visit in the home of Dr. Ewing, a United Presbyterian missionary.	I had a most pleasant visit in the home of dr Ewing, a United Presbyterian missionary.	false	0	6.18	21.552937
3157_68361_000000_000001	The United Presbyterian people have done and are doing a most remarkable work in Egypt.	The United Presbyterian people have done and are doing a most remarkable work in Egypt.	false	6.18	9.06	24.213438
3157_68361_000000_000002	A visit to their mission in Cairo was wonderfully interesting to say the least.	A visit to their mission in Cairo was wonderfully interesting to say the least.	false	9.06	12.75	22.677189
3157_68361_000000_000003	I was presented with some coins there, the smallest of which was worth, at that time, one-sixteenth of a penny, but the missionaries assured me that those coins were seldom used except in church collections.	I was presented with some coins there, the smallest of which was worth, at that time, one sixteenth of a penny, but the missionaries assured me that those coins were seldom used except in church collections.	false	12.75	19.44	23.212286
3157_68361_000001_000000	CHAPTER XIX	CHAPTER nineteen	true	19.44	21.01	26.168467
3157_68361_000002_000000	A COUNTRY WITH A THOUSAND RIVERS--VENEZUELA	A COUNTRY WITH A THOUSAND RIVERS-VENEZUELA	true	21.11	24.7	22.637402
3157_68361_000003_000000	Years ago two miners worked together for months and finally came to know each other as Tom and Jack.	Years ago two miners worked together for months and finally came to know each other as Tom and Jack.	true	25.37	32.08	23.82554
3157_68361_000003_000001	One day Tom was not well and could not do much but watch Jack dig.	One day Tom was not well and could not do much but watch Jack dig.	true	32.18	37.57	26.350857
3157_68361_000003_000002	After noting some movements of the body that seemed familiar he said: "Jack, where did you come from?" The two men sat down and talked of boyhood days and found that they were born in the same community and had played together when they were small boys.	After noting some movements of the body that seemed familiar he said: "Jack, where did you come from?" The two men sat down and talked of boyhood days and found that they were born in the same community and had played together when they were small boys.	true	37.61	53.35	23.084093
3157_68361_000003_000003	Here they had worked together for months without knowing that they were neighbors; they actually got up and shook hands with each other.	Here they had worked together for months without knowing that they were neighbors; they actually got up and shook hands with each other.	true	53.45	61.06	22.678095
3157_68361_000004_000000	Venezuela is our nearest neighbor to the south.	Venezuela is our nearest neighbor to the south.	true	61.4	64.89	21.407164
3157_68361_000004_000001	This country is nearer to Florida than New Orleans is to New York and yet we have lived side by side for four hundred years and hardly knew we were neighbors.	This country is nearer to Florida than New Orleans is to New York and yet we have lived side by side for four hundred years and hardly knew we were neighbors.	true	64.89	75.28	20
